MAMP_00005 MAMP_00007
MAMP_00007 MAMP_00005
MAMP_00008 MAMP_02635
MAMP_00033 MAMP_00124
MAMP_00034 MAMP_03051
MAMP_00034 MAMP_01015
MAMP_00034 MAMP_00948
MAMP_00034 MAMP_01721
MAMP_00034 MAMP_02308
MAMP_00053 MAMP_01742
MAMP_00053 MAMP_01739
MAMP_00056 MAMP_03021
MAMP_00056 MAMP_01556
MAMP_00056 MAMP_01232
MAMP_00056 MAMP_02629
MAMP_00056 MAMP_02291
MAMP_00056 MAMP_01228
MAMP_00056 MAMP_02840
MAMP_00056 MAMP_02244
MAMP_00057 MAMP_02545
MAMP_00057 MAMP_00236
MAMP_00074 MAMP_01924
MAMP_00074 MAMP_00391
MAMP_00124 MAMP_02278
MAMP_00124 MAMP_01079
MAMP_00124 MAMP_00033
MAMP_00124 MAMP_02276
MAMP_00126 MAMP_00542
MAMP_00126 MAMP_01561
MAMP_00126 MAMP_02271
MAMP_00126 MAMP_02272
MAMP_00132 MAMP_00826
MAMP_00132 MAMP_01817
MAMP_00132 MAMP_02653
MAMP_00132 MAMP_01994
MAMP_00132 MAMP_00829
MAMP_00134 MAMP_01388
MAMP_00148 MAMP_01363
MAMP_00172 MAMP_00176
MAMP_00176 MAMP_00172
MAMP_00195 MAMP_00885
MAMP_00195 MAMP_00886
MAMP_00195 MAMP_00888
MAMP_00201 MAMP_02246
MAMP_00207 MAMP_01933
MAMP_00207 MAMP_01934
MAMP_00207 MAMP_01932
MAMP_00210 MAMP_01932
MAMP_00210 MAMP_01933
MAMP_00210 MAMP_01934
MAMP_00213 MAMP_01933
MAMP_00213 MAMP_01932
MAMP_00213 MAMP_01934
MAMP_00215 MAMP_00382
MAMP_00215 MAMP_00336
MAMP_00215 MAMP_02071
MAMP_00216 MAMP_02841
MAMP_00216 MAMP_00900
MAMP_00223 MAMP_02484
MAMP_00236 MAMP_00057
MAMP_00276 MAMP_02244
MAMP_00276 MAMP_01556
MAMP_00292 MAMP_01228
MAMP_00301 MAMP_00316
MAMP_00301 MAMP_00306
MAMP_00306 MAMP_00301
MAMP_00306 MAMP_00316
MAMP_00316 MAMP_00301
MAMP_00316 MAMP_00306
MAMP_00327 MAMP_03143
MAMP_00327 MAMP_03018
MAMP_00336 MAMP_00900
MAMP_00336 MAMP_00215
MAMP_00337 MAMP_02250
MAMP_00339 MAMP_02250
MAMP_00347 MAMP_02015
MAMP_00354 MAMP_00764
MAMP_00356 MAMP_00542
MAMP_00356 MAMP_02272
MAMP_00356 MAMP_01561
MAMP_00372 MAMP_01273
MAMP_00382 MAMP_00215
MAMP_00391 MAMP_01241
MAMP_00391 MAMP_00074
MAMP_00431 MAMP_01045
MAMP_00431 MAMP_01272
MAMP_00431 MAMP_02873
MAMP_00431 MAMP_03141
MAMP_00458 MAMP_02273
MAMP_00458 MAMP_01901
MAMP_00486 MAMP_02885
MAMP_00486 MAMP_00492
MAMP_00486 MAMP_02621
MAMP_00492 MAMP_00895
MAMP_00492 MAMP_00486
MAMP_00493 MAMP_01941
MAMP_00493 MAMP_02010
MAMP_00518 MAMP_00542
MAMP_00518 MAMP_01937
MAMP_00542 MAMP_00518
MAMP_00542 MAMP_00356
MAMP_00542 MAMP_00126
MAMP_00542 MAMP_03102
MAMP_00575 MAMP_00577
MAMP_00575 MAMP_00576
MAMP_00576 MAMP_00575
MAMP_00576 MAMP_00577
MAMP_00577 MAMP_00575
MAMP_00577 MAMP_00576
MAMP_00640 MAMP_02792
MAMP_00654 MAMP_01470
MAMP_00654 MAMP_01494
MAMP_00675 MAMP_00676
MAMP_00676 MAMP_00675
MAMP_00721 MAMP_01388
MAMP_00722 MAMP_01181
MAMP_00722 MAMP_01388
MAMP_00723 MAMP_00870
MAMP_00724 MAMP_01053
MAMP_00725 MAMP_01023
MAMP_00725 MAMP_02278
MAMP_00726 MAMP_01053
MAMP_00728 MAMP_01053
MAMP_00732 MAMP_01053
MAMP_00734 MAMP_01053
MAMP_00735 MAMP_01053
MAMP_00736 MAMP_01053
MAMP_00739 MAMP_01053
MAMP_00740 MAMP_01053
MAMP_00764 MAMP_00354
MAMP_00764 MAMP_01626
MAMP_00764 MAMP_01638
MAMP_00764 MAMP_01348
MAMP_00764 MAMP_01632
MAMP_00772 MAMP_00773
MAMP_00772 MAMP_02283
MAMP_00773 MAMP_00772
MAMP_00805 MAMP_02840
