SP_0006 SpneT_02000214
SP_0019 SpneT_02000426
SP_0019 SpneT_02000431
SP_0044 SpneT_02000421
SP_0048 SpneT_02000425
SP_0057 SpneT_02000432
SP_0060 SpneT_02000434
SP_0065 SpneT_02001059
SP_0092 SpneT_02001454
SP_0104 SpneT_02001822
SP_0118 SpneT_02001784
SP_0119 SpneT_02001785
SP_0150 SpneT_02001028
SP_0176 SpneT_02000884
SP_0182 SpneT_02001933
SP_0191 SpneT_02000112
SP_0198 SpneT_02000107
SP_0231 SpneT_02000743
SP_0231 SpneT_02000739
SP_0231 SpneT_02000431
SP_0231 SpneT_02001381
SP_0231 SpneT_02001384
SP_0231 SpneT_02001379
SP_0231 SpneT_02001382
SP_0231 SpneT_02001380
SP_0231 SpneT_02001650
SP_0231 SpneT_02001385
SP_0231 SP_1317
SP_0231 SpneT_02001649
SP_0231 SpneT_02000746
SP_0231 SpneT_02001383
SP_0231 SpneT_02000740
SP_0231 SpneT_02000745
SP_0231 SP_1514
SP_0238 SpneT_02000071
SP_0239 SpneT_02000070
SP_0240 SpneT_02001152
SP_0240 SpneT_02000650
SP_0256 SpneT_02001605
SP_0260 SpneT_02000516
SP_0261 SpneT_02000515
SP_0278 SpneT_02000500
SP_0319 SpneT_02001472
SP_0336 SpneT_02001589
SP_0347 SpneT_02000819
SP_0369 SpneT_02000612
SP_0384 SpneT_02001623
SP_0417 SpneT_02001189
SP_0419 SpneT_02001191
SP_0422 SpneT_02001194
SP_0446 SpneT_02001824
SP_0446 SpneT_02000261
SP_0446 SpneT_02000906
SP_0446 SpneT_02000909
SP_0462 SpneT_02001110
SP_0463 SpneT_02001111
SP_0466 SpneT_02001113
SP_0467 SpneT_02001114
SP_0468 SpneT_02001115
SP_0478 SpneT_02001038
SP_0498 SpneT_02001153
SP_0550 SpneT_02001511
SP_0552 SpneT_02001512
SP_0554 SpneT_02001514
SP_0561 SpneT_02001339
SP_0568 SpneT_02001347
SP_0578 SpneT_02001133
SP_0614 SpneT_02001250
SP_0618 SpneT_02000115
SP_0622 SpneT_02001563
SP_0629 SpneT_02001555
SP_0646 SP_1197
SP_0646 SpneT_02001918
SP_0646 SP_1198
SP_0646 SpneT_02001964
SP_0648 SpneT_02001088
SP_0659 SpneT_02001820
SP_0667 SpneT_02000174
SP_0716 SpneT_02001934
SP_0724 SpneT_02000984
SP_0724 SpneT_02000977
SP_0731 SpneT_02000990
SP_0746 SpneT_02001290
SP_0782 SpneT_02000469
SP_0784 SpneT_02000940
SP_0805 SpneT_02000669
SP_0806 SpneT_02000668
SP_0828 SpneT_02001610
SP_0828 SP_2128
SP_0828 SpneT_02000127
SP_0830 SpneT_02001048
SP_0843 SpneT_02001049
SP_0852 SpneT_02001165
SP_0852 SP_0855
SP_0855 SpneT_02001165
SP_0855 SP_0852
SP_0855 SpneT_02001168
SP_0872 SpneT_02000863
SP_0872 SpneT_02001588
SP_0944 SpneT_02000197
SP_0944 SpneT_02001649
SP_0944 SpneT_02000018
SP_0944 SpneT_02001650
SP_0944 SpneT_02000332
SP_0944 SpneT_02001291
SP_0963 SpneT_02000198
SP_0963 SpneT_02000524
SP_0973 SP_2135
SP_0973 SP_2009
SP_0987 SpneT_02001436
SP_0988 SpneT_02001435
SP_1000 SpneT_02001705
SP_1032 SpneT_02000572
SP_1034 SpneT_02001739
SP_1034 SpneT_02000572
SP_1034 SpneT_02001737
SP_1034 SpneT_02001738
SP_1034 SpneT_02000575
SP_1034 SpneT_02000573
SP_1034 SpneT_02001736
SP_1050 SpneT_02000929
SP_1069 SpneT_02000894
SP_1084 SpneT_02001765
SP_1097 SpneT_02001205
SP_1106 SpneT_02000814
SP_1110 SpneT_02000812
SP_1128 SpneT_02000650
SP_1160 SpneT_02000530
SP_1190 SpneT_02001271
SP_1197 SP_1198
SP_1197 SP_0646
SP_1197 SpneT_02001918
SP_1197 SpneT_02001964
SP_1198 SpneT_02001964
SP_1198 SpneT_02001918
SP_1198 SP_1197
SP_1198 SP_0646
SP_1227 SpneT_02000966
SP_1235 SpneT_02000412
SP_1241 SpneT_02000407
SP_1267 SpneT_02000321
SP_1271 SpneT_02000325
SP_1297 SpneT_02000350
SP_1317 SpneT_02001379
SP_1317 SpneT_02001382
SP_1317 SpneT_02001380
SP_1317 SpneT_02001384
SP_1317 SpneT_02001381
SP_1317 SpneT_02001383
SP_1317 SP_0231
SP_1317 SP_1514
SP_1317 SpneT_02000745
SP_1317 SpneT_02001385
SP_1326 SpneT_02000735
SP_1344 SpneT_02001487
SP_1359 SpneT_02001016
SP_1371 SpneT_02001692
SP_1372 SpneT_02001693
SP_1374 SpneT_02001395
SP_1374 SpneT_02001396
SP_1374 SpneT_02001692
SP_1390 SpneT_02001762
SP_1390 SpneT_02000024
SP_1390 SpneT_02000443
SP_1397 SpneT_02001353
SP_1397 SpneT_02000265
SP_1397 SpneT_02000258
SP_1397 SpneT_02000238
SP_1397 SpneT_02001232
SP_1397 SpneT_02000239
SP_1397 SpneT_02001027
SP_1400 SpneT_02000269
SP_1407 SpneT_02000275
SP_1415 SpneT_02000153
SP_1437 SpneT_02001642
SP_1437 SpneT_02000238
SP_1437 SP_1438
SP_1437 SpneT_02000980
SP_1437 SpneT_02000239
SP_1437 SpneT_02001641
SP_1437 SpneT_02000979
SP_1437 SpneT_02000240
SP_1437 SpneT_02001574
SP_1438 SpneT_02001574
SP_1438 SpneT_02000980
SP_1438 SpneT_02000239
SP_1438 SpneT_02001641
SP_1438 SpneT_02000979
SP_1438 SpneT_02000240
SP_1438 SP_1437
SP_1438 SpneT_02001642
SP_1438 SpneT_02000238
SP_1449 SpneT_02001421
SP_1450 SpneT_02001422
SP_1482 SpneT_02001870
SP_1492 SpneT_02001759
SP_1499 SpneT_02001716
SP_1500 SpneT_02001717
SP_1514 SpneT_02001384
SP_1514 SpneT_02001383
SP_1514 SpneT_02000745
SP_1514 SpneT_02001381
SP_1514 SpneT_02001382
SP_1514 SpneT_02001380
SP_1514 SP_0231
SP_1514 SpneT_02001385
SP_1514 SpneT_02001379
SP_1514 SP_1317
SP_1558 SpneT_02000365
SP_1560 SpneT_02000367
SP_1565 SpneT_02000371
SP_1583 SpneT_02001365
SP_1591 SpneT_02001358
SP_1609 SpneT_02001754
SP_1610 SpneT_02001755
SP_1627 SpneT_02001259
SP_1645 SpneT_02000018
SP_1651 SpneT_02000953
SP_1669 SpneT_02000307
SP_1698 SpneT_02001280
SP_1699 SpneT_02001281
SP_1758 SpneT_02000597
SP_1811 SpneT_02001400
SP_1811 SP_1812
SP_1811 SpneT_02001401
SP_1812 SpneT_02001400
SP_1812 SpneT_02001401
SP_1812 SP_1811
SP_1817 SpneT_02001395
SP_1828 SpneT_02001245
SP_1833 SpneT_02001883
SP_1851 SpneT_02000627
SP_1852 SpneT_02000629
SP_1852 SpneT_02001245
SP_1852 SpneT_02001677
SP_1852 SpneT_02001715
SP_1865 SpneT_02000641
SP_1872 SpneT_02001739
SP_1875 SpneT_02001500
SP_1878 SpneT_02001503
SP_1879 SpneT_02001504
SP_1897 SpneT_02001585
SP_1912 SpneT_02001746
SP_1923 SpneT_02001450
SP_1937 SpneT_02001462
SP_1943 SpneT_02000004
SP_1964 SpneT_02000022
SP_1968 SpneT_02000416
SP_1968 SpneT_02000856
SP_2006 SpneT_02001966
SP_2009 SP_2135
SP_2009 SP_0973
SP_2064 SpneT_02000161
SP_2084 SpneT_02001235
SP_2088 SpneT_02001231
SP_2099 SpneT_02001220
SP_2108 SpneT_02001391
SP_2126 SpneT_02001169
SP_2126 SpneT_02000389
SP_2126 SpneT_02000909
SP_2128 SP_0828
SP_2128 SpneT_02000040
SP_2135 SP_0973
SP_2135 SP_2009
SP_2141 SpneT_02000792
SP_2144 SpneT_02000795
SP_2145 SpneT_02000796
SP_2158 SpneT_02000539
SP_2159 SpneT_02000540
SP_2163 SpneT_02000544
SP_2164 SpneT_02000545
SP_2166 SpneT_02000547
SP_2167 SpneT_02000548
SP_2199 SpneT_02000841
SP_2202 SpneT_02000839
SP_2210 SpneT_02001143
SP_2218 SpneT_02000241
SP_2235 SpneT_02000224
SP_2237 SpneT_02000420
SP_2237 SpneT_02000223
SP_2237 SpneT_02000419
SP_2239 SpneT_02000221
SpneT_02000002 SpneT_02001857
SpneT_02000002 SpneT_02001325
SpneT_02000002 SpneT_02001668
SpneT_02000004 SP_1943
SpneT_02000018 SpneT_02001144
SpneT_02000018 SpneT_02001534
SpneT_02000018 SpneT_02001572
SpneT_02000018 SpneT_02000504
SpneT_02000018 SpneT_02000692
SpneT_02000018 SpneT_02000886
SpneT_02000018 SpneT_02000691
SpneT_02000018 SpneT_02001638
SpneT_02000018 SpneT_02000073
SpneT_02000018 SP_0944
SpneT_02000018 SpneT_02000019
SpneT_02000018 SpneT_02001071
SpneT_02000018 SpneT_02001650
SpneT_02000018 SP_1645
SpneT_02000018 SpneT_02001900
SpneT_02000018 SpneT_02001649
SpneT_02000018 SpneT_02001205
SpneT_02000018 SpneT_02000020
SpneT_02000018 SpneT_02001681
SpneT_02000018 SpneT_02001505
SpneT_02000018 SpneT_02000485
SpneT_02000018 SpneT_02000104
SpneT_02000018 SpneT_02001119
SpneT_02000018 SpneT_02001069
SpneT_02000018 SpneT_02000218
SpneT_02000018 SpneT_02000790
SpneT_02000018 SpneT_02000960
SpneT_02000018 SpneT_02001430
SpneT_02000018 SpneT_02001792
SpneT_02000018 SpneT_02001120
SpneT_02000018 SpneT_02001648
SpneT_02000018 SpneT_02000077
SpneT_02000019 SpneT_02001144
SpneT_02000019 SpneT_02001205
SpneT_02000019 SpneT_02001638
SpneT_02000019 SpneT_02000104
SpneT_02000019 SpneT_02000960
SpneT_02000019 SpneT_02000018
SpneT_02000019 SpneT_02000886
SpneT_02000019 SpneT_02000073
SpneT_02000019 SpneT_02001900
SpneT_02000019 SpneT_02000020
SpneT_02000019 SpneT_02001069
SpneT_02000019 SpneT_02001120
SpneT_02000019 SpneT_02001648
SpneT_02000020 SpneT_02001648
SpneT_02000020 SpneT_02001120
SpneT_02000020 SpneT_02001144
SpneT_02000020 SpneT_02000886
SpneT_02000020 SpneT_02000019
SpneT_02000020 SpneT_02000073
SpneT_02000020 SpneT_02001900
SpneT_02000020 SpneT_02001205
SpneT_02000020 SpneT_02001638
SpneT_02000020 SpneT_02000018
SpneT_02000020 SpneT_02000104
SpneT_02000020 SpneT_02001069
SpneT_02000020 SpneT_02000960
SpneT_02000022 SP_1964
SpneT_02000024 SP_1390
SpneT_02000024 SpneT_02000830
SpneT_02000024 SpneT_02001762
SpneT_02000024 SpneT_02000827
SpneT_02000024 SpneT_02000259
SpneT_02000024 SpneT_02001435
SpneT_02000026 SpneT_02000856
SpneT_02000026 SpneT_02001314
SpneT_02000026 SpneT_02000416
SpneT_02000029 SpneT_02000054
SpneT_02000029 SpneT_02000331
SpneT_02000029 SpneT_02001536
SpneT_02000029 SpneT_02001186
SpneT_02000032 SpneT_02000989
SpneT_02000032 SpneT_02001202
SpneT_02000033 SpneT_02000138
SpneT_02000035 SpneT_02000705
SpneT_02000035 SpneT_02001360
SpneT_02000035 SpneT_02001897
SpneT_02000039 SpneT_02000981
SpneT_02000040 SpneT_02000606
SpneT_02000040 SpneT_02001610
SpneT_02000040 SpneT_02000130
SpneT_02000040 SpneT_02001050
SpneT_02000040 SpneT_02001408
SpneT_02000040 SpneT_02000324
SpneT_02000040 SpneT_02001407
SpneT_02000040 SpneT_02000127
SpneT_02000040 SpneT_02001473
SpneT_02000040 SP_2128
SpneT_02000051 SpneT_02001169
SpneT_02000051 SpneT_02001280
SpneT_02000051 SpneT_02001406
SpneT_02000051 SpneT_02000389
SpneT_02000051 SpneT_02001844
SpneT_02000054 SpneT_02000331
SpneT_02000054 SpneT_02000029
SpneT_02000054 SpneT_02001536
SpneT_02000054 SpneT_02001186
SpneT_02000056 SpneT_02001169
SpneT_02000056 SpneT_02001198
SpneT_02000056 SpneT_02001202
SpneT_02000056 SpneT_02000906
SpneT_02000056 SpneT_02000989
SpneT_02000056 SpneT_02001195
SpneT_02000056 SpneT_02000973
SpneT_02000056 SpneT_02000393
SpneT_02000056 SpneT_02000911
SpneT_02000056 SpneT_02001069
SpneT_02000056 SpneT_02000447
SpneT_02000056 SpneT_02000528
SpneT_02000056 SpneT_02000910
SpneT_02000056 SpneT_02000123
SpneT_02000056 SpneT_02001199
SpneT_02000056 SpneT_02000526
SpneT_02000056 SpneT_02000527
SpneT_02000056 SpneT_02001197
SpneT_02000056 SpneT_02000389
SpneT_02000056 SpneT_02000529
SpneT_02000056 SpneT_02001337
SpneT_02000056 SpneT_02001872
SpneT_02000057 SpneT_02000944
SpneT_02000057 SpneT_02000058
SpneT_02000057 SpneT_02000947
SpneT_02000057 SpneT_02000059
SpneT_02000057 SpneT_02000122
SpneT_02000057 SpneT_02000121
SpneT_02000058 SpneT_02000120
SpneT_02000058 SpneT_02001034
SpneT_02000058 SpneT_02000944
SpneT_02000058 SpneT_02000947
SpneT_02000058 SpneT_02000059
SpneT_02000058 SpneT_02000943
SpneT_02000058 SpneT_02000122
SpneT_02000058 SpneT_02000121
SpneT_02000058 SpneT_02000057
SpneT_02000059 SpneT_02001034
SpneT_02000059 SpneT_02000058
SpneT_02000059 SpneT_02000944
SpneT_02000059 SpneT_02000947
SpneT_02000059 SpneT_02000943
SpneT_02000059 SpneT_02000120
SpneT_02000059 SpneT_02000122
SpneT_02000059 SpneT_02000121
SpneT_02000059 SpneT_02000057
SpneT_02000063 SpneT_02001242
SpneT_02000063 SpneT_02001243
SpneT_02000063 SpneT_02000064
SpneT_02000063 SpneT_02001241
SpneT_02000064 SpneT_02001242
SpneT_02000064 SpneT_02001243
SpneT_02000064 SpneT_02000063
SpneT_02000064 SpneT_02001241
SpneT_02000069 SpneT_02001408
SpneT_02000069 SpneT_02000127
SpneT_02000069 SpneT_02001152
SpneT_02000069 SpneT_02001407
SpneT_02000069 SpneT_02001311
SpneT_02000069 SpneT_02000648
SpneT_02000069 SpneT_02000650
SpneT_02000069 SpneT_02000405
SpneT_02000069 SpneT_02000318
SpneT_02000069 SpneT_02001610
SpneT_02000069 SpneT_02001439
SpneT_02000069 SpneT_02000803
SpneT_02000069 SpneT_02001474
SpneT_02000069 SpneT_02001492
SpneT_02000069 SpneT_02001661
SpneT_02000070 SP_0239
SpneT_02000071 SP_0238
SpneT_02000073 SpneT_02001638
SpneT_02000073 SpneT_02001205
SpneT_02000073 SpneT_02000886
SpneT_02000073 SpneT_02000019
SpneT_02000073 SpneT_02001900
SpneT_02000073 SpneT_02000020
SpneT_02000073 SpneT_02000960
SpneT_02000073 SpneT_02000018
SpneT_02000073 SpneT_02001120
SpneT_02000073 SpneT_02001648
SpneT_02000073 SpneT_02000104
SpneT_02000073 SpneT_02001069
SpneT_02000073 SpneT_02001144
SpneT_02000077 SpneT_02000431
SpneT_02000077 SpneT_02001144
SpneT_02000077 SpneT_02001650
SpneT_02000077 SpneT_02001649
SpneT_02000077 SpneT_02000383
SpneT_02000077 SpneT_02001069
SpneT_02000077 SpneT_02000018
SpneT_02000078 SpneT_02000592
SpneT_02000104 SpneT_02001534
SpneT_02000104 SpneT_02001572
SpneT_02000104 SpneT_02000691
SpneT_02000104 SpneT_02000504
SpneT_02000104 SpneT_02000886
SpneT_02000104 SpneT_02000019
SpneT_02000104 SpneT_02000073
SpneT_02000104 SpneT_02001071
SpneT_02000104 SpneT_02001900
SpneT_02000104 SpneT_02001205
SpneT_02000104 SpneT_02001638
SpneT_02000104 SpneT_02000020
SpneT_02000104 SpneT_02000485
SpneT_02000104 SpneT_02001292
SpneT_02000104 SpneT_02001069
SpneT_02000104 SpneT_02000218
SpneT_02000104 SpneT_02000018
SpneT_02000104 SpneT_02000960
SpneT_02000104 SpneT_02001430
SpneT_02000104 SpneT_02001792
SpneT_02000104 SpneT_02001120
SpneT_02000104 SpneT_02001648
SpneT_02000107 SP_0198
