XP_001703993.1 XP_001704071.1
XP_001703995.1 XP_001707637.1
XP_001703995.1 XP_001705624.1
XP_001703995.1 XP_001708472.1
XP_001703995.1 XP_001709169.1
XP_001704033.1 XP_001708984.1
XP_001704060.1 XP_001709865.1
XP_001704071.1 XP_001703993.1
XP_001704075.1 XP_001704237.1
XP_001704075.1 XP_001706850.1
XP_001704075.1 XP_001708373.1
XP_001704075.1 XP_001705299.1
XP_001704075.1 XP_001708681.1
XP_001704075.1 XP_001709689.1
XP_001704075.1 XP_001707704.1
XP_001704075.1 XP_001706747.1
XP_001704098.1 XP_001705084.1
XP_001704098.1 XP_001707645.1
XP_001704098.1 XP_001708866.1
XP_001704098.1 XP_001706604.1
XP_001704098.1 XP_001708422.1
XP_001704098.1 XP_001705580.1
XP_001704098.1 XP_001709100.1
XP_001704098.1 XP_001707693.1
XP_001704132.1 XP_001706258.1
XP_001704132.1 XP_001704914.1
XP_001704132.1 XP_001706344.1
XP_001704132.1 XP_001706409.1
XP_001704132.1 XP_001706095.1
XP_001704132.1 XP_001705934.1
XP_001704132.1 XP_001708380.1
XP_001704132.1 XP_001708575.1
XP_001704164.1 XP_001708082.1
XP_001704176.1 XP_001705860.1
XP_001704218.1 XP_001706095.1
XP_001704218.1 XP_001706258.1
XP_001704218.1 XP_001706386.1
XP_001704225.1 XP_001704463.1
XP_001704225.1 XP_001704752.1
XP_001704225.1 XP_001706095.1
XP_001704225.1 XP_001709307.1
XP_001704225.1 XP_001706598.1
XP_001704225.1 XP_001707891.1
XP_001704225.1 XP_001706258.1
XP_001704225.1 XP_001707823.1
XP_001704225.1 XP_001706386.1
XP_001704237.1 XP_001704403.1
XP_001704237.1 XP_001706620.1
XP_001704237.1 XP_001707704.1
XP_001704237.1 XP_001709984.1
XP_001704237.1 XP_001704075.1
XP_001704237.1 XP_001708681.1
XP_001704237.1 XP_001706850.1
XP_001704237.1 XP_001705299.1
XP_001704238.1 XP_001708380.1
XP_001704238.1 XP_001704508.1
XP_001704238.1 XP_001705934.1
XP_001704238.1 XP_001706814.1
XP_001704317.1 XP_001706386.1
XP_001704317.1 XP_001706258.1
XP_001704317.1 XP_001706095.1
XP_001704324.1 XP_001705366.1
XP_001704403.1 XP_001709984.1
XP_001704403.1 XP_001706620.1
XP_001704403.1 XP_001704237.1
XP_001704403.1 XP_001706850.1
XP_001704403.1 XP_001707704.1
XP_001704441.1 XP_001708857.1
XP_001704441.1 XP_001709336.1
XP_001704441.1 XP_001706738.1
XP_001704441.1 XP_001705042.1
XP_001704441.1 XP_001706830.1
XP_001704441.1 XP_001708370.1
XP_001704452.1 XP_001705570.1
XP_001704453.1 XP_001706095.1
XP_001704453.1 XP_001706258.1
XP_001704453.1 XP_001709323.1
XP_001704453.1 XP_001706386.1
XP_001704463.1 XP_001707823.1
XP_001704463.1 XP_001706386.1
XP_001704463.1 XP_001704752.1
XP_001704463.1 XP_001704225.1
XP_001704463.1 XP_001706095.1
XP_001704463.1 XP_001707891.1
XP_001704463.1 XP_001706258.1
XP_001704463.1 XP_001709307.1
XP_001704463.1 XP_001706598.1
XP_001704508.1 XP_001704996.1
XP_001704508.1 XP_001705934.1
XP_001704508.1 XP_001706814.1
XP_001704508.1 XP_001707721.1
XP_001704508.1 XP_001707722.1
XP_001704508.1 XP_001708380.1
XP_001704508.1 XP_001710188.1
XP_001704508.1 XP_001704238.1
XP_001704525.1 XP_001707257.1
XP_001704525.1 XP_001705839.1
XP_001704525.1 XP_001709849.1
XP_001704547.1 XP_001705159.1
XP_001704611.1 XP_001707184.1
XP_001704614.1 XP_001709991.1
XP_001704614.1 XP_001706738.1
XP_001704614.1 XP_001707507.1
XP_001704614.1 XP_001708857.1
XP_001704614.1 XP_001706830.1
XP_001704614.1 XP_001708370.1
XP_001704614.1 XP_001705042.1
XP_001704614.1 XP_001709336.1
XP_001704614.1 XP_001709969.1
XP_001704644.1 XP_001707619.1
XP_001704687.1 XP_001707270.1
XP_001704687.1 XP_001704798.1
XP_001704710.1 XP_001707921.1
XP_001704710.1 XP_001709110.1
XP_001704752.1 XP_001709307.1
XP_001704752.1 XP_001706095.1
XP_001704752.1 XP_001706258.1
XP_001704752.1 XP_001706598.1
XP_001704752.1 XP_001706386.1
XP_001704752.1 XP_001707891.1
XP_001704752.1 XP_001704225.1
XP_001704752.1 XP_001704463.1
XP_001704752.1 XP_001707823.1
XP_001704753.1 XP_001705234.1
XP_001704753.1 XP_001708833.1
XP_001704753.1 XP_001708839.1
XP_001704753.1 XP_001705076.1
XP_001704792.1 XP_001707123.1
XP_001704798.1 XP_001704687.1
XP_001704822.1 XP_001706386.1
XP_001704822.1 XP_001706258.1
XP_001704822.1 XP_001705934.1
XP_001704822.1 XP_001706095.1
XP_001704822.1 XP_001708380.1
XP_001704822.1 XP_001705197.1
XP_001704857.1 XP_001707921.1
XP_001704857.1 XP_001706786.1
XP_001704857.1 XP_001708146.1
XP_001704865.1 XP_001705977.1
XP_001704865.1 XP_001706726.1
XP_001704914.1 XP_001706409.1
XP_001704914.1 XP_001706258.1
XP_001704914.1 XP_001706344.1
XP_001704914.1 XP_001706095.1
XP_001704914.1 XP_001705934.1
XP_001704914.1 XP_001708575.1
XP_001704914.1 XP_001708380.1
XP_001704914.1 XP_001704132.1
XP_001704960.1 XP_001707207.1
XP_001704996.1 XP_001704508.1
XP_001704996.1 XP_001706814.1
XP_001704996.1 XP_001707722.1
XP_001704996.1 XP_001710188.1
XP_001704996.1 XP_001707721.1
XP_001705015.1 XP_001705611.1
XP_001705015.1 XP_001705308.1
XP_001705015.1 XP_001709658.1
XP_001705031.1 XP_001707200.1
XP_001705042.1 XP_001704441.1
XP_001705042.1 XP_001708857.1
XP_001705042.1 XP_001706998.1
XP_001705042.1 XP_001704614.1
XP_001705042.1 XP_001706830.1
XP_001705076.1 XP_001704753.1
XP_001705076.1 XP_001705234.1
XP_001705076.1 XP_001708833.1
XP_001705076.1 XP_001708839.1
XP_001705084.1 XP_001708866.1
XP_001705084.1 XP_001707693.1
XP_001705084.1 XP_001704098.1
XP_001705084.1 XP_001707645.1
XP_001705084.1 XP_001705580.1
XP_001705084.1 XP_001708422.1
XP_001705084.1 XP_001706604.1
XP_001705084.1 XP_001709100.1
XP_001705159.1 XP_001704547.1
XP_001705159.1 XP_001709640.1
XP_001705159.1 XP_001707010.1
XP_001705176.1 XP_001706039.1
XP_001705176.1 XP_001709849.1
XP_001705197.1 XP_001706386.1
XP_001705197.1 XP_001709186.1
XP_001705197.1 XP_001708380.1
XP_001705197.1 XP_001707342.1
XP_001705197.1 XP_001704822.1
XP_001705197.1 XP_001705934.1
XP_001705234.1 XP_001704753.1
XP_001705234.1 XP_001709182.1
XP_001705234.1 XP_001708839.1
XP_001705234.1 XP_001708833.1
XP_001705234.1 XP_001705076.1
XP_001705299.1 XP_001708373.1
XP_001705299.1 XP_001707704.1
XP_001705299.1 XP_001709689.1
XP_001705299.1 XP_001706747.1
XP_001705299.1 XP_001704237.1
XP_001705299.1 XP_001708681.1
XP_001705299.1 XP_001704075.1
XP_001705299.1 XP_001706850.1
XP_001705303.1 XP_001707971.1
XP_001705308.1 XP_001709658.1
XP_001705308.1 XP_001705015.1
XP_001705308.1 XP_001705611.1
XP_001705341.1 XP_001705830.1
XP_001705363.1 XP_001708042.1
XP_001705366.1 XP_001704324.1
XP_001705409.1 XP_001706276.1
XP_001705443.1 XP_001708654.1
XP_001705443.1 XP_001708605.1
XP_001705443.1 XP_001707840.1
XP_001705463.1 XP_001707002.1
XP_001705549.1 XP_001710002.1
XP_001705549.1 XP_001706710.1
XP_001705570.1 XP_001704452.1
XP_001705580.1 XP_001708866.1
XP_001705580.1 XP_001707693.1
XP_001705580.1 XP_001704098.1
XP_001705580.1 XP_001705084.1
XP_001705580.1 XP_001706604.1
XP_001705580.1 XP_001708422.1
XP_001705580.1 XP_001707645.1
XP_001705580.1 XP_001709100.1
XP_001705611.1 XP_001709658.1
XP_001705611.1 XP_001705015.1
XP_001705611.1 XP_001705308.1
XP_001705612.1 XP_001707816.1
XP_001705624.1 XP_001703995.1
XP_001705624.1 XP_001709169.1
XP_001705624.1 XP_001708472.1
XP_001705624.1 XP_001707637.1
XP_001705675.1 XP_001708509.1
XP_001705675.1 XP_001708530.1
XP_001705823.1 XP_001708063.1
XP_001705823.1 XP_001708133.1
XP_001705824.1 XP_001706387.1
XP_001705830.1 XP_001705341.1
XP_001705839.1 XP_001709849.1
XP_001705839.1 XP_001704525.1
XP_001705839.1 XP_001707257.1
XP_001705860.1 XP_001704176.1
XP_001705880.1 XP_001707253.1
XP_001705880.1 XP_001706843.1
XP_001705880.1 XP_001707388.1
XP_001705891.1 XP_001708520.1
XP_001705915.1 XP_001706386.1
XP_001705915.1 XP_001706095.1
XP_001705915.1 XP_001706258.1
XP_001705931.1 XP_001709711.1
XP_001705931.1 XP_001707233.1
XP_001705934.1 XP_001706344.1
XP_001705934.1 XP_001706409.1
XP_001705934.1 XP_001704822.1
XP_001705934.1 XP_001708076.1
XP_001705934.1 XP_001704132.1
XP_001705934.1 XP_001709101.1
XP_001705934.1 XP_001709186.1
XP_001705934.1 XP_001708575.1
XP_001705934.1 XP_001706386.1
XP_001705934.1 XP_001706814.1
XP_001705934.1 XP_001705197.1
XP_001705934.1 XP_001707342.1
XP_001705934.1 XP_001704508.1
XP_001705934.1 XP_001704914.1
XP_001705934.1 XP_001704238.1
XP_001705934.1 XP_001708380.1
XP_001705977.1 XP_001706597.1
XP_001705977.1 XP_001706726.1
XP_001705977.1 XP_001704865.1
XP_001705977.1 XP_001708370.1
XP_001706039.1 XP_001709849.1
XP_001706039.1 XP_001707257.1
XP_001706039.1 XP_001706262.1
XP_001706039.1 XP_001705176.1
XP_001706095.1 XP_001706115.1
XP_001706095.1 XP_001708426.1
XP_001706095.1 XP_001706258.1
XP_001706095.1 XP_001707984.1
XP_001706095.1 XP_001704463.1
XP_001706095.1 XP_001704914.1
XP_001706095.1 XP_001709101.1
XP_001706095.1 XP_001708762.1
XP_001706095.1 XP_001709307.1
XP_001706095.1 XP_001707087.1
XP_001706095.1 XP_001707823.1
XP_001706095.1 XP_001708867.1
XP_001706095.1 XP_001708076.1
XP_001706095.1 XP_001706409.1
XP_001706095.1 XP_001708251.1
XP_001706095.1 XP_001704132.1
XP_001706095.1 XP_001707891.1
XP_001706095.1 XP_001704218.1
XP_001706095.1 XP_001706598.1
XP_001706095.1 XP_001704453.1
XP_001706095.1 XP_001705915.1
XP_001706095.1 XP_001710009.1
XP_001706095.1 XP_001709578.1
XP_001706095.1 XP_001706376.1
XP_001706095.1 XP_001704225.1
XP_001706095.1 XP_001709323.1
XP_001706095.1 XP_001707116.1
XP_001706095.1 XP_001709183.1
XP_001706095.1 XP_001708931.1
XP_001706095.1 XP_001707501.1
XP_001706095.1 XP_001706950.1
XP_001706095.1 XP_001708583.1
XP_001706095.1 XP_001706386.1
XP_001706095.1 XP_001704317.1
XP_001706095.1 XP_001708454.1
XP_001706095.1 XP_001708649.1
XP_001706095.1 XP_001704752.1
XP_001706095.1 XP_001704822.1
XP_001706107.1 XP_001706577.1
XP_001706115.1 XP_001706386.1
XP_001706115.1 XP_001706258.1
XP_001706115.1 XP_001706095.1
XP_001706198.1 XP_001709477.1
XP_001706198.1 XP_001706526.1
XP_001706258.1 XP_001707087.1
XP_001706258.1 XP_001707823.1
XP_001706258.1 XP_001709183.1
XP_001706258.1 XP_001708867.1
XP_001706258.1 XP_001706376.1
XP_001706258.1 XP_001708454.1
XP_001706258.1 XP_001704225.1
XP_001706258.1 XP_001706409.1
XP_001706258.1 XP_001708076.1
XP_001706258.1 XP_001708251.1
XP_001706258.1 XP_001704317.1
XP_001706258.1 XP_001706386.1
XP_001706258.1 XP_001709578.1
XP_001706258.1 XP_001704822.1
XP_001706258.1 XP_001708649.1
XP_001706258.1 XP_001704752.1
XP_001706258.1 XP_001706095.1
XP_001706258.1 XP_001710009.1
XP_001706258.1 XP_001704132.1
XP_001706258.1 XP_001707891.1
XP_001706258.1 XP_001704218.1
XP_001706258.1 XP_001704453.1
XP_001706258.1 XP_001707501.1
XP_001706258.1 XP_001707116.1
XP_001706258.1 XP_001708583.1
XP_001706258.1 XP_001708931.1
XP_001706258.1 XP_001709323.1
XP_001706258.1 XP_001706950.1
XP_001706258.1 XP_001704914.1
XP_001706258.1 XP_001706115.1
XP_001706258.1 XP_001704463.1
XP_001706258.1 XP_001708762.1
XP_001706258.1 XP_001709307.1
XP_001706258.1 XP_001709101.1
XP_001706258.1 XP_001707984.1
XP_001706258.1 XP_001708426.1
XP_001706258.1 XP_001706598.1
XP_001706258.1 XP_001705915.1
XP_001706262.1 XP_001707324.1
XP_001706262.1 XP_001706039.1
XP_001706276.1 XP_001705409.1
XP_001706344.1 XP_001704132.1
XP_001706344.1 XP_001708076.1
XP_001706344.1 XP_001706409.1
XP_001706344.1 XP_001706386.1
XP_001706344.1 XP_001704914.1
XP_001706344.1 XP_001708380.1
XP_001706344.1 XP_001705934.1
XP_001706356.1 XP_001707169.1
XP_001706376.1 XP_001706095.1
XP_001706376.1 XP_001706258.1
XP_001706376.1 XP_001706386.1
XP_001706386.1 XP_001708867.1
XP_001706386.1 XP_001707823.1
XP_001706386.1 XP_001709183.1
XP_001706386.1 XP_001707116.1
XP_001706386.1 XP_001707501.1
XP_001706386.1 XP_001709323.1
XP_001706386.1 XP_001708931.1
XP_001706386.1 XP_001708762.1
XP_001706386.1 XP_001705934.1
XP_001706386.1 XP_001708251.1
XP_001706386.1 XP_001708076.1
XP_001706386.1 XP_001708649.1
XP_001706386.1 XP_001704317.1
XP_001706386.1 XP_001708583.1
XP_001706386.1 XP_001706950.1
XP_001706386.1 XP_001706115.1
XP_001706386.1 XP_001706258.1
XP_001706386.1 XP_001709578.1
XP_001706386.1 XP_001704463.1
XP_001706386.1 XP_001708454.1
XP_001706386.1 XP_001706095.1
XP_001706386.1 XP_001704752.1
XP_001706386.1 XP_001704822.1
XP_001706386.1 XP_001709101.1
XP_001706386.1 XP_001710009.1
XP_001706386.1 XP_001709307.1
XP_001706386.1 XP_001706344.1
XP_001706386.1 XP_001707984.1
XP_001706386.1 XP_001708426.1
XP_001706386.1 XP_001707891.1
XP_001706386.1 XP_001706598.1
XP_001706386.1 XP_001708380.1
XP_001706386.1 XP_001704453.1
XP_001706386.1 XP_001705915.1
XP_001706386.1 XP_001705197.1
XP_001706386.1 XP_001704218.1
XP_001706386.1 XP_001704225.1
XP_001706386.1 XP_001706376.1
XP_001706386.1 XP_001707087.1
XP_001706387.1 XP_001705824.1
XP_001706387.1 XP_001709442.1
XP_001706400.1 XP_001709507.1
XP_001706409.1 XP_001704132.1
XP_001706409.1 XP_001706258.1
XP_001706409.1 XP_001704914.1
XP_001706409.1 XP_001706095.1
XP_001706409.1 XP_001705934.1
XP_001706409.1 XP_001706344.1
XP_001706409.1 XP_001708575.1
XP_001706409.1 XP_001708380.1
XP_001706512.1 XP_001707270.1
XP_001706516.1 XP_001707951.1
XP_001706526.1 XP_001709477.1
XP_001706526.1 XP_001706198.1
XP_001706526.1 XP_001706705.1
XP_001706577.1 XP_001706107.1
XP_001706586.1 XP_001708088.1
XP_001706597.1 XP_001705977.1
XP_001706597.1 XP_001708370.1
XP_001706597.1 XP_001706726.1
XP_001706598.1 XP_001704463.1
XP_001706598.1 XP_001706095.1
XP_001706598.1 XP_001706258.1
XP_001706598.1 XP_001704752.1
XP_001706598.1 XP_001707891.1
XP_001706598.1 XP_001709307.1
XP_001706598.1 XP_001706386.1
XP_001706598.1 XP_001704225.1
XP_001706598.1 XP_001707823.1
XP_001706604.1 XP_001705084.1
XP_001706604.1 XP_001707645.1
XP_001706604.1 XP_001709100.1
XP_001706604.1 XP_001708866.1
XP_001706604.1 XP_001707693.1
XP_001706604.1 XP_001708422.1
XP_001706604.1 XP_001704098.1
XP_001706604.1 XP_001705580.1
XP_001706620.1 XP_001704237.1
XP_001706620.1 XP_001706850.1
XP_001706620.1 XP_001709984.1
XP_001706620.1 XP_001707704.1
XP_001706620.1 XP_001704403.1
XP_001706660.1 XP_001709198.1
XP_001706660.1 XP_001710017.1
XP_001706660.1 XP_001708644.1
XP_001706660.1 XP_001707169.1
XP_001706705.1 XP_001708461.1
XP_001706705.1 XP_001706526.1
XP_001706710.1 XP_001705549.1
XP_001706710.1 XP_001710002.1
