rrnAC0001 rrnAC0883
rrnAC0002 rrnAC3497
rrnAC0002 rrnAC0004
rrnAC0002 rrnAC0929
rrnAC0002 rrnAC1268
rrnAC0002 rrnAC2815
rrnAC0002 rrnAC1267
rrnAC0002 rrnAC2631
rrnAC0002 rrnB0092
rrnAC0002 rrnB0242
rrnAC0002 rrnAC0650
rrnAC0002 rrnB0240
rrnAC0002 rrnAC1973
rrnAC0002 rrnAC0903
rrnAC0002 rrnAC0329
rrnAC0002 rrnB0246
rrnAC0002 rrnAC2473
rrnAC0002 rrnAC3228
rrnAC0002 rrnB0263
rrnAC0002 rrnAC0201
rrnAC0002 rrnB0198
rrnAC0002 rrnAC1983
rrnAC0002 rrnB0265
rrnAC0002 rrnAC1341
rrnAC0002 rrnB0095
rrnAC0002 rrnAC0635
rrnAC0002 rrnB0264
rrnAC0002 rrnAC0896
rrnAC0002 rrnAC2511
rrnAC0002 rrnAC3036
rrnAC0002 rrnAC0472
rrnAC0002 rrnAC0474
rrnAC0002 rrnAC0718
rrnAC0002 rrnB0309
rrnAC0002 rrnAC2955
rrnAC0002 rrnAC3230
rrnAC0002 rrnB0217
rrnAC0002 rrnAC2672
rrnAC0002 rrnAC0719
rrnAC0002 rrnAC0690
rrnAC0004 rrnB0264
rrnAC0004 rrnAC0690
rrnAC0004 rrnAC0002
rrnAC0004 rrnAC0929
rrnAC0004 rrnAC1268
rrnAC0004 rrnAC1267
rrnAC0004 rrnAC1973
rrnAC0004 rrnAC0903
rrnAC0004 rrnB0246
rrnAC0004 rrnB0263
rrnAC0004 rrnB0265
rrnAC0004 rrnAC3228
rrnAC0004 rrnB0095
rrnAC0004 rrnAC2631
rrnAC0004 rrnAC0635
rrnAC0004 rrnAC3036
rrnAC0004 rrnAC3230
rrnAC0004 rrnB0217
rrnAC0004 rrnB0092
rrnAC0004 rrnAC0650
rrnAC0004 rrnAC2473
rrnAC0004 rrnAC0201
rrnAC0004 rrnAC1983
rrnAC0004 rrnAC1341
rrnAC0012 rrnAC1973
rrnAC0012 rrnB0246
rrnAC0012 rrnB0092
rrnAC0012 rrnB0095
rrnAC0012 rrnAC3036
rrnAC0012 rrnAC2631
rrnAC0012 rrnAC2473
rrnAC0012 rrnAC0201
rrnAC0023 rrnAC1356
rrnAC0023 rrnAC1774
rrnAC0023 rrnAC1642
rrnAC0023 rrnAC1355
rrnAC0023 rrnAC3442
rrnAC0028 rrnAC1332
rrnAC0028 rrnAC1965
rrnAC0028 rrnB0219
rrnAC0028 rrnAC1097
rrnAC0028 rrnAC1333
rrnAC0028 rrnAC2681
rrnAC0028 rrnAC2706
rrnAC0028 rrnAC0141
rrnAC0028 rrnAC1092
rrnAC0028 rrnAC1434
rrnAC0028 rrnB0206
rrnAC0028 rrnAC1093
rrnAC0028 rrnAC3272
rrnAC0028 rrnAC1754
rrnAC0028 rrnAC1091
rrnAC0028 rrnAC2511
rrnAC0028 rrnAC3495
rrnAC0029 rrnAC0031
rrnAC0029 rrnB0315
rrnAC0029 rrnAC0915
rrnAC0029 rrnB0106
rrnAC0029 rrnAC2352
rrnAC0029 rrnAC3194
rrnAC0029 rrnAC0030
rrnAC0029 rrnAC0920
rrnAC0030 rrnAC0915
rrnAC0030 rrnB0315
rrnAC0030 rrnAC0029
rrnAC0030 rrnAC0031
rrnAC0030 rrnAC2352
rrnAC0030 rrnB0106
rrnAC0030 rrnAC3194
rrnAC0030 rrnAC0920
rrnAC0031 rrnAC0029
rrnAC0031 rrnAC2347
rrnAC0031 rrnAC0915
rrnAC0031 rrnAC2346
rrnAC0031 rrnAC0030
rrnAC0031 rrnAC2349
rrnAC0038 rrnAC2941
rrnAC0038 rrnAC0453
rrnAC0038 rrnAC0227
rrnAC0038 rrnAC0383
rrnAC0038 rrnAC1999
rrnAC0051 rrnAC2436
rrnAC0051 rrnAC3282
rrnAC0051 rrnAC3279
rrnAC0051 rrnAC3278
rrnAC0052 rrnAC0448
rrnAC0052 rrnAC3434
rrnAC0062 rrnAC1314
rrnAC0062 rrnAC0106
rrnAC0062 rrnAC1187
rrnAC0062 rrnAC1776
rrnAC0062 rrnAC1232
rrnAC0062 rrnAC0546
rrnAC0062 rrnAC3471
rrnAC0064 rrnAC1590
rrnAC0064 rrnAC1595
rrnAC0064 rrnAC3113
rrnAC0064 rrnAC3112
rrnAC0064 rrnAC2357
rrnAC0064 rrnAC1604
rrnAC0064 rrnAC0104
rrnAC0064 rrnAC1591
rrnAC0064 rrnAC1606
rrnAC0064 rrnAC1610
rrnAC0064 rrnAC0260
rrnAC0064 rrnAC1602
rrnAC0064 rrnAC0065
rrnAC0064 rrnAC2065
rrnAC0064 rrnAC1594
rrnAC0064 rrnAC0103
rrnAC0064 rrnAC1608
rrnAC0064 rrnAC1601
rrnAC0064 rrnAC1596
