VIT_00s0125g00170.t01 VIT_07s0104g01610.t01
VIT_00s0125g00280.t01 VIT_04s0023g00410.t01
VIT_00s0144g00210.t01 VIT_16s0022g00030.t01
VIT_00s0144g00210.t01 VIT_15s0021g02610.t01
VIT_00s0153g00050.t01 VIT_05s0102g00120.t01
VIT_00s0153g00050.t01 VIT_11s0016g02830.t01
VIT_00s0153g00050.t01 VIT_14s0030g00030.t01
VIT_00s0153g00050.t01 VIT_02s0025g03590.t01
VIT_00s0153g00050.t01 VIT_05s0051g00870.t01
VIT_00s0153g00050.t01 VIT_04s0008g06780.t01
VIT_00s0153g00050.t01 VIT_07s0104g00320.t01
VIT_00s0153g00050.t01 VIT_07s0141g00390.t01
VIT_00s0153g00050.t01 VIT_02s0025g03600.t01
VIT_00s0153g00070.t01 VIT_14s0030g00030.t01
VIT_00s0153g00070.t01 VIT_05s0102g00120.t01
VIT_00s0153g00070.t01 VIT_02s0025g03590.t01
VIT_00s0153g00070.t01 VIT_11s0016g02830.t01
VIT_00s0153g00070.t01 VIT_02s0025g03600.t01
VIT_00s0153g00070.t01 VIT_07s0141g00390.t01
VIT_00s0153g00070.t01 VIT_04s0008g06780.t01
VIT_00s0153g00070.t01 VIT_07s0104g00320.t01
VIT_00s0153g00070.t01 VIT_05s0051g00870.t01
VIT_00s0174g00190.t01 VIT_05s0094g00870.t01
VIT_00s0174g00270.t01 VIT_01s0010g02020.t01
VIT_00s0174g00270.t01 VIT_10s0042g00080.t01
VIT_00s0174g00270.t01 VIT_00s0226g00030.t01
VIT_00s0174g00270.t01 VIT_14s0068g01920.t01
VIT_00s0174g00270.t01 VIT_06s0004g01240.t01
VIT_00s0174g00270.t01 VIT_12s0059g02410.t01
VIT_00s0174g00270.t01 VIT_07s0005g02150.t01
VIT_00s0174g00270.t01 VIT_19s0085g01040.t01
VIT_00s0174g00270.t01 VIT_12s0028g01830.t01
VIT_00s0174g00270.t01 VIT_01s0010g02000.t01
VIT_00s0174g00270.t01 VIT_07s0104g01100.t01
VIT_00s0174g00270.t01 VIT_06s0004g01180.t01
VIT_00s0174g00270.t01 VIT_06s0080g00690.t01
VIT_00s0174g00270.t01 VIT_14s0066g01850.t01
VIT_00s0174g00270.t01 VIT_01s0010g01980.t01
VIT_00s0174g00270.t01 VIT_05s0077g00720.t01
VIT_00s0174g00270.t01 VIT_18s0001g15390.t01
VIT_00s0174g00270.t01 VIT_02s0012g00540.t01
VIT_00s0174g00270.t01 VIT_01s0010g01090.t01
VIT_00s0174g00270.t01 VIT_18s0001g06840.t01
VIT_00s0174g00270.t01 VIT_15s0048g02460.t01
VIT_00s0174g00270.t01 VIT_01s0010g01950.t01
VIT_00s0174g00270.t01 VIT_06s0004g01190.t01
VIT_00s0174g00270.t01 VIT_03s0038g00500.t01
VIT_00s0174g00270.t01 VIT_04s0008g07040.t01
VIT_00s0174g00270.t01 VIT_01s0010g00390.t01
VIT_00s0174g00270.t01 VIT_15s0048g02450.t01
VIT_00s0174g00270.t01 VIT_08s0007g06650.t01
VIT_00s0174g00270.t01 VIT_14s0068g01910.t01
VIT_00s0174g00270.t01 VIT_08s0058g00990.t01
VIT_00s0174g00270.t01 VIT_01s0010g02010.t01
VIT_00s0174g00270.t01 VIT_04s0023g02900.t01
VIT_00s0174g00270.t01 VIT_16s0022g02470.t01
VIT_00s0174g00270.t01 VIT_00s0225g00170.t01
VIT_00s0174g00270.t01 VIT_18s0001g06890.t01
VIT_00s0174g00270.t01 VIT_08s0058g00980.t01
VIT_00s0174g00270.t01 VIT_16s0115g00360.t01
VIT_00s0174g00270.t01 VIT_04s0023g01290.t01
VIT_00s0174g00270.t01 VIT_00s0510g00030.t01
VIT_00s0174g00270.t01 VIT_18s0001g13110.t01
VIT_00s0174g00270.t01 VIT_08s0058g00970.t01
VIT_00s0174g00270.t01 VIT_16s0022g01970.t01
VIT_00s0174g00270.t01 VIT_16s0100g00090.t01
VIT_00s0174g00270.t01 VIT_06s0004g07740.t01
VIT_00s0174g00270.t01 VIT_12s0055g00810.t01
VIT_00s0174g00270.t01 VIT_05s0077g00880.t01
VIT_00s0174g00270.t01 VIT_10s0003g00650.t01
VIT_00s0174g00270.t01 VIT_17s0000g07750.t01
VIT_00s0174g00270.t01 VIT_01s0010g01960.t01
VIT_00s0174g00270.t01 VIT_03s0038g00550.t01
VIT_00s0174g00270.t01 VIT_04s0023g02570.t01
VIT_00s0174g00270.t01 VIT_07s0191g00050.t01
VIT_00s0174g00270.t01 VIT_12s0055g01070.t01
VIT_00s0174g00270.t01 VIT_05s0020g02120.t01
VIT_00s0174g00270.t01 VIT_01s0010g00960.t01
VIT_00s0174g00270.t01 VIT_02s0025g02920.t01
VIT_00s0174g00270.t01 VIT_15s0048g02490.t01
VIT_00s0174g00270.t01 VIT_00s0567g00020.t01
VIT_00s0174g00270.t01 VIT_19s0135g00030.t01
VIT_00s0174g00270.t01 VIT_12s0055g00980.t01
VIT_00s0174g00270.t01 VIT_11s0016g05280.t01
VIT_00s0174g00270.t01 VIT_07s0129g00360.t01
VIT_00s0174g00270.t01 VIT_09s0070g00240.t01
VIT_00s0174g00270.t01 VIT_16s0098g00820.t01
VIT_00s0174g00270.t01 VIT_18s0072g00920.t01
VIT_00s0174g00270.t01 VIT_10s0003g04160.t01
VIT_00s0174g00270.t01 VIT_12s0059g02420.t01
VIT_00s0174g00270.t01 VIT_04s0023g01240.t01
VIT_00s0174g00270.t01 VIT_03s0063g01040.t01
VIT_00s0174g00270.t01 VIT_08s0040g02200.t01
VIT_00s0174g00270.t01 VIT_18s0072g00160.t01
VIT_00s0174g00270.t01 VIT_18s0001g06850.t01
VIT_00s0174g00270.t01 VIT_00s1677g00010.t01
VIT_00s0174g00270.t01 VIT_05s0077g00050.t01
VIT_00s0174g00270.t01 VIT_13s0067g02360.t01
VIT_00s0174g00270.t01 VIT_10s0116g00340.t01
VIT_00s0174g00270.t01 VIT_01s0010g01970.t01
