ENSOGAP00000000087 ENSOGAP00000009855
ENSOGAP00000000178 ENSOGAP00000006705
ENSOGAP00000000674 ENSOGAP00000013260
ENSOGAP00000000674 ENSOGAP00000002130
ENSOGAP00000000886 ENSOGAP00000013260
ENSOGAP00000000990 ENSOGAP00000007910
ENSOGAP00000000990 ENSOGAP00000013227
ENSOGAP00000001167 ENSOGAP00000018119
ENSOGAP00000001167 ENSOGAP00000021289
ENSOGAP00000001167 ENSOGAP00000006092
ENSOGAP00000001167 ENSOGAP00000006498
ENSOGAP00000001167 ENSOGAP00000016808
ENSOGAP00000001167 ENSOGAP00000007322
ENSOGAP00000001167 ENSOGAP00000004013
ENSOGAP00000001167 ENSOGAP00000002751
ENSOGAP00000001167 ENSOGAP00000018737
ENSOGAP00000001167 ENSOGAP00000011723
ENSOGAP00000001167 ENSOGAP00000004131
ENSOGAP00000001167 ENSOGAP00000014549
ENSOGAP00000001572 ENSOGAP00000013227
ENSOGAP00000001572 ENSOGAP00000007910
ENSOGAP00000001752 ENSOGAP00000004744
ENSOGAP00000001933 ENSOGAP00000013227
ENSOGAP00000001933 ENSOGAP00000021585
ENSOGAP00000001933 ENSOGAP00000014694
ENSOGAP00000001933 ENSOGAP00000004614
ENSOGAP00000001933 ENSOGAP00000010635
ENSOGAP00000001933 ENSOGAP00000007910
ENSOGAP00000001933 ENSOGAP00000008283
ENSOGAP00000001933 ENSOGAP00000013120
ENSOGAP00000001945 ENSOGAP00000013227
ENSOGAP00000001945 ENSOGAP00000007910
ENSOGAP00000001945 ENSOGAP00000009457
ENSOGAP00000001945 ENSOGAP00000010172
ENSOGAP00000002130 ENSOGAP00000000674
ENSOGAP00000002563 ENSOGAP00000009823
ENSOGAP00000002563 ENSOGAP00000020555
ENSOGAP00000002661 ENSOGAP00000003202
ENSOGAP00000002669 ENSOGAP00000012340
ENSOGAP00000002751 ENSOGAP00000001167
ENSOGAP00000002751 ENSOGAP00000020613
ENSOGAP00000002751 ENSOGAP00000004013
ENSOGAP00000002751 ENSOGAP00000014549
ENSOGAP00000002751 ENSOGAP00000011723
ENSOGAP00000002751 ENSOGAP00000018119
ENSOGAP00000002751 ENSOGAP00000017269
ENSOGAP00000002751 ENSOGAP00000006092
ENSOGAP00000002751 ENSOGAP00000018737
ENSOGAP00000002751 ENSOGAP00000021289
ENSOGAP00000002751 ENSOGAP00000022236
ENSOGAP00000002751 ENSOGAP00000004131
ENSOGAP00000002751 ENSOGAP00000016808
ENSOGAP00000002751 ENSOGAP00000015759
ENSOGAP00000002751 ENSOGAP00000018926
ENSOGAP00000002751 ENSOGAP00000020445
ENSOGAP00000002751 ENSOGAP00000006498
ENSOGAP00000002751 ENSOGAP00000013439
ENSOGAP00000002751 ENSOGAP00000009024
ENSOGAP00000002751 ENSOGAP00000021478
ENSOGAP00000002751 ENSOGAP00000007322
ENSOGAP00000002751 ENSOGAP00000018421
ENSOGAP00000002751 ENSOGAP00000016981
ENSOGAP00000003032 ENSOGAP00000019321
ENSOGAP00000003049 ENSOGAP00000018129
ENSOGAP00000003049 ENSOGAP00000019293
ENSOGAP00000003049 ENSOGAP00000007169
ENSOGAP00000003049 ENSOGAP00000020010
ENSOGAP00000003202 ENSOGAP00000002661
ENSOGAP00000003919 ENSOGAP00000013798
ENSOGAP00000003959 ENSOGAP00000019738
ENSOGAP00000004013 ENSOGAP00000020445
ENSOGAP00000004013 ENSOGAP00000014128
ENSOGAP00000004013 ENSOGAP00000009024
ENSOGAP00000004013 ENSOGAP00000016981
ENSOGAP00000004013 ENSOGAP00000013439
ENSOGAP00000004013 ENSOGAP00000020613
ENSOGAP00000004013 ENSOGAP00000021289
ENSOGAP00000004013 ENSOGAP00000017269
ENSOGAP00000004013 ENSOGAP00000014549
ENSOGAP00000004013 ENSOGAP00000018119
ENSOGAP00000004013 ENSOGAP00000006092
ENSOGAP00000004013 ENSOGAP00000018421
ENSOGAP00000004013 ENSOGAP00000016808
ENSOGAP00000004013 ENSOGAP00000020436
ENSOGAP00000004013 ENSOGAP00000015759
ENSOGAP00000004013 ENSOGAP00000018926
ENSOGAP00000004013 ENSOGAP00000006498
ENSOGAP00000004013 ENSOGAP00000021478
ENSOGAP00000004013 ENSOGAP00000007322
ENSOGAP00000004013 ENSOGAP00000001167
ENSOGAP00000004013 ENSOGAP00000002751
ENSOGAP00000004013 ENSOGAP00000018737
ENSOGAP00000004013 ENSOGAP00000011723
ENSOGAP00000004013 ENSOGAP00000022236
ENSOGAP00000004013 ENSOGAP00000004131
ENSOGAP00000004013 ENSOGAP00000019569
ENSOGAP00000004119 ENSOGAP00000013227
ENSOGAP00000004119 ENSOGAP00000017428
ENSOGAP00000004119 ENSOGAP00000009151
ENSOGAP00000004119 ENSOGAP00000007910
ENSOGAP00000004131 ENSOGAP00000020436
ENSOGAP00000004131 ENSOGAP00000006498
ENSOGAP00000004131 ENSOGAP00000007322
ENSOGAP00000004131 ENSOGAP00000001167
ENSOGAP00000004131 ENSOGAP00000004013
ENSOGAP00000004131 ENSOGAP00000002751
ENSOGAP00000004131 ENSOGAP00000018737
ENSOGAP00000004131 ENSOGAP00000011723
ENSOGAP00000004131 ENSOGAP00000019569
ENSOGAP00000004131 ENSOGAP00000014128
ENSOGAP00000004131 ENSOGAP00000014549
ENSOGAP00000004131 ENSOGAP00000018119
ENSOGAP00000004131 ENSOGAP00000006092
ENSOGAP00000004131 ENSOGAP00000021289
ENSOGAP00000004131 ENSOGAP00000016808
ENSOGAP00000004267 ENSOGAP00000005871
ENSOGAP00000004405 ENSOGAP00000009518
ENSOGAP00000004405 ENSOGAP00000015044
ENSOGAP00000004405 ENSOGAP00000008942
ENSOGAP00000004405 ENSOGAP00000007607
ENSOGAP00000004405 ENSOGAP00000012152
ENSOGAP00000004614 ENSOGAP00000013120
ENSOGAP00000004614 ENSOGAP00000013227
ENSOGAP00000004614 ENSOGAP00000021585
ENSOGAP00000004614 ENSOGAP00000007910
ENSOGAP00000004614 ENSOGAP00000008283
ENSOGAP00000004614 ENSOGAP00000014694
ENSOGAP00000004614 ENSOGAP00000001933
ENSOGAP00000004614 ENSOGAP00000010635
ENSOGAP00000004744 ENSOGAP00000016329
ENSOGAP00000004744 ENSOGAP00000001752
ENSOGAP00000004744 ENSOGAP00000008889
ENSOGAP00000004853 ENSOGAP00000009125
ENSOGAP00000005095 ENSOGAP00000009823
ENSOGAP00000005129 ENSOGAP00000005800
ENSOGAP00000005144 ENSOGAP00000022428
ENSOGAP00000005144 ENSOGAP00000022483
ENSOGAP00000005212 ENSOGAP00000014222
ENSOGAP00000005339 ENSOGAP00000007498
ENSOGAP00000005513 ENSOGAP00000014332
ENSOGAP00000005558 ENSOGAP00000009949
ENSOGAP00000005587 ENSOGAP00000018324
ENSOGAP00000005587 ENSOGAP00000018129
ENSOGAP00000005587 ENSOGAP00000016079
ENSOGAP00000005587 ENSOGAP00000020010
ENSOGAP00000005587 ENSOGAP00000019622
ENSOGAP00000005587 ENSOGAP00000007169
ENSOGAP00000005588 ENSOGAP00000012717
ENSOGAP00000005610 ENSOGAP00000011300
ENSOGAP00000005703 ENSOGAP00000016270
ENSOGAP00000005800 ENSOGAP00000005129
ENSOGAP00000005871 ENSOGAP00000004267
ENSOGAP00000006092 ENSOGAP00000020445
ENSOGAP00000006092 ENSOGAP00000014128
ENSOGAP00000006092 ENSOGAP00000009024
ENSOGAP00000006092 ENSOGAP00000016981
ENSOGAP00000006092 ENSOGAP00000002751
ENSOGAP00000006092 ENSOGAP00000017269
ENSOGAP00000006092 ENSOGAP00000018737
ENSOGAP00000006092 ENSOGAP00000011723
ENSOGAP00000006092 ENSOGAP00000022236
ENSOGAP00000006092 ENSOGAP00000004131
ENSOGAP00000006092 ENSOGAP00000019569
ENSOGAP00000006092 ENSOGAP00000013439
ENSOGAP00000006092 ENSOGAP00000020613
ENSOGAP00000006092 ENSOGAP00000014549
ENSOGAP00000006092 ENSOGAP00000018119
ENSOGAP00000006092 ENSOGAP00000021289
ENSOGAP00000006092 ENSOGAP00000016808
ENSOGAP00000006092 ENSOGAP00000020436
ENSOGAP00000006092 ENSOGAP00000015759
ENSOGAP00000006092 ENSOGAP00000018926
ENSOGAP00000006092 ENSOGAP00000006498
ENSOGAP00000006092 ENSOGAP00000021478
ENSOGAP00000006092 ENSOGAP00000018421
ENSOGAP00000006092 ENSOGAP00000007322
ENSOGAP00000006092 ENSOGAP00000001167
ENSOGAP00000006092 ENSOGAP00000004013
ENSOGAP00000006216 ENSOGAP00000007518
ENSOGAP00000006498 ENSOGAP00000004013
ENSOGAP00000006498 ENSOGAP00000014549
ENSOGAP00000006498 ENSOGAP00000002751
ENSOGAP00000006498 ENSOGAP00000018119
ENSOGAP00000006498 ENSOGAP00000006092
ENSOGAP00000006498 ENSOGAP00000018737
ENSOGAP00000006498 ENSOGAP00000021289
ENSOGAP00000006498 ENSOGAP00000011723
ENSOGAP00000006498 ENSOGAP00000004131
ENSOGAP00000006498 ENSOGAP00000016808
ENSOGAP00000006498 ENSOGAP00000020436
ENSOGAP00000006498 ENSOGAP00000019569
ENSOGAP00000006498 ENSOGAP00000014128
ENSOGAP00000006498 ENSOGAP00000009024
ENSOGAP00000006498 ENSOGAP00000007322
ENSOGAP00000006498 ENSOGAP00000001167
ENSOGAP00000006705 ENSOGAP00000011942
ENSOGAP00000006705 ENSOGAP00000000178
ENSOGAP00000006854 ENSOGAP00000015997
ENSOGAP00000006854 ENSOGAP00000014457
ENSOGAP00000006854 ENSOGAP00000020624
ENSOGAP00000006854 ENSOGAP00000020572
ENSOGAP00000006854 ENSOGAP00000020042
ENSOGAP00000006854 ENSOGAP00000022313
ENSOGAP00000007144 ENSOGAP00000012943
ENSOGAP00000007169 ENSOGAP00000005587
ENSOGAP00000007169 ENSOGAP00000018324
ENSOGAP00000007169 ENSOGAP00000017814
ENSOGAP00000007169 ENSOGAP00000003049
ENSOGAP00000007169 ENSOGAP00000018129
ENSOGAP00000007169 ENSOGAP00000016079
ENSOGAP00000007169 ENSOGAP00000020010
ENSOGAP00000007169 ENSOGAP00000019622
ENSOGAP00000007169 ENSOGAP00000019293
ENSOGAP00000007169 ENSOGAP00000017528
ENSOGAP00000007322 ENSOGAP00000014549
ENSOGAP00000007322 ENSOGAP00000018119
ENSOGAP00000007322 ENSOGAP00000006092
ENSOGAP00000007322 ENSOGAP00000021289
ENSOGAP00000007322 ENSOGAP00000006498
ENSOGAP00000007322 ENSOGAP00000001167
ENSOGAP00000007322 ENSOGAP00000004013
ENSOGAP00000007322 ENSOGAP00000002751
ENSOGAP00000007322 ENSOGAP00000011723
ENSOGAP00000007322 ENSOGAP00000004131
ENSOGAP00000007322 ENSOGAP00000016808
ENSOGAP00000007422 ENSOGAP00000014106
ENSOGAP00000007429 ENSOGAP00000015044
ENSOGAP00000007429 ENSOGAP00000008942
ENSOGAP00000007429 ENSOGAP00000007607
ENSOGAP00000007429 ENSOGAP00000012152
ENSOGAP00000007429 ENSOGAP00000009518
ENSOGAP00000007498 ENSOGAP00000005339
ENSOGAP00000007518 ENSOGAP00000006216
ENSOGAP00000007607 ENSOGAP00000009518
ENSOGAP00000007607 ENSOGAP00000015044
ENSOGAP00000007607 ENSOGAP00000008942
ENSOGAP00000007607 ENSOGAP00000012152
ENSOGAP00000007607 ENSOGAP00000021181
ENSOGAP00000007607 ENSOGAP00000004405
ENSOGAP00000007607 ENSOGAP00000007429
ENSOGAP00000007768 ENSOGAP00000017004
ENSOGAP00000007910 ENSOGAP00000013227
ENSOGAP00000007910 ENSOGAP00000013120
ENSOGAP00000007910 ENSOGAP00000010635
ENSOGAP00000007910 ENSOGAP00000014694
ENSOGAP00000007910 ENSOGAP00000004614
ENSOGAP00000007910 ENSOGAP00000001933
ENSOGAP00000007910 ENSOGAP00000009457
ENSOGAP00000007910 ENSOGAP00000001945
ENSOGAP00000007910 ENSOGAP00000009151
ENSOGAP00000007910 ENSOGAP00000000990
ENSOGAP00000007910 ENSOGAP00000008969
ENSOGAP00000007910 ENSOGAP00000004119
ENSOGAP00000007910 ENSOGAP00000008283
ENSOGAP00000007910 ENSOGAP00000011522
ENSOGAP00000007910 ENSOGAP00000001572
ENSOGAP00000007910 ENSOGAP00000010172
ENSOGAP00000007910 ENSOGAP00000008203
ENSOGAP00000007910 ENSOGAP00000016945
ENSOGAP00000007910 ENSOGAP00000017428
ENSOGAP00000007910 ENSOGAP00000021585
ENSOGAP00000008203 ENSOGAP00000013227
ENSOGAP00000008203 ENSOGAP00000007910
ENSOGAP00000008283 ENSOGAP00000013120
ENSOGAP00000008283 ENSOGAP00000013227
ENSOGAP00000008283 ENSOGAP00000021585
ENSOGAP00000008283 ENSOGAP00000004614
ENSOGAP00000008283 ENSOGAP00000014694
ENSOGAP00000008283 ENSOGAP00000001933
ENSOGAP00000008283 ENSOGAP00000010635
ENSOGAP00000008283 ENSOGAP00000007910
ENSOGAP00000008634 ENSOGAP00000014222
ENSOGAP00000008889 ENSOGAP00000016329
ENSOGAP00000008889 ENSOGAP00000004744
ENSOGAP00000008942 ENSOGAP00000007607
ENSOGAP00000008942 ENSOGAP00000012152
ENSOGAP00000008942 ENSOGAP00000004405
ENSOGAP00000008942 ENSOGAP00000009518
ENSOGAP00000008942 ENSOGAP00000015044
ENSOGAP00000008942 ENSOGAP00000007429
ENSOGAP00000008969 ENSOGAP00000007910
ENSOGAP00000008969 ENSOGAP00000013227
ENSOGAP00000009024 ENSOGAP00000017269
ENSOGAP00000009024 ENSOGAP00000011723
ENSOGAP00000009024 ENSOGAP00000022236
ENSOGAP00000009024 ENSOGAP00000020445
ENSOGAP00000009024 ENSOGAP00000016981
