SSE37_00075 SSE37_18842
SSE37_00085 SSE37_00095
SSE37_00085 SSE37_00090
SSE37_00090 SSE37_00085
SSE37_00090 SSE37_00095
SSE37_00095 SSE37_00085
SSE37_00095 SSE37_00090
SSE37_00100 SSE37_00105
SSE37_00105 SSE37_00100
SSE37_00115 SSE37_01000
SSE37_00115 SSE37_03700
SSE37_00115 SSE37_10148
SSE37_00115 SSE37_16168
SSE37_00115 SSE37_20092
SSE37_00115 SSE37_15753
SSE37_00180 SSE37_11949
SSE37_00180 SSE37_03700
SSE37_00180 SSE37_01000
SSE37_00180 SSE37_11144
SSE37_00180 SSE37_08548
SSE37_00180 SSE37_21745
SSE37_00180 SSE37_12681
SSE37_00180 SSE37_21680
SSE37_00210 SSE37_11949
SSE37_00210 SSE37_12681
SSE37_00210 SSE37_01000
SSE37_00210 SSE37_03700
SSE37_00210 SSE37_11144
SSE37_00210 SSE37_08548
SSE37_00210 SSE37_21745
SSE37_00210 SSE37_21680
SSE37_00245 SSE37_00250
SSE37_00250 SSE37_00245
SSE37_00290 SSE37_21745
SSE37_00290 SSE37_21680
SSE37_00290 SSE37_11949
SSE37_00290 SSE37_11144
SSE37_00290 SSE37_01000
SSE37_00290 SSE37_12681
SSE37_00290 SSE37_03700
SSE37_00290 SSE37_08548
SSE37_00335 SSE37_00340
SSE37_00340 SSE37_00335
SSE37_00360 SSE37_15753
SSE37_00390 SSE37_15748
SSE37_00460 SSE37_19897
SSE37_00460 SSE37_19902
SSE37_00550 SSE37_08768
SSE37_00555 SSE37_05607
SSE37_00555 SSE37_06919
SSE37_00555 SSE37_08768
SSE37_00575 SSE37_00585
SSE37_00585 SSE37_00575
SSE37_00650 SSE37_11499
SSE37_00650 SSE37_08703
SSE37_00650 SSE37_16803
SSE37_00650 SSE37_17905
SSE37_00650 SSE37_17910
SSE37_00650 SSE37_07283
SSE37_00780 SSE37_00785
SSE37_00780 SSE37_00790
SSE37_00785 SSE37_00780
SSE37_00785 SSE37_21172
SSE37_00785 SSE37_14018
SSE37_00785 SSE37_22225
SSE37_00785 SSE37_04395
SSE37_00785 SSE37_09533
SSE37_00785 SSE37_08108
SSE37_00790 SSE37_22165
SSE37_00790 SSE37_00780
SSE37_00905 SSE37_18105
SSE37_00910 SSE37_19782
SSE37_00910 SSE37_19787
SSE37_00950 SSE37_00955
SSE37_00955 SSE37_00950
SSE37_00965 SSE37_19787
SSE37_00965 SSE37_19782
SSE37_00985 SSE37_03700
SSE37_00985 SSE37_01000
SSE37_00985 SSE37_21680
SSE37_00985 SSE37_11144
SSE37_00985 SSE37_12681
SSE37_00985 SSE37_16168
SSE37_00985 SSE37_08548
SSE37_00985 SSE37_21745
SSE37_00985 SSE37_11949
SSE37_00990 SSE37_21680
SSE37_00990 SSE37_11949
SSE37_00990 SSE37_21745
SSE37_00990 SSE37_01000
SSE37_00990 SSE37_03700
SSE37_00990 SSE37_11144
SSE37_00990 SSE37_12681
SSE37_00990 SSE37_08548
SSE37_01000 SSE37_12134
SSE37_01000 SSE37_10123
SSE37_01000 SSE37_03640
SSE37_01000 SSE37_10148
SSE37_01000 SSE37_02685
SSE37_01000 SSE37_12329
SSE37_01000 SSE37_02695
SSE37_01000 SSE37_00210
SSE37_01000 SSE37_00990
SSE37_01000 SSE37_20227
SSE37_01000 SSE37_10113
SSE37_01000 SSE37_00115
SSE37_01000 SSE37_00290
SSE37_01000 SSE37_15753
SSE37_01000 SSE37_07408
SSE37_01000 SSE37_13523
SSE37_01000 SSE37_11134
SSE37_01000 SSE37_24394
SSE37_01000 SSE37_00985
SSE37_01000 SSE37_08553
SSE37_01000 SSE37_06072
SSE37_01000 SSE37_19952
SSE37_01000 SSE37_00180
SSE37_01020 SSE37_01025
SSE37_01025 SSE37_01020
SSE37_01050 SSE37_23944
SSE37_01065 SSE37_09123
SSE37_01065 SSE37_23454
SSE37_01065 SSE37_02785
SSE37_01065 SSE37_11194
SSE37_01095 SSE37_19822
SSE37_01330 SSE37_13261
SSE37_01335 SSE37_01345
SSE37_01335 SSE37_01350
SSE37_01345 SSE37_01335
SSE37_01345 SSE37_01350
SSE37_01350 SSE37_01345
SSE37_01350 SSE37_01335
SSE37_01380 SSE37_21172
SSE37_01380 SSE37_14018
SSE37_01380 SSE37_09533
SSE37_01380 SSE37_08108
SSE37_01380 SSE37_22225
SSE37_01380 SSE37_04395
SSE37_01445 SSE37_12551
SSE37_01855 SSE37_16188
SSE37_01855 SSE37_03210
SSE37_01900 SSE37_09108
SSE37_01900 SSE37_09103
SSE37_01900 SSE37_09083
SSE37_01985 SSE37_01990
SSE37_01990 SSE37_01985
SSE37_02170 SSE37_06804
SSE37_02170 SSE37_06814
SSE37_02170 SSE37_04445
SSE37_02175 SSE37_02180
SSE37_02180 SSE37_02175
SSE37_02225 SSE37_02240
SSE37_02240 SSE37_02225
SSE37_02420 SSE37_02750
SSE37_02500 SSE37_04960
SSE37_02585 SSE37_02595
SSE37_02595 SSE37_02585
SSE37_02680 SSE37_18567
SSE37_02680 SSE37_16168
SSE37_02685 SSE37_21745
SSE37_02685 SSE37_11949
SSE37_02685 SSE37_03700
SSE37_02685 SSE37_01000
SSE37_02685 SSE37_21680
SSE37_02685 SSE37_11144
SSE37_02685 SSE37_08548
SSE37_02685 SSE37_12681
SSE37_02695 SSE37_12681
SSE37_02695 SSE37_11949
SSE37_02695 SSE37_01000
SSE37_02695 SSE37_03700
SSE37_02695 SSE37_11144
SSE37_02695 SSE37_08548
SSE37_02695 SSE37_21745
SSE37_02695 SSE37_21680
SSE37_02745 SSE37_02750
SSE37_02750 SSE37_02745
SSE37_02750 SSE37_16518
SSE37_02750 SSE37_02420
SSE37_02750 SSE37_16523
SSE37_02775 SSE37_13261
SSE37_02785 SSE37_11194
SSE37_02785 SSE37_09123
SSE37_02785 SSE37_23454
SSE37_02785 SSE37_01065
SSE37_02815 SSE37_12801
SSE37_02950 SSE37_08703
SSE37_02950 SSE37_15813
SSE37_02950 SSE37_11614
SSE37_02950 SSE37_09618
SSE37_02950 SSE37_16938
SSE37_03210 SSE37_01855
SSE37_03565 SSE37_10407
SSE37_03565 SSE37_17053
SSE37_03565 SSE37_03980
SSE37_03565 SSE37_13873
SSE37_03565 SSE37_10422
SSE37_03570 SSE37_14168
SSE37_03570 SSE37_12741
SSE37_03570 SSE37_06174
SSE37_03570 SSE37_06077
SSE37_03600 SSE37_21370
SSE37_03600 SSE37_20992
SSE37_03605 SSE37_05607
SSE37_03605 SSE37_08768
SSE37_03605 SSE37_06919
SSE37_03610 SSE37_08768
SSE37_03640 SSE37_01000
SSE37_03640 SSE37_03700
SSE37_03640 SSE37_03670
SSE37_03640 SSE37_03680
SSE37_03640 SSE37_11364
SSE37_03670 SSE37_03640
SSE37_03670 SSE37_03700
SSE37_03680 SSE37_03640
SSE37_03680 SSE37_03700
SSE37_03695 SSE37_03700
SSE37_03700 SSE37_20227
SSE37_03700 SSE37_02685
SSE37_03700 SSE37_24394
SSE37_03700 SSE37_11134
SSE37_03700 SSE37_03640
SSE37_03700 SSE37_00115
SSE37_03700 SSE37_02695
SSE37_03700 SSE37_10148
SSE37_03700 SSE37_12329
SSE37_03700 SSE37_00210
SSE37_03700 SSE37_03670
SSE37_03700 SSE37_00985
SSE37_03700 SSE37_03680
SSE37_03700 SSE37_08553
SSE37_03700 SSE37_06072
SSE37_03700 SSE37_00290
SSE37_03700 SSE37_13523
SSE37_03700 SSE37_00990
SSE37_03700 SSE37_03695
SSE37_03700 SSE37_10113
SSE37_03700 SSE37_07408
SSE37_03700 SSE37_15753
SSE37_03700 SSE37_00180
SSE37_03700 SSE37_19952
SSE37_03700 SSE37_10123
SSE37_03700 SSE37_12134
SSE37_03860 SSE37_19787
SSE37_03955 SSE37_14989
SSE37_03980 SSE37_14168
SSE37_03980 SSE37_03565
SSE37_03980 SSE37_06077
SSE37_03980 SSE37_12741
SSE37_04005 SSE37_11499
SSE37_04005 SSE37_16803
SSE37_04005 SSE37_17905
SSE37_04005 SSE37_07283
SSE37_04005 SSE37_08703
SSE37_04005 SSE37_17910
SSE37_04155 SSE37_14419
SSE37_04185 SSE37_04200
SSE37_04185 SSE37_04205
SSE37_04185 SSE37_04195
SSE37_04195 SSE37_04200
SSE37_04195 SSE37_04205
SSE37_04195 SSE37_04185
SSE37_04200 SSE37_04185
SSE37_04200 SSE37_04195
SSE37_04200 SSE37_04205
SSE37_04205 SSE37_04200
SSE37_04205 SSE37_04195
SSE37_04205 SSE37_04185
SSE37_04230 SSE37_07908
SSE37_04230 SSE37_25228
SSE37_04290 SSE37_23714
SSE37_04350 SSE37_09083
SSE37_04350 SSE37_09103
SSE37_04350 SSE37_09108
SSE37_04380 SSE37_04385
SSE37_04385 SSE37_24344
SSE37_04385 SSE37_24354
SSE37_04385 SSE37_04380
SSE37_04395 SSE37_00785
SSE37_04395 SSE37_14909
SSE37_04395 SSE37_01380
SSE37_04395 SSE37_23129
SSE37_04445 SSE37_22629
SSE37_04445 SSE37_02170
SSE37_04500 SSE37_21725
SSE37_04500 SSE37_08123
SSE37_04500 SSE37_15983
SSE37_04500 SSE37_06359
SSE37_04520 SSE37_05125
SSE37_04520 SSE37_20927
SSE37_04555 SSE37_23714
SSE37_04560 SSE37_05125
SSE37_04560 SSE37_20927
SSE37_04565 SSE37_11874
SSE37_04575 SSE37_23834
SSE37_04575 SSE37_11114
SSE37_04575 SSE37_12094
SSE37_04655 SSE37_21920
SSE37_04655 SSE37_05330
SSE37_04655 SSE37_07938
SSE37_04655 SSE37_08933
SSE37_04680 SSE37_17008
SSE37_04680 SSE37_19077
SSE37_04710 SSE37_08258
SSE37_04960 SSE37_14654
