PPSIR1_00070 PPSIR1_35292
PPSIR1_00200 PPSIR1_26368
PPSIR1_00200 PPSIR1_15620
PPSIR1_00330 PPSIR1_36884
PPSIR1_01257 PPSIR1_34787
PPSIR1_01257 PPSIR1_36252
PPSIR1_01257 PPSIR1_22476
PPSIR1_01257 PPSIR1_07048
PPSIR1_01257 PPSIR1_05198
PPSIR1_01257 PPSIR1_42019
PPSIR1_01257 PPSIR1_02231
PPSIR1_01257 PPSIR1_22496
PPSIR1_01262 PPSIR1_02948
PPSIR1_01337 PPSIR1_41164
PPSIR1_01337 PPSIR1_41159
PPSIR1_01337 PPSIR1_02668
PPSIR1_01789 PPSIR1_36252
PPSIR1_01814 PPSIR1_32764
PPSIR1_01814 PPSIR1_27738
PPSIR1_01814 PPSIR1_29720
PPSIR1_01814 PPSIR1_35247
PPSIR1_01814 PPSIR1_29730
PPSIR1_01814 PPSIR1_29725
PPSIR1_01814 PPSIR1_29735
PPSIR1_01849 PPSIR1_35122
PPSIR1_01849 PPSIR1_35137
PPSIR1_01939 PPSIR1_32904
PPSIR1_01944 PPSIR1_32904
PPSIR1_02231 PPSIR1_10425
PPSIR1_02231 PPSIR1_01257
PPSIR1_02231 PPSIR1_32018
PPSIR1_02231 PPSIR1_40515
PPSIR1_02231 PPSIR1_25004
PPSIR1_02231 PPSIR1_41584
PPSIR1_02231 PPSIR1_36057
PPSIR1_02231 PPSIR1_16605
PPSIR1_02231 PPSIR1_18367
PPSIR1_02231 PPSIR1_30405
PPSIR1_02231 PPSIR1_37644
PPSIR1_02231 PPSIR1_19784
PPSIR1_02231 PPSIR1_10415
PPSIR1_02231 PPSIR1_15355
PPSIR1_02231 PPSIR1_37229
PPSIR1_02311 PPSIR1_34947
PPSIR1_02316 PPSIR1_34947
PPSIR1_02411 PPSIR1_12348
PPSIR1_02421 PPSIR1_09890
PPSIR1_02668 PPSIR1_01337
PPSIR1_02668 PPSIR1_41159
PPSIR1_02668 PPSIR1_41164
PPSIR1_02748 PPSIR1_31573
PPSIR1_02758 PPSIR1_26388
PPSIR1_02758 PPSIR1_04833
PPSIR1_02948 PPSIR1_28173
PPSIR1_02948 PPSIR1_01262
PPSIR1_02948 PPSIR1_02953
PPSIR1_02953 PPSIR1_02948
PPSIR1_02953 PPSIR1_30953
PPSIR1_03043 PPSIR1_36884
PPSIR1_03043 PPSIR1_15620
PPSIR1_03073 PPSIR1_20479
PPSIR1_03073 PPSIR1_20474
PPSIR1_03073 PPSIR1_13105
PPSIR1_03208 PPSIR1_03753
PPSIR1_03208 PPSIR1_03768
PPSIR1_03338 PPSIR1_12608
PPSIR1_03443 PPSIR1_33891
PPSIR1_03703 PPSIR1_09980
PPSIR1_03728 PPSIR1_35002
PPSIR1_03728 PPSIR1_35822
PPSIR1_03728 PPSIR1_36402
PPSIR1_03728 PPSIR1_28373
PPSIR1_03753 PPSIR1_03208
PPSIR1_03753 PPSIR1_21789
PPSIR1_03768 PPSIR1_03208
PPSIR1_03768 PPSIR1_21789
PPSIR1_03943 PPSIR1_26141
PPSIR1_03948 PPSIR1_28088
PPSIR1_03948 PPSIR1_12473
PPSIR1_03948 PPSIR1_10075
PPSIR1_03948 PPSIR1_12493
PPSIR1_04503 PPSIR1_36959
PPSIR1_04503 PPSIR1_36969
PPSIR1_04628 PPSIR1_07867
PPSIR1_04683 PPSIR1_09980
PPSIR1_04833 PPSIR1_31603
PPSIR1_04833 PPSIR1_31673
PPSIR1_04833 PPSIR1_31608
PPSIR1_04833 PPSIR1_02758
PPSIR1_04833 PPSIR1_15205
PPSIR1_05003 PPSIR1_10210
PPSIR1_05003 PPSIR1_08936
PPSIR1_05003 PPSIR1_28088
PPSIR1_05003 PPSIR1_12348
PPSIR1_05003 PPSIR1_19494
PPSIR1_05008 PPSIR1_28088
PPSIR1_05008 PPSIR1_12348
PPSIR1_05008 PPSIR1_10210
PPSIR1_05008 PPSIR1_19494
PPSIR1_05008 PPSIR1_08936
PPSIR1_05198 PPSIR1_10425
PPSIR1_05198 PPSIR1_37229
PPSIR1_05198 PPSIR1_25004
PPSIR1_05198 PPSIR1_41584
PPSIR1_05198 PPSIR1_36057
PPSIR1_05198 PPSIR1_15355
PPSIR1_05198 PPSIR1_01257
PPSIR1_05198 PPSIR1_32018
PPSIR1_05198 PPSIR1_30405
PPSIR1_05198 PPSIR1_16605
