AciPR4_0004 AciPR4_1106
AciPR4_0007 AciPR4_0506
AciPR4_0007 AciPR4_1113
AciPR4_0011 AciPR4_3080
AciPR4_0011 AciPR4_1794
AciPR4_0011 AciPR4_0074
AciPR4_0011 AciPR4_1320
AciPR4_0011 AciPR4_0636
AciPR4_0011 AciPR4_2010
AciPR4_0011 AciPR4_0273
AciPR4_0011 AciPR4_2090
AciPR4_0011 AciPR4_3085
AciPR4_0011 AciPR4_3083
AciPR4_0011 AciPR4_2050
AciPR4_0011 AciPR4_4070
AciPR4_0011 AciPR4_2172
AciPR4_0011 AciPR4_3081
AciPR4_0011 AciPR4_3140
AciPR4_0011 AciPR4_0501
AciPR4_0011 AciPR4_3365
AciPR4_0011 AciPR4_1275
AciPR4_0017 AciPR4_0606
AciPR4_0026 AciPR4_3142
AciPR4_0033 AciPR4_3863
AciPR4_0033 AciPR4_0607
AciPR4_0033 AciPR4_1231
AciPR4_0033 AciPR4_1477
AciPR4_0039 AciPR4_3349
AciPR4_0039 AciPR4_1663
AciPR4_0039 AciPR4_1286
AciPR4_0039 AciPR4_0804
AciPR4_0039 AciPR4_1001
AciPR4_0039 AciPR4_3572
AciPR4_0039 AciPR4_0370
AciPR4_0040 AciPR4_3909
AciPR4_0040 AciPR4_0238
AciPR4_0041 AciPR4_0700
AciPR4_0041 AciPR4_0507
AciPR4_0041 AciPR4_3064
AciPR4_0041 AciPR4_1217
AciPR4_0041 AciPR4_0470
AciPR4_0041 AciPR4_1171
AciPR4_0041 AciPR4_3483
AciPR4_0041 AciPR4_3937
AciPR4_0053 AciPR4_0976
AciPR4_0053 AciPR4_1188
AciPR4_0053 AciPR4_0546
AciPR4_0053 AciPR4_2819
AciPR4_0053 AciPR4_0850
AciPR4_0069 AciPR4_4239
AciPR4_0073 AciPR4_0413
AciPR4_0073 AciPR4_0933
AciPR4_0073 AciPR4_3978
AciPR4_0073 AciPR4_0288
AciPR4_0073 AciPR4_2110
AciPR4_0074 AciPR4_0011
AciPR4_0074 AciPR4_0636
AciPR4_0074 AciPR4_3148
AciPR4_0074 AciPR4_3149
AciPR4_0079 AciPR4_1764
AciPR4_0079 AciPR4_0080
AciPR4_0079 AciPR4_2498
AciPR4_0079 AciPR4_0505
AciPR4_0080 AciPR4_0079
AciPR4_0080 AciPR4_2498
AciPR4_0080 AciPR4_0505
AciPR4_0091 AciPR4_3215
AciPR4_0105 AciPR4_1144
AciPR4_0105 AciPR4_0420
AciPR4_0105 AciPR4_0539
AciPR4_0105 AciPR4_1459
AciPR4_0105 AciPR4_0573
AciPR4_0105 AciPR4_2176
AciPR4_0106 AciPR4_1343
AciPR4_0106 AciPR4_3683
AciPR4_0106 AciPR4_1228
AciPR4_0106 AciPR4_1336
AciPR4_0130 AciPR4_0180
AciPR4_0130 AciPR4_1278
AciPR4_0130 AciPR4_0262
AciPR4_0130 AciPR4_0945
AciPR4_0130 AciPR4_1707
AciPR4_0130 AciPR4_4010
AciPR4_0130 AciPR4_2973
AciPR4_0130 AciPR4_3132
AciPR4_0132 AciPR4_3555
AciPR4_0132 AciPR4_0134
AciPR4_0132 AciPR4_3470
AciPR4_0132 AciPR4_0910
AciPR4_0132 AciPR4_3006
AciPR4_0134 AciPR4_3006
AciPR4_0134 AciPR4_0132
AciPR4_0147 AciPR4_0476
AciPR4_0147 AciPR4_1351
AciPR4_0147 AciPR4_1745
AciPR4_0147 AciPR4_0559
AciPR4_0147 AciPR4_3275
AciPR4_0147 AciPR4_1500
AciPR4_0147 AciPR4_0641
AciPR4_0147 AciPR4_0509
AciPR4_0147 AciPR4_0487
AciPR4_0147 AciPR4_1348
AciPR4_0147 AciPR4_0551
AciPR4_0147 AciPR4_0517
AciPR4_0147 AciPR4_1879
AciPR4_0147 AciPR4_2172
AciPR4_0147 AciPR4_1748
AciPR4_0147 AciPR4_1499
AciPR4_0147 AciPR4_2133
AciPR4_0147 AciPR4_4012
AciPR4_0161 AciPR4_1115
AciPR4_0176 AciPR4_3814
AciPR4_0176 AciPR4_3634
AciPR4_0176 AciPR4_0177
AciPR4_0177 AciPR4_3634
AciPR4_0177 AciPR4_0176
AciPR4_0177 AciPR4_3814
AciPR4_0180 AciPR4_0130
AciPR4_0180 AciPR4_1176
AciPR4_0180 AciPR4_3132
AciPR4_0180 AciPR4_0944
AciPR4_0180 AciPR4_1204
AciPR4_0180 AciPR4_0945
AciPR4_0180 AciPR4_1707
AciPR4_0183 AciPR4_0370
