COPEUT_00079 COPEUT_01038
COPEUT_00098 COPEUT_02306
COPEUT_00098 COPEUT_01867
COPEUT_00098 COPEUT_01869
COPEUT_00098 COPEUT_01283
COPEUT_00107 COPEUT_02689
COPEUT_00107 COPEUT_02691
COPEUT_00110 COPEUT_00111
COPEUT_00110 COPEUT_00113
COPEUT_00111 COPEUT_00110
COPEUT_00111 COPEUT_00113
COPEUT_00113 COPEUT_00110
COPEUT_00113 COPEUT_00111
COPEUT_00121 COPEUT_02178
COPEUT_00122 COPEUT_02178
COPEUT_00123 COPEUT_02178
COPEUT_00124 COPEUT_02178
COPEUT_00126 COPEUT_02178
COPEUT_00127 COPEUT_02178
COPEUT_00130 COPEUT_02244
COPEUT_00130 COPEUT_02245
COPEUT_00133 COPEUT_00200
COPEUT_00133 COPEUT_00186
COPEUT_00134 COPEUT_00200
COPEUT_00134 COPEUT_00186
COPEUT_00148 COPEUT_00149
COPEUT_00148 COPEUT_00758
COPEUT_00149 COPEUT_00148
COPEUT_00149 COPEUT_00758
COPEUT_00149 COPEUT_00196
COPEUT_00171 COPEUT_02239
COPEUT_00177 COPEUT_00224
COPEUT_00182 COPEUT_00936
COPEUT_00182 COPEUT_01516
COPEUT_00182 COPEUT_01451
COPEUT_00182 COPEUT_01041
COPEUT_00182 COPEUT_02027
COPEUT_00182 COPEUT_00801
COPEUT_00182 COPEUT_01829
COPEUT_00184 COPEUT_01028
COPEUT_00184 COPEUT_00602
COPEUT_00184 COPEUT_00590
COPEUT_00184 COPEUT_00621
COPEUT_00184 COPEUT_00431
COPEUT_00185 COPEUT_00200
COPEUT_00185 COPEUT_00186
COPEUT_00186 COPEUT_03017
COPEUT_00186 COPEUT_00134
COPEUT_00186 COPEUT_00185
COPEUT_00186 COPEUT_03015
COPEUT_00186 COPEUT_00133
COPEUT_00191 COPEUT_00858
COPEUT_00191 COPEUT_02788
COPEUT_00191 COPEUT_00192
COPEUT_00192 COPEUT_00858
COPEUT_00192 COPEUT_00191
COPEUT_00196 COPEUT_00758
COPEUT_00196 COPEUT_00149
COPEUT_00200 COPEUT_00134
COPEUT_00200 COPEUT_01539
COPEUT_00200 COPEUT_00133
COPEUT_00200 COPEUT_03017
COPEUT_00200 COPEUT_00185
COPEUT_00213 COPEUT_02309
COPEUT_00213 COPEUT_02669
COPEUT_00224 COPEUT_00177
COPEUT_00224 COPEUT_01084
COPEUT_00248 COPEUT_02093
COPEUT_00260 COPEUT_00261
COPEUT_00260 COPEUT_00263
COPEUT_00260 COPEUT_01003
COPEUT_00261 COPEUT_00260
COPEUT_00261 COPEUT_01414
COPEUT_00261 COPEUT_00262
COPEUT_00261 COPEUT_00352
COPEUT_00261 COPEUT_00351
COPEUT_00262 COPEUT_00261
COPEUT_00263 COPEUT_00260
COPEUT_00270 COPEUT_01040
COPEUT_00272 COPEUT_00273
COPEUT_00272 COPEUT_01549
COPEUT_00273 COPEUT_00272
COPEUT_00279 COPEUT_00280
COPEUT_00280 COPEUT_00279
COPEUT_00297 COPEUT_02689
COPEUT_00297 COPEUT_02393
COPEUT_00306 COPEUT_01590
COPEUT_00307 COPEUT_02910
