MRA_0001 MtubH3_010100016132
MRA_0002 MtubH3_010100016137
MRA_0005 MtubH3_010100016152
MRA_0006 MtubH3_010100016152
MRA_0006 MtubH3_010100016157
MRA_0009 MtubH3_010100016192
MRA_0013 MtubH3_010100008937
MRA_0016 MtubH3_010100008957
MRA_0017 MtubH3_010100008962
MRA_0020 MtubH3_010100008982
MRA_0022 MRA_3949
MRA_0022 MtubH3_010100016047
MRA_0022 MtubH3_010100008992
MRA_0036 MtubH3_010100021998
MRA_0043 MtubH3_010100022033
MRA_0044 MtubH3_010100022038
MRA_0048 MtubH3_010100022058
MRA_0049 MtubH3_010100022063
MRA_0057 MtubH3_010100022103
MRA_0060 MtubH3_010100022123
MRA_0064 MtubH3_010100022153
MRA_0087 MtubH3_010100015835
MRA_0087 MtubH3_010100022538
MRA_0087 MtubH3_010100022533
MRA_0089 MtubH3_010100013422
MRA_0089 MRA_1565
MRA_0089 MtubH3_010100010951
MRA_0089 MtubH3_010100003877
MRA_0089 MRA_1564
MRA_0089 MtubH3_010100008770
MRA_0089 MRA_0384
MRA_0089 MtubH3_010100010946
MRA_0089 MtubH3_010100008775
MRA_0102 MtubH3_010100009569
MRA_0103 MRA_3545
MRA_0103 MRA_3600
MRA_0103 MRA_0558
MRA_0103 MRA_0540
MRA_0103 MtubH3_010100015430
MRA_0103 MtubH3_010100023180
MRA_0103 MtubH3_010100005707
MRA_0103 MtubH3_010100008163
MRA_0103 MtubH3_010100019238
MRA_0103 MtubH3_010100020578
MRA_0103 MtubH3_010100015475
MRA_0103 MRA_0126
MRA_0103 MtubH3_010100023650
MRA_0103 MtubH3_010100019183
MRA_0103 MtubH3_010100006361
MRA_0103 MRA_3584
MRA_0103 MRA_0222
MRA_0103 MRA_3841
MRA_0103 MtubH3_010100014113
MRA_0103 MRA_2265
MRA_0103 MRA_1936
MRA_0103 MtubH3_010100011578
MRA_0103 MRA_2551
MRA_0103 MtubH3_010100010696
MRA_0103 MtubH3_010100006286
MRA_0103 MtubH3_010100008208
MRA_0103 MtubH3_010100014695
MRA_0103 MtubH3_010100014275
MRA_0103 MtubH3_010100013567
MRA_0103 MtubH3_010100014925
MRA_0103 MRA_3546
MRA_0103 MtubH3_010100004117
MRA_0103 MtubH3_010100018698
MRA_0103 MtubH3_010100008875
MRA_0103 MtubH3_010100019193
MRA_0103 MtubH3_010100016671
MRA_0106 MtubH3_010100009584
MRA_0112 MtubH3_010100009599
MRA_0123 MtubH3_010100004342
MRA_0126 MRA_0558
MRA_0126 MRA_0540
MRA_0126 MRA_3600
MRA_0126 MtubH3_010100015430
MRA_0126 MtubH3_010100023180
MRA_0126 MtubH3_010100015475
MRA_0126 MRA_0222
MRA_0126 MtubH3_010100006361
MRA_0126 MtubH3_010100023650
MRA_0126 MRA_3584
MRA_0126 MtubH3_010100014113
MRA_0126 MRA_2551
MRA_0126 MRA_1936
MRA_0126 MtubH3_010100006286
MRA_0126 MtubH3_010100008208
MRA_0126 MRA_3545
MRA_0126 MtubH3_010100014925
MRA_0126 MtubH3_010100013567
MRA_0126 MRA_3546
MRA_0126 MtubH3_010100016671
MRA_0126 MtubH3_010100019193
MRA_0126 MtubH3_010100005707
MRA_0126 MtubH3_010100019238
MRA_0126 MtubH3_010100008163
MRA_0126 MtubH3_010100020578
MRA_0126 MtubH3_010100019183
MRA_0126 MRA_3841
MRA_0126 MRA_2265
MRA_0126 MRA_0103
MRA_0126 MtubH3_010100011578
MRA_0126 MtubH3_010100010696
MRA_0126 MtubH3_010100014695
MRA_0126 MtubH3_010100014275
MRA_0126 MtubH3_010100004117
MRA_0126 MtubH3_010100018698
MRA_0126 MtubH3_010100008875
MRA_0133 MtubH3_010100020343
MRA_0134 MtubH3_010100020348
MRA_0136 MtubH3_010100020358
MRA_0137 MtubH3_010100020363
MRA_0144 MtubH3_010100020403
MRA_0161 MtubH3_010100020498
MRA_0197 MRA_3747
MRA_0197 MtubH3_010100007277
MRA_0197 MtubH3_010100015750
MRA_0210 MtubH3_010100012500
MRA_0211 MtubH3_010100012495
MRA_0219 MtubH3_010100012450
MRA_0222 MRA_0540
MRA_0222 MRA_0558
MRA_0222 MRA_3600
MRA_0222 MtubH3_010100023180
MRA_0222 MtubH3_010100015430
MRA_0222 MtubH3_010100015475
MRA_0222 MtubH3_010100023650
MRA_0222 MtubH3_010100006361
MRA_0222 MtubH3_010100013567
MRA_0222 MRA_3546
MRA_0222 MtubH3_010100008208
MRA_0222 MtubH3_010100006286
MRA_0222 MtubH3_010100019183
MRA_0222 MtubH3_010100014113
MRA_0222 MRA_2551
MRA_0222 MRA_1936
MRA_0222 MtubH3_010100008163
MRA_0222 MtubH3_010100019193
MRA_0222 MtubH3_010100016671
MRA_0222 MtubH3_010100005707
MRA_0222 MtubH3_010100019238
MRA_0222 MtubH3_010100020578
MRA_0222 MRA_0126
MRA_0222 MRA_2265
MRA_0222 MRA_3841
MRA_0222 MtubH3_010100011578
MRA_0222 MtubH3_010100010696
MRA_0222 MRA_0103
MRA_0222 MtubH3_010100014275
MRA_0222 MtubH3_010100014695
MRA_0222 MtubH3_010100018698
MRA_0222 MtubH3_010100008875
MRA_0224 MtubH3_010100012425
MRA_0230 MtubH3_010100012395
MRA_0231 MtubH3_010100012390
MRA_0238 MtubH3_010100012345
MRA_0239 MtubH3_010100015155
MRA_0239 MtubH3_010100009124
MRA_0239 MtubH3_010100005882
MRA_0239 MtubH3_010100020368
MRA_0239 MtubH3_010100015115
MRA_0239 MtubH3_010100004732
MRA_0239 MtubH3_010100001695
MRA_0239 MtubH3_010100001133
MRA_0239 MtubH3_010100020503
MRA_0239 MtubH3_010100005892
MRA_0239 MtubH3_010100015520
MRA_0239 MtubH3_010100006798
MRA_0239 MtubH3_010100022895
MRA_0239 MtubH3_010100020318
MRA_0239 MtubH3_010100003125
MRA_0239 MtubH3_010100013127
MRA_0239 MtubH3_010100006007
MRA_0239 MtubH3_010100014315
MRA_0239 MtubH3_010100013942
MRA_0239 MtubH3_010100013152
MRA_0239 MtubH3_010100013402
MRA_0239 MRA_3595
MRA_0239 MtubH3_010100014280
MRA_0239 MtubH3_010100020453
MRA_0239 MtubH3_010100021953
MRA_0239 MRA_3814
MRA_0239 MtubH3_010100023360
MRA_0239 MtubH3_010100004752
MRA_0239 MtubH3_010100012390
MRA_0239 MtubH3_010100014490
MRA_0239 MtubH3_010100002303
MRA_0239 MtubH3_010100015150
MRA_0239 MtubH3_010100023160
MRA_0239 MtubH3_010100013192
MRA_0239 MtubH3_010100006518
MRA_0239 MtubH3_010100012900
MRA_0239 MRA_2527
MRA_0239 MRA_3585
MRA_0239 MtubH3_010100006808
MRA_0239 MtubH3_010100019513
MRA_0239 MtubH3_010100012395
MRA_0239 MtubH3_010100001700
MRA_0239 MtubH3_010100001138
MRA_0239 MtubH3_010100006818
MRA_0239 MtubH3_010100006271
MRA_0239 MtubH3_010100020903
MRA_0239 MtubH3_010100012795
MRA_0239 MtubH3_010100008368
MRA_0239 MtubH3_010100012805
MRA_0239 MtubH3_010100023205
MRA_0239 MtubH3_010100020058
MRA_0239 MtubH3_010100004747
MRA_0239 MtubH3_010100006463
MRA_0241 MtubH3_010100012325
MRA_0250 MtubH3_010100013392
MRA_0251 MtubH3_010100013397
MRA_0262 MtubH3_010100013457
MRA_0269 MtubH3_010100019708
MRA_0269 MtubH3_010100011663
MRA_0269 MtubH3_010100019713
MRA_0269 MtubH3_010100013452
MRA_0269 MtubH3_010100013457
MRA_0269 MtubH3_010100019718
MRA_0269 MtubH3_010100011458
MRA_0269 MtubH3_010100019723
MRA_0269 MtubH3_010100008997
MRA_0270 MtubH3_010100013517
MRA_0273 MtubH3_010100013532
MRA_0274 MtubH3_010100023565
MRA_0274 MtubH3_010100011825
MRA_0274 MtubH3_010100012075
