CBFG_00012 CBFG_00478
CBFG_00016 CBFG_02637
CBFG_00016 CBFG_00915
CBFG_00016 CBFG_00914
CBFG_00016 CBFG_01514
CBFG_00081 CBFG_03644
CBFG_00084 CBFG_03975
CBFG_00084 CBFG_03978
CBFG_00084 CBFG_01917
CBFG_00084 CBFG_00773
CBFG_00084 CBFG_02990
CBFG_00084 CBFG_03035
CBFG_00084 CBFG_03550
CBFG_00084 CBFG_01582
CBFG_00084 CBFG_03044
CBFG_00084 CBFG_03141
CBFG_00084 CBFG_02212
CBFG_00084 CBFG_04722
CBFG_00084 CBFG_02084
CBFG_00084 CBFG_03875
CBFG_00084 CBFG_03042
CBFG_00084 CBFG_03314
CBFG_00084 CBFG_00273
CBFG_00084 CBFG_04760
CBFG_00096 CBFG_03876
CBFG_00096 CBFG_01177
CBFG_00128 CBFG_00129
CBFG_00129 CBFG_00128
CBFG_00215 CBFG_03823
CBFG_00247 CBFG_02363
CBFG_00247 CBFG_01767
CBFG_00261 CBFG_04187
CBFG_00261 CBFG_02355
CBFG_00273 CBFG_04153
CBFG_00273 CBFG_04549
CBFG_00273 CBFG_03039
CBFG_00273 CBFG_01388
CBFG_00273 CBFG_03194
CBFG_00273 CBFG_02643
CBFG_00273 CBFG_00084
CBFG_00273 CBFG_02211
CBFG_00273 CBFG_04724
CBFG_00273 CBFG_02642
CBFG_00277 CBFG_02227
CBFG_00277 CBFG_00972
CBFG_00277 CBFG_02225
CBFG_00300 CBFG_02260
CBFG_00300 CBFG_06004
CBFG_00356 CBFG_01917
CBFG_00356 CBFG_02036
CBFG_00356 CBFG_03141
CBFG_00356 CBFG_00773
CBFG_00356 CBFG_03550
CBFG_00356 CBFG_03044
CBFG_00356 CBFG_02785
CBFG_00362 CBFG_02110
CBFG_00362 CBFG_05054
CBFG_00404 CBFG_02518
CBFG_00404 CBFG_05882
CBFG_00404 CBFG_02594
CBFG_00404 CBFG_01375
CBFG_00404 CBFG_02132
CBFG_00404 CBFG_00405
CBFG_00404 CBFG_04389
CBFG_00404 CBFG_01859
CBFG_00404 CBFG_00666
CBFG_00404 CBFG_01988
CBFG_00405 CBFG_04471
CBFG_00405 CBFG_01859
CBFG_00405 CBFG_00404
CBFG_00405 CBFG_00520
CBFG_00417 CBFG_05586
CBFG_00418 CBFG_02174
CBFG_00422 CBFG_00515
CBFG_00433 CBFG_04912
CBFG_00433 CBFG_05788
CBFG_00435 CBFG_01339
CBFG_00435 CBFG_05788
CBFG_00441 CBFG_04413
CBFG_00441 CBFG_03604
CBFG_00470 CBFG_06116
CBFG_00470 CBFG_01445
CBFG_00470 CBFG_02740
CBFG_00470 CBFG_02746
CBFG_00470 CBFG_02739
CBFG_00472 CBFG_04159
CBFG_00472 CBFG_00655
CBFG_00472 CBFG_06116
CBFG_00472 CBFG_04727
CBFG_00472 CBFG_00667
CBFG_00478 CBFG_00012
CBFG_00479 CBFG_03174
CBFG_00479 CBFG_02843
CBFG_00479 CBFG_02844
CBFG_00504 CBFG_00667
CBFG_00504 CBFG_04727
CBFG_00504 CBFG_04159
CBFG_00504 CBFG_00655
CBFG_00515 CBFG_00422
CBFG_00520 CBFG_00405
CBFG_00520 CBFG_01859
CBFG_00520 CBFG_06010
CBFG_00523 CBFG_02602
CBFG_00523 CBFG_02604
CBFG_00523 CBFG_02601
CBFG_00549 CBFG_01112
CBFG_00550 CBFG_05662
CBFG_00552 CBFG_05662
CBFG_00600 CBFG_00630
CBFG_00600 CBFG_01315
CBFG_00600 CBFG_00633
CBFG_00600 CBFG_05963
CBFG_00600 CBFG_02378
CBFG_00600 CBFG_00632
CBFG_00600 CBFG_00631
CBFG_00600 CBFG_05876
CBFG_00600 CBFG_01313
CBFG_00600 CBFG_05962
CBFG_00630 CBFG_00632
CBFG_00630 CBFG_00633
CBFG_00630 CBFG_01315
CBFG_00630 CBFG_02378
CBFG_00630 CBFG_05963
CBFG_00630 CBFG_00631
CBFG_00630 CBFG_01313
CBFG_00630 CBFG_05876
CBFG_00630 CBFG_05962
CBFG_00630 CBFG_00600
CBFG_00631 CBFG_00630
CBFG_00631 CBFG_00600
CBFG_00631 CBFG_00633
CBFG_00631 CBFG_01315
CBFG_00631 CBFG_05963
CBFG_00631 CBFG_02378
CBFG_00631 CBFG_00632
CBFG_00631 CBFG_05876
CBFG_00631 CBFG_01313
CBFG_00631 CBFG_05962
CBFG_00632 CBFG_00630
CBFG_00632 CBFG_00600
CBFG_00632 CBFG_01315
CBFG_00632 CBFG_00633
CBFG_00632 CBFG_05963
CBFG_00632 CBFG_02378
CBFG_00632 CBFG_05876
CBFG_00632 CBFG_00631
CBFG_00632 CBFG_01313
CBFG_00632 CBFG_05962
CBFG_00633 CBFG_00630
CBFG_00633 CBFG_00600
CBFG_00633 CBFG_01315
CBFG_00633 CBFG_05963
CBFG_00633 CBFG_00632
CBFG_00633 CBFG_02378
CBFG_00633 CBFG_05962
CBFG_00633 CBFG_05876
CBFG_00633 CBFG_00631
CBFG_00633 CBFG_01313
CBFG_00655 CBFG_01375
CBFG_00655 CBFG_00504
CBFG_00655 CBFG_00666
CBFG_00655 CBFG_03290
CBFG_00655 CBFG_00880
CBFG_00655 CBFG_06072
CBFG_00655 CBFG_00472
CBFG_00655 CBFG_02594
CBFG_00655 CBFG_05207
CBFG_00666 CBFG_00404
CBFG_00666 CBFG_04159
CBFG_00666 CBFG_04727
CBFG_00666 CBFG_01959
CBFG_00666 CBFG_00667
CBFG_00666 CBFG_05207
CBFG_00666 CBFG_00880
CBFG_00666 CBFG_00655
CBFG_00667 CBFG_05207
CBFG_00667 CBFG_03290
CBFG_00667 CBFG_00880
CBFG_00667 CBFG_06072
CBFG_00667 CBFG_00472
CBFG_00667 CBFG_00666
CBFG_00667 CBFG_02594
CBFG_00667 CBFG_01375
CBFG_00667 CBFG_00504
CBFG_00682 CBFG_00683
CBFG_00683 CBFG_03169
CBFG_00683 CBFG_01389
CBFG_00683 CBFG_03117
CBFG_00683 CBFG_04152
CBFG_00683 CBFG_00682
CBFG_00723 CBFG_02210
CBFG_00723 CBFG_02209
CBFG_00723 CBFG_02089
CBFG_00723 CBFG_01815
CBFG_00723 CBFG_01971
CBFG_00723 CBFG_02770
CBFG_00723 CBFG_01392
CBFG_00723 CBFG_01393
CBFG_00723 CBFG_01710
CBFG_00723 CBFG_01515
CBFG_00723 CBFG_02743
CBFG_00723 CBFG_02208
CBFG_00723 CBFG_01707
CBFG_00723 CBFG_01374
CBFG_00723 CBFG_02051
CBFG_00723 CBFG_01576
CBFG_00723 CBFG_01934
CBFG_00723 CBFG_01419
CBFG_00723 CBFG_01918
CBFG_00723 CBFG_00895
CBFG_00723 CBFG_01921
CBFG_00723 CBFG_02780
CBFG_00760 CBFG_05889
CBFG_00760 CBFG_04013
CBFG_00760 CBFG_01025
CBFG_00760 CBFG_06031
CBFG_00760 CBFG_05796
CBFG_00760 CBFG_01801
CBFG_00773 CBFG_02211
CBFG_00773 CBFG_00356
CBFG_00773 CBFG_01579
CBFG_00773 CBFG_03039
CBFG_00773 CBFG_04549
CBFG_00773 CBFG_03194
CBFG_00773 CBFG_03043
CBFG_00773 CBFG_05222
CBFG_00773 CBFG_02642
CBFG_00773 CBFG_04153
CBFG_00773 CBFG_01388
CBFG_00773 CBFG_02036
CBFG_00773 CBFG_03877
CBFG_00773 CBFG_03875
CBFG_00773 CBFG_02643
CBFG_00773 CBFG_00084
CBFG_00789 CBFG_05840
CBFG_00789 CBFG_04449
CBFG_00789 CBFG_02187
CBFG_00789 CBFG_03989
CBFG_00789 CBFG_03176
CBFG_00789 CBFG_04647
CBFG_00789 CBFG_03175
CBFG_00815 CBFG_02086
CBFG_00816 CBFG_02503
CBFG_00825 CBFG_01360
CBFG_00855 CBFG_04449
CBFG_00865 CBFG_00866
CBFG_00865 CBFG_05253
CBFG_00865 CBFG_05778
CBFG_00866 CBFG_01966
CBFG_00866 CBFG_00865
CBFG_00880 CBFG_00655
CBFG_00880 CBFG_00883
CBFG_00880 CBFG_05840
CBFG_00880 CBFG_00667
CBFG_00880 CBFG_05662
CBFG_00880 CBFG_00666
CBFG_00880 CBFG_02594
CBFG_00880 CBFG_04727
CBFG_00880 CBFG_01375
CBFG_00880 CBFG_04159
CBFG_00883 CBFG_00880
CBFG_00883 CBFG_05207
CBFG_00883 CBFG_04449
CBFG_00895 CBFG_02089
CBFG_00895 CBFG_01815
CBFG_00895 CBFG_01971
CBFG_00895 CBFG_00723
CBFG_00895 CBFG_02770
CBFG_00895 CBFG_01392
CBFG_00895 CBFG_02780
CBFG_00895 CBFG_01393
CBFG_00895 CBFG_01934
CBFG_00895 CBFG_01515
CBFG_00895 CBFG_01710
CBFG_00895 CBFG_02209
CBFG_00895 CBFG_02208
CBFG_00895 CBFG_01419
CBFG_00895 CBFG_02210
CBFG_00895 CBFG_01918
CBFG_00895 CBFG_02743
CBFG_00895 CBFG_01921
CBFG_00895 CBFG_01374
CBFG_00895 CBFG_01707
CBFG_00895 CBFG_01576
CBFG_00895 CBFG_02051
CBFG_00902 CBFG_06117
CBFG_00902 CBFG_03881
CBFG_00902 CBFG_05160
CBFG_00902 CBFG_03235
CBFG_00902 CBFG_01974
CBFG_00914 CBFG_01514
CBFG_00914 CBFG_02637
CBFG_00914 CBFG_00016
CBFG_00914 CBFG_00915
CBFG_00915 CBFG_00914
CBFG_00915 CBFG_01514
CBFG_00915 CBFG_00016
CBFG_00915 CBFG_02637
CBFG_00972 CBFG_01342
CBFG_00972 CBFG_06082
CBFG_00972 CBFG_05412
CBFG_00972 CBFG_03254
CBFG_00972 CBFG_02721
CBFG_00972 CBFG_00277
CBFG_00972 CBFG_06036
CBFG_01025 CBFG_02355
CBFG_01025 CBFG_01026
CBFG_01025 CBFG_04605
CBFG_01025 CBFG_04016
CBFG_01025 CBFG_01800
CBFG_01025 CBFG_00760
CBFG_01026 CBFG_01025
CBFG_01026 CBFG_04013
CBFG_01026 CBFG_01801
CBFG_01046 CBFG_01047
CBFG_01046 CBFG_01050
CBFG_01046 CBFG_02386
CBFG_01047 CBFG_01050
CBFG_01047 CBFG_01046
CBFG_01047 CBFG_02386
CBFG_01050 CBFG_01047
CBFG_01050 CBFG_01046
CBFG_01050 CBFG_02386
CBFG_01063 CBFG_02253
CBFG_01063 CBFG_02252
CBFG_01063 CBFG_02017
CBFG_01101 CBFG_01668
CBFG_01101 CBFG_01669
CBFG_01101 CBFG_02123
CBFG_01111 CBFG_05628
CBFG_01112 CBFG_00549
CBFG_01176 CBFG_03250
CBFG_01176 CBFG_02785
CBFG_01177 CBFG_01959
CBFG_01177 CBFG_03497
CBFG_01177 CBFG_01990
CBFG_01177 CBFG_00096
CBFG_01313 CBFG_00600
CBFG_01313 CBFG_00630
CBFG_01313 CBFG_01315
CBFG_01313 CBFG_00633
CBFG_01313 CBFG_05963
CBFG_01313 CBFG_02378
CBFG_01313 CBFG_00632
CBFG_01313 CBFG_00631
CBFG_01313 CBFG_05876
CBFG_01313 CBFG_05962
CBFG_01315 CBFG_00633
CBFG_01315 CBFG_05962
CBFG_01315 CBFG_00630
CBFG_01315 CBFG_00600
CBFG_01315 CBFG_05963
CBFG_01315 CBFG_00632
CBFG_01315 CBFG_00631
CBFG_01315 CBFG_01313
CBFG_01315 CBFG_05876
CBFG_01339 CBFG_00435
CBFG_01339 CBFG_02590
CBFG_01339 CBFG_01340
CBFG_01339 CBFG_02393
CBFG_01339 CBFG_01825
CBFG_01339 CBFG_01820
CBFG_01339 CBFG_02396
CBFG_01340 CBFG_01339
CBFG_01340 CBFG_04912
CBFG_01342 CBFG_02227
CBFG_01342 CBFG_00972
CBFG_01342 CBFG_02225
CBFG_01360 CBFG_00825
CBFG_01360 CBFG_01363
CBFG_01360 CBFG_01362
CBFG_01362 CBFG_01360
CBFG_01362 CBFG_01363
CBFG_01363 CBFG_01360
CBFG_01363 CBFG_01362
CBFG_01368 CBFG_02063
CBFG_01374 CBFG_02210
CBFG_01374 CBFG_02209
CBFG_01374 CBFG_02089
CBFG_01374 CBFG_01815
CBFG_01374 CBFG_01971
CBFG_01374 CBFG_02770
CBFG_01374 CBFG_01392
CBFG_01374 CBFG_01515
CBFG_01374 CBFG_01710
CBFG_01374 CBFG_02743
CBFG_01374 CBFG_02208
CBFG_01374 CBFG_01707
CBFG_01374 CBFG_02051
CBFG_01374 CBFG_01576
CBFG_01374 CBFG_01393
CBFG_01374 CBFG_01934
CBFG_01374 CBFG_01419
CBFG_01374 CBFG_01918
CBFG_01374 CBFG_00895
CBFG_01374 CBFG_00723
CBFG_01374 CBFG_01921
CBFG_01374 CBFG_02780
CBFG_01375 CBFG_04727
CBFG_01375 CBFG_04159
CBFG_01375 CBFG_01959
CBFG_01375 CBFG_05207
CBFG_01375 CBFG_00655
CBFG_01375 CBFG_00880
CBFG_01375 CBFG_00667
CBFG_01375 CBFG_00404
CBFG_01387 CBFG_01990
CBFG_01387 CBFG_02222
CBFG_01388 CBFG_03314
CBFG_01388 CBFG_03042
CBFG_01388 CBFG_00773
CBFG_01388 CBFG_03978
CBFG_01388 CBFG_01917
CBFG_01388 CBFG_00273
CBFG_01388 CBFG_04760
CBFG_01388 CBFG_01582
CBFG_01388 CBFG_03975
CBFG_01388 CBFG_04722
CBFG_01388 CBFG_03141
CBFG_01388 CBFG_02212
CBFG_01388 CBFG_02990
CBFG_01388 CBFG_03035
CBFG_01388 CBFG_03550
CBFG_01388 CBFG_02084
CBFG_01388 CBFG_03044
CBFG_01388 CBFG_03875
CBFG_01389 CBFG_00683
CBFG_01392 CBFG_01918
CBFG_01392 CBFG_02210
CBFG_01392 CBFG_02209
CBFG_01392 CBFG_02089
CBFG_01392 CBFG_01815
CBFG_01392 CBFG_01971
CBFG_01392 CBFG_02770
CBFG_01392 CBFG_01515
CBFG_01392 CBFG_01710
CBFG_01392 CBFG_02743
CBFG_01392 CBFG_02208
CBFG_01392 CBFG_01374
CBFG_01392 CBFG_01707
CBFG_01392 CBFG_01576
CBFG_01392 CBFG_02051
CBFG_01392 CBFG_01393
CBFG_01392 CBFG_01934
CBFG_01392 CBFG_00723
CBFG_01392 CBFG_00895
CBFG_01392 CBFG_01921
CBFG_01392 CBFG_02780
CBFG_01392 CBFG_01419
CBFG_01393 CBFG_02210
CBFG_01393 CBFG_01707
CBFG_01393 CBFG_01374
CBFG_01393 CBFG_02051
CBFG_01393 CBFG_01576
CBFG_01393 CBFG_01934
CBFG_01393 CBFG_01419
CBFG_01393 CBFG_01918
CBFG_01393 CBFG_00723
CBFG_01393 CBFG_01921
CBFG_01393 CBFG_02780
CBFG_01393 CBFG_02209
CBFG_01393 CBFG_02089
CBFG_01393 CBFG_01815
CBFG_01393 CBFG_01971
CBFG_01393 CBFG_02770
CBFG_01393 CBFG_01392
CBFG_01393 CBFG_01710
CBFG_01393 CBFG_01515
CBFG_01393 CBFG_02743
CBFG_01393 CBFG_02208
CBFG_01393 CBFG_00895
CBFG_01419 CBFG_01515
CBFG_01419 CBFG_01710
CBFG_01419 CBFG_02210
CBFG_01419 CBFG_01918
CBFG_01419 CBFG_02209
CBFG_01419 CBFG_02089
CBFG_01419 CBFG_00895
CBFG_01419 CBFG_01815
CBFG_01419 CBFG_01971
CBFG_01419 CBFG_00723
CBFG_01419 CBFG_02770
CBFG_01419 CBFG_01392
CBFG_01419 CBFG_02743
CBFG_01419 CBFG_02208
CBFG_01419 CBFG_01921
CBFG_01419 CBFG_01374
CBFG_01419 CBFG_01707
CBFG_01419 CBFG_01576
CBFG_01419 CBFG_02051
CBFG_01419 CBFG_01393
CBFG_01419 CBFG_02780
CBFG_01419 CBFG_01934
CBFG_01428 CBFG_01429
CBFG_01429 CBFG_01428
CBFG_01445 CBFG_06116
CBFG_01445 CBFG_03604
CBFG_01445 CBFG_00470
CBFG_01445 CBFG_04413
CBFG_01461 CBFG_01462
CBFG_01462 CBFG_01461
CBFG_01501 CBFG_03118
CBFG_01501 CBFG_05231
CBFG_01514 CBFG_00016
CBFG_01514 CBFG_00914
CBFG_01514 CBFG_02637
CBFG_01514 CBFG_00915
CBFG_01515 CBFG_01934
CBFG_01515 CBFG_02210
CBFG_01515 CBFG_02209
CBFG_01515 CBFG_02089
CBFG_01515 CBFG_01815
CBFG_01515 CBFG_01971
CBFG_01515 CBFG_02770
CBFG_01515 CBFG_01392
CBFG_01515 CBFG_01710
CBFG_01515 CBFG_02743
CBFG_01515 CBFG_02208
CBFG_01515 CBFG_01707
CBFG_01515 CBFG_01374
CBFG_01515 CBFG_02051
CBFG_01515 CBFG_01576
CBFG_01515 CBFG_01393
CBFG_01515 CBFG_01419
CBFG_01515 CBFG_01918
CBFG_01515 CBFG_00723
CBFG_01515 CBFG_00895
CBFG_01515 CBFG_01921
CBFG_01515 CBFG_02780
CBFG_01576 CBFG_01918
CBFG_01576 CBFG_02209
CBFG_01576 CBFG_02089
CBFG_01576 CBFG_01815
CBFG_01576 CBFG_01971
CBFG_01576 CBFG_00723
CBFG_01576 CBFG_00895
CBFG_01576 CBFG_02770
CBFG_01576 CBFG_01392
CBFG_01576 CBFG_01515
CBFG_01576 CBFG_01710
CBFG_01576 CBFG_01921
CBFG_01576 CBFG_01707
CBFG_01576 CBFG_01374
CBFG_01576 CBFG_02051
CBFG_01576 CBFG_01393
CBFG_01576 CBFG_02780
CBFG_01576 CBFG_01934
CBFG_01576 CBFG_02210
CBFG_01576 CBFG_01419
CBFG_01576 CBFG_02743
CBFG_01576 CBFG_02208
CBFG_01579 CBFG_03875
CBFG_01579 CBFG_01917
CBFG_01579 CBFG_03141
CBFG_01579 CBFG_00773
CBFG_01579 CBFG_03550
CBFG_01579 CBFG_03044
CBFG_01582 CBFG_02642
CBFG_01582 CBFG_03039
CBFG_01582 CBFG_04549
CBFG_01582 CBFG_03194
CBFG_01582 CBFG_01388
CBFG_01582 CBFG_00084
CBFG_01582 CBFG_02643
CBFG_01582 CBFG_02211
CBFG_01582 CBFG_04153
CBFG_01668 CBFG_01101
CBFG_01669 CBFG_01101
CBFG_01678 CBFG_02982
CBFG_01707 CBFG_01419
CBFG_01707 CBFG_02743
CBFG_01707 CBFG_01815
CBFG_01707 CBFG_02770
CBFG_01707 CBFG_02209
CBFG_01707 CBFG_02089
CBFG_01707 CBFG_01392
CBFG_01707 CBFG_02210
CBFG_01707 CBFG_01921
CBFG_01707 CBFG_01374
CBFG_01707 CBFG_01710
CBFG_01707 CBFG_01515
CBFG_01707 CBFG_00723
CBFG_01707 CBFG_02208
CBFG_01707 CBFG_01971
CBFG_01707 CBFG_02051
CBFG_01707 CBFG_01576
CBFG_01707 CBFG_01918
CBFG_01707 CBFG_01393
CBFG_01707 CBFG_00895
CBFG_01707 CBFG_02780
CBFG_01707 CBFG_01934
CBFG_01710 CBFG_01393
CBFG_01710 CBFG_01576
CBFG_01710 CBFG_02051
CBFG_01710 CBFG_01921
CBFG_01710 CBFG_02210
CBFG_01710 CBFG_02089
CBFG_01710 CBFG_02209
CBFG_01710 CBFG_01815
CBFG_01710 CBFG_01971
CBFG_01710 CBFG_02208
CBFG_01710 CBFG_02770
CBFG_01710 CBFG_01392
CBFG_01710 CBFG_01515
CBFG_01710 CBFG_02743
CBFG_01710 CBFG_01707
CBFG_01710 CBFG_01374
CBFG_01710 CBFG_00723
CBFG_01710 CBFG_00895
CBFG_01710 CBFG_01934
CBFG_01710 CBFG_01918
CBFG_01710 CBFG_01419
CBFG_01710 CBFG_02780
CBFG_01718 CBFG_02378
CBFG_01753 CBFG_01767
CBFG_01754 CBFG_01767
CBFG_01767 CBFG_00247
CBFG_01767 CBFG_03248
CBFG_01767 CBFG_01753
CBFG_01767 CBFG_01754
CBFG_01777 CBFG_01959
CBFG_01800 CBFG_01025
CBFG_01800 CBFG_01801
CBFG_01800 CBFG_04013
CBFG_01801 CBFG_00760
CBFG_01801 CBFG_02355
CBFG_01801 CBFG_01026
CBFG_01801 CBFG_04605
CBFG_01801 CBFG_04016
CBFG_01801 CBFG_01800
CBFG_01807 CBFG_01990
CBFG_01815 CBFG_00723
CBFG_01815 CBFG_00895
CBFG_01815 CBFG_01921
CBFG_01815 CBFG_01576
CBFG_01815 CBFG_02051
CBFG_01815 CBFG_02210
CBFG_01815 CBFG_02209
CBFG_01815 CBFG_02089
CBFG_01815 CBFG_01971
CBFG_01815 CBFG_02770
CBFG_01815 CBFG_01392
CBFG_01815 CBFG_01710
CBFG_01815 CBFG_01515
CBFG_01815 CBFG_02743
CBFG_01815 CBFG_02208
CBFG_01815 CBFG_01374
CBFG_01815 CBFG_01707
CBFG_01815 CBFG_02780
CBFG_01815 CBFG_01393
CBFG_01815 CBFG_01934
CBFG_01815 CBFG_01419
CBFG_01815 CBFG_01918
CBFG_01820 CBFG_01339
CBFG_01820 CBFG_05788
CBFG_01825 CBFG_01339
CBFG_01825 CBFG_04912
CBFG_01854 CBFG_01855
CBFG_01854 CBFG_01856
CBFG_01855 CBFG_01854
CBFG_01855 CBFG_01856
CBFG_01856 CBFG_01854
CBFG_01856 CBFG_01855
CBFG_01859 CBFG_00520
CBFG_01859 CBFG_00405
CBFG_01859 CBFG_04471
CBFG_01859 CBFG_00404
CBFG_01907 CBFG_03175
CBFG_01907 CBFG_05840
CBFG_01907 CBFG_04449
CBFG_01907 CBFG_02187
CBFG_01907 CBFG_03989
CBFG_01907 CBFG_03176
CBFG_01907 CBFG_04647
CBFG_01917 CBFG_01579
CBFG_01917 CBFG_02211
CBFG_01917 CBFG_03039
CBFG_01917 CBFG_03043
CBFG_01917 CBFG_05222
CBFG_01917 CBFG_04549
CBFG_01917 CBFG_00356
CBFG_01917 CBFG_01388
CBFG_01917 CBFG_03194
CBFG_01917 CBFG_02642
CBFG_01917 CBFG_03875
