GU3_00010 GU3_00995
GU3_00020 GU3_03580
GU3_00020 GU3_14940
GU3_00020 GU3_05700
GU3_00030 GU3_05085
GU3_00030 GU3_15510
GU3_00030 GU3_01830
GU3_00030 GU3_02655
GU3_00030 GU3_02395
GU3_00065 GU3_14130
GU3_00065 GU3_07625
GU3_00065 GU3_05460
GU3_00065 GU3_08130
GU3_00065 GU3_04005
GU3_00065 GU3_06355
GU3_00065 GU3_07450
GU3_00065 GU3_05745
GU3_00065 GU3_09775
GU3_00095 GU3_13240
GU3_00095 GU3_13580
GU3_00095 GU3_13265
GU3_00095 GU3_13280
GU3_00095 GU3_13270
GU3_00095 GU3_13245
GU3_00095 GU3_13585
GU3_00130 GU3_15055
GU3_00130 GU3_11725
GU3_00130 GU3_16030
GU3_00130 GU3_02360
GU3_00130 GU3_10965
GU3_00130 GU3_16040
GU3_00130 GU3_16050
GU3_00130 GU3_16055
GU3_00130 GU3_16035
GU3_00130 GU3_08475
GU3_00130 GU3_06770
GU3_00130 GU3_03440
GU3_00130 GU3_02365
GU3_00130 GU3_15045
GU3_00130 GU3_15050
GU3_00130 GU3_11720
GU3_00130 GU3_06810
GU3_00130 GU3_12055
GU3_00130 GU3_15345
GU3_00165 GU3_00170
GU3_00170 GU3_00165
GU3_00180 GU3_05545
GU3_00180 GU3_07450
GU3_00180 GU3_15675
GU3_00180 GU3_14520
GU3_00180 GU3_02690
GU3_00180 GU3_00195
GU3_00180 GU3_12010
GU3_00180 GU3_11185
GU3_00180 GU3_12290
GU3_00180 GU3_07460
GU3_00180 GU3_11100
GU3_00180 GU3_02785
GU3_00180 GU3_02275
GU3_00180 GU3_01510
GU3_00180 GU3_07125
GU3_00180 GU3_07005
GU3_00180 GU3_04885
GU3_00180 GU3_03910
GU3_00180 GU3_12005
GU3_00180 GU3_06045
GU3_00180 GU3_12015
GU3_00180 GU3_02115
GU3_00180 GU3_03905
GU3_00180 GU3_07455
GU3_00180 GU3_12295
GU3_00180 GU3_06800
GU3_00180 GU3_10385
GU3_00180 GU3_15335
GU3_00185 GU3_09345
GU3_00185 GU3_09880
GU3_00185 GU3_03090
GU3_00190 GU3_06800
GU3_00190 GU3_00195
GU3_00190 GU3_14525
GU3_00190 GU3_10930
GU3_00190 GU3_12000
GU3_00195 GU3_01360
GU3_00195 GU3_00180
GU3_00195 GU3_12005
GU3_00195 GU3_06800
GU3_00195 GU3_10385
GU3_00195 GU3_15675
GU3_00195 GU3_08790
GU3_00195 GU3_08090
GU3_00195 GU3_12010
GU3_00195 GU3_11185
GU3_00195 GU3_14150
GU3_00195 GU3_05705
GU3_00195 GU3_00190
GU3_00195 GU3_03910
GU3_00195 GU3_11730
GU3_00195 GU3_02115
GU3_00195 GU3_03905
GU3_00195 GU3_05040
GU3_00195 GU3_02315
GU3_00195 GU3_12000
GU3_00195 GU3_14520
GU3_00195 GU3_07005
GU3_00195 GU3_02690
GU3_00240 GU3_00245
GU3_00240 GU3_13755
GU3_00240 GU3_13760
GU3_00245 GU3_00240
GU3_00245 GU3_13755
GU3_00245 GU3_13760
GU3_00330 GU3_13280
GU3_00330 GU3_13580
GU3_00330 GU3_13265
GU3_00330 GU3_13240
GU3_00330 GU3_13585
GU3_00330 GU3_13270
GU3_00330 GU3_13245
GU3_00335 GU3_09305
GU3_00335 GU3_03910
GU3_00335 GU3_13025
GU3_00335 GU3_10385
GU3_00335 GU3_14155
GU3_00335 GU3_08025
GU3_00335 GU3_06655
GU3_00335 GU3_15335
GU3_00335 GU3_15845
GU3_00335 GU3_02115
GU3_00335 GU3_09930
GU3_00335 GU3_05615
GU3_00335 GU3_03905
GU3_00335 GU3_06795
GU3_00335 GU3_15320
