Htur_0003 Htur_3509
Htur_0004 Htur_2524
Htur_0004 Htur_1470
Htur_0004 Htur_1499
Htur_0004 Htur_0844
Htur_0004 Htur_3690
Htur_0008 Htur_1989
Htur_0008 Htur_1590
Htur_0010 Htur_0896
Htur_0010 Htur_0978
Htur_0010 Htur_2345
Htur_0010 Htur_2346
Htur_0010 Htur_1328
Htur_0010 Htur_1735
Htur_0010 Htur_1442
Htur_0010 Htur_0011
Htur_0010 Htur_0389
Htur_0010 Htur_1946
Htur_0010 Htur_0525
Htur_0010 Htur_1590
Htur_0010 Htur_0944
Htur_0010 Htur_0976
Htur_0010 Htur_1729
Htur_0010 Htur_1711
Htur_0010 Htur_0502
Htur_0010 Htur_0498
Htur_0010 Htur_1926
Htur_0010 Htur_1443
Htur_0010 Htur_0503
Htur_0010 Htur_1099
Htur_0010 Htur_1200
Htur_0011 Htur_0978
Htur_0011 Htur_2345
Htur_0011 Htur_2061
Htur_0011 Htur_2447
Htur_0011 Htur_2346
Htur_0011 Htur_1440
Htur_0011 Htur_0896
Htur_0011 Htur_1510
Htur_0011 Htur_1328
Htur_0011 Htur_1437
Htur_0011 Htur_1985
Htur_0011 Htur_1946
Htur_0011 Htur_0389
Htur_0011 Htur_3595
Htur_0011 Htur_1605
Htur_0011 Htur_0525
Htur_0011 Htur_1438
Htur_0011 Htur_0944
Htur_0011 Htur_1590
Htur_0011 Htur_0976
Htur_0011 Htur_1442
Htur_0011 Htur_1604
Htur_0011 Htur_3597
Htur_0011 Htur_1735
Htur_0011 Htur_2770
Htur_0011 Htur_1986
Htur_0011 Htur_1729
Htur_0011 Htur_1711
Htur_0011 Htur_0498
Htur_0011 Htur_1926
Htur_0011 Htur_1443
Htur_0011 Htur_1200
Htur_0011 Htur_1607
Htur_0011 Htur_0010
Htur_0011 Htur_2062
Htur_0011 Htur_1099
Htur_0011 Htur_3596
Htur_0011 Htur_0503
Htur_0011 Htur_3008
Htur_0016 Htur_1121
Htur_0016 Htur_1664
Htur_0016 Htur_1057
Htur_0016 Htur_1170
Htur_0016 Htur_1754
Htur_0016 Htur_0331
Htur_0016 Htur_1663
Htur_0016 Htur_0254
Htur_0016 Htur_1983
Htur_0016 Htur_0529
Htur_0016 Htur_0029
Htur_0016 Htur_1886
Htur_0018 Htur_3184
Htur_0018 Htur_0855
Htur_0018 Htur_0854
Htur_0024 Htur_2313
Htur_0024 Htur_1701
Htur_0024 Htur_2314
Htur_0024 Htur_1862
Htur_0027 Htur_0051
Htur_0029 Htur_1121
Htur_0029 Htur_0805
Htur_0029 Htur_0016
Htur_0029 Htur_1664
Htur_0029 Htur_1170
Htur_0029 Htur_1057
Htur_0029 Htur_0331
Htur_0029 Htur_1754
Htur_0029 Htur_1663
Htur_0029 Htur_0254
Htur_0029 Htur_1983
Htur_0029 Htur_0529
Htur_0029 Htur_3570
Htur_0041 Htur_1364
Htur_0041 Htur_0761
Htur_0041 Htur_3048
Htur_0041 Htur_1947
Htur_0041 Htur_3045
Htur_0041 Htur_0884
Htur_0041 Htur_1489
Htur_0041 Htur_2004
Htur_0041 Htur_3149
Htur_0041 Htur_2490
Htur_0041 Htur_1105
Htur_0041 Htur_2790
Htur_0041 Htur_3627
Htur_0041 Htur_1422
Htur_0041 Htur_1478
Htur_0051 Htur_0027
Htur_0066 Htur_3034
Htur_0066 Htur_0067
Htur_0066 Htur_0818
Htur_0066 Htur_0783
Htur_0066 Htur_2396
Htur_0066 Htur_1674
Htur_0066 Htur_1013
Htur_0066 Htur_0628
Htur_0066 Htur_0147
Htur_0066 Htur_3310
Htur_0066 Htur_2395
Htur_0066 Htur_2937
Htur_0067 Htur_0628
Htur_0067 Htur_0818
Htur_0067 Htur_0066
Htur_0070 Htur_3184
Htur_0070 Htur_3034
Htur_0070 Htur_1701
Htur_0070 Htur_1508
Htur_0070 Htur_3747
Htur_0070 Htur_2937
Htur_0070 Htur_1349
Htur_0070 Htur_0854
Htur_0070 Htur_0855
Htur_0070 Htur_3291
Htur_0070 Htur_1862
Htur_0077 Htur_0622
Htur_0079 Htur_3547
Htur_0079 Htur_0105
Htur_0084 Htur_2166
Htur_0084 Htur_0572
Htur_0084 Htur_3582
Htur_0084 Htur_1223
Htur_0084 Htur_1629
