FUSPEROL_00008 FUSPEROL_01930
FUSPEROL_00044 FUSPEROL_00084
FUSPEROL_00045 FUSPEROL_02144
FUSPEROL_00081 FUSPEROL_02303
FUSPEROL_00082 FUSPEROL_00088
FUSPEROL_00082 FUSPEROL_01058
FUSPEROL_00084 FUSPEROL_00343
FUSPEROL_00084 FUSPEROL_00044
FUSPEROL_00084 FUSPEROL_01843
FUSPEROL_00084 FUSPEROL_02144
FUSPEROL_00086 FUSPEROL_01560
FUSPEROL_00086 FUSPEROL_00088
FUSPEROL_00086 FUSPEROL_00549
FUSPEROL_00088 FUSPEROL_01974
FUSPEROL_00088 FUSPEROL_00086
FUSPEROL_00088 FUSPEROL_00082
FUSPEROL_00091 FUSPEROL_00395
FUSPEROL_00091 FUSPEROL_00394
FUSPEROL_00094 FUSPEROL_00311
FUSPEROL_00095 FUSPEROL_01347
FUSPEROL_00095 FUSPEROL_00289
FUSPEROL_00095 FUSPEROL_01346
FUSPEROL_00124 FUSPEROL_00166
FUSPEROL_00124 FUSPEROL_02358
FUSPEROL_00124 FUSPEROL_00197
FUSPEROL_00124 FUSPEROL_00127
FUSPEROL_00127 FUSPEROL_00124
FUSPEROL_00138 FUSPEROL_00973
FUSPEROL_00138 FUSPEROL_01881
FUSPEROL_00150 FUSPEROL_01150
FUSPEROL_00150 FUSPEROL_02387
FUSPEROL_00151 FUSPEROL_01150
FUSPEROL_00151 FUSPEROL_02387
FUSPEROL_00158 FUSPEROL_00922
FUSPEROL_00158 FUSPEROL_01347
FUSPEROL_00158 FUSPEROL_01788
FUSPEROL_00166 FUSPEROL_00124
FUSPEROL_00182 FUSPEROL_00183
FUSPEROL_00183 FUSPEROL_00182
FUSPEROL_00188 FUSPEROL_00393
FUSPEROL_00188 FUSPEROL_00800
FUSPEROL_00188 FUSPEROL_00705
FUSPEROL_00188 FUSPEROL_00873
FUSPEROL_00197 FUSPEROL_00317
FUSPEROL_00197 FUSPEROL_00124
FUSPEROL_00201 FUSPEROL_00202
FUSPEROL_00201 FUSPEROL_00203
FUSPEROL_00202 FUSPEROL_00203
FUSPEROL_00202 FUSPEROL_00201
FUSPEROL_00203 FUSPEROL_00204
FUSPEROL_00203 FUSPEROL_00201
FUSPEROL_00203 FUSPEROL_00202
FUSPEROL_00204 FUSPEROL_00203
FUSPEROL_00204 FUSPEROL_01901
FUSPEROL_00224 FUSPEROL_00225
FUSPEROL_00224 FUSPEROL_00226
FUSPEROL_00225 FUSPEROL_00224
FUSPEROL_00225 FUSPEROL_00226
FUSPEROL_00226 FUSPEROL_00224
FUSPEROL_00226 FUSPEROL_00225
FUSPEROL_00232 FUSPEROL_00311
FUSPEROL_00232 FUSPEROL_01307
FUSPEROL_00232 FUSPEROL_02451
FUSPEROL_00247 FUSPEROL_00465
FUSPEROL_00247 FUSPEROL_01223
FUSPEROL_00256 FUSPEROL_00257
FUSPEROL_00256 FUSPEROL_00781
FUSPEROL_00257 FUSPEROL_00256
FUSPEROL_00259 FUSPEROL_02515
FUSPEROL_00277 FUSPEROL_01782
FUSPEROL_00277 FUSPEROL_01780
FUSPEROL_00277 FUSPEROL_01781
FUSPEROL_00283 FUSPEROL_00540
FUSPEROL_00289 FUSPEROL_01345
FUSPEROL_00289 FUSPEROL_00405
FUSPEROL_00289 FUSPEROL_01310
FUSPEROL_00289 FUSPEROL_01567
FUSPEROL_00289 FUSPEROL_00095
FUSPEROL_00299 FUSPEROL_01715
FUSPEROL_00299 FUSPEROL_00917
FUSPEROL_00299 FUSPEROL_01103
FUSPEROL_00299 FUSPEROL_00549
FUSPEROL_00303 FUSPEROL_01150
FUSPEROL_00303 FUSPEROL_02387
FUSPEROL_00304 FUSPEROL_01378
FUSPEROL_00307 FUSPEROL_02198
FUSPEROL_00307 FUSPEROL_02318
FUSPEROL_00307 FUSPEROL_02520
FUSPEROL_00310 FUSPEROL_01304
FUSPEROL_00311 FUSPEROL_00232
FUSPEROL_00311 FUSPEROL_00094
FUSPEROL_00313 FUSPEROL_02415
FUSPEROL_00315 FUSPEROL_00625
FUSPEROL_00315 FUSPEROL_00448
FUSPEROL_00317 FUSPEROL_00197
FUSPEROL_00317 FUSPEROL_02406
FUSPEROL_00337 FUSPEROL_00338
FUSPEROL_00338 FUSPEROL_00337
FUSPEROL_00339 FUSPEROL_01819
FUSPEROL_00342 FUSPEROL_01943
FUSPEROL_00343 FUSPEROL_00084
FUSPEROL_00343 FUSPEROL_00865
FUSPEROL_00360 FUSPEROL_00362
FUSPEROL_00361 FUSPEROL_01426
FUSPEROL_00361 FUSPEROL_00362
FUSPEROL_00362 FUSPEROL_00361
FUSPEROL_00362 FUSPEROL_00360
FUSPEROL_00366 FUSPEROL_01150
FUSPEROL_00366 FUSPEROL_02387
FUSPEROL_00388 FUSPEROL_02507
FUSPEROL_00388 FUSPEROL_01880
FUSPEROL_00388 FUSPEROL_02276
FUSPEROL_00388 FUSPEROL_01843
FUSPEROL_00388 FUSPEROL_00865
FUSPEROL_00393 FUSPEROL_00705
FUSPEROL_00393 FUSPEROL_00188
FUSPEROL_00394 FUSPEROL_00091
