MAL13P1.102 PFL1925w
MAL13P1.103 PFD0665c
MAL13P1.103 PF11_0290
MAL13P1.103 MAL13P1.193
MAL13P1.111 PFC0360w
MAL13P1.111 MAL7P1.76
MAL13P1.111 PFI0975c
MAL13P1.113 PF14_0329
MAL13P1.114 PF14_0323
MAL13P1.114 PF10_0335
MAL13P1.114 PF10_0026
MAL13P1.114 PF10_0111
MAL13P1.114 PF14_0201
MAL13P1.114 PF13_0268
MAL13P1.118 PFA0530c
MAL13P1.118 MAL13P1.301
MAL13P1.118 PFL0475w
MAL13P1.118 PF10_0121
MAL13P1.118 PFI1420w
MAL13P1.118 PF10_0086
MAL13P1.118 PF14_0672
MAL13P1.118 PFB0295w
MAL13P1.118 PFD0755c
MAL13P1.118 MAL7P1.110
MAL13P1.118 PF10_0123
MAL13P1.118 MAL13P1.146
MAL13P1.119 PFB0295w
MAL13P1.119 PF10_0086
MAL13P1.119 PFD0755c
MAL13P1.119 MAL13P1.146
MAL13P1.119 PFA0530c
MAL13P1.120 PFL0530c
MAL13P1.120 MAL13P1.202
MAL13P1.120 PF14_0437
MAL13P1.120 PFE0040c
MAL13P1.120 MAL8P1.111
MAL13P1.121 PFL1705w
MAL13P1.121 PFF1185w
MAL13P1.121 PFL2335w
MAL13P1.121 PFF0915w
MAL13P1.122 PF10_0206
MAL13P1.124 PFD0265w
MAL13P1.13 PF10_0246
MAL13P1.13 PFF0675c
MAL13P1.132 MAL7P1.147
MAL13P1.133 PFC0390w
MAL13P1.135 PFL0505c
MAL13P1.135 PFI0515w
MAL13P1.135 PFC0582c.1
MAL13P1.137 PFC0370w
MAL13P1.14 MAL7P1.119
MAL13P1.14 PFE1345c
MAL13P1.14 PFD0210c
MAL13P1.14 PFF1440w
MAL13P1.14 PFD0885c
MAL13P1.14 PF10_0232
MAL13P1.140 PF13_0130
MAL13P1.140 MAL13P1.308
MAL13P1.140 PFA0420w
MAL13P1.140 PF11_0506
MAL13P1.144 PF07_0117
MAL13P1.144 PFL2430c
MAL13P1.144 PF14_0104
MAL13P1.144 PF08_0009
MAL13P1.144 PF10_0103
MAL13P1.146 MAL7P1.110
MAL13P1.146 PFA0530c
MAL13P1.146 MAL13P1.118
MAL13P1.146 PFI1020c
MAL13P1.146 PFL0475w
MAL13P1.146 PF10_0121
MAL13P1.146 PF10_0086
MAL13P1.146 PFD0755c
MAL13P1.146 PFB0295w
MAL13P1.146 PF13_0287
MAL13P1.146 PF14_0672
MAL13P1.146 MAL13P1.119
MAL13P1.148 MAL7P1.129
MAL13P1.148 PF14_0667
MAL13P1.148 PF11_0433
MAL13P1.148 PF07_0105
MAL13P1.15 PFF0920c.2
MAL13P1.153 PFF1355w
MAL13P1.153 MAL7P1.28
MAL13P1.153 PF11_0123
MAL13P1.16 MAL8P1.21
MAL13P1.165 PF11_0229
MAL13P1.168 PF11_0370
MAL13P1.168 PF13_0128
MAL13P1.169 PFB0765w
MAL13P1.169 PFC0890w
MAL13P1.169 PF10_0109
MAL13P1.176 PF10_0212a
MAL13P1.176 PFI0175w.1
MAL13P1.184 PFL0865w
MAL13P1.186 PF14_0641
MAL13P1.186 PFL2010c
MAL13P1.188 PFC0720w
MAL13P1.19 PF07_0026
MAL13P1.19 PFI1085w
MAL13P1.19 PFI0240c
MAL13P1.191 PF11_0069
MAL13P1.193 PF14_0463
MAL13P1.193 PF07_0020
MAL13P1.193 PF08_0020
MAL13P1.193 MAL13P1.103
MAL13P1.193 PF11_0347
MAL13P1.193 PFI1610c
MAL13P1.193 PF10_0232
MAL13P1.193 PF07_0042
MAL13P1.193 PFC0435w
MAL13P1.193 PFD0785c
MAL13P1.193 PFF0200c
MAL13P1.193 PF10_0266
MAL13P1.193 PFL1110c
MAL13P1.193 PFF0800w
MAL13P1.193 PFE0065w
MAL13P1.202 PFL1480w
MAL13P1.202 PFI1475w
MAL13P1.202 PF10_0322
MAL13P1.202 PF07_0106
MAL13P1.202 PFC0435w
MAL13P1.202 PFB0190c
MAL13P1.202 PFL2520w
MAL13P1.202 PF08_0129
