4R79.1a F44D12.4
AC3.3 Y39B6A.2a.2
AC3.3 ZK1067.7
AC3.3 AC3.4
AC3.3 F29G6.3b
AC3.3 H04J21.3b
AC3.3 C03A7.14
AC3.3 T23F1.6
AC3.3 W03F11.6a
AC3.3 R05D11.1
AC3.3 C37C3.6b.1
AC3.3 Y69H2.3b.2
AC3.3 T01D1.6
AC3.3 C05D2.1a
AC3.3 R05F9.10
AC3.3 C03A7.4
AC3.4 F29G6.3b
AC3.4 C05D2.1a
AC3.4 Y64G10A.7b
AC3.4 C17G10.5.1
AC3.4 C37C3.6b.1
AC3.4 R05F9.10
AC3.4 T10E10.4
AC3.4 T01D3.3b.1
AC3.4 C23G10.3.2
AC3.4 Y39B6A.19a
AC3.4 M02G9.1b
AC3.4 AC3.3
AC3.4 Y39B6A.1.2
AC3.5.2 R09E12.3
AC3.7 ZK455.6.2
AC3.7 Y40B10A.2
AC7.2a.2 ZK792.6
AC7.2a.2 C54D1.6
AC7.2a.2 W07G4.5
AC7.2a.2 C38D4.6a.1
AH6.1 C30G4.3
AH6.1 E01F3.1e
AH6.1 F25H2.5.1
AH6.1 T01A4.1c
AH6.1 C49H3.1
AH6.1 W01G7.3.2
AH6.1 C17F4.6
AH6.1 ZK970.5
AH6.1 C04H5.3
AH6.1 Y105C5B.2
AH6.1 F22E5.3
AH6.1 F49E2.1b
AH6.1 M04G12.3
AH6.1 Y37E3.3
AH6.1 C26E6.4.2
AH6.1 F57F5.2c
AH6.1 F23H12.6
AH6.1 F23B2.13
AH6.1 C06B3.8
AH6.1 H43I07.2
AH6.1 F09F7.3.2
AH6.1 ZC239.7
AH6.1 ZK455.2
AH6.1 C06A12.4a
AH6.1 R01E6.1b
AH6.1 C27H5.1
AH6.1 C36B1.3
AH6.1 W09C3.4
AH6.1 F26F4.11
AH6.1 F21H7.9
AH6.1 C15H11.8.1
AH6.1 F32G8.6
AH6.1 B0240.3
AH6.1 F36A4.7.2
AH6.1 Y37H9A.6.1
AH6.1 F52E1.4b
AH6.1 W06E11.1
AH6.1 F43E2.2
AH6.1 C54E4.3
AH6.1 Y54E10BR.6
AH6.1 T03D8.5
AH6.1 F14B4.3
AH6.1 R08D7.6a
AH6.1 F25H5.3e
AH6.1 C42D4.8
AH6.1 T26C12.4
AH6.1 R134.1
AH6.1 ZC395.7
AH6.1 T04D3.4a
AH6.1 F08B1.2
AH6.1 C32E12.2
AH6.1 Y97E10AR.5
AH6.1 ZC412.2
AH6.1 ZK970.6
AH6.1 C48E7.2.1
AH6.1 ZK896.8
AH6.1 ZK856.10
AH6.1 F58A4.9.1
AH6.1 R134.2
AH6.1 C06A1.5
AH6.1 C46E1.2
AH6.1 T07D1.1b
AH6.1 Y77E11A.6
AH6.1 F49H6.5
AH6.1 T04D3.3a
AH6.1 H27M09.2
AH6.2 T26C11.6
AH6.2 W02D9.4
AH6.2 T05C12.6a
AH6.2 F39H2.4
AH6.2 T07C4.2
AH6.2 T07C4.6.1
AH6.5.2 T22H9.4
AH6.5.2 T17H7.4d.2
AH6.5.2 B0414.8a
AH6.5.2 F10C1.5
AH6.5.2 JC8.6a
AH6.5.2 F14F3.1a
AH6.5.2 F40H6.4
AH6.5.2 F08C6.7
AH6.5.2 C06G3.1a
AH6.5.2 C18D1.1.2
AH6.5.2 Y73F8A.16
AH6.5.2 K12H6.12
AH6.5.2 T09A12.4c
AH6.5.2 C44B9.4
AH6.5.2 Y54E10A.9c.2
AH6.5.2 C17A2.8
AH6.5.2 K04H4.1a
AH6.5.2 W07B3.2b.2
