GCWU000342_00025 GCWU000342_01467
GCWU000342_00026 GCWU000342_01121
GCWU000342_00029 GCWU000342_01866
GCWU000342_00029 GCWU000342_01412
GCWU000342_00108 GCWU000342_00601
GCWU000342_00108 GCWU000342_00602
GCWU000342_00108 GCWU000342_01406
GCWU000342_00119 GCWU000342_01108
GCWU000342_00123 GCWU000342_00124
GCWU000342_00124 GCWU000342_00123
GCWU000342_00136 GCWU000342_00996
GCWU000342_00211 GCWU000342_00759
GCWU000342_00221 GCWU000342_00900
GCWU000342_00221 GCWU000342_01655
GCWU000342_00221 GCWU000342_00222
GCWU000342_00222 GCWU000342_00221
GCWU000342_00222 GCWU000342_00900
GCWU000342_00222 GCWU000342_00898
GCWU000342_00222 GCWU000342_02174
GCWU000342_00293 GCWU000342_01199
GCWU000342_00293 GCWU000342_01570
GCWU000342_00293 GCWU000342_00466
GCWU000342_00296 GCWU000342_00430
GCWU000342_00296 GCWU000342_01121
GCWU000342_00297 GCWU000342_01237
GCWU000342_00297 GCWU000342_00817
GCWU000342_00297 GCWU000342_00301
GCWU000342_00297 GCWU000342_01297
GCWU000342_00301 GCWU000342_01408
GCWU000342_00301 GCWU000342_00297
GCWU000342_00324 GCWU000342_01160
GCWU000342_00337 GCWU000342_00371
GCWU000342_00337 GCWU000342_00370
GCWU000342_00364 GCWU000342_00946
GCWU000342_00364 GCWU000342_00759
GCWU000342_00364 GCWU000342_01772
GCWU000342_00370 GCWU000342_00337
GCWU000342_00371 GCWU000342_00337
GCWU000342_00376 GCWU000342_00723
GCWU000342_00376 GCWU000342_01812
GCWU000342_00385 GCWU000342_00676
GCWU000342_00408 GCWU000342_01638
GCWU000342_00408 GCWU000342_00993
GCWU000342_00408 GCWU000342_02026
GCWU000342_00429 GCWU000342_01160
GCWU000342_00429 GCWU000342_00430
GCWU000342_00430 GCWU000342_00429
GCWU000342_00430 GCWU000342_00296
GCWU000342_00432 GCWU000342_00563
GCWU000342_00432 GCWU000342_00720
GCWU000342_00442 GCWU000342_00565
GCWU000342_00453 GCWU000342_01269
GCWU000342_00459 GCWU000342_02050
GCWU000342_00459 GCWU000342_02038
GCWU000342_00459 GCWU000342_01530
GCWU000342_00462 GCWU000342_02227
GCWU000342_00462 GCWU000342_01740
GCWU000342_00464 GCWU000342_01360
GCWU000342_00465 GCWU000342_00884
GCWU000342_00465 GCWU000342_00885
GCWU000342_00465 GCWU000342_01183
GCWU000342_00466 GCWU000342_00867
GCWU000342_00466 GCWU000342_00293
GCWU000342_00478 GCWU000342_00539
GCWU000342_00487 GCWU000342_00906
GCWU000342_00487 GCWU000342_00929
GCWU000342_00487 GCWU000342_00930
GCWU000342_00490 GCWU000342_00491
GCWU000342_00491 GCWU000342_00490
GCWU000342_00538 GCWU000342_00539
GCWU000342_00539 GCWU000342_01119
GCWU000342_00539 GCWU000342_01650
GCWU000342_00539 GCWU000342_00478
GCWU000342_00539 GCWU000342_00538
GCWU000342_00539 GCWU000342_01854
GCWU000342_00539 GCWU000342_00853
GCWU000342_00562 GCWU000342_00563
GCWU000342_00563 GCWU000342_00562
GCWU000342_00563 GCWU000342_00432
GCWU000342_00564 GCWU000342_00943
GCWU000342_00564 GCWU000342_01087
GCWU000342_00565 GCWU000342_00943
GCWU000342_00565 GCWU000342_00442
GCWU000342_00565 GCWU000342_00812
GCWU000342_00566 GCWU000342_00938
GCWU000342_00566 GCWU000342_00937
GCWU000342_00577 GCWU000342_02240
GCWU000342_00577 GCWU000342_02241
GCWU000342_00591 GCWU000342_02241
GCWU000342_00591 GCWU000342_02240
GCWU000342_00601 GCWU000342_00915
GCWU000342_00601 GCWU000342_00108
GCWU000342_00601 GCWU000342_00916
GCWU000342_00602 GCWU000342_00916
GCWU000342_00602 GCWU000342_00915
GCWU000342_00602 GCWU000342_00108
GCWU000342_00632 GCWU000342_00634
GCWU000342_00632 GCWU000342_00633
GCWU000342_00633 GCWU000342_00632
GCWU000342_00633 GCWU000342_00634
GCWU000342_00634 GCWU000342_00633
GCWU000342_00634 GCWU000342_00632
GCWU000342_00637 GCWU000342_00999
GCWU000342_00656 GCWU000342_01392
GCWU000342_00666 GCWU000342_00667
GCWU000342_00667 GCWU000342_00666
GCWU000342_00673 GCWU000342_01776
GCWU000342_00676 GCWU000342_00385
GCWU000342_00720 GCWU000342_00432
GCWU000342_00721 GCWU000342_01360
GCWU000342_00721 GCWU000342_01638
GCWU000342_00723 GCWU000342_00376
GCWU000342_00759 GCWU000342_00211
GCWU000342_00759 GCWU000342_00364
GCWU000342_00759 GCWU000342_00768
GCWU000342_00759 GCWU000342_00767
GCWU000342_00761 GCWU000342_01239
GCWU000342_00767 GCWU000342_00759
GCWU000342_00767 GCWU000342_01239
GCWU000342_00768 GCWU000342_00759
GCWU000342_00782 GCWU000342_02288
GCWU000342_00807 GCWU000342_01750
GCWU000342_00807 GCWU000342_01454
GCWU000342_00812 GCWU000342_00938
GCWU000342_00812 GCWU000342_00937
GCWU000342_00812 GCWU000342_00565
GCWU000342_00817 GCWU000342_01408
GCWU000342_00817 GCWU000342_00297
GCWU000342_00853 GCWU000342_01650
GCWU000342_00853 GCWU000342_00539
GCWU000342_00867 GCWU000342_01570
GCWU000342_00867 GCWU000342_00466
GCWU000342_00867 GCWU000342_01199
GCWU000342_00881 GCWU000342_00893
GCWU000342_00881 GCWU000342_00882
GCWU000342_00882 GCWU000342_00881
GCWU000342_00884 GCWU000342_00465
GCWU000342_00884 GCWU000342_01185
GCWU000342_00885 GCWU000342_01185
GCWU000342_00885 GCWU000342_00465
GCWU000342_00893 GCWU000342_00881
GCWU000342_00893 GCWU000342_00895
GCWU000342_00893 GCWU000342_01115
GCWU000342_00893 GCWU000342_01498
