VNG0005H VNG1068G
VNG0006G VNG1814G
VNG0006G VNG2093G
VNG0006G VNG1992G
VNG0006G VNG1815G
VNG0006G VNG1493G
VNG0008G VNG2206G
VNG0046G VNG0063G
VNG0046G VNG1048G
VNG0046G VNG0065G
VNG0046G VNG0752G
VNG0047Gm VNG2206G
VNG0063G VNG1048G
VNG0063G VNG0065G
VNG0063G VNG0046G
VNG0063G VNG0752G
VNG0064G VNG2206G
VNG0065G VNG0752G
VNG0065G VNG0063G
VNG0065G VNG0046G
VNG0065G VNG1048G
VNG0081G VNG1848H
VNG0081G VNG1273G
VNG0081G VNG0085G
VNG0085G VNG2668G
VNG0085G VNG2666G
VNG0085G VNG1848H
VNG0085G VNG1140G
VNG0085G VNG1296C
VNG0085G VNG0237H
VNG0085G VNG0081G
VNG0085G VNG1273G
VNG0085G VNG1136G
VNG0085G VNG0324G
VNG0085G VNG2053G
VNG0085G VNG2662G
VNG0085G VNG1141G
VNG0085G VNG0860G
VNG0085G VNG2051G
VNG0085G VNG2665G
VNG0085G VNG2664Gm
VNG0085G VNG1160G
VNG0085G VNG1169C
VNG0095G VNG0128C
VNG0095G VNG0937G
VNG0095G VNG0444G
VNG0095G VNG1216G
VNG0095G VNG0309C
VNG0095G VNG1992G
VNG0095G VNG0683C
VNG0095G VNG1859G
VNG0095G VNG1297C
VNG0095G VNG1027G
VNG0128C VNG1992G
VNG0128C VNG0309C
VNG0128C VNG1027G
VNG0128C VNG0683C
VNG0128C VNG1128G
VNG0128C VNG2629G
VNG0128C VNG0474G
VNG0128C VNG0095G
VNG0128C VNG0324G
VNG0128C VNG0473G
VNG0128C VNG2218G
VNG0128C VNG0937G
VNG0128C VNG1142G
VNG0128C VNG1926G
VNG0128C VNG2206G
VNG0128C VNG1297C
VNG0128C VNG1887G
VNG0128C VNG2217G
VNG0128C VNG1125G
VNG0133G VNG1255C
VNG0133G VNG2160C
VNG0158G VNG0442G
VNG0158G VNG0444G
VNG0159G VNG2381G
VNG0161G VNG2286G
VNG0161G VNG2093G
VNG0161G VNG0474G
VNG0161G VNG0502G
VNG0161G VNG0473G
VNG0161G VNG0629G
VNG0161G VNG2220G
VNG0161G VNG0771G
VNG0161G VNG1605G
VNG0161G VNG1209G
VNG0161G VNG2102G
VNG0161G VNG1601G
VNG0161G VNG0628G
VNG0161G VNG1204G
VNG0161G VNG2513G
VNG0161G VNG1606G
VNG0161G VNG2288G
VNG0161G VNG2367G
VNG0161G VNG1153G
VNG0161G VNG1603G
VNG0161G VNG2640G
VNG0161G VNG1873G
VNG0163G VNG0172G
VNG0166G VNG0880G
VNG0172G VNG0163G
VNG0181G VNG2216G
VNG0228G VNG0559G
VNG0228G VNG1001G
VNG0228G VNG1829G
VNG0228G VNG2117C
VNG0228G VNG2043G
VNG0228G VNG1241G
VNG0228G VNG0651G
VNG0234C VNG2465C
VNG0237H VNG1296C
VNG0237H VNG1273G
VNG0237H VNG0324G
VNG0237H VNG0085G
VNG0237H VNG1830G
VNG0237H VNG1160G
VNG0237H VNG0245G
VNG0240a VNG1352G
VNG0240a VNG1844G
VNG0245G VNG1140G
VNG0245G VNG0237H
VNG0245G VNG2666G
VNG0245G VNG0521G
VNG0245G VNG2668G
VNG0245G VNG1136G
VNG0245G VNG2570G
VNG0245G VNG2053G
VNG0245G VNG1141G
VNG0245G VNG2662G
VNG0245G VNG0860G
VNG0245G VNG2417G
VNG0245G VNG1160G
VNG0245G VNG2051G
VNG0245G VNG2665G
VNG0245G VNG1169C
VNG0245G VNG2664Gm
VNG0245G VNG2338G
VNG0250C VNG0572G
VNG0250C VNG1524C
VNG0250C VNG0771G
VNG0250C VNG2513G
VNG0250C VNG0251C
