FPR_00500 FPR_16850
FPR_00510 FPR_13400
FPR_00510 FPR_13430
FPR_00510 FPR_21510
FPR_00510 FPR_23560
FPR_00510 FPR_13450
FPR_00510 FPR_26320
FPR_00510 FPR_13410
FPR_00510 FPR_26340
FPR_00510 FPR_26310
FPR_00510 FPR_13380
FPR_00510 FPR_13440
FPR_00510 FPR_26300
FPR_00510 FPR_13370
FPR_00510 FPR_26290
FPR_00510 FPR_26350
FPR_00510 FPR_13420
FPR_00510 FPR_26330
FPR_00510 FPR_13390
FPR_00520 FPR_26310
FPR_00520 FPR_29700
FPR_00520 FPR_13440
FPR_00520 FPR_05320
FPR_00520 FPR_13380
FPR_00520 FPR_26320
FPR_00520 FPR_04940
FPR_00520 FPR_13410
FPR_00520 FPR_29660
FPR_00520 FPR_29690
FPR_00520 FPR_26300
FPR_00520 FPR_25720
FPR_00520 FPR_11760
FPR_00520 FPR_13370
FPR_00520 FPR_31080
FPR_00520 FPR_26290
FPR_00520 FPR_26350
FPR_00520 FPR_13420
FPR_00520 FPR_26330
FPR_00520 FPR_13390
FPR_00520 FPR_05310
FPR_00520 FPR_09290
FPR_00520 FPR_26340
FPR_00520 FPR_28100
FPR_00520 FPR_06720
FPR_00520 FPR_23560
FPR_00520 FPR_16310
FPR_00520 FPR_13450
FPR_00520 FPR_13430
FPR_00520 FPR_28980
FPR_00520 FPR_13400
FPR_00520 FPR_21740
FPR_00520 FPR_23440
FPR_00520 FPR_27680
FPR_00520 FPR_21510
FPR_00670 FPR_00690
FPR_00670 FPR_00680
FPR_00680 FPR_00690
FPR_00680 FPR_00670
FPR_00690 FPR_00680
FPR_00690 FPR_00670
FPR_00970 FPR_13720
FPR_00970 FPR_21080
FPR_00970 FPR_25190
FPR_00970 FPR_29910
FPR_00970 FPR_12050
FPR_00970 FPR_17550
FPR_00970 FPR_15710
FPR_00970 FPR_18310
FPR_00970 FPR_03130
FPR_00970 FPR_26140
FPR_00970 FPR_11900
FPR_00970 FPR_03120
FPR_00970 FPR_10650
FPR_00970 FPR_16460
FPR_00970 FPR_10580
FPR_00970 FPR_19950
FPR_00970 FPR_18280
FPR_00970 FPR_06950
FPR_00970 FPR_21350
FPR_00970 FPR_10380
FPR_00970 FPR_30510
FPR_00970 FPR_11890
FPR_00970 FPR_10080
FPR_00970 FPR_12610
FPR_00970 FPR_12590
FPR_00970 FPR_00980
FPR_00970 FPR_28370
FPR_00970 FPR_01920
FPR_00970 FPR_29920
FPR_00970 FPR_13630
FPR_00970 FPR_08670
FPR_00970 FPR_24470
FPR_00970 FPR_21390
FPR_00980 FPR_13720
FPR_00980 FPR_21350
FPR_00980 FPR_28240
FPR_00980 FPR_00970
FPR_00980 FPR_28230
FPR_00980 FPR_26020
FPR_00980 FPR_18290
FPR_00980 FPR_24470
FPR_00980 FPR_21390
FPR_01000 FPR_10610
FPR_01000 FPR_10620
FPR_01000 FPR_21860
FPR_01000 FPR_10640
FPR_01330 FPR_08920
FPR_01330 FPR_27990
FPR_01340 FPR_31070
FPR_01340 FPR_27850
FPR_01340 FPR_20390
FPR_01340 FPR_28550
FPR_01340 FPR_09680
FPR_01340 FPR_07280
FPR_01340 FPR_20400
FPR_01340 FPR_05440
FPR_01340 FPR_06520
FPR_01340 FPR_17180
FPR_01340 FPR_05540
FPR_01340 FPR_31640
FPR_01370 FPR_24200
FPR_01370 FPR_19740
FPR_01370 FPR_24210
FPR_01370 FPR_24190
FPR_01890 FPR_08730
FPR_01890 FPR_01900
FPR_01890 FPR_25880
FPR_01900 FPR_01890
FPR_01900 FPR_17400
FPR_01900 FPR_31290
FPR_01920 FPR_11880
FPR_01920 FPR_14830
FPR_01920 FPR_28240
FPR_01920 FPR_24540
FPR_01920 FPR_00970
FPR_01920 FPR_25700
FPR_01920 FPR_13720
FPR_01920 FPR_11900
FPR_01920 FPR_26140
FPR_01920 FPR_30120
FPR_01920 FPR_14840
FPR_01920 FPR_10380
FPR_01920 FPR_21350
FPR_01920 FPR_12470
FPR_01920 FPR_11890
FPR_01920 FPR_29580
FPR_01920 FPR_28230
FPR_01920 FPR_14850
FPR_01920 FPR_24470
FPR_01920 FPR_09230
FPR_01920 FPR_26020
FPR_01920 FPR_18290
FPR_01920 FPR_21390
FPR_01990 FPR_21760
FPR_01990 FPR_20750
FPR_01990 FPR_16430
FPR_01990 FPR_23400
FPR_01990 FPR_23560
FPR_01990 FPR_16530
FPR_01990 FPR_20760
FPR_01990 FPR_06940
FPR_01990 FPR_07860
FPR_01990 FPR_21510
FPR_01990 FPR_29960
FPR_01990 FPR_29970
FPR_02000 FPR_02010
FPR_02000 FPR_02020
FPR_02010 FPR_02020
FPR_02010 FPR_02000
FPR_02020 FPR_02000
FPR_02020 FPR_02010
FPR_02100 FPR_16430
FPR_02100 FPR_04270
FPR_02100 FPR_07860
FPR_02100 FPR_05180
FPR_02100 FPR_27720
FPR_02100 FPR_04280
FPR_02100 FPR_24360
FPR_02100 FPR_06040
FPR_02100 FPR_16530
FPR_02100 FPR_13360
FPR_02110 FPR_03770
FPR_02110 FPR_24390
FPR_02110 FPR_05240
FPR_02110 FPR_06580
FPR_02110 FPR_10680
FPR_02120 FPR_24420
FPR_02120 FPR_30420
FPR_02150 FPR_18470
FPR_02150 FPR_08730
FPR_02150 FPR_12680
FPR_02150 FPR_25720
FPR_02150 FPR_25880
FPR_02150 FPR_28530
FPR_02150 FPR_17190
FPR_02150 FPR_10190
FPR_02150 FPR_26170
FPR_02150 FPR_10200
FPR_02150 FPR_27610
FPR_02150 FPR_21750
FPR_02150 FPR_06520
FPR_02150 FPR_09230
FPR_02150 FPR_16210
FPR_02150 FPR_18570
FPR_02150 FPR_21740
FPR_02150 FPR_25870
FPR_02150 FPR_05820
FPR_02170 FPR_13230
