AL1_00130 AL1_17120
AL1_00370 AL1_19890
AL1_00380 AL1_25580
AL1_00380 AL1_12450
AL1_00380 AL1_16660
AL1_00380 AL1_27120
AL1_00380 AL1_10960
AL1_00380 AL1_15900
AL1_00380 AL1_22920
AL1_00380 AL1_16560
AL1_00380 AL1_05240
AL1_00380 AL1_11360
AL1_00380 AL1_13810
AL1_00490 AL1_10700
AL1_00490 AL1_00590
AL1_00590 AL1_01930
AL1_00590 AL1_11040
AL1_00590 AL1_27120
AL1_00590 AL1_00490
AL1_00590 AL1_16660
AL1_00590 AL1_07890
AL1_00590 AL1_10700
AL1_00590 AL1_13810
AL1_00590 AL1_02560
AL1_00750 AL1_00760
AL1_00750 AL1_27360
AL1_00750 AL1_18440
AL1_00760 AL1_05010
AL1_00760 AL1_25050
AL1_00760 AL1_00750
AL1_00830 AL1_05090
AL1_00900 AL1_06580
AL1_00900 AL1_08300
AL1_00900 AL1_28190
AL1_00900 AL1_25370
AL1_00900 AL1_29940
AL1_00900 AL1_32270
AL1_00900 AL1_21640
AL1_00900 AL1_10850
AL1_00900 AL1_28200
AL1_00900 AL1_10420
AL1_00900 AL1_24020
AL1_00900 AL1_30510
AL1_00900 AL1_28210
AL1_00900 AL1_22030
AL1_00900 AL1_06890
AL1_00900 AL1_06910
AL1_00900 AL1_26380
AL1_00900 AL1_08310
AL1_00900 AL1_13430
AL1_00900 AL1_29930
AL1_00900 AL1_04250
AL1_00900 AL1_06920
AL1_00900 AL1_14040
AL1_00900 AL1_13210
AL1_00900 AL1_10680
AL1_00900 AL1_06570
AL1_00900 AL1_21660
AL1_00900 AL1_06900
AL1_00900 AL1_20170
AL1_00900 AL1_17530
AL1_00900 AL1_07060
AL1_00900 AL1_04240
AL1_00900 AL1_26810
AL1_00900 AL1_22960
AL1_00930 AL1_02720
AL1_00930 AL1_00940
AL1_00930 AL1_02750
AL1_00930 AL1_02020
AL1_00940 AL1_00930
AL1_01070 AL1_21070
AL1_01070 AL1_14980
AL1_01180 AL1_07890
AL1_01180 AL1_17270
AL1_01660 AL1_09780
AL1_01670 AL1_25380
AL1_01670 AL1_29600
AL1_01670 AL1_08760
AL1_01670 AL1_26540
AL1_01930 AL1_06580
AL1_01930 AL1_25370
AL1_01930 AL1_12450
AL1_01930 AL1_10960
AL1_01930 AL1_11040
AL1_01930 AL1_27830
AL1_01930 AL1_05240
AL1_01930 AL1_10850
AL1_01930 AL1_00590
AL1_01930 AL1_11360
AL1_01930 AL1_22030
AL1_01930 AL1_22920
AL1_01930 AL1_21660
AL1_01990 AL1_25370
AL1_01990 AL1_30750
AL1_01990 AL1_27830
AL1_01990 AL1_20880
AL1_01990 AL1_32290
AL1_01990 AL1_30830
AL1_02020 AL1_00930
AL1_02020 AL1_06540
AL1_02050 AL1_21400
AL1_02050 AL1_17530
AL1_02150 AL1_12450
AL1_02150 AL1_10960
AL1_02150 AL1_22920
AL1_02170 AL1_16660
AL1_02170 AL1_27120
AL1_02170 AL1_13810
AL1_02340 AL1_25060
AL1_02350 AL1_14720
AL1_02350 AL1_22190
AL1_02430 AL1_18590
AL1_02430 AL1_26410
AL1_02430 AL1_18330
AL1_02430 AL1_27520
AL1_02430 AL1_04490
AL1_02430 AL1_04480
AL1_02480 AL1_21120
AL1_02550 AL1_02560
AL1_02560 AL1_16660
AL1_02560 AL1_27120
AL1_02560 AL1_07890
AL1_02560 AL1_02550
AL1_02560 AL1_00590
AL1_02560 AL1_13810
AL1_02630 AL1_13330
AL1_02630 AL1_05290
AL1_02720 AL1_11300
AL1_02720 AL1_19960
AL1_02720 AL1_02800
AL1_02720 AL1_02750
AL1_02720 AL1_00930
AL1_02740 AL1_02790
AL1_02740 AL1_15860
