ENSCINP00000000041 ENSCINP00000016458
ENSCINP00000000091 ENSCINP00000007230
ENSCINP00000000091 ENSCINP00000027323
ENSCINP00000000091 ENSCINP00000008778
ENSCINP00000000091 ENSCINP00000019398
ENSCINP00000000091 ENSCINP00000026376
ENSCINP00000000091 ENSCINP00000012850
ENSCINP00000000095 ENSCINP00000004990
ENSCINP00000000095 ENSCINP00000013306
ENSCINP00000000095 ENSCINP00000002919
ENSCINP00000000095 ENSCINP00000005699
ENSCINP00000000095 ENSCINP00000029970
ENSCINP00000000095 ENSCINP00000001408
ENSCINP00000000095 ENSCINP00000033982
ENSCINP00000000095 ENSCINP00000007158
ENSCINP00000000095 ENSCINP00000003357
ENSCINP00000000095 ENSCINP00000025716
ENSCINP00000000095 ENSCINP00000011274
ENSCINP00000000095 ENSCINP00000017071
ENSCINP00000000095 ENSCINP00000019330
ENSCINP00000000095 ENSCINP00000022682
ENSCINP00000000095 ENSCINP00000010323
ENSCINP00000000095 ENSCINP00000016220
ENSCINP00000000189 ENSCINP00000024020
ENSCINP00000000189 ENSCINP00000035490
ENSCINP00000000189 ENSCINP00000007461
ENSCINP00000000189 ENSCINP00000012877
ENSCINP00000000189 ENSCINP00000009993
ENSCINP00000000189 ENSCINP00000008778
ENSCINP00000000189 ENSCINP00000036228
ENSCINP00000000189 ENSCINP00000021382
ENSCINP00000000189 ENSCINP00000007786
ENSCINP00000000189 ENSCINP00000007610
ENSCINP00000000189 ENSCINP00000011291
ENSCINP00000000189 ENSCINP00000010427
ENSCINP00000000189 ENSCINP00000019398
ENSCINP00000000216 ENSCINP00000019051
ENSCINP00000000216 ENSCINP00000031271
ENSCINP00000000216 ENSCINP00000011135
ENSCINP00000000216 ENSCINP00000008493
ENSCINP00000000216 ENSCINP00000016753
ENSCINP00000000216 ENSCINP00000033686
ENSCINP00000000216 ENSCINP00000026491
ENSCINP00000000216 ENSCINP00000023249
ENSCINP00000000216 ENSCINP00000013673
ENSCINP00000000274 ENSCINP00000010850
ENSCINP00000000274 ENSCINP00000005182
ENSCINP00000000345 ENSCINP00000006386
ENSCINP00000000345 ENSCINP00000008274
ENSCINP00000000345 ENSCINP00000012794
ENSCINP00000000345 ENSCINP00000015461
ENSCINP00000000345 ENSCINP00000017469
ENSCINP00000000345 ENSCINP00000016361
ENSCINP00000000355 ENSCINP00000030866
ENSCINP00000000355 ENSCINP00000014767
ENSCINP00000000365 ENSCINP00000035646
ENSCINP00000000365 ENSCINP00000020483
ENSCINP00000000421 ENSCINP00000013105
ENSCINP00000000426 ENSCINP00000013803
ENSCINP00000000426 ENSCINP00000015532
ENSCINP00000000426 ENSCINP00000031278
ENSCINP00000000426 ENSCINP00000034674
ENSCINP00000000426 ENSCINP00000007539
ENSCINP00000000426 ENSCINP00000005728
ENSCINP00000000426 ENSCINP00000002112
ENSCINP00000000426 ENSCINP00000017567
ENSCINP00000000426 ENSCINP00000026075
ENSCINP00000000426 ENSCINP00000016703
ENSCINP00000000470 ENSCINP00000009346
ENSCINP00000000534 ENSCINP00000034938
ENSCINP00000000534 ENSCINP00000000889
ENSCINP00000000534 ENSCINP00000022587
ENSCINP00000000534 ENSCINP00000033490
ENSCINP00000000534 ENSCINP00000011667
ENSCINP00000000534 ENSCINP00000031493
ENSCINP00000000534 ENSCINP00000015277
ENSCINP00000000534 ENSCINP00000027447
ENSCINP00000000534 ENSCINP00000013648
ENSCINP00000000534 ENSCINP00000017003
ENSCINP00000000534 ENSCINP00000007337
ENSCINP00000000534 ENSCINP00000033676
ENSCINP00000000534 ENSCINP00000032951
ENSCINP00000000534 ENSCINP00000016568
ENSCINP00000000534 ENSCINP00000003194
ENSCINP00000000534 ENSCINP00000006863
ENSCINP00000000534 ENSCINP00000035646
ENSCINP00000000534 ENSCINP00000014863
ENSCINP00000000534 ENSCINP00000021902
ENSCINP00000000534 ENSCINP00000029798
ENSCINP00000000534 ENSCINP00000030207
ENSCINP00000000534 ENSCINP00000014424
ENSCINP00000000534 ENSCINP00000025485
ENSCINP00000000534 ENSCINP00000010920
ENSCINP00000000534 ENSCINP00000016627
ENSCINP00000000534 ENSCINP00000010264
ENSCINP00000000534 ENSCINP00000008954
ENSCINP00000000534 ENSCINP00000032097
ENSCINP00000000534 ENSCINP00000016166
ENSCINP00000000534 ENSCINP00000008557
ENSCINP00000000534 ENSCINP00000008157
ENSCINP00000000534 ENSCINP00000025129
ENSCINP00000000534 ENSCINP00000035506
ENSCINP00000000534 ENSCINP00000030689
ENSCINP00000000534 ENSCINP00000007369
ENSCINP00000000534 ENSCINP00000011619
ENSCINP00000000534 ENSCINP00000025829
ENSCINP00000000534 ENSCINP00000021822
ENSCINP00000000534 ENSCINP00000013245
ENSCINP00000000551 ENSCINP00000007252
ENSCINP00000000571 ENSCINP00000018854
ENSCINP00000000571 ENSCINP00000008672
ENSCINP00000000571 ENSCINP00000020143
ENSCINP00000000571 ENSCINP00000010668
ENSCINP00000000571 ENSCINP00000004765
ENSCINP00000000571 ENSCINP00000018021
ENSCINP00000000577 ENSCINP00000006663
ENSCINP00000000577 ENSCINP00000015488
ENSCINP00000000577 ENSCINP00000023732
ENSCINP00000000577 ENSCINP00000014787
ENSCINP00000000577 ENSCINP00000007609
ENSCINP00000000577 ENSCINP00000017065
ENSCINP00000000577 ENSCINP00000036558
ENSCINP00000000577 ENSCINP00000013411
ENSCINP00000000577 ENSCINP00000015245
ENSCINP00000000577 ENSCINP00000016717
ENSCINP00000000577 ENSCINP00000035744
ENSCINP00000000577 ENSCINP00000025397
ENSCINP00000000577 ENSCINP00000009496
ENSCINP00000000600 ENSCINP00000006544
ENSCINP00000000600 ENSCINP00000018275
ENSCINP00000000600 ENSCINP00000022686
ENSCINP00000000607 ENSCINP00000030699
ENSCINP00000000624 ENSCINP00000034846
ENSCINP00000000624 ENSCINP00000004212
ENSCINP00000000624 ENSCINP00000008568
ENSCINP00000000624 ENSCINP00000008856
ENSCINP00000000624 ENSCINP00000008557
ENSCINP00000000624 ENSCINP00000006425
ENSCINP00000000624 ENSCINP00000010349
ENSCINP00000000624 ENSCINP00000023560
ENSCINP00000000624 ENSCINP00000025129
ENSCINP00000000624 ENSCINP00000011619
ENSCINP00000000624 ENSCINP00000007995
ENSCINP00000000624 ENSCINP00000018158
ENSCINP00000000624 ENSCINP00000022607
ENSCINP00000000624 ENSCINP00000003194
ENSCINP00000000624 ENSCINP00000011810
ENSCINP00000000624 ENSCINP00000014265
ENSCINP00000000624 ENSCINP00000009832
ENSCINP00000000624 ENSCINP00000008954
ENSCINP00000000633 ENSCINP00000002425
ENSCINP00000000701 ENSCINP00000032092
ENSCINP00000000747 ENSCINP00000005012
ENSCINP00000000747 ENSCINP00000014064
ENSCINP00000000747 ENSCINP00000036216
ENSCINP00000000747 ENSCINP00000035590
ENSCINP00000000747 ENSCINP00000034277
ENSCINP00000000747 ENSCINP00000010646
ENSCINP00000000747 ENSCINP00000016982
ENSCINP00000000747 ENSCINP00000003820
ENSCINP00000000763 ENSCINP00000026821
ENSCINP00000000763 ENSCINP00000030747
ENSCINP00000000763 ENSCINP00000021774
ENSCINP00000000763 ENSCINP00000035369
ENSCINP00000000763 ENSCINP00000008856
ENSCINP00000000763 ENSCINP00000018101
ENSCINP00000000763 ENSCINP00000016568
ENSCINP00000000763 ENSCINP00000036494
ENSCINP00000000763 ENSCINP00000003194
ENSCINP00000000763 ENSCINP00000011780
ENSCINP00000000763 ENSCINP00000009198
ENSCINP00000000763 ENSCINP00000014265
ENSCINP00000000763 ENSCINP00000015119
ENSCINP00000000763 ENSCINP00000011810
ENSCINP00000000763 ENSCINP00000015375
ENSCINP00000000763 ENSCINP00000009832
ENSCINP00000000763 ENSCINP00000017691
ENSCINP00000000763 ENSCINP00000017905
ENSCINP00000000763 ENSCINP00000007369
ENSCINP00000000763 ENSCINP00000005755
ENSCINP00000000763 ENSCINP00000006115
ENSCINP00000000763 ENSCINP00000012074
ENSCINP00000000763 ENSCINP00000013648
ENSCINP00000000763 ENSCINP00000014956
ENSCINP00000000763 ENSCINP00000007995
ENSCINP00000000763 ENSCINP00000018158
ENSCINP00000000763 ENSCINP00000015426
ENSCINP00000000763 ENSCINP00000009125
ENSCINP00000000763 ENSCINP00000011667
ENSCINP00000000763 ENSCINP00000012511
ENSCINP00000000763 ENSCINP00000013034
ENSCINP00000000763 ENSCINP00000008382
ENSCINP00000000763 ENSCINP00000019385
ENSCINP00000000763 ENSCINP00000010920
ENSCINP00000000763 ENSCINP00000015277
ENSCINP00000000763 ENSCINP00000011173
ENSCINP00000000788 ENSCINP00000015933
ENSCINP00000000788 ENSCINP00000008987
ENSCINP00000000788 ENSCINP00000022842
ENSCINP00000000788 ENSCINP00000018124
ENSCINP00000000788 ENSCINP00000015540
ENSCINP00000000788 ENSCINP00000003581
ENSCINP00000000788 ENSCINP00000014333
ENSCINP00000000788 ENSCINP00000011748
ENSCINP00000000831 ENSCINP00000016161
ENSCINP00000000831 ENSCINP00000010645
ENSCINP00000000831 ENSCINP00000014720
ENSCINP00000000831 ENSCINP00000013062
ENSCINP00000000868 ENSCINP00000017048
ENSCINP00000000868 ENSCINP00000013854
ENSCINP00000000889 ENSCINP00000013245
ENSCINP00000000889 ENSCINP00000029798
ENSCINP00000000889 ENSCINP00000013648
ENSCINP00000000889 ENSCINP00000034938
ENSCINP00000000889 ENSCINP00000000534
ENSCINP00000000889 ENSCINP00000030207
ENSCINP00000000889 ENSCINP00000014424
ENSCINP00000000889 ENSCINP00000010920
ENSCINP00000000889 ENSCINP00000032951
ENSCINP00000000889 ENSCINP00000003194
ENSCINP00000000889 ENSCINP00000025485
ENSCINP00000000889 ENSCINP00000016627
ENSCINP00000000889 ENSCINP00000010264
ENSCINP00000000889 ENSCINP00000008954
ENSCINP00000000889 ENSCINP00000032097
ENSCINP00000000889 ENSCINP00000016166
ENSCINP00000000889 ENSCINP00000008557
ENSCINP00000000889 ENSCINP00000008157
ENSCINP00000000889 ENSCINP00000035506
ENSCINP00000000889 ENSCINP00000007369
ENSCINP00000000889 ENSCINP00000030689
ENSCINP00000000889 ENSCINP00000033490
ENSCINP00000000889 ENSCINP00000011667
ENSCINP00000000889 ENSCINP00000031493
ENSCINP00000000889 ENSCINP00000027447
ENSCINP00000000889 ENSCINP00000015277
ENSCINP00000000889 ENSCINP00000022587
ENSCINP00000000889 ENSCINP00000017003
ENSCINP00000000889 ENSCINP00000033676
ENSCINP00000000889 ENSCINP00000016568
ENSCINP00000000889 ENSCINP00000007337
ENSCINP00000000889 ENSCINP00000006863
