ENSPCAP00000000754 ENSPCAP00000007455
ENSPCAP00000000946 ENSPCAP00000005301
ENSPCAP00000001270 ENSPCAP00000003256
ENSPCAP00000001417 ENSPCAP00000002410
ENSPCAP00000002410 ENSPCAP00000001417
ENSPCAP00000002736 ENSPCAP00000008290
ENSPCAP00000002736 ENSPCAP00000009065
ENSPCAP00000002736 ENSPCAP00000012453
ENSPCAP00000002736 ENSPCAP00000005038
ENSPCAP00000002969 ENSPCAP00000013243
ENSPCAP00000002969 ENSPCAP00000008497
ENSPCAP00000003151 ENSPCAP00000003167
ENSPCAP00000003167 ENSPCAP00000003151
ENSPCAP00000003184 ENSPCAP00000003789
ENSPCAP00000003256 ENSPCAP00000001270
ENSPCAP00000003452 ENSPCAP00000009242
ENSPCAP00000003789 ENSPCAP00000003184
ENSPCAP00000003969 ENSPCAP00000005301
ENSPCAP00000004493 ENSPCAP00000004509
ENSPCAP00000004509 ENSPCAP00000004493
ENSPCAP00000004897 ENSPCAP00000012156
ENSPCAP00000004930 ENSPCAP00000006680
ENSPCAP00000004930 ENSPCAP00000014915
ENSPCAP00000004930 ENSPCAP00000013276
ENSPCAP00000004930 ENSPCAP00000013243
ENSPCAP00000004930 ENSPCAP00000008497
ENSPCAP00000004930 ENSPCAP00000014885
ENSPCAP00000005038 ENSPCAP00000012453
ENSPCAP00000005038 ENSPCAP00000002736
ENSPCAP00000005038 ENSPCAP00000008290
ENSPCAP00000005038 ENSPCAP00000009065
ENSPCAP00000005301 ENSPCAP00000015186
ENSPCAP00000005301 ENSPCAP00000006569
ENSPCAP00000005301 ENSPCAP00000009560
ENSPCAP00000005301 ENSPCAP00000009496
ENSPCAP00000005301 ENSPCAP00000015692
ENSPCAP00000005301 ENSPCAP00000003969
ENSPCAP00000005301 ENSPCAP00000000946
ENSPCAP00000006148 ENSPCAP00000008848
ENSPCAP00000006569 ENSPCAP00000005301
ENSPCAP00000006680 ENSPCAP00000004930
ENSPCAP00000006680 ENSPCAP00000014915
ENSPCAP00000006680 ENSPCAP00000013276
ENSPCAP00000006680 ENSPCAP00000014885
ENSPCAP00000006693 ENSPCAP00000012044
ENSPCAP00000007455 ENSPCAP00000000754
ENSPCAP00000008290 ENSPCAP00000009065
ENSPCAP00000008290 ENSPCAP00000012453
ENSPCAP00000008290 ENSPCAP00000002736
ENSPCAP00000008290 ENSPCAP00000005038
ENSPCAP00000008497 ENSPCAP00000002969
ENSPCAP00000008497 ENSPCAP00000004930
ENSPCAP00000008497 ENSPCAP00000014915
ENSPCAP00000008497 ENSPCAP00000013243
ENSPCAP00000008497 ENSPCAP00000014885
ENSPCAP00000008520 ENSPCAP00000012503
ENSPCAP00000008848 ENSPCAP00000006148
ENSPCAP00000009065 ENSPCAP00000008290
ENSPCAP00000009065 ENSPCAP00000012453
ENSPCAP00000009065 ENSPCAP00000002736
ENSPCAP00000009065 ENSPCAP00000005038
ENSPCAP00000009242 ENSPCAP00000003452
ENSPCAP00000009496 ENSPCAP00000005301
ENSPCAP00000009560 ENSPCAP00000005301
ENSPCAP00000009560 ENSPCAP00000015692
ENSPCAP00000010253 ENSPCAP00000014027
ENSPCAP00000011163 ENSPCAP00000012338
ENSPCAP00000011435 ENSPCAP00000011517
ENSPCAP00000011517 ENSPCAP00000011435
ENSPCAP00000012044 ENSPCAP00000006693
ENSPCAP00000012156 ENSPCAP00000004897
ENSPCAP00000012338 ENSPCAP00000011163
ENSPCAP00000012453 ENSPCAP00000008290
ENSPCAP00000012453 ENSPCAP00000009065
ENSPCAP00000012453 ENSPCAP00000002736
ENSPCAP00000012453 ENSPCAP00000005038
ENSPCAP00000012503 ENSPCAP00000008520
ENSPCAP00000012753 ENSPCAP00000014027
ENSPCAP00000013198 ENSPCAP00000014885
ENSPCAP00000013243 ENSPCAP00000002969
ENSPCAP00000013243 ENSPCAP00000004930
ENSPCAP00000013243 ENSPCAP00000014915
ENSPCAP00000013243 ENSPCAP00000008497
ENSPCAP00000013243 ENSPCAP00000014885
ENSPCAP00000013276 ENSPCAP00000014885
ENSPCAP00000013276 ENSPCAP00000006680
ENSPCAP00000013276 ENSPCAP00000004930
ENSPCAP00000013276 ENSPCAP00000014915
ENSPCAP00000013416 ENSPCAP00000014449
ENSPCAP00000014027 ENSPCAP00000010253
ENSPCAP00000014027 ENSPCAP00000012753
ENSPCAP00000014202 ENSPCAP00000015427
ENSPCAP00000014449 ENSPCAP00000013416
ENSPCAP00000014885 ENSPCAP00000006680
ENSPCAP00000014885 ENSPCAP00000004930
ENSPCAP00000014885 ENSPCAP00000013198
ENSPCAP00000014885 ENSPCAP00000014915
ENSPCAP00000014885 ENSPCAP00000013276
ENSPCAP00000014885 ENSPCAP00000013243
ENSPCAP00000014885 ENSPCAP00000008497
ENSPCAP00000014915 ENSPCAP00000014885
ENSPCAP00000014915 ENSPCAP00000006680
ENSPCAP00000014915 ENSPCAP00000004930
ENSPCAP00000014915 ENSPCAP00000013276
ENSPCAP00000014915 ENSPCAP00000013243
ENSPCAP00000014915 ENSPCAP00000008497
ENSPCAP00000015186 ENSPCAP00000005301
ENSPCAP00000015427 ENSPCAP00000014202
ENSPCAP00000015692 ENSPCAP00000005301
ENSPCAP00000015692 ENSPCAP00000009560
ENSPCAP00000015715 ENSPCAP00000015982
ENSPCAP00000015982 ENSPCAP00000015715
