ALO_00045 ALO_14412
ALO_00110 ALO_01369
ALO_00110 ALO_00115
ALO_00110 ALO_01354
ALO_00110 ALO_03371
ALO_00110 ALO_13025
ALO_00110 ALO_13080
ALO_00110 ALO_01080
ALO_00110 ALO_01085
ALO_00110 ALO_13159
ALO_00110 ALO_03391
ALO_00115 ALO_03376
ALO_00115 ALO_00110
ALO_00115 ALO_01359
ALO_00185 ALO_16517
ALO_00185 ALO_01165
ALO_00265 ALO_21861
ALO_00265 ALO_07268
ALO_00265 ALO_07263
ALO_00265 ALO_21856
ALO_00345 ALO_11864
ALO_00380 ALO_10914
ALO_00380 ALO_20007
ALO_00420 ALO_11204
ALO_00420 ALO_08263
ALO_00420 ALO_01919
ALO_00420 ALO_07173
ALO_00420 ALO_11594
ALO_00420 ALO_11584
ALO_00535 ALO_09864
ALO_00535 ALO_05645
ALO_00535 ALO_07908
ALO_00535 ALO_21424
ALO_00555 ALO_21741
ALO_00555 ALO_10959
ALO_00555 ALO_00840
ALO_00560 ALO_10959
ALO_00560 ALO_00840
ALO_00560 ALO_21731
ALO_00565 ALO_10959
ALO_00565 ALO_00840
ALO_00565 ALO_21731
ALO_00665 ALO_21319
ALO_00665 ALO_18315
ALO_00680 ALO_06308
ALO_00680 ALO_02416
ALO_00695 ALO_13514
ALO_00760 ALO_00765
ALO_00760 ALO_00790
ALO_00765 ALO_00790
ALO_00765 ALO_00760
ALO_00765 ALO_00785
ALO_00770 ALO_00775
ALO_00770 ALO_00780
ALO_00775 ALO_00780
ALO_00775 ALO_00770
ALO_00780 ALO_00770
ALO_00780 ALO_00775
ALO_00780 ALO_00785
ALO_00785 ALO_00780
ALO_00785 ALO_00765
ALO_00785 ALO_00790
ALO_00790 ALO_00765
ALO_00790 ALO_00760
ALO_00790 ALO_00785
ALO_00840 ALO_18857
ALO_00840 ALO_21736
ALO_00840 ALO_00845
ALO_00840 ALO_00560
ALO_00840 ALO_00555
ALO_00840 ALO_00565
ALO_00840 ALO_08108
ALO_00840 ALO_18832
ALO_00840 ALO_17201
ALO_00840 ALO_04903
ALO_00840 ALO_18837
ALO_00840 ALO_04908
ALO_00845 ALO_10959
ALO_00845 ALO_21731
ALO_00845 ALO_00840
ALO_01040 ALO_13514
ALO_01065 ALO_01070
ALO_01065 ALO_10269
ALO_01070 ALO_05543
ALO_01070 ALO_14247
ALO_01070 ALO_01065
ALO_01080 ALO_01095
ALO_01080 ALO_00110
ALO_01080 ALO_01359
ALO_01080 ALO_03376
ALO_01085 ALO_03376
ALO_01085 ALO_00110
ALO_01085 ALO_01359
ALO_01085 ALO_01095
ALO_01095 ALO_01080
ALO_01095 ALO_01085
ALO_01115 ALO_04226
ALO_01160 ALO_20872
ALO_01165 ALO_07203
ALO_01165 ALO_06878
ALO_01165 ALO_05543
ALO_01165 ALO_14547
ALO_01165 ALO_00185
ALO_01165 ALO_21896
ALO_01165 ALO_14247
ALO_01190 ALO_03506
ALO_01190 ALO_03244
ALO_01205 ALO_17361
ALO_01205 ALO_14622
ALO_01205 ALO_08897
ALO_01245 ALO_20872
ALO_01354 ALO_00110
ALO_01354 ALO_01359
ALO_01354 ALO_03376
ALO_01359 ALO_01369
ALO_01359 ALO_00115
ALO_01359 ALO_01354
ALO_01359 ALO_03371
ALO_01359 ALO_13080
ALO_01359 ALO_13025
ALO_01359 ALO_01085
ALO_01359 ALO_01080
ALO_01359 ALO_13159
ALO_01359 ALO_03391
ALO_01369 ALO_03376
ALO_01369 ALO_00110
ALO_01369 ALO_01359
ALO_01414 ALO_09874
ALO_01414 ALO_17136
