BRLA_c00130 BRLA_c06230
BRLA_c00140 BRLA_c40850
BRLA_c00350 BRLA_c13060
BRLA_c00520 BRLA_c00530
BRLA_c00520 BRLA_c00540
BRLA_c00530 BRLA_c00540
BRLA_c00530 BRLA_c00520
BRLA_c00540 BRLA_c00530
BRLA_c00540 BRLA_c00520
BRLA_c00590 BRLA_c13520
BRLA_c00590 BRLA_c13510
BRLA_c00600 BRLA_c13520
BRLA_c00600 BRLA_c13510
BRLA_c00690 BRLA_c16200
BRLA_c00690 BRLA_c12260
BRLA_c01000 BRLA_c01010
BRLA_c01010 BRLA_c01000
BRLA_c01290 BRLA_c01300
BRLA_c01300 BRLA_c01290
BRLA_c01530 BRLA_c40780
BRLA_c01580 BRLA_c29910
BRLA_c01580 BRLA_c12590
BRLA_c01580 BRLA_c07510
BRLA_c01840 BRLA_c06690
BRLA_c01840 BRLA_c01860
BRLA_c01850 BRLA_c01860
BRLA_c01860 BRLA_c01850
BRLA_c01860 BRLA_c01840
BRLA_c01870 BRLA_c25670
BRLA_c01870 BRLA_c13690
BRLA_c01870 BRLA_c24390
BRLA_c01870 BRLA_c25450
BRLA_c01870 BRLA_c19450
BRLA_c01870 BRLA_c06670
BRLA_c01870 BRLA_c16720
BRLA_c01870 BRLA_c24260
BRLA_c01870 BRLA_c34710
BRLA_c01870 BRLA_c11520
BRLA_c01910 BRLA_c16200
BRLA_c01910 BRLA_c12260
BRLA_c02130 BRLA_c30440
BRLA_c02130 BRLA_c18850
BRLA_c02210 BRLA_c18850
BRLA_c02210 BRLA_c02220
BRLA_c02220 BRLA_c47680
BRLA_c02220 BRLA_c02210
BRLA_c02220 BRLA_c03950
BRLA_c02280 BRLA_c19270
BRLA_c02280 BRLA_c28730
BRLA_c02280 BRLA_c07960
BRLA_c02280 BRLA_c07980
BRLA_c02500 BRLA_c13060
BRLA_c02550 BRLA_c02560
BRLA_c02550 BRLA_c02570
BRLA_c02560 BRLA_c02550
BRLA_c02560 BRLA_c02570
BRLA_c02570 BRLA_c02550
BRLA_c02570 BRLA_c02560
BRLA_c02650 BRLA_c07050
BRLA_c02650 BRLA_c07060
BRLA_c02650 BRLA_c07090
BRLA_c02650 BRLA_c20760
BRLA_c02650 BRLA_c39010
BRLA_c02650 BRLA_c07020
BRLA_c02650 BRLA_c07080
BRLA_c02650 BRLA_c07070
BRLA_c02650 BRLA_c07030
BRLA_c02650 BRLA_c31980
BRLA_c02650 BRLA_c39000
BRLA_c02650 BRLA_c07040
BRLA_c02650 BRLA_c45920
BRLA_c02650 BRLA_c41670
BRLA_c03100 BRLA_c20290
BRLA_c03100 BRLA_c20280
BRLA_c03100 BRLA_c20270
BRLA_c03150 BRLA_c20390
BRLA_c03350 BRLA_c45640
BRLA_c03360 BRLA_c25420
BRLA_c03360 BRLA_c25410
BRLA_c03610 BRLA_c47390
BRLA_c03620 BRLA_c03720
BRLA_c03620 BRLA_c36500
BRLA_c03620 BRLA_c44390
BRLA_c03630 BRLA_c03720
BRLA_c03630 BRLA_c47520
BRLA_c03680 BRLA_c03700
BRLA_c03700 BRLA_c03680
BRLA_c03720 BRLA_c03630
BRLA_c03720 BRLA_c03620
BRLA_c03750 BRLA_c24610
BRLA_c03750 BRLA_c26000
BRLA_c03750 BRLA_c40210
BRLA_c03750 BRLA_c20580
BRLA_c03750 BRLA_c11720
BRLA_c03950 BRLA_c02220
BRLA_c04180 BRLA_c47020
BRLA_c04180 BRLA_c23320
BRLA_c04180 BRLA_c06850
BRLA_c04310 BRLA_c17220
BRLA_c04310 BRLA_c26000
BRLA_c04310 BRLA_c40210
BRLA_c04310 BRLA_c49070
BRLA_c04310 BRLA_c24610
BRLA_c04350 BRLA_c12260
BRLA_c04350 BRLA_c04360
BRLA_c04360 BRLA_c16200
BRLA_c04360 BRLA_c04350
BRLA_c04420 BRLA_c49070
BRLA_c04420 BRLA_c17220
BRLA_c04420 BRLA_c20800
BRLA_c04490 BRLA_c13060
BRLA_c04540 BRLA_c04550
BRLA_c04540 BRLA_c04560
BRLA_c04550 BRLA_c04540
BRLA_c04560 BRLA_c04540
BRLA_c04710 BRLA_c42330
BRLA_c04710 BRLA_c32500
BRLA_c04710 BRLA_c13150
BRLA_c04810 BRLA_c12270
BRLA_c04810 BRLA_c10040
BRLA_c04810 BRLA_c44950
BRLA_c04810 BRLA_c10050
BRLA_c04970 BRLA_c20760
BRLA_c05230 BRLA_c26000
BRLA_c05230 BRLA_c20580
BRLA_c05230 BRLA_c24610
BRLA_c05230 BRLA_c11720
BRLA_c05230 BRLA_c40210
BRLA_c05250 BRLA_c23820
BRLA_c05250 BRLA_c27590
BRLA_c05570 BRLA_c05580
BRLA_c05570 BRLA_c05590
BRLA_c05580 BRLA_c05590
BRLA_c05580 BRLA_c05570
BRLA_c05590 BRLA_c05570
BRLA_c05590 BRLA_c05580
BRLA_c05670 BRLA_c30440
BRLA_c05670 BRLA_c18850
BRLA_c05700 BRLA_c13510
BRLA_c05700 BRLA_c18620
BRLA_c05700 BRLA_c13520
BRLA_c05950 BRLA_c06950
BRLA_c06010 BRLA_c06020
BRLA_c06020 BRLA_c06010
BRLA_c06030 BRLA_c28080
BRLA_c06080 BRLA_c42980
BRLA_c06230 BRLA_c00130
BRLA_c06320 BRLA_c13200
BRLA_c06320 BRLA_c35770
BRLA_c06320 BRLA_c18230
BRLA_c06340 BRLA_c47520
BRLA_c06340 BRLA_c32570
BRLA_c06370 BRLA_c06380
BRLA_c06370 BRLA_c06400
BRLA_c06380 BRLA_c06370
BRLA_c06380 BRLA_c06400
BRLA_c06400 BRLA_c06370
BRLA_c06400 BRLA_c06380
BRLA_c06580 BRLA_c39300
BRLA_c06580 BRLA_c29470
BRLA_c06580 BRLA_c12590
BRLA_c06670 BRLA_c06680
BRLA_c06670 BRLA_c09560
BRLA_c06670 BRLA_c06690
BRLA_c06670 BRLA_c01870
BRLA_c06670 BRLA_c43600
BRLA_c06670 BRLA_c09550
BRLA_c06680 BRLA_c11520
BRLA_c06680 BRLA_c24260
BRLA_c06680 BRLA_c34710
BRLA_c06680 BRLA_c25450
BRLA_c06680 BRLA_c19450
BRLA_c06680 BRLA_c06670
BRLA_c06680 BRLA_c16720
BRLA_c06680 BRLA_c13690
BRLA_c06680 BRLA_c25670
BRLA_c06680 BRLA_c24390
BRLA_c06690 BRLA_c40380
BRLA_c06690 BRLA_c25670
BRLA_c06690 BRLA_c13690
BRLA_c06690 BRLA_c25450
BRLA_c06690 BRLA_c40390
BRLA_c06690 BRLA_c19450
BRLA_c06690 BRLA_c06670
BRLA_c06690 BRLA_c16720
BRLA_c06690 BRLA_c24390
BRLA_c06690 BRLA_c22800
BRLA_c06690 BRLA_c01840
BRLA_c06690 BRLA_c24260
BRLA_c06690 BRLA_c34710
BRLA_c06690 BRLA_c11520
BRLA_c06720 BRLA_c40330
BRLA_c06750 BRLA_c47020
BRLA_c06750 BRLA_c30370
BRLA_c06750 BRLA_c09500
BRLA_c06770 BRLA_c16290
BRLA_c06770 BRLA_c08470
BRLA_c06770 BRLA_c08490
BRLA_c06780 BRLA_c12060
