ENSPVAP00000000164 ENSPVAP00000005507
ENSPVAP00000000452 ENSPVAP00000004906
ENSPVAP00000000452 ENSPVAP00000016927
ENSPVAP00000000452 ENSPVAP00000009451
ENSPVAP00000000452 ENSPVAP00000016097
ENSPVAP00000000452 ENSPVAP00000011173
ENSPVAP00000000452 ENSPVAP00000002516
ENSPVAP00000000452 ENSPVAP00000006534
ENSPVAP00000000506 ENSPVAP00000000507
ENSPVAP00000000506 ENSPVAP00000016943
ENSPVAP00000000506 ENSPVAP00000017036
ENSPVAP00000000507 ENSPVAP00000000506
ENSPVAP00000000666 ENSPVAP00000011238
ENSPVAP00000000666 ENSPVAP00000012629
ENSPVAP00000000717 ENSPVAP00000010998
ENSPVAP00000000717 ENSPVAP00000005969
ENSPVAP00000000763 ENSPVAP00000011716
ENSPVAP00000000777 ENSPVAP00000001856
ENSPVAP00000001055 ENSPVAP00000008687
ENSPVAP00000001197 ENSPVAP00000013155
ENSPVAP00000001264 ENSPVAP00000015844
ENSPVAP00000001264 ENSPVAP00000004595
ENSPVAP00000001316 ENSPVAP00000012150
ENSPVAP00000001316 ENSPVAP00000003785
ENSPVAP00000001856 ENSPVAP00000000777
ENSPVAP00000001866 ENSPVAP00000009451
ENSPVAP00000001866 ENSPVAP00000007633
ENSPVAP00000001866 ENSPVAP00000004906
ENSPVAP00000001866 ENSPVAP00000015120
ENSPVAP00000001959 ENSPVAP00000004739
ENSPVAP00000001959 ENSPVAP00000016228
ENSPVAP00000001959 ENSPVAP00000014526
ENSPVAP00000001959 ENSPVAP00000007469
ENSPVAP00000001959 ENSPVAP00000012076
ENSPVAP00000001959 ENSPVAP00000008472
ENSPVAP00000001959 ENSPVAP00000011776
ENSPVAP00000001959 ENSPVAP00000007888
ENSPVAP00000001959 ENSPVAP00000002988
ENSPVAP00000001959 ENSPVAP00000011331
ENSPVAP00000001959 ENSPVAP00000013168
ENSPVAP00000001959 ENSPVAP00000007355
ENSPVAP00000001959 ENSPVAP00000007135
ENSPVAP00000001962 ENSPVAP00000005847
ENSPVAP00000002065 ENSPVAP00000006709
ENSPVAP00000002065 ENSPVAP00000007692
ENSPVAP00000002100 ENSPVAP00000011454
ENSPVAP00000002516 ENSPVAP00000016097
ENSPVAP00000002516 ENSPVAP00000011173
ENSPVAP00000002516 ENSPVAP00000009451
ENSPVAP00000002516 ENSPVAP00000016927
ENSPVAP00000002516 ENSPVAP00000006534
ENSPVAP00000002516 ENSPVAP00000004906
ENSPVAP00000002516 ENSPVAP00000000452
ENSPVAP00000002988 ENSPVAP00000001959
ENSPVAP00000002988 ENSPVAP00000012076
ENSPVAP00000002988 ENSPVAP00000004739
ENSPVAP00000002988 ENSPVAP00000014526
ENSPVAP00000002988 ENSPVAP00000008472
ENSPVAP00000002988 ENSPVAP00000011776
ENSPVAP00000002988 ENSPVAP00000007888
ENSPVAP00000002988 ENSPVAP00000007355
ENSPVAP00000002988 ENSPVAP00000007135
ENSPVAP00000003295 ENSPVAP00000007403
ENSPVAP00000003295 ENSPVAP00000004457
ENSPVAP00000003295 ENSPVAP00000014902
ENSPVAP00000003429 ENSPVAP00000012380
ENSPVAP00000003429 ENSPVAP00000013640
ENSPVAP00000003491 ENSPVAP00000016778
ENSPVAP00000003537 ENSPVAP00000007405
ENSPVAP00000003785 ENSPVAP00000001316
ENSPVAP00000003785 ENSPVAP00000012150
ENSPVAP00000003854 ENSPVAP00000009451
ENSPVAP00000003854 ENSPVAP00000004906
ENSPVAP00000004315 ENSPVAP00000015340
ENSPVAP00000004457 ENSPVAP00000007403
ENSPVAP00000004457 ENSPVAP00000014902
ENSPVAP00000004457 ENSPVAP00000003295
ENSPVAP00000004544 ENSPVAP00000007217
ENSPVAP00000004595 ENSPVAP00000015844
ENSPVAP00000004595 ENSPVAP00000005215
ENSPVAP00000004595 ENSPVAP00000001264
ENSPVAP00000004739 ENSPVAP00000014526
ENSPVAP00000004739 ENSPVAP00000001959
ENSPVAP00000004739 ENSPVAP00000008472
ENSPVAP00000004739 ENSPVAP00000012076
ENSPVAP00000004739 ENSPVAP00000011776
ENSPVAP00000004739 ENSPVAP00000007888
ENSPVAP00000004739 ENSPVAP00000002988
ENSPVAP00000004739 ENSPVAP00000007355
ENSPVAP00000004739 ENSPVAP00000007135
ENSPVAP00000004906 ENSPVAP00000016927
ENSPVAP00000004906 ENSPVAP00000002516
ENSPVAP00000004906 ENSPVAP00000003854
ENSPVAP00000004906 ENSPVAP00000006684
ENSPVAP00000004906 ENSPVAP00000009451
ENSPVAP00000004906 ENSPVAP00000011173
ENSPVAP00000004906 ENSPVAP00000006534
ENSPVAP00000004906 ENSPVAP00000007322
ENSPVAP00000004906 ENSPVAP00000001866
ENSPVAP00000004906 ENSPVAP00000000452
ENSPVAP00000004906 ENSPVAP00000007633
ENSPVAP00000004906 ENSPVAP00000010441
ENSPVAP00000004906 ENSPVAP00000011131
ENSPVAP00000004906 ENSPVAP00000012264
ENSPVAP00000004906 ENSPVAP00000016097
ENSPVAP00000004906 ENSPVAP00000015120
ENSPVAP00000005125 ENSPVAP00000009444
ENSPVAP00000005125 ENSPVAP00000009205
ENSPVAP00000005125 ENSPVAP00000008405
ENSPVAP00000005215 ENSPVAP00000004595
ENSPVAP00000005298 ENSPVAP00000005684
ENSPVAP00000005365 ENSPVAP00000014689
ENSPVAP00000005507 ENSPVAP00000000164
ENSPVAP00000005684 ENSPVAP00000005298
ENSPVAP00000005847 ENSPVAP00000001962
ENSPVAP00000005969 ENSPVAP00000010998
ENSPVAP00000005969 ENSPVAP00000000717
ENSPVAP00000006534 ENSPVAP00000016927
ENSPVAP00000006534 ENSPVAP00000009451
ENSPVAP00000006534 ENSPVAP00000002516
ENSPVAP00000006534 ENSPVAP00000004906
ENSPVAP00000006534 ENSPVAP00000016097
ENSPVAP00000006534 ENSPVAP00000011173
ENSPVAP00000006534 ENSPVAP00000000452
ENSPVAP00000006684 ENSPVAP00000004906
ENSPVAP00000006684 ENSPVAP00000009451
ENSPVAP00000006709 ENSPVAP00000007692
ENSPVAP00000006709 ENSPVAP00000002065
ENSPVAP00000006716 ENSPVAP00000008687
ENSPVAP00000006716 ENSPVAP00000015785
ENSPVAP00000006716 ENSPVAP00000016518
ENSPVAP00000006740 ENSPVAP00000009239
ENSPVAP00000006924 ENSPVAP00000008405
ENSPVAP00000006924 ENSPVAP00000009444
ENSPVAP00000007135 ENSPVAP00000007888
ENSPVAP00000007135 ENSPVAP00000004739
ENSPVAP00000007135 ENSPVAP00000002988
ENSPVAP00000007135 ENSPVAP00000014526
ENSPVAP00000007135 ENSPVAP00000001959
ENSPVAP00000007135 ENSPVAP00000007355
ENSPVAP00000007135 ENSPVAP00000011776
ENSPVAP00000007135 ENSPVAP00000012076
ENSPVAP00000007135 ENSPVAP00000008472
ENSPVAP00000007217 ENSPVAP00000004544
ENSPVAP00000007226 ENSPVAP00000012872
ENSPVAP00000007322 ENSPVAP00000009451
ENSPVAP00000007322 ENSPVAP00000004906
ENSPVAP00000007355 ENSPVAP00000011776
ENSPVAP00000007355 ENSPVAP00000008472
ENSPVAP00000007355 ENSPVAP00000007888
ENSPVAP00000007355 ENSPVAP00000002988
