NCgl0061 cg0081
NCgl0154 cg0196
NCgl0167 cg0210
NCgl0225 cg0786
NCgl0225 cg1817
NCgl0237 cg0294
NCgl0247 cg0306
NCgl0251 cg0310
NCgl0259 cg0319
NCgl0286 cg0350
NCgl0336 cg0413
NCgl0378 cg0467
NCgl0389 cg0481
NCgl0409 cg0504
NCgl0424 cg0520
NCgl0456 cg0559
NCgl0563 cg0681
NCgl0579 cg0700
NCgl0634 cg0766
NCgl0727 cg0870
NCgl0805 cg0961
NCgl0810 cg0966
NCgl0829 cg0986
NCgl0846 cg1004
NCgl0856 cg1016
NCgl0877 cg1043
NCgl0933 cg1109
NCgl1061 cg1256
NCgl1064 cg1260
NCgl1074 cg1270
NCgl1110 cg1308
NCgl1147 cg1349
NCgl1165 cg1367
NCgl1165 cg1366
NCgl1165 cg1369
NCgl1165 cg1365
NCgl1165 cg1364
NCgl1189 cg1394
NCgl1216 cg1426
NCgl1241 cg1458
NCgl1255 cg1479
NCgl1312 cg1547
NCgl1351 cg1592
NCgl1385 cg1630
NCgl1398 cg1645
NCgl1450 cg2383
NCgl1450 cg2536
NCgl1450 cg0755
NCgl1450 cg1806
NCgl1450 cg1133
NCgl1455 cg1707
NCgl1469 cg1722
NCgl1476 cg1731
NCgl1483 cg1738
NCgl1513 cg1776
NCgl1578 cg1846
NCgl1848 cg2106
NCgl1868 cg2129
NCgl1887 cg2152
NCgl1896 cg2161
NCgl1897 cg2162
NCgl1898 cg2163
NCgl1999 cg2280
NCgl2020 cg2304
NCgl2072 cg2363
NCgl2106 cg2400
NCgl2195 cg2496
NCgl2217 cg2523
NCgl2267 cg2579
NCgl2277 cg2591
NCgl2290 cg2606
NCgl2296 cg2612
NCgl2318 cg2635
NCgl2358 cg2685
NCgl2445 cg2789
NCgl2448 cg2794
NCgl2495 cg2878
NCgl2495 cg0811
NCgl2523 cg2894
NCgl2528 cg2900
NCgl2538 cg2910
NCgl2557 cg2931
NCgl2578 cg2953
NCgl2582 cg2958
NCgl2585 cg2963
NCgl2596 cg2976
NCgl2666 cg3059
NCgl2765 cg3169
NCgl2814 cg3224
NCgl2846 cg3261
NCgl2918 cg3349
NCgl2952 cg3386
NCgl2957 cg3391
cg0067 cg0566
cg0081 NCgl0061
cg0095 cg2886
cg0148 cg0172
cg0148 cg1239
cg0148 cg1132
cg0149 cg1239
cg0163 cg2372
cg0172 cg0148
cg0172 cg2975
cg0196 NCgl0154
cg0197 cg1267
cg0197 cg2927
cg0199 cg0458
cg0199 cg0273
cg0199 cg3107
cg0202 cg2334
cg0202 cg1437
cg0202 cg1116
cg0210 NCgl0167
cg0229 cg2447
cg0229 cg2429
cg0230 cg2447
cg0230 cg2429
cg0273 cg2343
cg0273 cg1907
cg0273 cg0199
cg0273 cg3096
cg0273 cg0635
cg0294 cg1697
cg0294 cg2613
cg0294 cg0306
cg0294 NCgl0237
cg0294 cg0763
cg0303 cg1487
cg0303 cg1432
cg0303 cg1488
cg0306 NCgl0247
cg0306 cg0307
cg0306 cg0294
cg0307 cg2161
cg0307 cg1337
cg0307 cg0306
cg0310 cg3237
cg0310 NCgl0251
cg0319 NCgl0259
cg0326 cg1301
cg0326 cg1300
cg0326 cg2403
cg0350 NCgl0286
cg0382 cg2786
cg0382 cg1369
cg0382 cg1365
cg0382 cg1362
cg0382 cg1363
cg0382 cg1366
cg0382 cg1367
cg0382 cg2876
cg0382 cg1364
cg0382 cg1368
cg0382 cg2781
cg0391 cg0401
cg0391 cg0402
cg0401 cg0403
cg0401 cg0417
cg0401 cg0391
cg0402 cg0417
cg0402 cg0391
cg0402 cg0403
cg0403 cg0401
cg0403 cg0402
cg0413 NCgl0336
cg0417 cg0401
cg0417 cg0402
cg0422 cg0476
cg0422 cg0423
cg0423 cg2368
cg0423 cg0422
cg0423 cg2829
cg0435 cg1004
cg0435 cg0442
cg0441 cg2343
cg0441 cg2891
cg0441 cg1907
cg0441 cg1280
cg0441 cg2421
cg0441 cg2466
cg0442 cg0788
cg0442 cg0435
cg0442 cg0481
cg0442 cg2800
cg0442 cg3154
cg0446 cg0797
cg0446 cg2560
cg0446 cg1301
cg0446 cg1145
cg0446 cg1300
cg0446 cg2837
cg0446 cg2403
cg0446 cg2836
cg0447 cg2403
cg0447 cg2836
cg0447 cg0797
cg0447 cg2560
cg0447 cg1301
cg0447 cg1145
cg0447 cg1300
cg0447 cg2837
cg0458 cg0199
cg0467 NCgl0378
cg0476 cg0422
cg0476 cg2368
cg0476 cg2829
cg0481 NCgl0389
cg0481 cg1004
cg0481 cg0442
cg0481 cg1157
cg0482 cg1111
cg0482 cg1790
cg0497 cg1463
cg0497 cg0518
cg0498 cg0510
cg0498 cg2189
cg0498 cg0512
cg0503 cg0504
cg0503 cg1827
cg0503 cg1835
cg0503 cg1283
cg0504 NCgl0409
cg0504 cg0503
cg0504 cg1828
cg0510 cg0498
cg0510 cg0516
cg0512 cg0498
cg0512 cg0518
cg0516 cg2189
cg0516 cg0510
cg0516 cg2517
cg0517 cg2517
cg0517 cg2187
cg0517 cg1203
cg0517 cg1590
cg0517 cg2188
cg0517 cg1734
cg0518 cg0497
cg0518 cg0512
cg0519 cg1111
cg0519 cg1790
cg0520 NCgl0424
cg0531 cg0556
cg0531 cg0559
cg0533 cg0548
cg0533 cg0551
cg0548 cg0533
cg0551 cg0533
cg0552 cg0766
cg0556 cg0531
cg0559 cg0531
cg0559 cg0723
cg0559 NCgl0456
cg0559 cg0717
cg0566 cg0067
cg0566 cg0567
cg0566 cg3004
cg0567 cg0566
cg0592 cg3047
cg0635 cg3107
cg0635 cg0273
cg0648 cg1366
cg0648 cg1368
cg0648 cg2786
cg0648 cg1369
cg0648 cg1365
cg0648 cg1362
cg0648 cg1363
cg0648 cg1367
cg0648 cg2876
cg0648 cg1364
cg0648 cg2781
cg0675 cg2929
cg0675 cg2492
cg0681 cg3149
cg0681 NCgl0563
cg0681 cg1214
cg0699 cg0899
cg0699 cg0984
cg0699 cg1739
cg0699 cg0703
cg0700 cg0984
cg0700 cg0899
cg0700 cg1739
cg0700 cg0703
cg0700 NCgl0579
cg0703 cg0699
cg0703 cg0700
cg0703 cg1810
cg0703 cg2964
cg0717 cg2508
cg0717 cg0723
cg0717 cg0559
cg0717 cg1130
cg0717 cg2531
cg0723 cg2508
cg0723 cg0717
cg0723 cg0559
cg0723 cg1130
cg0736 cg1411
cg0736 cg1379
cg0736 cg2843
cg0736 cg1651
cg0747 cg2086
cg0750 cg1133
cg0754 cg0755
cg0754 cg1337
cg0755 cg3118
cg0755 NCgl1450
cg0755 cg3119
cg0755 cg1290
cg0755 cg2337
cg0755 cg0754
cg0762 cg2796
cg0763 cg2291
cg0763 cg1145
cg0763 cg0294
cg0763 cg1787
cg0763 cg0949
cg0763 cg2559
cg0763 cg3218
cg0766 cg0552
cg0766 NCgl0634
cg0766 cg1737
cg0786 cg1616
cg0786 cg2218
cg0786 NCgl0225
cg0788 cg0442
cg0788 cg1479
cg0788 cg0856
cg0788 cg1004
cg0788 cg2091
cg0788 cg0973
cg0788 cg1700
cg0788 cg2289
cg0788 cg2399
cg0790 cg2421
cg0790 cg2343
cg0790 cg2891
cg0790 cg2466
cg0790 cg1907
cg0790 cg1280
cg0797 cg0446
cg0797 cg1737
cg0797 cg2559
cg0797 cg0447
cg0798 cg2796
cg0811 cg0983
cg0811 NCgl2495
cg0811 cg3054
cg0816 cg2856
cg0816 cg2874
cg0820 cg2856
cg0820 cg2874
cg0854 cg1700
cg0854 cg0856
cg0856 cg0854
cg0856 cg0788
cg0856 cg0973
cg0856 cg1700
cg0860 cg1290
cg0860 cg2337
cg0861 cg0966
cg0861 cg2162
cg0861 cg2603
cg0870 NCgl0727
cg0873 cg1829
cg0873 cg1828
cg0899 cg2964
cg0899 cg0699
cg0899 cg0700
cg0899 cg1810
cg0899 cg2851
cg0910 cg3323
cg0911 cg3323
cg0948 cg1451
cg0948 cg2779
cg0949 cg2613
cg0949 cg1737
cg0949 cg0763
cg0949 cg1787
cg0949 cg2891
cg0949 cg2192
cg0957 cg2743
cg0961 NCgl0805
cg0965 cg1133
cg0965 cg0966
cg0966 cg1133
cg0966 cg2086
cg0966 NCgl0810
cg0966 cg0965
cg0966 cg0861
cg0973 cg2091
cg0973 cg1409
cg0973 cg2116
cg0973 cg0788
cg0973 cg1700
cg0973 cg1157
cg0973 cg0856
cg0973 cg2492
cg0973 cg2399
cg0973 cg2800
cg0983 cg2878
cg0983 cg2862
cg0983 cg2863
cg0983 cg0811
cg0983 cg2865
cg0984 cg2876
cg0984 cg0700
cg0984 cg0699
cg0984 cg2964
cg0984 cg3063
cg0986 NCgl0829
cg1004 cg3154
cg1004 cg0481
cg1004 cg0788
cg1004 cg0435
cg1004 NCgl0846
cg1004 cg2800
cg1016 NCgl0856
cg1027 cg2291
cg1027 cg3218
cg1043 NCgl0877
cg1069 cg1790
cg1069 cg3068
cg1069 cg1789
cg1109 NCgl0933
cg1111 cg0519
cg1111 cg0482
cg1111 cg3206
cg1111 cg2291
cg1111 cg1204
cg1111 cg1787
cg1111 cg3218
cg1116 cg2437
cg1116 cg1436
cg1116 cg0202
cg1116 cg1435
cg1129 cg1827
cg1130 cg0723
cg1130 cg0717
cg1132 cg1807
cg1132 cg1907
cg1132 cg2975
cg1132 cg0148
cg1133 cg0750
cg1133 cg2608
cg1133 cg0965
cg1133 NCgl1450
cg1133 cg2779
cg1133 cg2383
cg1133 cg0966
cg1133 cg2337
cg1145 cg0763
cg1145 cg2613
cg1145 cg2192
cg1145 cg0446
cg1145 cg0447
cg1156 cg3223
cg1157 cg1409
cg1157 cg1700
cg1157 cg3068
cg1157 cg2116
cg1157 cg0481
cg1157 cg0973
cg1174 cg1581
cg1174 cg1813
cg1174 cg1814
cg1174 cg1586
cg1193 cg2629
cg1193 cg2626
cg1193 cg2244
cg1203 cg0517
cg1204 cg1790
cg1204 cg1111
cg1214 cg0681
cg1215 cg2584
cg1215 cg1216
cg1216 cg1215
cg1222 cg2423
cg1239 cg2975
cg1239 cg0148
cg1239 cg0149
cg1253 cg1259
cg1253 cg1256
cg1253 cg1260
cg1256 cg1253
cg1256 NCgl1061
cg1259 cg1253
cg1260 NCgl1064
cg1260 cg1253
cg1260 cg2129
cg1262 cg2979
cg1262 cg2851
cg1267 cg0197
cg1267 cg2399
cg1267 cg2091
cg1270 NCgl1074
cg1273 cg1685
cg1280 cg0790
cg1280 cg0441
cg1283 cg1828
cg1283 cg0503
cg1290 cg0755
cg1290 cg1806
cg1290 cg2536
cg1290 cg0860
cg1300 cg0446
cg1300 cg0326
cg1300 cg0447
cg1301 cg0446
cg1301 cg0326
cg1301 cg0447
cg1308 NCgl1110
cg1334 cg2900
cg1334 cg2129
cg1337 cg0307
cg1337 cg0754
cg1337 cg1338
cg1338 cg2437
cg1338 cg1337
cg1349 NCgl1147
cg1362 cg0382
cg1362 cg0648
cg1363 cg0648
cg1363 cg0382
cg1364 cg1366
cg1364 cg0648
cg1364 cg1367
cg1364 cg0382
cg1364 cg1369
cg1364 NCgl1165
cg1364 cg1365
cg1365 cg0648
cg1365 cg1366
cg1365 cg1369
cg1365 NCgl1165
cg1365 cg1367
cg1365 cg1364
cg1365 cg0382
cg1366 cg1367
cg1366 cg0382
cg1366 cg0648
cg1366 cg1369
cg1366 NCgl1165
cg1366 cg1365
cg1366 cg1364
cg1367 cg1364
cg1367 cg0382
cg1367 cg1366
cg1367 cg0648
cg1367 cg1369
cg1367 NCgl1165
cg1367 cg1365
cg1368 cg0382
cg1368 cg0648
cg1369 cg1367
cg1369 cg0648
cg1369 cg1366
cg1369 cg1364
cg1369 cg0382
cg1369 NCgl1165
cg1369 cg1365
cg1376 cg3223
cg1379 cg1411
cg1379 cg0736
cg1379 cg2843
cg1379 cg1651
cg1394 NCgl1189
cg1409 cg1157
cg1409 cg1700
cg1409 cg0973
cg1409 cg3068
cg1411 cg1379
cg1411 cg0736
cg1411 cg2843
cg1411 cg1651
cg1426 NCgl1216
cg1432 cg1437
cg1432 cg2418
cg1432 cg0303
cg1435 cg2334
cg1435 cg1116
cg1435 cg1437
cg1436 cg1116
cg1436 cg2334
cg1436 cg1437
cg1437 cg0202
cg1437 cg1435
cg1437 cg1436
cg1437 cg1432
cg1451 cg0948
cg1453 cg1488
cg1453 cg1487
cg1458 NCgl1241
cg1463 cg0497
cg1479 cg0788
cg1479 cg2523
cg1479 cg2529
cg1479 NCgl1255
cg1479 cg2310
cg1479 cg2800
cg1487 cg1488
cg1487 cg0303
cg1487 cg1453
cg1488 cg0303
cg1488 cg1453
cg1488 cg1487
cg1493 cg2373
cg1495 cg1654
cg1495 cg2236
cg1501 cg1807
cg1501 cg1538
cg1538 cg1501
cg1543 cg2985
cg1547 NCgl1312
cg1572 cg1853
cg1580 cg1583
cg1580 cg1582
cg1581 cg1174
cg1581 cg1582
cg1581 cg1583
cg1581 cg1584
cg1582 cg1580
cg1582 cg1581
cg1583 cg1580
cg1583 cg1581
cg1584 cg1814
cg1584 cg1586
cg1584 cg1813
cg1584 cg1581
cg1586 cg1588
cg1586 cg1174
cg1586 cg1584
cg1588 cg1586
cg1590 cg0517
cg1592 NCgl1351
cg1606 cg2603
cg1616 cg1817
cg1616 cg2603
cg1616 cg0786
cg1616 cg1812
cg1616 cg2781
cg1616 cg2786
cg1630 NCgl1385
cg1643 cg1780
cg1645 NCgl1398
cg1651 cg1411
cg1651 cg1379
cg1651 cg0736
cg1651 cg2843
cg1654 cg2455
cg1654 cg2236
cg1654 cg3400
cg1654 cg1495
cg1654 cg3409
cg1654 cg1655
cg1655 cg2236
cg1655 cg1654
cg1685 cg1273
cg1697 cg0294
cg1698 cg1699
cg1699 cg2296
cg1699 cg1698
cg1700 cg0854
cg1700 cg0788
cg1700 cg2116
cg1700 cg2091
cg1700 cg0973
cg1700 cg1157
cg1700 cg2399
cg1700 cg0856
cg1700 cg2492
cg1700 cg2800
cg1700 cg1409
cg1707 NCgl1455
cg1713 cg1815
cg1713 cg3071
cg1722 NCgl1469
cg1731 NCgl1476
cg1734 cg0517
cg1737 cg0766
cg1737 cg0797
cg1737 cg2560
cg1737 cg0949
cg1738 NCgl1483
cg1739 cg2964
cg1739 cg0700
cg1739 cg0699
cg1739 cg1810
cg1774 cg1776
cg1774 cg1801
cg1774 cg2658
cg1776 cg1774
cg1776 NCgl1513
cg1778 cg1780
cg1780 cg1643
cg1780 cg1778
cg1787 cg2613
cg1787 cg1111
cg1787 cg2954
cg1787 cg0949
cg1787 cg0763
cg1789 cg3068
cg1789 cg1069
cg1789 cg1791
cg1790 cg1791
cg1790 cg1069
cg1790 cg0519
cg1790 cg1204
cg1790 cg3206
cg1790 cg0482
cg1791 cg1789
cg1791 cg3068
cg1791 cg1790
cg1797 cg2169
cg1798 cg1800
cg1799 cg2169
cg1800 cg1798
cg1801 cg1774
cg1806 NCgl1450
cg1806 cg1290
cg1806 cg2337
cg1807 cg1132
cg1807 cg1907
cg1807 cg1501
cg1810 cg0899
cg1810 cg2786
cg1810 cg1739
cg1810 cg2603
cg1810 cg0703
cg1810 cg2781
cg1812 cg2218
cg1812 cg1616
cg1812 cg3071
cg1813 cg1174
cg1813 cg1584
cg1813 cg1816
cg1814 cg1174
cg1814 cg1584
cg1814 cg1816
cg1815 cg1816
cg1815 cg1713
cg1816 cg1813
cg1816 cg1814
cg1816 cg1815
cg1817 cg2218
cg1817 NCgl0225
cg1817 cg1616
cg1827 cg2391
cg1827 cg0503
cg1827 cg1129
cg1828 cg1835
cg1828 cg0504
cg1828 cg1283
cg1828 cg0873
cg1829 cg0873
cg1835 cg0503
cg1835 cg1828
cg1846 NCgl1578
cg1853 cg3198
cg1853 cg1572
cg1853 cg3215
cg1861 cg2603
