SADFL11_1016 SADFL11_3739
SADFL11_1025 SADFL11_771
SADFL11_1025 SADFL11_513
SADFL11_1025 SADFL11_3179
SADFL11_1041 SADFL11_1911
SADFL11_1046 SADFL11_1650
SADFL11_1046 SADFL11_2531
SADFL11_1060 SADFL11_4648
SADFL11_1060 SADFL11_3757
SADFL11_1062 SADFL11_3747
SADFL11_1062 SADFL11_906
SADFL11_1062 SADFL11_3323
SADFL11_1062 SADFL11_725
SADFL11_1062 SADFL11_1910
SADFL11_1062 SADFL11_193
SADFL11_1062 SADFL11_3782
SADFL11_1062 SADFL11_1284
SADFL11_1062 SADFL11_483
SADFL11_1062 SADFL11_255
SADFL11_1062 SADFL11_1644
SADFL11_1062 SADFL11_1542
SADFL11_1062 SADFL11_1071
SADFL11_1064 SADFL11_3955
SADFL11_1064 SADFL11_4526
SADFL11_1071 SADFL11_2111
SADFL11_1071 SADFL11_3882
SADFL11_1071 SADFL11_2212
SADFL11_1071 SADFL11_3613
SADFL11_1071 SADFL11_1062
SADFL11_1071 SADFL11_1586
SADFL11_1071 SADFL11_5306
SADFL11_1071 SADFL11_3001
SADFL11_1071 SADFL11_181
SADFL11_1071 SADFL11_3416
SADFL11_1071 SADFL11_2031
SADFL11_1071 SADFL11_4138
SADFL11_1071 SADFL11_5167
SADFL11_1071 SADFL11_2753
SADFL11_1071 SADFL11_4585
SADFL11_1071 SADFL11_670
SADFL11_1071 SADFL11_3921
SADFL11_1072 SADFL11_3902
SADFL11_1082 SADFL11_1461
SADFL11_1083 SADFL11_4036
SADFL11_1083 SADFL11_4872
SADFL11_1083 SADFL11_3228
SADFL11_1084 SADFL11_2239
SADFL11_1084 SADFL11_4687
SADFL11_1084 SADFL11_3871
SADFL11_1084 SADFL11_4437
SADFL11_109 SADFL11_4852
SADFL11_109 SADFL11_3140
SADFL11_1100 SADFL11_4778
SADFL11_1100 SADFL11_3170
SADFL11_1101 SADFL11_3311
SADFL11_1103 SADFL11_673
SADFL11_1103 SADFL11_1285
SADFL11_1107 SADFL11_4775
SADFL11_1111 SADFL11_2282
SADFL11_1111 SADFL11_4188
SADFL11_1125 SADFL11_3171
SADFL11_1125 SADFL11_4821
SADFL11_1126 SADFL11_3287
SADFL11_1126 SADFL11_529
SADFL11_1126 SADFL11_2638
SADFL11_1126 SADFL11_2008
SADFL11_1134 SADFL11_3579
SADFL11_1134 SADFL11_4000
SADFL11_1134 SADFL11_705
SADFL11_1151 SADFL11_5067
SADFL11_1151 SADFL11_4483
SADFL11_1152 SADFL11_2274
SADFL11_1154 SADFL11_4356
SADFL11_1154 SADFL11_4063
SADFL11_1154 SADFL11_3742
SADFL11_1165 SADFL11_2996
SADFL11_1165 SADFL11_3431
SADFL11_1166 SADFL11_1334
SADFL11_1166 SADFL11_254
SADFL11_1166 SADFL11_4546
SADFL11_1180 SADFL11_2697
SADFL11_1180 SADFL11_3302
SADFL11_1180 SADFL11_4134
SADFL11_1184 SADFL11_710
SADFL11_1192 SADFL11_2111
SADFL11_1192 SADFL11_728
SADFL11_1192 SADFL11_408
SADFL11_1192 SADFL11_670
SADFL11_1192 SADFL11_4565
SADFL11_1195 SADFL11_1873
SADFL11_1198 SADFL11_5290
SADFL11_1199 SADFL11_4587
SADFL11_1199 SADFL11_4382
SADFL11_1199 SADFL11_1886
SADFL11_1199 SADFL11_2229
SADFL11_1201 SADFL11_5067
SADFL11_1201 SADFL11_1437
SADFL11_1203 SADFL11_1228
SADFL11_121 SADFL11_128
SADFL11_1211 SADFL11_2919
SADFL11_1211 SADFL11_2550
SADFL11_1228 SADFL11_1311
SADFL11_1228 SADFL11_4207
SADFL11_1228 SADFL11_503
SADFL11_1228 SADFL11_1203
SADFL11_1230 SADFL11_4236
SADFL11_1230 SADFL11_3098
SADFL11_1230 SADFL11_1334
SADFL11_1231 SADFL11_2566
SADFL11_1247 SADFL11_4526
SADFL11_1259 SADFL11_2183
SADFL11_1259 SADFL11_1446
SADFL11_1259 SADFL11_4006
SADFL11_1275 SADFL11_2456
SADFL11_1275 SADFL11_1745
SADFL11_1275 SADFL11_3306
SADFL11_128 SADFL11_121
SADFL11_128 SADFL11_151
SADFL11_1284 SADFL11_3882
SADFL11_1284 SADFL11_5306
SADFL11_1284 SADFL11_2753
SADFL11_1284 SADFL11_2031
SADFL11_1284 SADFL11_2111
SADFL11_1284 SADFL11_3613
SADFL11_1284 SADFL11_4138
SADFL11_1284 SADFL11_670
SADFL11_1284 SADFL11_1586
SADFL11_1284 SADFL11_5167
SADFL11_1284 SADFL11_2212
SADFL11_1284 SADFL11_1062
SADFL11_1284 SADFL11_4585
SADFL11_1284 SADFL11_3416
SADFL11_1284 SADFL11_3001
SADFL11_1284 SADFL11_181
SADFL11_1284 SADFL11_3921
SADFL11_1285 SADFL11_3366
SADFL11_1285 SADFL11_1103
SADFL11_1285 SADFL11_3516
SADFL11_1289 SADFL11_1334
SADFL11_1289 SADFL11_4546
SADFL11_1289 SADFL11_254
SADFL11_1304 SADFL11_1982
SADFL11_1311 SADFL11_4207
SADFL11_1311 SADFL11_503
SADFL11_1311 SADFL11_1228
SADFL11_1332 SADFL11_254
SADFL11_1332 SADFL11_4775
SADFL11_1332 SADFL11_4413
SADFL11_1332 SADFL11_4546
SADFL11_1334 SADFL11_1166
SADFL11_1334 SADFL11_1289
SADFL11_1334 SADFL11_5235
SADFL11_1334 SADFL11_686
SADFL11_1334 SADFL11_4983
SADFL11_1334 SADFL11_1230
SADFL11_1346 SADFL11_3776
SADFL11_1346 SADFL11_3930
SADFL11_1346 SADFL11_3165
SADFL11_1346 SADFL11_5208
SADFL11_1346 SADFL11_3549
SADFL11_1363 SADFL11_2064
SADFL11_1367 SADFL11_5208
SADFL11_1367 SADFL11_3930
SADFL11_1367 SADFL11_3776
SADFL11_1367 SADFL11_1975
SADFL11_1367 SADFL11_3549
SADFL11_1369 SADFL11_4432
SADFL11_1386 SADFL11_3058
SADFL11_1395 SADFL11_5050
SADFL11_1399 SADFL11_2197
SADFL11_1406 SADFL11_929
SADFL11_1425 SADFL11_4045
SADFL11_1432 SADFL11_2467
SADFL11_1432 SADFL11_234
SADFL11_1432 SADFL11_820
SADFL11_1432 SADFL11_4066
SADFL11_1432 SADFL11_2417
SADFL11_1433 SADFL11_1741
SADFL11_1437 SADFL11_1201
SADFL11_1437 SADFL11_535
SADFL11_1446 SADFL11_1259
SADFL11_1452 SADFL11_3854
SADFL11_1452 SADFL11_4831
SADFL11_1461 SADFL11_4128
SADFL11_1461 SADFL11_1082
SADFL11_1461 SADFL11_3898
SADFL11_1461 SADFL11_3624
SADFL11_1461 SADFL11_1674
SADFL11_1480 SADFL11_5112
SADFL11_149 SADFL11_151
SADFL11_1498 SADFL11_4035
SADFL11_1498 SADFL11_4207
SADFL11_1498 SADFL11_5255
SADFL11_1498 SADFL11_5298
SADFL11_151 SADFL11_128
SADFL11_151 SADFL11_149
SADFL11_1521 SADFL11_3753
SADFL11_1527 SADFL11_4486
SADFL11_1532 SADFL11_461
SADFL11_1542 SADFL11_1586
SADFL11_1542 SADFL11_5306
SADFL11_1542 SADFL11_2031
SADFL11_1542 SADFL11_4138
SADFL11_1542 SADFL11_4432
SADFL11_1542 SADFL11_3533
SADFL11_1542 SADFL11_3613
SADFL11_1542 SADFL11_3001
SADFL11_1542 SADFL11_2753
SADFL11_1542 SADFL11_1062
SADFL11_1542 SADFL11_181
SADFL11_1542 SADFL11_3921
SADFL11_1542 SADFL11_3416
SADFL11_1542 SADFL11_4585
SADFL11_1542 SADFL11_4325
SADFL11_1542 SADFL11_5172
SADFL11_1542 SADFL11_2212
SADFL11_1542 SADFL11_5167
SADFL11_1542 SADFL11_3882
SADFL11_1548 SADFL11_4727
SADFL11_1548 SADFL11_4852
SADFL11_1550 SADFL11_4839
SADFL11_1555 SADFL11_2566
SADFL11_1556 SADFL11_4831
SADFL11_1556 SADFL11_4773
SADFL11_1571 SADFL11_3273
SADFL11_1571 SADFL11_741
SADFL11_1571 SADFL11_4535
SADFL11_1571 SADFL11_3542
SADFL11_1571 SADFL11_2544
SADFL11_1571 SADFL11_3339
SADFL11_1581 SADFL11_3527
SADFL11_1585 SADFL11_4036
SADFL11_1585 SADFL11_4872
SADFL11_1585 SADFL11_3228
SADFL11_1586 SADFL11_1071
SADFL11_1586 SADFL11_725
SADFL11_1586 SADFL11_906
SADFL11_1586 SADFL11_3747
SADFL11_1586 SADFL11_3323
SADFL11_1586 SADFL11_1910
SADFL11_1586 SADFL11_3782
SADFL11_1586 SADFL11_1284
SADFL11_1586 SADFL11_483
SADFL11_1586 SADFL11_193
SADFL11_1586 SADFL11_255
SADFL11_1586 SADFL11_1542
SADFL11_1586 SADFL11_1644
SADFL11_1587 SADFL11_2566
SADFL11_1590 SADFL11_4097
SADFL11_1599 SADFL11_2180
SADFL11_1644 SADFL11_5306
SADFL11_1644 SADFL11_2031
SADFL11_1644 SADFL11_3001
SADFL11_1644 SADFL11_4138
SADFL11_1644 SADFL11_3613
SADFL11_1644 SADFL11_2212
SADFL11_1644 SADFL11_5167
SADFL11_1644 SADFL11_3882
SADFL11_1644 SADFL11_2753
SADFL11_1644 SADFL11_181
SADFL11_1644 SADFL11_3921
SADFL11_1644 SADFL11_3416
SADFL11_1644 SADFL11_1062
SADFL11_1644 SADFL11_4585
SADFL11_1644 SADFL11_1586
SADFL11_1645 SADFL11_3809
SADFL11_1645 SADFL11_3674
SADFL11_1648 SADFL11_705
SADFL11_1648 SADFL11_4264
SADFL11_1650 SADFL11_467
SADFL11_1650 SADFL11_1046
SADFL11_1650 SADFL11_2865
SADFL11_1668 SADFL11_5290
SADFL11_1672 SADFL11_4738
SADFL11_1672 SADFL11_3678
SADFL11_1674 SADFL11_1461
SADFL11_1690 SADFL11_2566
SADFL11_1703 SADFL11_5097
SADFL11_1703 SADFL11_4244
SADFL11_1714 SADFL11_4231
SADFL11_1714 SADFL11_3869
SADFL11_1714 SADFL11_4816
SADFL11_1714 SADFL11_4091
SADFL11_172 SADFL11_3584
SADFL11_1722 SADFL11_3754
SADFL11_1722 SADFL11_2770
SADFL11_1722 SADFL11_414
SADFL11_1724 SADFL11_4410
SADFL11_1732 SADFL11_5313
SADFL11_1735 SADFL11_705
SADFL11_1735 SADFL11_3355
SADFL11_1741 SADFL11_1433
SADFL11_1741 SADFL11_3780
SADFL11_1741 SADFL11_1820
SADFL11_1741 SADFL11_3276
SADFL11_1741 SADFL11_3792
SADFL11_1743 SADFL11_414
SADFL11_1743 SADFL11_2680
SADFL11_1745 SADFL11_1275
SADFL11_1745 SADFL11_3871
SADFL11_1767 SADFL11_4264
SADFL11_1773 SADFL11_4204
SADFL11_1773 SADFL11_801
SADFL11_1775 SADFL11_655
SADFL11_1788 SADFL11_2173
SADFL11_1788 SADFL11_3204
SADFL11_1794 SADFL11_5290
SADFL11_1804 SADFL11_299
SADFL11_1809 SADFL11_2642
SADFL11_181 SADFL11_1284
SADFL11_181 SADFL11_3747
SADFL11_181 SADFL11_906
SADFL11_181 SADFL11_3782
SADFL11_181 SADFL11_3323
SADFL11_181 SADFL11_193
SADFL11_181 SADFL11_483
SADFL11_181 SADFL11_1644
SADFL11_181 SADFL11_255
SADFL11_181 SADFL11_1542
SADFL11_181 SADFL11_1910
SADFL11_181 SADFL11_1071
SADFL11_181 SADFL11_725
SADFL11_1820 SADFL11_1741
SADFL11_1821 SADFL11_3321
SADFL11_1821 SADFL11_633
SADFL11_183 SADFL11_5083
SADFL11_183 SADFL11_3166
SADFL11_1852 SADFL11_2168
SADFL11_1868 SADFL11_710
SADFL11_187 SADFL11_599
SADFL11_1873 SADFL11_1195
SADFL11_1875 SADFL11_2667
SADFL11_1875 SADFL11_5333
SADFL11_1875 SADFL11_2999
SADFL11_1875 SADFL11_2697
SADFL11_1886 SADFL11_1199
SADFL11_1886 SADFL11_2628
SADFL11_1893 SADFL11_2168
SADFL11_1895 SADFL11_3579
SADFL11_1895 SADFL11_509
SADFL11_1902 SADFL11_4683
SADFL11_1910 SADFL11_5306
SADFL11_1910 SADFL11_3001
SADFL11_1910 SADFL11_181
SADFL11_1910 SADFL11_3921
SADFL11_1910 SADFL11_3416
SADFL11_1910 SADFL11_2031
