SSNG_00093 SSNG_02866
SSNG_00198 SSNG_03661
SSNG_00198 SSNG_00490
SSNG_00198 SSNG_04378
SSNG_00215 SSNG_05197
SSNG_00215 SSNG_02335
SSNG_00215 SSNG_05466
SSNG_00215 SSNG_05186
SSNG_00215 SSNG_05422
SSNG_00215 SSNG_05072
SSNG_00215 SSNG_05818
SSNG_00232 SSNG_01917
SSNG_00234 SSNG_00782
SSNG_00315 SSNG_04611
SSNG_00315 SSNG_01953
SSNG_00326 SSNG_05422
SSNG_00326 SSNG_00898
SSNG_00326 SSNG_05131
SSNG_00326 SSNG_05466
SSNG_00326 SSNG_01425
SSNG_00345 SSNG_07305
SSNG_00359 SSNG_06203
SSNG_00359 SSNG_04617
SSNG_00359 SSNG_01720
SSNG_00359 SSNG_04397
SSNG_00383 SSNG_03698
SSNG_00383 SSNG_03690
SSNG_00383 SSNG_03688
SSNG_00383 SSNG_03699
SSNG_00383 SSNG_03697
SSNG_00385 SSNG_02337
SSNG_00387 SSNG_03468
SSNG_00387 SSNG_05104
SSNG_00387 SSNG_03101
SSNG_00387 SSNG_04612
SSNG_00387 SSNG_03485
SSNG_00387 SSNG_04464
SSNG_00387 SSNG_07437
SSNG_00405 SSNG_04397
SSNG_00405 SSNG_06203
SSNG_00405 SSNG_04617
SSNG_00405 SSNG_01720
SSNG_00407 SSNG_05353
SSNG_00407 SSNG_07342
SSNG_00407 SSNG_02311
SSNG_00407 SSNG_05898
SSNG_00407 SSNG_06073
SSNG_00407 SSNG_06667
SSNG_00407 SSNG_02987
SSNG_00407 SSNG_05848
SSNG_00407 SSNG_06668
SSNG_00407 SSNG_01972
SSNG_00413 SSNG_03591
SSNG_00413 SSNG_01993
SSNG_00436 SSNG_05603
SSNG_00436 SSNG_01286
SSNG_00436 SSNG_02699
SSNG_00436 SSNG_00719
SSNG_00436 SSNG_05715
SSNG_00436 SSNG_03417
SSNG_00436 SSNG_04615
SSNG_00436 SSNG_00437
SSNG_00437 SSNG_00719
SSNG_00437 SSNG_02699
SSNG_00437 SSNG_05715
SSNG_00437 SSNG_01286
SSNG_00437 SSNG_05603
SSNG_00437 SSNG_03417
SSNG_00437 SSNG_00436
SSNG_00437 SSNG_04615
SSNG_00458 SSNG_02337
SSNG_00472 SSNG_07062
SSNG_00473 SSNG_03077
SSNG_00473 SSNG_03073
SSNG_00473 SSNG_03076
SSNG_00489 SSNG_02359
SSNG_00489 SSNG_00490
SSNG_00489 SSNG_03797
SSNG_00490 SSNG_00489
SSNG_00490 SSNG_05379
