CHU_0004 CHU_2823
CHU_0006 CHU_2703
CHU_0006 CHU_3226
CHU_0009 CHU_1233
CHU_0009 CHU_2002
CHU_0009 CHU_0094
CHU_0009 CHU_3648
CHU_0009 CHU_1549
CHU_0009 CHU_1537
CHU_0009 CHU_1400
CHU_0009 CHU_0491
CHU_0009 CHU_1680
CHU_0009 CHU_2101
CHU_0009 CHU_3657
CHU_0009 CHU_1347
CHU_0017 CHU_3590
CHU_0017 CHU_3827
CHU_0017 CHU_3591
CHU_0017 CHU_2974
CHU_0017 CHU_3589
CHU_0017 CHU_1408
CHU_0017 CHU_3179
CHU_0017 CHU_3396
CHU_0017 CHU_1071
CHU_0017 CHU_2019
CHU_0019 CHU_0932
CHU_0019 CHU_1289
CHU_0019 CHU_2215
CHU_0019 CHU_3648
CHU_0019 CHU_2002
CHU_0020 CHU_0900
CHU_0020 CHU_0998
CHU_0020 CHU_3390
CHU_0020 CHU_3391
CHU_0020 CHU_0850
CHU_0020 CHU_3393
CHU_0024 CHU_1459
CHU_0025 CHU_3373
CHU_0025 CHU_3176
CHU_0025 CHU_1447
CHU_0025 CHU_2168
CHU_0025 CHU_2829
CHU_0027 CHU_1400
CHU_0027 CHU_2980
CHU_0027 CHU_2982
CHU_0027 CHU_3741
CHU_0027 CHU_2680
CHU_0027 CHU_3742
CHU_0027 CHU_3743
CHU_0027 CHU_1275
CHU_0027 CHU_3718
CHU_0027 CHU_3746
CHU_0027 CHU_3285
CHU_0027 CHU_2249
CHU_0027 CHU_3020
CHU_0027 CHU_2429
CHU_0027 CHU_3664
CHU_0027 CHU_3078
CHU_0027 CHU_1268
CHU_0030 CHU_3360
CHU_0030 CHU_3633
CHU_0030 CHU_3463
CHU_0030 CHU_1741
CHU_0030 CHU_2502
CHU_0030 CHU_1735
CHU_0030 CHU_1021
CHU_0030 CHU_1734
CHU_0030 CHU_1086
CHU_0030 CHU_2824
CHU_0030 CHU_3776
CHU_0030 CHU_3777
CHU_0030 CHU_0703
CHU_0053 CHU_2836
CHU_0053 CHU_1741
CHU_0053 CHU_2982
CHU_0053 CHU_2502
CHU_0053 CHU_1734
CHU_0053 CHU_3834
CHU_0053 CHU_3777
CHU_0053 CHU_3776
CHU_0053 CHU_0703
CHU_0053 CHU_2429
CHU_0053 CHU_0994
CHU_0053 CHU_2249
CHU_0053 CHU_1246
CHU_0053 CHU_1735
CHU_0053 CHU_3835
CHU_0058 CHU_0784
CHU_0058 CHU_1701
CHU_0058 CHU_0073
CHU_0058 CHU_3834
CHU_0058 CHU_3776
CHU_0058 CHU_3777
CHU_0058 CHU_3062
CHU_0058 CHU_3080
CHU_0058 CHU_3693
CHU_0058 CHU_3721
CHU_0058 CHU_3607
CHU_0058 CHU_0084
CHU_0059 CHU_0060
CHU_0059 CHU_0300
CHU_0060 CHU_0059
CHU_0068 CHU_0180
CHU_0068 CHU_0932
CHU_0068 CHU_0451
CHU_0068 CHU_0179
CHU_0068 CHU_0336
CHU_0068 CHU_1998
CHU_0068 CHU_0184
CHU_0068 CHU_0182
CHU_0068 CHU_0181
CHU_0068 CHU_1563
CHU_0068 CHU_0452
CHU_0068 CHU_3648
CHU_0068 CHU_2005
CHU_0068 CHU_0337
CHU_0068 CHU_1786
CHU_0068 CHU_0183
CHU_0068 CHU_1400
CHU_0073 CHU_3320
CHU_0073 CHU_0136
CHU_0073 CHU_1433
CHU_0073 CHU_1312
CHU_0073 CHU_0685
CHU_0073 CHU_0058
CHU_0073 CHU_0610
CHU_0073 CHU_0074
CHU_0073 CHU_3080
CHU_0073 CHU_0139
CHU_0073 CHU_3721
CHU_0073 CHU_2639
CHU_0073 CHU_1434
CHU_0073 CHU_0084
CHU_0073 CHU_3607
CHU_0073 CHU_1816
CHU_0073 CHU_3693
CHU_0073 CHU_1812
CHU_0073 CHU_0274
CHU_0073 CHU_0784
CHU_0073 CHU_1701
CHU_0073 CHU_2817
CHU_0074 CHU_3320
CHU_0074 CHU_1812
