A1C_00015 A1C_00020
A1C_00020 A1C_00015
A1C_00025 A1C_03605
A1C_00030 A1C_01850
A1C_00030 A1C_04180
A1C_00030 A1C_02490
A1C_00030 A1C_04505
A1C_00045 A1C_05935
A1C_00045 A1C_02720
A1C_00050 A1C_01850
A1C_00050 A1C_02380
A1C_00095 A1C_05820
A1C_00095 A1C_05815
A1C_00095 A1C_04625
A1C_00095 A1C_04325
A1C_00095 A1C_04615
A1C_00095 A1C_06330
A1C_00205 A1C_03665
A1C_00205 A1C_01565
A1C_00205 A1C_02260
A1C_00205 A1C_05770
A1C_00250 A1C_06195
A1C_00250 A1C_00265
A1C_00250 A1C_05000
A1C_00250 A1C_04580
A1C_00250 A1C_00255
A1C_00250 A1C_00260
A1C_00250 A1C_06190
A1C_00250 A1C_06200
A1C_00250 A1C_06185
A1C_00250 A1C_06205
A1C_00255 A1C_05000
A1C_00255 A1C_04580
A1C_00255 A1C_06195
A1C_00255 A1C_00250
A1C_00255 A1C_06205
A1C_00255 A1C_00265
A1C_00255 A1C_00260
A1C_00255 A1C_06190
A1C_00255 A1C_06200
A1C_00255 A1C_06185
A1C_00260 A1C_00255
A1C_00260 A1C_05000
A1C_00260 A1C_04580
A1C_00260 A1C_06200
A1C_00260 A1C_06185
A1C_00260 A1C_00250
A1C_00260 A1C_00265
A1C_00260 A1C_06205
A1C_00260 A1C_06195
A1C_00260 A1C_06190
A1C_00265 A1C_06190
A1C_00265 A1C_00255
A1C_00265 A1C_04580
A1C_00265 A1C_06185
A1C_00265 A1C_05000
A1C_00265 A1C_00260
A1C_00265 A1C_06200
A1C_00265 A1C_00250
A1C_00265 A1C_06205
A1C_00265 A1C_06195
A1C_00300 A1C_06460
A1C_00300 A1C_04885
A1C_00365 A1C_06040
A1C_00370 A1C_01945
A1C_00370 A1C_03370
A1C_00370 A1C_01610
A1C_00370 A1C_01615
A1C_00370 A1C_06115
A1C_00370 A1C_06145
A1C_00370 A1C_02665
A1C_00370 A1C_05130
A1C_00380 A1C_06145
A1C_00380 A1C_03215
A1C_00380 A1C_00930
A1C_00380 A1C_00650
A1C_00380 A1C_01615
A1C_00380 A1C_03370
A1C_00380 A1C_05130
A1C_00380 A1C_01945
A1C_00380 A1C_01610
A1C_00380 A1C_06115
A1C_00380 A1C_03220
A1C_00380 A1C_02665
A1C_00380 A1C_00940
A1C_00380 A1C_00955
A1C_00410 A1C_03175
A1C_00410 A1C_05700
A1C_00410 A1C_01770
A1C_00450 A1C_03470
A1C_00450 A1C_05985
A1C_00450 A1C_04245
A1C_00450 A1C_01010
A1C_00450 A1C_02835
A1C_00450 A1C_04920
A1C_00450 A1C_06740
A1C_00450 A1C_05000
A1C_00450 A1C_01015
A1C_00450 A1C_01225
A1C_00450 A1C_02845
A1C_00450 A1C_00540
A1C_00450 A1C_05860
A1C_00450 A1C_02870
A1C_00450 A1C_04985
A1C_00450 A1C_06050
A1C_00450 A1C_02980
A1C_00450 A1C_00500
A1C_00450 A1C_01095
A1C_00450 A1C_03560
A1C_00450 A1C_03480
A1C_00450 A1C_03485
A1C_00450 A1C_06700
A1C_00450 A1C_04500
A1C_00450 A1C_05335
A1C_00450 A1C_06035
A1C_00450 A1C_03150
A1C_00450 A1C_01355
A1C_00485 A1C_03555
A1C_00500 A1C_06740
A1C_00500 A1C_06050
A1C_00500 A1C_01225
A1C_00500 A1C_06700
A1C_00500 A1C_00450
A1C_00500 A1C_01355
A1C_00500 A1C_03150
A1C_00500 A1C_06035
A1C_00500 A1C_05860
A1C_00540 A1C_00450
A1C_00540 A1C_01010
A1C_00540 A1C_01355
A1C_00540 A1C_06740
A1C_00540 A1C_04985
A1C_00540 A1C_06050
