XP_002614144.1 XP_002615736.1
XP_002614148.1 XP_002618856.1
XP_002614148.1 XP_002619245.1
XP_002614153.1 XP_002619462.1
XP_002614161.1 XP_002616698.1
XP_002614161.1 XP_002615148.1
XP_002614161.1 XP_002619801.1
XP_002614161.1 XP_002619597.1
XP_002614161.1 XP_002614860.1
XP_002614161.1 XP_002614620.1
XP_002614161.1 XP_002619586.1
XP_002614161.1 XP_002614440.1
XP_002614161.1 XP_002619746.1
XP_002614174.1 XP_002618990.1
XP_002614175.1 XP_002618329.1
XP_002614175.1 XP_002616496.1
XP_002614175.1 XP_002619693.1
XP_002614175.1 XP_002615275.1
XP_002614175.1 XP_002618882.1
XP_002614179.1 XP_002619937.1
XP_002614179.1 XP_002615088.1
XP_002614179.1 XP_002616145.1
XP_002614179.1 XP_002619739.1
XP_002614183.1 XP_002616472.1
XP_002614183.1 XP_002615146.1
XP_002614183.1 XP_002614493.1
XP_002614183.1 XP_002619834.1
XP_002614183.1 XP_002618996.1
XP_002614183.1 XP_002615248.1
XP_002614183.1 XP_002618484.1
XP_002614186.1 XP_002617274.1
XP_002614186.1 XP_002618898.1
XP_002614186.1 XP_002615649.1
XP_002614186.1 XP_002615671.1
XP_002614186.1 XP_002617924.1
XP_002614186.1 XP_002619849.1
XP_002614186.1 XP_002618642.1
XP_002614186.1 XP_002614745.1
XP_002614186.1 XP_002618058.1
XP_002614186.1 XP_002617534.1
XP_002614186.1 XP_002617414.1
XP_002614186.1 XP_002617787.1
XP_002614189.1 XP_002617118.1
XP_002614189.1 XP_002614652.1
XP_002614215.1 XP_002616261.1
XP_002614215.1 XP_002619236.1
XP_002614215.1 XP_002619628.1
XP_002614215.1 XP_002615607.1
XP_002614215.1 XP_002619079.1
XP_002614215.1 XP_002619966.1
XP_002614215.1 XP_002618027.1
XP_002614215.1 XP_002618397.1
XP_002614215.1 XP_002614386.1
XP_002614215.1 XP_002615879.1
XP_002614215.1 XP_002617493.1
XP_002614215.1 XP_002617340.1
XP_002614215.1 XP_002619080.1
XP_002614215.1 XP_002618898.1
XP_002614215.1 XP_002616126.1
XP_002614215.1 XP_002615451.1
XP_002614215.1 XP_002619076.1
XP_002614215.1 XP_002616884.1
XP_002614215.1 XP_002619263.1
XP_002614215.1 XP_002618402.1
XP_002614215.1 XP_002619112.1
XP_002614219.1 XP_002618167.1
XP_002614229.1 XP_002616223.1
XP_002614234.1 XP_002616670.1
XP_002614234.1 XP_002614762.1
XP_002614234.1 XP_002614423.1
XP_002614234.1 XP_002617456.1
XP_002614234.1 XP_002615954.1
XP_002614234.1 XP_002616106.1
XP_002614234.1 XP_002614893.1
XP_002614234.1 XP_002616514.1
XP_002614234.1 XP_002615128.1
XP_002614234.1 XP_002615737.1
XP_002614234.1 XP_002619596.1
XP_002614234.1 XP_002619438.1
XP_002614234.1 XP_002617174.1
XP_002614234.1 XP_002615953.1
XP_002614234.1 XP_002616399.1
XP_002614234.1 XP_002615508.1
XP_002614234.1 XP_002619816.1
XP_002614234.1 XP_002615805.1
XP_002614234.1 XP_002618288.1
XP_002614234.1 XP_002617890.1
XP_002614234.1 XP_002618704.1
XP_002614234.1 XP_002616197.1
XP_002614235.1 XP_002617866.1
XP_002614235.1 XP_002617317.1
XP_002614236.1 XP_002615248.1
XP_002614241.1 XP_002616212.1
XP_002614241.1 XP_002614584.1
XP_002614241.1 XP_002615737.1
XP_002614241.1 XP_002616561.1
XP_002614254.1 XP_002616530.1
XP_002614254.1 XP_002615165.1
XP_002614254.1 XP_002617061.1
XP_002614254.1 XP_002617079.1
XP_002614255.1 XP_002617561.1
XP_002614269.1 XP_002618520.1
XP_002614270.1 XP_002618117.1
XP_002614270.1 XP_002616546.1
XP_002614274.1 XP_002617852.1
XP_002614274.1 XP_002619512.1
XP_002614276.1 XP_002619622.1
XP_002614276.1 XP_002615386.1
XP_002614279.1 XP_002617005.1
XP_002614279.1 XP_002616831.1
XP_002614279.1 XP_002616657.1
XP_002614295.1 XP_002618151.1
XP_002614295.1 XP_002618392.1
XP_002614295.1 XP_002618235.1
XP_002614295.1 XP_002617873.1
XP_002614295.1 XP_002615273.1
XP_002614295.1 XP_002614344.1
XP_002614300.1 XP_002616907.1
XP_002614300.1 XP_002617442.1
XP_002614300.1 XP_002619160.1
XP_002614300.1 XP_002616745.1
XP_002614302.1 XP_002615954.1
XP_002614302.1 XP_002616181.1
XP_002614302.1 XP_002614416.1
XP_002614302.1 XP_002616670.1
XP_002614302.1 XP_002615953.1
XP_002614302.1 XP_002619823.1
XP_002614302.1 XP_002619438.1
XP_002614302.1 XP_002617157.1
XP_002614302.1 XP_002616197.1
XP_002614303.1 XP_002616859.1
XP_002614303.1 XP_002615451.1
XP_002614303.1 XP_002615480.1
XP_002614303.1 XP_002619263.1
XP_002614303.1 XP_002615897.1
XP_002614303.1 XP_002615285.1
