SRU_0001 SRU_1369
SRU_0002 SRU_1433
SRU_0002 SRU_1635
SRU_0002 SRU_1027
SRU_0002 SRU_0857
SRU_0002 SRU_0498
SRU_0002 SRU_2557
SRU_0002 SRU_1075
SRU_0002 SRU_0950
SRU_0002 SRU_1441
SRU_0002 SRU_0979
SRU_0006 SRU_0709
SRU_0007 SRU_0079
SRU_0007 SRU_0511
SRU_0007 SRU_0275
SRU_0007 SRU_0981
SRU_0012 SRU_2302
SRU_0012 SRU_1027
SRU_0012 SRU_1758
SRU_0012 SRU_1757
SRU_0012 SRU_1068
SRU_0012 SRU_1075
SRU_0012 SRU_1060
SRU_0019 SRU_1516
SRU_0019 SRU_1203
SRU_0020 SRU_1618
SRU_0028 SRU_0528
SRU_0028 SRU_2787
SRU_0028 SRU_0938
SRU_0028 SRU_2077
SRU_0028 SRU_2039
SRU_0030 SRU_0300
SRU_0030 SRU_0972
SRU_0030 SRU_0132
SRU_0030 SRU_0762
SRU_0030 SRU_1773
SRU_0030 SRU_1027
SRU_0030 SRU_1710
SRU_0030 SRU_1062
SRU_0030 SRU_1842
SRU_0030 SRU_0131
SRU_0030 SRU_0975
SRU_0030 SRU_2075
SRU_0030 SRU_1075
SRU_0034 SRU_1773
SRU_0034 SRU_1842
SRU_0034 SRU_0131
SRU_0034 SRU_0527
SRU_0034 SRU_1335
SRU_0034 SRU_2693
SRU_0034 SRU_0300
SRU_0034 SRU_1075
SRU_0034 SRU_1287
SRU_0034 SRU_0132
SRU_0034 SRU_1735
SRU_0034 SRU_1788
SRU_0041 SRU_2301
SRU_0041 SRU_1471
SRU_0041 SRU_1480
SRU_0041 SRU_1463
SRU_0041 SRU_2437
SRU_0041 SRU_1481
SRU_0041 SRU_1473
SRU_0042 SRU_2348
SRU_0042 SRU_1153
SRU_0042 SRU_0937
SRU_0042 SRU_1155
SRU_0042 SRU_0424
SRU_0042 SRU_0043
SRU_0042 SRU_0936
SRU_0042 SRU_0736
SRU_0042 SRU_0423
SRU_0042 SRU_2739
SRU_0042 SRU_1969
SRU_0042 SRU_2753
SRU_0042 SRU_0488
SRU_0042 SRU_0045
SRU_0043 SRU_0042
SRU_0043 SRU_2739
SRU_0043 SRU_2753
SRU_0043 SRU_2348
SRU_0043 SRU_0937
SRU_0043 SRU_0468
SRU_0043 SRU_1218
SRU_0043 SRU_2246
SRU_0043 SRU_0936
SRU_0043 SRU_1155
SRU_0045 SRU_0042
SRU_0045 SRU_1153
SRU_0045 SRU_0736
SRU_0045 SRU_2753
SRU_0045 SRU_2739
SRU_0046 SRU_1673
SRU_0046 SRU_0299
SRU_0065 SRU_2425
SRU_0069 SRU_1971
SRU_0069 SRU_1211
SRU_0069 SRU_1970
SRU_0069 SRU_1547
SRU_0069 SRU_1820
SRU_0069 SRU_1966
SRU_0069 SRU_1684
SRU_0074 SRU_0847
SRU_0074 SRU_2253
SRU_0074 SRU_0849
SRU_0074 SRU_0660
SRU_0078 SRU_1349
SRU_0078 SRU_1970
SRU_0078 SRU_0424
SRU_0078 SRU_1027
SRU_0078 SRU_1200
SRU_0078 SRU_1906
SRU_0078 SRU_2355
SRU_0078 SRU_1971
SRU_0078 SRU_0681
SRU_0078 SRU_1905
SRU_0078 SRU_0423
SRU_0078 SRU_0864
SRU_0078 SRU_0080
SRU_0078 SRU_0785
SRU_0078 SRU_0787
SRU_0079 SRU_0007
