KAOT1_00870 KAOT1_08473
KAOT1_00990 KAOT1_12037
KAOT1_00990 KAOT1_17093
KAOT1_00990 KAOT1_10711
KAOT1_01175 KAOT1_05327
KAOT1_01175 KAOT1_15923
KAOT1_01180 KAOT1_15923
KAOT1_01180 KAOT1_05327
KAOT1_01190 KAOT1_21262
KAOT1_01190 KAOT1_01919
KAOT1_01190 KAOT1_01924
KAOT1_01190 KAOT1_21267
KAOT1_01260 KAOT1_22296
KAOT1_01260 KAOT1_09471
KAOT1_01260 KAOT1_19252
KAOT1_01405 KAOT1_21017
KAOT1_01734 KAOT1_06147
KAOT1_01789 KAOT1_04590
KAOT1_01789 KAOT1_09791
KAOT1_01789 KAOT1_03692
KAOT1_01804 KAOT1_07498
KAOT1_01804 KAOT1_01809
KAOT1_01804 KAOT1_07588
KAOT1_01809 KAOT1_01804
KAOT1_01809 KAOT1_01884
KAOT1_01809 KAOT1_10711
KAOT1_01884 KAOT1_07588
KAOT1_01884 KAOT1_01809
KAOT1_01884 KAOT1_07498
KAOT1_01919 KAOT1_01190
KAOT1_01919 KAOT1_17068
KAOT1_01924 KAOT1_01190
KAOT1_01924 KAOT1_17068
KAOT1_01929 KAOT1_10711
KAOT1_01989 KAOT1_11627
KAOT1_02004 KAOT1_10711
KAOT1_02266 KAOT1_04330
KAOT1_02392 KAOT1_02422
KAOT1_02397 KAOT1_10411
KAOT1_02397 KAOT1_02407
KAOT1_02402 KAOT1_02822
KAOT1_02407 KAOT1_05082
KAOT1_02407 KAOT1_02397
KAOT1_02407 KAOT1_08694
KAOT1_02407 KAOT1_12047
KAOT1_02407 KAOT1_02422
KAOT1_02412 KAOT1_02422
KAOT1_02422 KAOT1_02392
KAOT1_02422 KAOT1_02412
KAOT1_02422 KAOT1_02407
KAOT1_02822 KAOT1_02402
KAOT1_02822 KAOT1_10411
KAOT1_02827 KAOT1_15598
KAOT1_02827 KAOT1_15743
KAOT1_02827 KAOT1_15813
KAOT1_02827 KAOT1_21657
KAOT1_02827 KAOT1_15057
KAOT1_02832 KAOT1_16863
KAOT1_02832 KAOT1_09376
KAOT1_02832 KAOT1_10536
KAOT1_02832 KAOT1_10491
KAOT1_02832 KAOT1_21916
KAOT1_02832 KAOT1_17023
KAOT1_02832 KAOT1_04902
KAOT1_02832 KAOT1_21657
KAOT1_02832 KAOT1_22176
KAOT1_02872 KAOT1_21781
KAOT1_02937 KAOT1_15598
KAOT1_02937 KAOT1_15813
KAOT1_02937 KAOT1_15743
KAOT1_02937 KAOT1_21657
KAOT1_02937 KAOT1_15057
KAOT1_02972 KAOT1_10391
KAOT1_02972 KAOT1_05407
KAOT1_02987 KAOT1_11627
KAOT1_02987 KAOT1_12952
KAOT1_02987 KAOT1_21027
KAOT1_02987 KAOT1_20597
KAOT1_02987 KAOT1_18997
KAOT1_02987 KAOT1_21022
KAOT1_02987 KAOT1_09336
KAOT1_02987 KAOT1_21277
KAOT1_02987 KAOT1_11006
KAOT1_02987 KAOT1_09321
KAOT1_02987 KAOT1_03087
KAOT1_02997 KAOT1_13017
KAOT1_02997 KAOT1_04365
KAOT1_03087 KAOT1_02987
KAOT1_03122 KAOT1_03177
KAOT1_03137 KAOT1_12612
KAOT1_03142 KAOT1_10391
KAOT1_03142 KAOT1_05407
KAOT1_03177 KAOT1_03122
KAOT1_03587 KAOT1_22456
KAOT1_03587 KAOT1_22451
KAOT1_03587 KAOT1_12637
KAOT1_03592 KAOT1_22451
KAOT1_03592 KAOT1_22456
KAOT1_03592 KAOT1_12637
KAOT1_03597 KAOT1_08989
KAOT1_03672 KAOT1_08989
KAOT1_03692 KAOT1_17043
KAOT1_03692 KAOT1_01789
KAOT1_04330 KAOT1_02266
KAOT1_04340 KAOT1_20527
KAOT1_04340 KAOT1_13272
KAOT1_04340 KAOT1_04812
KAOT1_04360 KAOT1_13017
KAOT1_04360 KAOT1_04365
KAOT1_04365 KAOT1_06877
KAOT1_04365 KAOT1_16478
KAOT1_04365 KAOT1_02997
KAOT1_04365 KAOT1_21652
KAOT1_04365 KAOT1_04360
KAOT1_04590 KAOT1_06587
KAOT1_04590 KAOT1_05862
KAOT1_04590 KAOT1_20617
KAOT1_04590 KAOT1_17043
KAOT1_04590 KAOT1_01789
KAOT1_04590 KAOT1_06392
KAOT1_04812 KAOT1_04340
KAOT1_04812 KAOT1_20517
KAOT1_04812 KAOT1_20542
KAOT1_04812 KAOT1_20617
KAOT1_04812 KAOT1_20557
KAOT1_04812 KAOT1_18047
KAOT1_04902 KAOT1_16863
KAOT1_04902 KAOT1_02832
KAOT1_04902 KAOT1_22151
KAOT1_04902 KAOT1_12037
KAOT1_04902 KAOT1_17023
KAOT1_04907 KAOT1_13852
KAOT1_04907 KAOT1_05987
KAOT1_04907 KAOT1_18207
KAOT1_04907 KAOT1_09876
KAOT1_04907 KAOT1_09881
KAOT1_04912 KAOT1_06587
KAOT1_04912 KAOT1_06392
KAOT1_04912 KAOT1_20617
KAOT1_04982 KAOT1_20987
KAOT1_05067 KAOT1_20987
KAOT1_05082 KAOT1_02407
KAOT1_05082 KAOT1_10411
KAOT1_05132 KAOT1_08483
KAOT1_05132 KAOT1_08073
KAOT1_05132 KAOT1_21262
KAOT1_05132 KAOT1_21267
KAOT1_05172 KAOT1_21267
KAOT1_05172 KAOT1_08483
KAOT1_05172 KAOT1_08073
KAOT1_05172 KAOT1_21262
KAOT1_05327 KAOT1_01175
KAOT1_05327 KAOT1_01180
KAOT1_05352 KAOT1_09411
KAOT1_05352 KAOT1_11677
KAOT1_05352 KAOT1_16583
KAOT1_05382 KAOT1_12037
KAOT1_05382 KAOT1_19897
KAOT1_05382 KAOT1_10711
KAOT1_05382 KAOT1_12012
KAOT1_05407 KAOT1_03142
KAOT1_05407 KAOT1_02972
KAOT1_05427 KAOT1_13407
KAOT1_05467 KAOT1_17353
KAOT1_05487 KAOT1_17353
KAOT1_05572 KAOT1_05577
KAOT1_05572 KAOT1_05587
KAOT1_05577 KAOT1_05572
KAOT1_05577 KAOT1_05582
KAOT1_05582 KAOT1_05577
KAOT1_05582 KAOT1_05587
KAOT1_05587 KAOT1_05582
KAOT1_05587 KAOT1_05572
KAOT1_05737 KAOT1_05862
KAOT1_05862 KAOT1_04590
KAOT1_05862 KAOT1_05737
KAOT1_05862 KAOT1_21472
KAOT1_05987 KAOT1_13852
KAOT1_05987 KAOT1_04907
KAOT1_05987 KAOT1_18207
KAOT1_05987 KAOT1_09876
KAOT1_05987 KAOT1_09881
KAOT1_06147 KAOT1_22321
KAOT1_06147 KAOT1_01734
KAOT1_06147 KAOT1_22256
KAOT1_06252 KAOT1_06267
KAOT1_06257 KAOT1_06267
KAOT1_06267 KAOT1_16918
KAOT1_06267 KAOT1_06257
KAOT1_06267 KAOT1_06252
KAOT1_06392 KAOT1_04590
KAOT1_06392 KAOT1_21472
KAOT1_06392 KAOT1_04912
KAOT1_06462 KAOT1_06897
KAOT1_06462 KAOT1_09781
KAOT1_06547 KAOT1_22326
KAOT1_06577 KAOT1_16443
KAOT1_06577 KAOT1_16238
KAOT1_06587 KAOT1_21472
KAOT1_06587 KAOT1_04590
KAOT1_06587 KAOT1_04912
KAOT1_06592 KAOT1_16248
KAOT1_06647 KAOT1_18207
KAOT1_06647 KAOT1_09471
KAOT1_06647 KAOT1_19252
KAOT1_06827 KAOT1_09471
KAOT1_06827 KAOT1_19252
KAOT1_06827 KAOT1_18207
KAOT1_06877 KAOT1_13017
KAOT1_06877 KAOT1_04365
KAOT1_06897 KAOT1_16663
KAOT1_06897 KAOT1_21622
KAOT1_06897 KAOT1_06462
KAOT1_06927 KAOT1_12637
KAOT1_06927 KAOT1_10391
KAOT1_07153 KAOT1_08258
KAOT1_07278 KAOT1_08348
KAOT1_07428 KAOT1_10091
KAOT1_07428 KAOT1_12922
KAOT1_07428 KAOT1_12982
KAOT1_07498 KAOT1_11897
KAOT1_07498 KAOT1_07588
KAOT1_07498 KAOT1_01884
KAOT1_07498 KAOT1_08503
KAOT1_07498 KAOT1_01804
KAOT1_07498 KAOT1_12012
KAOT1_07548 KAOT1_10931
KAOT1_07548 KAOT1_09876
KAOT1_07548 KAOT1_09881
KAOT1_07548 KAOT1_13502
KAOT1_07588 KAOT1_01804
KAOT1_07588 KAOT1_01884
KAOT1_07588 KAOT1_08503
KAOT1_07588 KAOT1_11897
KAOT1_07588 KAOT1_12012
KAOT1_07588 KAOT1_07498
KAOT1_07648 KAOT1_07653
KAOT1_07648 KAOT1_16458
KAOT1_07648 KAOT1_18902
KAOT1_07653 KAOT1_07703
KAOT1_07653 KAOT1_07648
KAOT1_07703 KAOT1_07653
KAOT1_07703 KAOT1_16458
KAOT1_07703 KAOT1_18902
KAOT1_07793 KAOT1_09421
KAOT1_07938 KAOT1_12747
KAOT1_08073 KAOT1_21272
KAOT1_08073 KAOT1_05172
KAOT1_08073 KAOT1_10206
KAOT1_08073 KAOT1_10326
KAOT1_08073 KAOT1_13502
KAOT1_08073 KAOT1_05132
KAOT1_08248 KAOT1_08348
KAOT1_08258 KAOT1_21152
KAOT1_08258 KAOT1_07153
KAOT1_08348 KAOT1_13167
KAOT1_08348 KAOT1_17923
KAOT1_08348 KAOT1_08248
KAOT1_08348 KAOT1_17998
KAOT1_08348 KAOT1_18008
KAOT1_08348 KAOT1_16078
KAOT1_08348 KAOT1_15317
KAOT1_08348 KAOT1_07278
KAOT1_08463 KAOT1_10516
KAOT1_08473 KAOT1_00870
KAOT1_08483 KAOT1_21272
KAOT1_08483 KAOT1_05172
KAOT1_08483 KAOT1_10326
KAOT1_08483 KAOT1_13502
KAOT1_08483 KAOT1_05132
KAOT1_08483 KAOT1_10206
KAOT1_08503 KAOT1_07498
KAOT1_08503 KAOT1_07588
KAOT1_08578 KAOT1_21152
KAOT1_08654 KAOT1_11627
KAOT1_08694 KAOT1_02407
KAOT1_08694 KAOT1_09421
KAOT1_08809 KAOT1_15598
KAOT1_08809 KAOT1_22666
KAOT1_08894 KAOT1_08904
KAOT1_08894 KAOT1_19987
KAOT1_08894 KAOT1_20622
KAOT1_08894 KAOT1_20692
KAOT1_08904 KAOT1_08894
KAOT1_08979 KAOT1_22666
KAOT1_08979 KAOT1_15598
KAOT1_08989 KAOT1_03672
KAOT1_08989 KAOT1_03597
KAOT1_09281 KAOT1_20622
KAOT1_09281 KAOT1_20692
KAOT1_09311 KAOT1_09316
KAOT1_09316 KAOT1_09311
KAOT1_09316 KAOT1_15888
KAOT1_09321 KAOT1_21277
KAOT1_09321 KAOT1_02987
KAOT1_09336 KAOT1_02987
KAOT1_09336 KAOT1_21277
KAOT1_09376 KAOT1_02832
KAOT1_09376 KAOT1_22151
KAOT1_09376 KAOT1_16863
KAOT1_09376 KAOT1_17023
KAOT1_09376 KAOT1_12037
KAOT1_09411 KAOT1_11677
KAOT1_09411 KAOT1_05352
KAOT1_09411 KAOT1_16583
KAOT1_09421 KAOT1_08694
KAOT1_09421 KAOT1_12047
KAOT1_09421 KAOT1_07793
KAOT1_09421 KAOT1_14397
KAOT1_09471 KAOT1_06827
KAOT1_09471 KAOT1_18142
KAOT1_09471 KAOT1_10091
KAOT1_09471 KAOT1_06647
KAOT1_09471 KAOT1_01260
KAOT1_09471 KAOT1_18147
KAOT1_09566 KAOT1_14997
KAOT1_09611 KAOT1_14997
KAOT1_09651 KAOT1_14997
KAOT1_09781 KAOT1_21622
KAOT1_09781 KAOT1_06462
KAOT1_09781 KAOT1_16663
KAOT1_09791 KAOT1_17043
KAOT1_09791 KAOT1_01789
KAOT1_09866 KAOT1_16248
KAOT1_09876 KAOT1_07548
KAOT1_09876 KAOT1_18207
KAOT1_09876 KAOT1_04907
KAOT1_09876 KAOT1_05987
KAOT1_09876 KAOT1_13852
KAOT1_09881 KAOT1_05987
KAOT1_09881 KAOT1_18207
KAOT1_09881 KAOT1_07548
KAOT1_09881 KAOT1_13852
KAOT1_09881 KAOT1_04907
KAOT1_10091 KAOT1_10901
KAOT1_10091 KAOT1_18147
KAOT1_10091 KAOT1_18142
KAOT1_10091 KAOT1_17598
KAOT1_10091 KAOT1_17748
KAOT1_10091 KAOT1_07428
KAOT1_10091 KAOT1_10856
KAOT1_10091 KAOT1_09471
KAOT1_10091 KAOT1_10481
KAOT1_10091 KAOT1_10181
KAOT1_10091 KAOT1_15973
KAOT1_10091 KAOT1_19252
KAOT1_10181 KAOT1_10091
KAOT1_10206 KAOT1_08483
KAOT1_10206 KAOT1_13502
KAOT1_10206 KAOT1_08073
KAOT1_10326 KAOT1_13502
KAOT1_10326 KAOT1_08073
KAOT1_10326 KAOT1_08483
KAOT1_10391 KAOT1_03142
KAOT1_10391 KAOT1_06927
KAOT1_10391 KAOT1_02972
KAOT1_10411 KAOT1_05082
KAOT1_10411 KAOT1_02822
KAOT1_10411 KAOT1_02397
KAOT1_10481 KAOT1_10091
KAOT1_10481 KAOT1_12982
KAOT1_10491 KAOT1_02832
KAOT1_10491 KAOT1_22151
KAOT1_10491 KAOT1_21657
KAOT1_10516 KAOT1_08463
KAOT1_10516 KAOT1_20987
KAOT1_10536 KAOT1_02832
KAOT1_10536 KAOT1_22151
KAOT1_10536 KAOT1_21657
KAOT1_10711 KAOT1_01809
KAOT1_10711 KAOT1_00990
KAOT1_10711 KAOT1_12687
KAOT1_10711 KAOT1_21712
KAOT1_10711 KAOT1_14377
KAOT1_10711 KAOT1_22231
KAOT1_10711 KAOT1_05382
KAOT1_10711 KAOT1_12012
KAOT1_10711 KAOT1_02004
KAOT1_10711 KAOT1_22221
KAOT1_10711 KAOT1_01929
KAOT1_10856 KAOT1_10091
KAOT1_10901 KAOT1_10091
KAOT1_10931 KAOT1_07548
KAOT1_10931 KAOT1_15973
KAOT1_11006 KAOT1_21022
KAOT1_11006 KAOT1_02987
KAOT1_11006 KAOT1_12952
KAOT1_11597 KAOT1_15998
KAOT1_11627 KAOT1_02987
KAOT1_11627 KAOT1_08654
KAOT1_11627 KAOT1_20602
KAOT1_11627 KAOT1_15963
KAOT1_11627 KAOT1_15913
KAOT1_11627 KAOT1_01989
KAOT1_11677 KAOT1_05352
KAOT1_11677 KAOT1_16583
KAOT1_11677 KAOT1_09411
KAOT1_11897 KAOT1_07498
KAOT1_11897 KAOT1_07588
KAOT1_12012 KAOT1_12952
KAOT1_12012 KAOT1_21022
KAOT1_12012 KAOT1_10711
KAOT1_12012 KAOT1_07498
KAOT1_12012 KAOT1_07588
KAOT1_12012 KAOT1_05382
KAOT1_12037 KAOT1_22176
KAOT1_12037 KAOT1_00990
