NGR_c00010 NGR_c19160
NGR_c00100 NGR_c26850
NGR_c00100 NGR_c11120
NGR_c00100 NGR_c21340
NGR_c00100 NGR_c00830
NGR_c10180 NGR_c05250
NGR_c10190 NGR_c00740
NGR_c10190 NGR_c01510
NGR_c10200 NGR_c25370
NGR_c10200 NGR_c29260
NGR_c10250 NGR_c21590
NGR_c10250 NGR_c01670
NGR_c10250 NGR_c01690
NGR_c10250 NGR_c21580
NGR_c10250 NGR_c10910
NGR_c10250 NGR_c26080
NGR_c10250 NGR_c04900
NGR_c10280 NGR_c01560
NGR_c10280 NGR_c13070
NGR_c10280 NGR_c28640
NGR_c10280 NGR_c33880
NGR_c10280 NGR_c14880
NGR_c10280 NGR_c05340
NGR_c10280 NGR_c18460
NGR_c10280 NGR_c13180
NGR_c10280 NGR_c36850
NGR_c10280 NGR_c18290
NGR_c10280 NGR_c14020
NGR_c10280 NGR_c14980
NGR_c10280 NGR_c30540
NGR_c10330 NGR_c13620
NGR_c10410 NGR_c02570
NGR_c10410 NGR_c02560
NGR_c10410 NGR_c30840
NGR_c10410 NGR_c02550
NGR_c10410 NGR_c35180
NGR_c10410 NGR_c27590
NGR_c10410 NGR_c20840
NGR_c10410 NGR_c35170
NGR_c10410 NGR_c35160
NGR_c10410 NGR_c02530
NGR_c10410 NGR_c02590
NGR_c10410 NGR_c02540
NGR_c10410 NGR_c02580
NGR_c01040 NGR_c17110
NGR_c01040 NGR_c11840
NGR_c01040 NGR_c09130
NGR_c01040 NGR_c14580
NGR_c01040 NGR_c28350
NGR_c01040 NGR_c12570
NGR_c01040 NGR_c11830
NGR_c01040 NGR_c13030
NGR_c01040 NGR_c12140
NGR_c01040 NGR_c05210
NGR_c10480 NGR_c22120
NGR_c10490 NGR_c22110
NGR_c10490 NGR_c16730
NGR_c10490 NGR_c01910
NGR_c10490 NGR_c05240
NGR_c10490 NGR_c01900
NGR_c10500 NGR_c22100
NGR_c10510 NGR_c05240
NGR_c10510 NGR_c22090
NGR_c10510 NGR_c01900
NGR_c10510 NGR_c01910
NGR_c10510 NGR_c16730
NGR_c10530 NGR_c01910
NGR_c10530 NGR_c16730
NGR_c10530 NGR_c01900
NGR_c10530 NGR_c05240
NGR_c10530 NGR_c10550
NGR_c10530 NGR_c22080
NGR_c10540 NGR_c22070
NGR_c10550 NGR_c22080
NGR_c10550 NGR_c16730
NGR_c10550 NGR_c10530
NGR_c10550 NGR_c01900
NGR_c10550 NGR_c01910
NGR_c10550 NGR_c05240
NGR_c10560 NGR_c16730
NGR_c10560 NGR_c01910
NGR_c10560 NGR_c01900
NGR_c10560 NGR_c05240
NGR_c10560 NGR_c22060
NGR_c10570 NGR_c01910
NGR_c10570 NGR_c22030
NGR_c10570 NGR_c16730
NGR_c10570 NGR_c01900
NGR_c10570 NGR_c05240
NGR_c10580 NGR_c16730
NGR_c10580 NGR_c01900
NGR_c10580 NGR_c05240
NGR_c10580 NGR_c22040
NGR_c10580 NGR_c01910
NGR_c10590 NGR_c22190
NGR_c10590 NGR_c01910
NGR_c10590 NGR_c05240
NGR_c10590 NGR_c16730
NGR_c10590 NGR_c01900
NGR_c10600 NGR_c01910
NGR_c10600 NGR_c16730
NGR_c10600 NGR_c01900
NGR_c10600 NGR_c05240
NGR_c10600 NGR_c22180
NGR_c10610 NGR_c01910
NGR_c10610 NGR_c16730
NGR_c10610 NGR_c01900
NGR_c10610 NGR_c05240
NGR_c10620 NGR_c05240
NGR_c10620 NGR_c22140
NGR_c10620 NGR_c01910
NGR_c10620 NGR_c16730
NGR_c10620 NGR_c01900
NGR_c10630 NGR_c05240
NGR_c10630 NGR_c01910
NGR_c10630 NGR_c22130
NGR_c10630 NGR_c16730
NGR_c10630 NGR_c01900
NGR_c10640 NGR_c25140
NGR_c10660 NGR_c27100
NGR_c10660 NGR_c25610
NGR_c10690 NGR_c10700
NGR_c10700 NGR_c10690
NGR_c10730 NGR_c01580
NGR_c10730 NGR_c16060
NGR_c10730 NGR_c33540
NGR_c10730 NGR_c13640
NGR_c10730 NGR_c35150
NGR_c10730 NGR_c36750
NGR_c10730 NGR_c28350
NGR_c10730 NGR_c33410
NGR_c10730 NGR_c35580
NGR_c10730 NGR_c09050
NGR_c10730 NGR_c09130
NGR_c10790 NGR_c07870
NGR_c10790 NGR_c07610
NGR_c10790 NGR_c17310
NGR_c10800 NGR_c07610
NGR_c10800 NGR_c17310
NGR_c10800 NGR_c07870
NGR_c10880 NGR_c32130
NGR_c10880 NGR_c23840
NGR_c10880 NGR_c01220
NGR_c10880 NGR_c30940
NGR_c10880 NGR_c00400
NGR_c10880 NGR_c09710
NGR_c10880 NGR_c27040
NGR_c10890 NGR_c10900
