GFO_0009 GFO_0012
GFO_0012 GFO_3521
GFO_0012 GFO_2131
GFO_0012 GFO_0009
GFO_0012 GFO_1692
GFO_0012 GFO_1703
GFO_0012 GFO_1643
GFO_0012 GFO_1163
GFO_0012 GFO_2998
GFO_0012 GFO_3547
GFO_0012 GFO_3166
GFO_0031 GFO_2150
GFO_0031 GFO_1699
GFO_0031 GFO_1727
GFO_0031 GFO_1738
GFO_0031 GFO_0700
GFO_0037 GFO_2370
GFO_0037 GFO_3390
GFO_0037 GFO_2740
GFO_0037 GFO_0454
GFO_0037 GFO_1462
GFO_0037 GFO_2814
GFO_0037 GFO_0790
GFO_0037 GFO_2186
GFO_0037 GFO_2369
GFO_0037 GFO_0453
GFO_0037 GFO_0778
GFO_0037 GFO_3386
GFO_0039 GFO_2712
GFO_0043 GFO_0587
GFO_0043 GFO_2697
GFO_0068 GFO_2720
GFO_0068 GFO_1393
GFO_0068 GFO_3168
GFO_0071 GFO_3228
GFO_0071 GFO_1414
GFO_0071 GFO_3226
GFO_0086 GFO_0757
GFO_0086 GFO_0776
GFO_0086 GFO_1998
GFO_0086 GFO_2750
GFO_0086 GFO_3518
GFO_0086 GFO_0573
GFO_0086 GFO_3543
GFO_0086 GFO_1550
GFO_0086 GFO_2107
GFO_0086 GFO_0391
GFO_0086 GFO_1970
GFO_0086 GFO_2931
GFO_0086 GFO_1843
GFO_0100 GFO_0478
GFO_0100 GFO_1282
GFO_0100 GFO_0643
GFO_0100 GFO_1844
GFO_0100 GFO_2142
GFO_0100 GFO_3475
GFO_0100 GFO_1852
GFO_0100 GFO_0644
GFO_0100 GFO_2964
GFO_0100 GFO_0790
GFO_0100 GFO_1279
GFO_0100 GFO_2406
GFO_0100 GFO_0812
GFO_0100 GFO_0380
GFO_0100 GFO_1565
GFO_0100 GFO_3476
GFO_0100 GFO_1276
GFO_0105 GFO_2909
GFO_0105 GFO_0958
GFO_0105 GFO_0809
GFO_0105 GFO_1680
GFO_0105 GFO_0482
GFO_0105 GFO_1907
GFO_0105 GFO_1681
GFO_0105 GFO_0483
GFO_0105 GFO_2099
GFO_0105 GFO_2747
GFO_0105 GFO_2889
GFO_0105 GFO_2809
GFO_0105 GFO_2678
GFO_0105 GFO_1487
GFO_0105 GFO_2931
GFO_0105 GFO_1092
GFO_0105 GFO_3186
GFO_0105 GFO_2888
GFO_0105 GFO_0294
GFO_0105 GFO_2807
GFO_0105 GFO_1513
GFO_0105 GFO_2167
GFO_0105 GFO_3386
GFO_0105 GFO_0810
GFO_0105 GFO_0391
GFO_0105 GFO_0726
GFO_0106 GFO_3224
GFO_0106 GFO_3225
GFO_0106 GFO_3226
GFO_0106 GFO_0328
GFO_0109 GFO_2519
GFO_0109 GFO_1454
GFO_0109 GFO_1843
GFO_0118 GFO_0657
GFO_0118 GFO_0119
GFO_0119 GFO_0118
GFO_0119 GFO_0657
GFO_0125 GFO_3130
GFO_0125 GFO_2175
GFO_0131 GFO_3083
GFO_0131 GFO_2250
GFO_0131 GFO_1049
GFO_0131 GFO_3368
GFO_0131 GFO_3082
GFO_0131 GFO_0313
GFO_0131 GFO_1045
GFO_0140 GFO_3386
GFO_0140 GFO_3472
GFO_0140 GFO_0790
GFO_0141 GFO_0391
GFO_0141 GFO_2931
GFO_0148 GFO_2038
GFO_0166 GFO_1397
GFO_0166 GFO_1433
GFO_0166 GFO_2284
GFO_0166 GFO_1435
GFO_0166 GFO_0190
GFO_0166 GFO_0189
GFO_0166 GFO_1398
GFO_0166 GFO_0188
GFO_0166 GFO_0167
GFO_0167 GFO_1397
GFO_0167 GFO_1433
GFO_0167 GFO_1398
GFO_0167 GFO_0166
GFO_0167 GFO_1435
GFO_0167 GFO_0190
GFO_0167 GFO_2284
GFO_0167 GFO_0188
GFO_0167 GFO_0189
GFO_0179 GFO_2807
GFO_0179 GFO_2112
GFO_0179 GFO_0482
GFO_0179 GFO_2889
GFO_0179 GFO_2111
GFO_0179 GFO_2678
GFO_0179 GFO_2097
GFO_0179 GFO_2747
GFO_0179 GFO_1681
GFO_0179 GFO_0294
GFO_0179 GFO_2095
GFO_0179 GFO_3386
GFO_0179 GFO_2096
GFO_0179 GFO_1808
GFO_0183 GFO_2262
GFO_0183 GFO_1202
GFO_0183 GFO_2875
GFO_0183 GFO_1498
GFO_0183 GFO_0471
GFO_0183 GFO_3186
GFO_0183 GFO_0395
GFO_0183 GFO_2165
GFO_0183 GFO_1865
GFO_0183 GFO_1679
GFO_0183 GFO_2909
GFO_0183 GFO_0726
GFO_0183 GFO_2730
GFO_0188 GFO_3220
GFO_0188 GFO_2284
GFO_0188 GFO_1398
GFO_0188 GFO_0167
GFO_0188 GFO_0189
GFO_0188 GFO_0166
GFO_0188 GFO_1435
GFO_0188 GFO_0190
GFO_0188 GFO_1397
GFO_0188 GFO_1433
GFO_0189 GFO_1435
