ENSSTOP00000000163 ENSSTOP00000005911
ENSSTOP00000000405 ENSSTOP00000022466
ENSSTOP00000000405 ENSSTOP00000008004
ENSSTOP00000000405 ENSSTOP00000012851
ENSSTOP00000000405 ENSSTOP00000023145
ENSSTOP00000000405 ENSSTOP00000014633
ENSSTOP00000000444 ENSSTOP00000013255
ENSSTOP00000000641 ENSSTOP00000015334
ENSSTOP00000000762 ENSSTOP00000008280
ENSSTOP00000000795 ENSSTOP00000023145
ENSSTOP00000000795 ENSSTOP00000012851
ENSSTOP00000000795 ENSSTOP00000014633
ENSSTOP00000000894 ENSSTOP00000011303
ENSSTOP00000000894 ENSSTOP00000015026
ENSSTOP00000001119 ENSSTOP00000002381
ENSSTOP00000001402 ENSSTOP00000005613
ENSSTOP00000001402 ENSSTOP00000008053
ENSSTOP00000001402 ENSSTOP00000022793
ENSSTOP00000001402 ENSSTOP00000019111
ENSSTOP00000001402 ENSSTOP00000016128
ENSSTOP00000001402 ENSSTOP00000006073
ENSSTOP00000001402 ENSSTOP00000005301
ENSSTOP00000001402 ENSSTOP00000006185
ENSSTOP00000001484 ENSSTOP00000012983
ENSSTOP00000001484 ENSSTOP00000009511
ENSSTOP00000001484 ENSSTOP00000010068
ENSSTOP00000001484 ENSSTOP00000011947
ENSSTOP00000001909 ENSSTOP00000023362
ENSSTOP00000001986 ENSSTOP00000021188
ENSSTOP00000002108 ENSSTOP00000022143
ENSSTOP00000002381 ENSSTOP00000001119
ENSSTOP00000002389 ENSSTOP00000023801
ENSSTOP00000002389 ENSSTOP00000022341
ENSSTOP00000002389 ENSSTOP00000022461
ENSSTOP00000002389 ENSSTOP00000006106
ENSSTOP00000002389 ENSSTOP00000007747
ENSSTOP00000002538 ENSSTOP00000004582
ENSSTOP00000002554 ENSSTOP00000008431
ENSSTOP00000002554 ENSSTOP00000005695
ENSSTOP00000002554 ENSSTOP00000022331
ENSSTOP00000002981 ENSSTOP00000015577
ENSSTOP00000002981 ENSSTOP00000008053
ENSSTOP00000002981 ENSSTOP00000020448
ENSSTOP00000002981 ENSSTOP00000022793
ENSSTOP00000002981 ENSSTOP00000017575
ENSSTOP00000002981 ENSSTOP00000019111
ENSSTOP00000002981 ENSSTOP00000015707
ENSSTOP00000002981 ENSSTOP00000006185
ENSSTOP00000002981 ENSSTOP00000005301
ENSSTOP00000002981 ENSSTOP00000015878
ENSSTOP00000002981 ENSSTOP00000006073
ENSSTOP00000003222 ENSSTOP00000008326
ENSSTOP00000003380 ENSSTOP00000006492
ENSSTOP00000003380 ENSSTOP00000008133
ENSSTOP00000003897 ENSSTOP00000004290
ENSSTOP00000003993 ENSSTOP00000018462
ENSSTOP00000004191 ENSSTOP00000019463
ENSSTOP00000004191 ENSSTOP00000004558
ENSSTOP00000004191 ENSSTOP00000008580
ENSSTOP00000004191 ENSSTOP00000007045
ENSSTOP00000004191 ENSSTOP00000006373
