LILAB_00085 LILAB_25520
LILAB_00130 LILAB_06130
LILAB_00130 LILAB_02300
LILAB_00130 LILAB_01115
LILAB_00130 LILAB_04900
LILAB_00130 LILAB_26565
LILAB_00130 LILAB_02635
LILAB_00130 LILAB_01110
LILAB_00130 LILAB_01160
LILAB_00130 LILAB_06530
LILAB_00315 LILAB_04450
LILAB_00315 LILAB_11255
LILAB_00315 LILAB_20060
LILAB_00315 LILAB_08460
LILAB_00315 LILAB_20055
LILAB_00315 LILAB_35360
LILAB_00315 LILAB_06680
LILAB_00315 LILAB_11865
LILAB_00315 LILAB_11850
LILAB_00315 LILAB_11855
LILAB_00315 LILAB_06685
LILAB_00315 LILAB_06675
LILAB_00315 LILAB_11245
LILAB_00365 LILAB_14730
LILAB_00370 LILAB_10575
LILAB_00450 LILAB_17145
LILAB_00500 LILAB_03385
LILAB_00500 LILAB_02635
LILAB_00500 LILAB_01610
LILAB_00500 LILAB_28080
LILAB_00500 LILAB_00760
LILAB_00500 LILAB_25510
LILAB_00500 LILAB_28260
LILAB_00500 LILAB_17540
LILAB_00530 LILAB_30995
LILAB_00530 LILAB_31005
LILAB_00530 LILAB_31010
LILAB_00530 LILAB_25505
LILAB_00585 LILAB_17970
LILAB_00585 LILAB_22405
LILAB_00585 LILAB_13405
LILAB_00585 LILAB_02470
LILAB_00680 LILAB_10335
LILAB_00760 LILAB_28260
LILAB_00760 LILAB_03385
LILAB_00760 LILAB_17540
LILAB_00760 LILAB_00500
LILAB_00760 LILAB_25510
LILAB_00760 LILAB_01610
LILAB_00765 LILAB_25640
LILAB_00765 LILAB_09810
LILAB_00785 LILAB_15915
LILAB_00785 LILAB_25580
LILAB_00785 LILAB_15910
LILAB_00785 LILAB_00790
LILAB_00785 LILAB_23885
LILAB_00790 LILAB_26320
LILAB_00790 LILAB_25580
LILAB_00790 LILAB_15910
LILAB_00790 LILAB_23885
LILAB_00790 LILAB_15915
LILAB_00790 LILAB_25605
LILAB_00790 LILAB_00785
LILAB_00790 LILAB_15960
LILAB_00795 LILAB_30830
LILAB_00795 LILAB_03835
LILAB_00795 LILAB_03265
LILAB_00795 LILAB_17940
LILAB_00795 LILAB_17220
LILAB_00795 LILAB_30825
LILAB_00795 LILAB_17585
LILAB_00795 LILAB_22680
LILAB_00795 LILAB_03830
LILAB_00795 LILAB_03840
LILAB_00795 LILAB_18040
LILAB_00795 LILAB_16920
LILAB_00795 LILAB_20295
LILAB_00795 LILAB_19100
LILAB_00880 LILAB_17940
LILAB_00880 LILAB_09080
LILAB_00880 LILAB_17965
LILAB_00880 LILAB_22290
LILAB_00880 LILAB_20295
LILAB_00880 LILAB_00885
LILAB_00880 LILAB_03750
LILAB_00880 LILAB_15945
LILAB_00880 LILAB_21605
LILAB_00880 LILAB_16920
LILAB_00880 LILAB_03190
LILAB_00880 LILAB_29010
LILAB_00880 LILAB_01550
LILAB_00880 LILAB_03835
LILAB_00880 LILAB_24085
LILAB_00880 LILAB_15940
LILAB_00880 LILAB_15510
LILAB_00880 LILAB_07380
LILAB_00880 LILAB_03830
LILAB_00880 LILAB_31780
LILAB_00880 LILAB_19100
LILAB_00885 LILAB_09080
LILAB_00885 LILAB_03845
LILAB_00885 LILAB_17940
LILAB_00885 LILAB_13900
LILAB_00885 LILAB_03750
LILAB_00885 LILAB_21605
LILAB_00885 LILAB_03840
LILAB_00885 LILAB_17585
LILAB_00885 LILAB_00880
LILAB_00885 LILAB_24085
LILAB_00885 LILAB_17220
LILAB_00885 LILAB_04065
LILAB_00885 LILAB_29010
