TaqDRAFT_3030 TaqDRAFT_4663
TaqDRAFT_3032 TaqDRAFT_5059
TaqDRAFT_3034 TaqDRAFT_5035
TaqDRAFT_3037 TaqDRAFT_3801
TaqDRAFT_3037 TaqDRAFT_4087
TaqDRAFT_3049 TaqDRAFT_4202
TaqDRAFT_3050 TaqDRAFT_4202
TaqDRAFT_3054 TaqDRAFT_4724
TaqDRAFT_3054 TaqDRAFT_4113
TaqDRAFT_3061 TaqDRAFT_4271
TaqDRAFT_3061 TaqDRAFT_4444
TaqDRAFT_3068 TaqDRAFT_4362
TaqDRAFT_3068 TaqDRAFT_4865
TaqDRAFT_3072 TaqDRAFT_5141
TaqDRAFT_3072 TaqDRAFT_5142
TaqDRAFT_3072 TaqDRAFT_5347
TaqDRAFT_3073 TaqDRAFT_4862
TaqDRAFT_3073 TaqDRAFT_4171
TaqDRAFT_3073 TaqDRAFT_3789
TaqDRAFT_3073 TaqDRAFT_4076
TaqDRAFT_3102 TaqDRAFT_4485
TaqDRAFT_3116 TaqDRAFT_5497
TaqDRAFT_3196 TaqDRAFT_4983
TaqDRAFT_3196 TaqDRAFT_4076
TaqDRAFT_3196 TaqDRAFT_5015
TaqDRAFT_3243 TaqDRAFT_5197
TaqDRAFT_3243 TaqDRAFT_4724
TaqDRAFT_3243 TaqDRAFT_5331
TaqDRAFT_3243 TaqDRAFT_5191
TaqDRAFT_3243 TaqDRAFT_3825
TaqDRAFT_3243 TaqDRAFT_4226
TaqDRAFT_3243 TaqDRAFT_3802
TaqDRAFT_3244 TaqDRAFT_3245
TaqDRAFT_3245 TaqDRAFT_5286
TaqDRAFT_3245 TaqDRAFT_5330
TaqDRAFT_3245 TaqDRAFT_3244
TaqDRAFT_3245 TaqDRAFT_3802
TaqDRAFT_3245 TaqDRAFT_4092
TaqDRAFT_3254 TaqDRAFT_5270
TaqDRAFT_3267 TaqDRAFT_3402
TaqDRAFT_3274 TaqDRAFT_3579
TaqDRAFT_3274 TaqDRAFT_4518
TaqDRAFT_3275 TaqDRAFT_4643
TaqDRAFT_3299 TaqDRAFT_4243
TaqDRAFT_3303 TaqDRAFT_3304
TaqDRAFT_3304 TaqDRAFT_3303
TaqDRAFT_3318 TaqDRAFT_4226
TaqDRAFT_3318 TaqDRAFT_3825
TaqDRAFT_3318 TaqDRAFT_5331
TaqDRAFT_3318 TaqDRAFT_5191
TaqDRAFT_3318 TaqDRAFT_5197
TaqDRAFT_3402 TaqDRAFT_3744
TaqDRAFT_3402 TaqDRAFT_3947
TaqDRAFT_3402 TaqDRAFT_3267
TaqDRAFT_3405 TaqDRAFT_5270
TaqDRAFT_3413 TaqDRAFT_4745
TaqDRAFT_3413 TaqDRAFT_3836
TaqDRAFT_3432 TaqDRAFT_3704
TaqDRAFT_3441 TaqDRAFT_4752
TaqDRAFT_3441 TaqDRAFT_4138
TaqDRAFT_3469 TaqDRAFT_3470
TaqDRAFT_3470 TaqDRAFT_3469
TaqDRAFT_3522 TaqDRAFT_4202
TaqDRAFT_3522 TaqDRAFT_4201
