OCA5_c00320 OCA5_c00340
OCA5_c00340 OCA5_c30510
OCA5_c00340 OCA5_c00320
OCA5_c00340 OCA5_c28640
OCA5_c00450 OCA5_c17990
OCA5_c00450 OCA5_c01300
OCA5_c00460 OCAR_4662
OCA5_c00460 OCA5_c16950
OCA5_c00460 OCA5_c26960
OCA5_c00460 OCA5_c28790
OCA5_c00540 OCA5_c14230
OCA5_c00540 OCA5_c21580
OCA5_c00540 OCA5_c26950
OCA5_c00550 OCA5_c04300
OCA5_c00550 OCA5_c16740
OCA5_c00550 OCA5_c12130
OCA5_c00560 OCA5_c00570
OCA5_c00560 OCA5_c17290
OCA5_c00570 OCA5_c00560
OCA5_c00570 OCA5_c17290
OCA5_c00580 OCA5_c17300
OCA5_c00580 OCA5_c17290
OCA5_c00630 OCA5_c16950
OCA5_c00630 OCA5_c13090
OCA5_c00630 OCA5_c13200
OCA5_c00630 OCA5_c01100
OCA5_c00630 OCA5_c13190
OCA5_c00660 OCA5_c04330
OCA5_c00660 OCA5_c11820
OCA5_c00660 OCA5_c28950
OCA5_c00710 OCA5_c09060
OCA5_c00710 OCA5_c26820
OCA5_c00710 OCA5_c26790
OCA5_c01080 OCAR_6292
OCA5_c01080 OCA5_c08050
OCA5_c01100 OCAR_7569
OCA5_c01100 OCA5_c20660
OCA5_c01100 OCA5_c00630
OCA5_c01180 OCA5_c06110
OCA5_c01200 OCA5_c09750
OCA5_c01240 OCA5_c32690
OCA5_c01240 OCAR_4339
OCA5_c01240 OCA5_c22620
OCA5_c01240 OCA5_c11190
OCA5_c01240 OCA5_c07600
OCA5_c01240 OCAR_4626
OCA5_c01300 OCA5_c22490
OCA5_c01300 OCA5_c00450
OCA5_c01310 OCA5_c23770
OCA5_c01310 OCAR_7262
OCA5_c01310 OCA5_c08520
OCA5_c01320 OCA5_c01330
OCA5_c01320 OCA5_c01360
OCA5_c01330 OCA5_c01340
OCA5_c01330 OCA5_c01320
OCA5_c01330 OCA5_c23770
OCA5_c01340 OCA5_c01330
OCA5_c01340 OCA5_c01360
OCA5_c01360 OCA5_c01320
OCA5_c01360 OCA5_c31790
OCA5_c01360 OCA5_c01340
OCA5_c01440 OCA5_c17990
OCA5_c01790 OCA5_c25720
OCA5_c01800 OCA5_c20550
OCA5_c01950 OCA5_c30860
OCA5_c01950 OCA5_c30850
OCA5_c01950 OCA5_c28640
OCA5_c01950 OCA5_c13270
OCA5_c01970 OCA5_c21430
OCA5_c01990 OCA5_c09750
OCA5_c01990 OCAR_7127
OCA5_c02010 OCA5_c30330
OCA5_c02010 OCA5_c10900
OCA5_c02010 OCA5_c30590
OCA5_c02150 OCA5_c08100
OCA5_c02150 OCA5_c16970
OCA5_c02150 OCAR_6932
OCA5_c02270 OCA5_c32930
OCA5_c02270 OCAR_4760
OCA5_c02300 OCA5_c33070
OCA5_c02300 OCA5_c33080
OCA5_c02310 OCA5_c33080
OCA5_c02310 OCA5_c33070
