Cseg_0007 Cseg_2256
Cseg_0013 Cseg_2080
Cseg_0024 Cseg_0449
Cseg_0024 Cseg_1810
Cseg_0024 Cseg_0794
Cseg_0024 Cseg_1282
Cseg_0024 Cseg_1283
Cseg_0024 Cseg_4113
Cseg_0026 Cseg_0344
Cseg_0026 Cseg_0239
Cseg_0026 Cseg_0234
Cseg_0026 Cseg_0342
Cseg_0026 Cseg_0343
Cseg_0026 Cseg_0236
Cseg_0026 Cseg_2266
Cseg_0026 Cseg_0235
Cseg_0026 Cseg_0237
Cseg_0026 Cseg_1663
Cseg_0026 Cseg_0345
Cseg_0037 Cseg_3903
Cseg_0037 Cseg_3897
Cseg_0037 Cseg_3036
Cseg_0037 Cseg_4076
Cseg_0037 Cseg_2178
Cseg_0037 Cseg_2277
Cseg_0037 Cseg_1380
Cseg_0037 Cseg_2298
Cseg_0037 Cseg_0742
Cseg_0037 Cseg_1515
Cseg_0037 Cseg_2653
Cseg_0037 Cseg_0741
Cseg_0037 Cseg_1512
Cseg_0047 Cseg_2055
Cseg_0047 Cseg_2127
Cseg_0047 Cseg_1244
Cseg_0052 Cseg_0054
Cseg_0052 Cseg_1515
Cseg_0052 Cseg_2277
Cseg_0052 Cseg_1380
Cseg_0052 Cseg_2652
Cseg_0052 Cseg_0523
Cseg_0052 Cseg_0053
Cseg_0052 Cseg_0056
Cseg_0052 Cseg_0742
Cseg_0052 Cseg_0741
Cseg_0052 Cseg_2653
Cseg_0053 Cseg_0052
Cseg_0053 Cseg_0054
Cseg_0053 Cseg_0056
Cseg_0054 Cseg_0052
Cseg_0054 Cseg_0056
Cseg_0054 Cseg_0053
Cseg_0056 Cseg_1380
Cseg_0056 Cseg_0052
Cseg_0056 Cseg_2277
Cseg_0056 Cseg_2652
Cseg_0056 Cseg_0523
Cseg_0056 Cseg_0053
Cseg_0056 Cseg_1515
Cseg_0056 Cseg_0742
Cseg_0056 Cseg_2653
Cseg_0056 Cseg_0741
Cseg_0056 Cseg_0054
Cseg_0058 Cseg_3750
Cseg_0058 Cseg_3214
Cseg_0058 Cseg_4030
Cseg_0058 Cseg_3747
Cseg_0058 Cseg_0434
Cseg_0058 Cseg_0432
Cseg_0058 Cseg_3749
Cseg_0058 Cseg_3753
Cseg_0058 Cseg_3602
Cseg_0058 Cseg_4031
Cseg_0058 Cseg_3215
Cseg_0058 Cseg_3748
Cseg_0058 Cseg_0427
Cseg_0058 Cseg_0428
Cseg_0058 Cseg_0433
Cseg_0058 Cseg_3752
Cseg_0058 Cseg_3751
Cseg_0058 Cseg_3519
Cseg_0058 Cseg_0426
Cseg_0061 Cseg_2777
Cseg_0061 Cseg_3287
Cseg_0061 Cseg_2871
Cseg_0061 Cseg_1668
Cseg_0063 Cseg_0064
Cseg_0063 Cseg_1647
Cseg_0064 Cseg_1244
Cseg_0064 Cseg_2055
Cseg_0064 Cseg_4225
Cseg_0064 Cseg_0063
Cseg_0066 Cseg_0388
Cseg_0066 Cseg_4226
Cseg_0066 Cseg_4018
Cseg_0072 Cseg_3393
Cseg_0072 Cseg_1914
Cseg_0072 Cseg_0532
Cseg_0072 Cseg_0771
Cseg_0072 Cseg_1462
Cseg_0072 Cseg_4264
Cseg_0072 Cseg_2529
Cseg_0072 Cseg_0226
Cseg_0072 Cseg_2930
Cseg_0072 Cseg_4132
Cseg_0072 Cseg_3946
Cseg_0072 Cseg_3945
Cseg_0072 Cseg_2255
Cseg_0072 Cseg_2350
Cseg_0072 Cseg_3584
Cseg_0072 Cseg_3807
Cseg_0072 Cseg_0393
Cseg_0072 Cseg_1969
Cseg_0072 Cseg_2174
Cseg_0072 Cseg_0392
Cseg_0072 Cseg_4131
Cseg_0072 Cseg_2349
Cseg_0072 Cseg_3804
Cseg_0072 Cseg_4066
Cseg_0072 Cseg_0143
Cseg_0072 Cseg_3806
Cseg_0072 Cseg_3107
Cseg_0072 Cseg_0849
Cseg_0072 Cseg_2173
Cseg_0072 Cseg_0389
Cseg_0072 Cseg_3486
Cseg_0072 Cseg_3668
Cseg_0072 Cseg_0074
Cseg_0072 Cseg_2193
Cseg_0074 Cseg_0392
Cseg_0074 Cseg_0375
Cseg_0074 Cseg_3348
Cseg_0074 Cseg_1652
Cseg_0074 Cseg_2629
Cseg_0074 Cseg_1117
Cseg_0074 Cseg_2345
Cseg_0074 Cseg_3353
Cseg_0074 Cseg_2529
Cseg_0074 Cseg_3787
Cseg_0074 Cseg_0226
Cseg_0074 Cseg_2930
Cseg_0074 Cseg_3645
Cseg_0074 Cseg_4266
Cseg_0074 Cseg_2255
Cseg_0074 Cseg_2668
Cseg_0074 Cseg_1964
Cseg_0074 Cseg_2829
Cseg_0074 Cseg_2819
Cseg_0074 Cseg_1654
Cseg_0074 Cseg_3584
Cseg_0074 Cseg_0811
Cseg_0074 Cseg_1538
Cseg_0074 Cseg_4066
Cseg_0074 Cseg_2817
Cseg_0074 Cseg_2142
Cseg_0074 Cseg_3490
Cseg_0074 Cseg_2823
Cseg_0074 Cseg_3107
Cseg_0074 Cseg_0849
Cseg_0074 Cseg_2820
Cseg_0074 Cseg_3073
Cseg_0074 Cseg_0581
Cseg_0074 Cseg_0389
Cseg_0074 Cseg_1914
Cseg_0074 Cseg_3393
Cseg_0074 Cseg_0072
Cseg_0075 Cseg_1117
Cseg_0075 Cseg_2345
Cseg_0075 Cseg_3353
Cseg_0075 Cseg_3787
Cseg_0075 Cseg_4266
Cseg_0075 Cseg_3645
Cseg_0075 Cseg_1964
Cseg_0075 Cseg_2819
Cseg_0075 Cseg_1652
Cseg_0075 Cseg_3348
Cseg_0075 Cseg_0375
Cseg_0075 Cseg_2142
Cseg_0075 Cseg_3073
Cseg_0080 Cseg_0668
Cseg_0080 Cseg_0554
Cseg_0080 Cseg_4106
Cseg_0080 Cseg_1373
Cseg_0080 Cseg_1555
Cseg_0080 Cseg_4100
Cseg_0080 Cseg_3932
Cseg_0080 Cseg_3984
