TGME49_000250 TGME49_054430
TGME49_000320 TGME49_057080
TGME49_000320 TGME49_002540
TGME49_000320 TGME49_030450
TGME49_000320 TGME49_034280
TGME49_000320 TGME49_002300
TGME49_000320 TGME49_110810
TGME49_000320 TGME49_079450
TGME49_000320 TGME49_033110
TGME49_000320 TGME49_042730
TGME49_000370 TGME49_021170
TGME49_000370 TGME49_024490
TGME49_000400 TGME49_115670
TGME49_000400 TGME49_046510
TGME49_000400 TGME49_024220
TGME49_000400 TGME49_015170
TGME49_000420 TGME49_002300
TGME49_000420 TGME49_033140
TGME49_000420 TGME49_106970
TGME49_000420 TGME49_057740
TGME49_000420 TGME49_049180
TGME49_001380 TGME49_002920
TGME49_001680 TGME49_094620
TGME49_001680 TGME49_062720
TGME49_001680 TGME49_073520
TGME49_001680 TGME49_035540
TGME49_001680 TGME49_113230
TGME49_001680 TGME49_094670
TGME49_001680 TGME49_086090
TGME49_001680 TGME49_117720
TGME49_001680 TGME49_044650
TGME49_001680 TGME49_022860
TGME49_001680 TGME49_035970
TGME49_001680 TGME49_089830
TGME49_001680 TGME49_051500
TGME49_001700 TGME49_026510
TGME49_001700 TGME49_111400
TGME49_001700 TGME49_077000
TGME49_001700 TGME49_059640
TGME49_001700 TGME49_015060
TGME49_001700 TGME49_091680
TGME49_001850 TGME49_031870
TGME49_002210 TGME49_058210
TGME49_002210 TGME49_033820
TGME49_002210 TGME49_110810
TGME49_002210 TGME49_033400
TGME49_002210 TGME49_106290
TGME49_002210 TGME49_002690
TGME49_002210 TGME49_081970
TGME49_002210 TGME49_030460
TGME49_002210 TGME49_095350
TGME49_002210 TGME49_056760
TGME49_002210 TGME49_017560
TGME49_002210 TGME49_119860
TGME49_002210 TGME49_067390
TGME49_002210 TGME49_031380
TGME49_002210 TGME49_046630
TGME49_002210 TGME49_033140
TGME49_002210 TGME49_097840
TGME49_002210 TGME49_061540
TGME49_002210 TGME49_040930
TGME49_002210 TGME49_054140
TGME49_002210 TGME49_023690
TGME49_002210 TGME49_080690
TGME49_002210 TGME49_042730
TGME49_002210 TGME49_014780
TGME49_002210 TGME49_106970
TGME49_002210 TGME49_017580
TGME49_002210 TGME49_024900
TGME49_002210 TGME49_115920
TGME49_002210 TGME49_099210
TGME49_002210 TGME49_088320
TGME49_002210 TGME49_054640
TGME49_002210 TGME49_072740
TGME49_002210 TGME49_094640
TGME49_002210 TGME49_053780
TGME49_002210 TGME49_113120
TGME49_002210 TGME49_002300
TGME49_002210 TGME49_060680
TGME49_002210 TGME49_097530
TGME49_002210 TGME49_044880
TGME49_002210 TGME49_061920
