SSMG_00008 SSMG_00495
SSMG_00023 SSMG_07481
SSMG_00023 SSMG_00396
SSMG_00023 SSMG_07445
SSMG_00023 SSMG_00506
SSMG_00085 SSMG_00425
SSMG_00085 SSMG_02295
SSMG_00085 SSMG_06425
SSMG_00112 SSMG_04702
SSMG_00112 SSMG_04701
SSMG_00133 SSMG_07399
SSMG_00133 SSMG_02257
SSMG_00133 SSMG_01853
SSMG_00133 SSMG_06415
SSMG_00133 SSMG_04204
SSMG_00140 SSMG_02292
SSMG_00140 SSMG_02269
SSMG_00140 SSMG_07110
SSMG_00140 SSMG_05422
SSMG_00140 SSMG_08197
SSMG_00166 SSMG_00705
SSMG_00166 SSMG_00707
SSMG_00181 SSMG_04013
SSMG_00192 SSMG_06159
SSMG_00192 SSMG_04850
SSMG_00192 SSMG_05659
SSMG_00198 SSMG_01720
SSMG_00198 SSMG_05612
SSMG_00198 SSMG_05611
SSMG_00205 SSMG_04472
SSMG_00205 SSMG_07108
SSMG_00205 SSMG_05974
SSMG_00205 SSMG_00433
SSMG_00209 SSMG_06754
SSMG_00213 SSMG_07181
SSMG_00213 SSMG_06915
SSMG_00213 SSMG_01445
SSMG_00216 SSMG_06982
SSMG_00216 SSMG_05802
SSMG_00216 SSMG_04758
SSMG_00216 SSMG_08374
SSMG_00216 SSMG_00246
SSMG_00216 SSMG_06586
SSMG_00216 SSMG_05286
SSMG_00220 SSMG_00232
SSMG_00220 SSMG_05143
SSMG_00220 SSMG_01578
SSMG_00221 SSMG_00222
SSMG_00221 SSMG_00223
SSMG_00221 SSMG_00792
SSMG_00221 SSMG_00786
SSMG_00222 SSMG_00221
SSMG_00222 SSMG_02167
SSMG_00223 SSMG_05143
SSMG_00223 SSMG_00232
SSMG_00223 SSMG_00221
SSMG_00232 SSMG_00223
SSMG_00232 SSMG_00220
SSMG_00233 SSMG_01720
SSMG_00233 SSMG_05612
SSMG_00233 SSMG_05611
SSMG_00243 SSMG_04204
SSMG_00243 SSMG_06415
SSMG_00245 SSMG_06586
SSMG_00245 SSMG_00246
SSMG_00245 SSMG_06982
SSMG_00245 SSMG_05802
SSMG_00245 SSMG_08374
SSMG_00245 SSMG_05286
SSMG_00245 SSMG_04758
SSMG_00246 SSMG_07043
SSMG_00246 SSMG_00442
SSMG_00246 SSMG_02520
SSMG_00246 SSMG_04725
SSMG_00246 SSMG_01959
SSMG_00246 SSMG_07944
SSMG_00246 SSMG_05944
SSMG_00246 SSMG_02969
SSMG_00246 SSMG_02838
SSMG_00246 SSMG_06849
SSMG_00246 SSMG_03001
SSMG_00246 SSMG_06269
SSMG_00246 SSMG_00216
SSMG_00246 SSMG_06260
SSMG_00246 SSMG_04551
SSMG_00246 SSMG_00245
SSMG_00246 SSMG_02623
SSMG_00246 SSMG_05552
SSMG_00246 SSMG_03002
SSMG_00246 SSMG_03432
SSMG_00246 SSMG_03647
SSMG_00246 SSMG_03989
SSMG_00246 SSMG_05470
SSMG_00247 SSMG_00527
SSMG_00247 SSMG_04758
SSMG_00247 SSMG_06586
SSMG_00247 SSMG_05526
SSMG_00247 SSMG_06982
SSMG_00247 SSMG_05802
SSMG_00247 SSMG_01664
SSMG_00247 SSMG_00609
SSMG_00247 SSMG_01711
SSMG_00252 SSMG_07667
SSMG_00259 SSMG_07899
SSMG_00259 SSMG_07900
SSMG_00259 SSMG_00717
SSMG_00259 SSMG_06124
SSMG_00259 SSMG_01737
SSMG_00260 SSMG_07899
SSMG_00260 SSMG_07900
SSMG_00260 SSMG_00717
SSMG_00260 SSMG_01737
SSMG_00260 SSMG_06124
SSMG_00261 SSMG_07899
SSMG_00261 SSMG_07900
SSMG_00261 SSMG_00717
SSMG_00261 SSMG_01737
SSMG_00261 SSMG_06124
SSMG_00262 SSMG_07899
SSMG_00262 SSMG_07900
SSMG_00262 SSMG_00717
SSMG_00262 SSMG_01737
SSMG_00262 SSMG_06124
SSMG_00263 SSMG_07899
SSMG_00263 SSMG_07900
SSMG_00263 SSMG_00717
SSMG_00263 SSMG_06124
SSMG_00263 SSMG_01737
SSMG_00265 SSMG_00717
SSMG_00265 SSMG_01737
SSMG_00265 SSMG_06124
SSMG_00265 SSMG_07900
SSMG_00265 SSMG_07899
SSMG_00268 SSMG_00717
SSMG_00268 SSMG_07900
SSMG_00268 SSMG_07899
SSMG_00268 SSMG_06124
SSMG_00268 SSMG_01737
SSMG_00269 SSMG_00717
SSMG_00269 SSMG_07900
SSMG_00269 SSMG_01737
SSMG_00269 SSMG_06124
SSMG_00269 SSMG_07899
SSMG_00270 SSMG_01737
SSMG_00270 SSMG_06124
SSMG_00270 SSMG_07899
SSMG_00270 SSMG_07900
SSMG_00270 SSMG_00717
SSMG_00271 SSMG_06124
SSMG_00271 SSMG_07900
SSMG_00271 SSMG_07899
SSMG_00271 SSMG_01737
SSMG_00271 SSMG_00717
SSMG_00304 SSMG_00677
SSMG_00304 SSMG_00678
SSMG_00307 SSMG_00596
SSMG_00319 SSMG_00677
SSMG_00396 SSMG_02347
SSMG_00396 SSMG_06169
SSMG_00396 SSMG_06164
SSMG_00396 SSMG_06166
SSMG_00396 SSMG_07453
SSMG_00396 SSMG_02348
SSMG_00396 SSMG_06165
SSMG_00396 SSMG_06170
SSMG_00396 SSMG_06938
SSMG_00396 SSMG_06168
SSMG_00396 SSMG_06163
SSMG_00396 SSMG_06167
SSMG_00396 SSMG_00023
SSMG_00425 SSMG_07018
SSMG_00425 SSMG_06658
SSMG_00425 SSMG_00085
SSMG_00425 SSMG_07505
SSMG_00425 SSMG_00430
SSMG_00425 SSMG_02477
SSMG_00430 SSMG_00425
SSMG_00430 SSMG_02295
SSMG_00430 SSMG_06425
SSMG_00433 SSMG_01499
SSMG_00433 SSMG_02642
SSMG_00433 SSMG_02297
SSMG_00433 SSMG_01803
SSMG_00433 SSMG_05362
SSMG_00433 SSMG_00205
SSMG_00433 SSMG_08198
SSMG_00433 SSMG_05812
SSMG_00435 SSMG_07730
SSMG_00435 SSMG_01605
SSMG_00442 SSMG_06586
SSMG_00442 SSMG_00246
SSMG_00442 SSMG_04758
SSMG_00442 SSMG_06982
SSMG_00442 SSMG_05802
SSMG_00442 SSMG_08374
SSMG_00442 SSMG_05286
SSMG_00456 SSMG_06115
SSMG_00470 SSMG_05697
SSMG_00470 SSMG_00481
SSMG_00470 SSMG_04238
SSMG_00470 SSMG_00506
SSMG_00470 SSMG_07783
SSMG_00474 SSMG_04622
SSMG_00474 SSMG_06366
SSMG_00481 SSMG_02254
SSMG_00481 SSMG_00470
SSMG_00481 SSMG_06483
SSMG_00495 SSMG_02236
SSMG_00495 SSMG_00008
SSMG_00501 SSMG_00542
SSMG_00501 SSMG_03924
SSMG_00501 SSMG_00539
SSMG_00501 SSMG_01884
SSMG_00501 SSMG_00540
SSMG_00501 SSMG_03926
SSMG_00502 SSMG_00540
SSMG_00502 SSMG_03926
SSMG_00502 SSMG_00542
SSMG_00502 SSMG_03924
SSMG_00502 SSMG_00539
SSMG_00502 SSMG_01884
SSMG_00505 SSMG_07430
SSMG_00505 SSMG_07431
SSMG_00505 SSMG_07425
SSMG_00505 SSMG_07473
SSMG_00506 SSMG_07453
SSMG_00506 SSMG_00470
SSMG_00506 SSMG_06483
SSMG_00506 SSMG_07481
SSMG_00506 SSMG_00023
SSMG_00527 SSMG_03036
SSMG_00527 SSMG_00247
SSMG_00527 SSMG_03538
SSMG_00539 SSMG_06472
SSMG_00539 SSMG_00501
SSMG_00539 SSMG_07900
SSMG_00539 SSMG_00717
SSMG_00539 SSMG_07899
SSMG_00539 SSMG_02090
SSMG_00539 SSMG_00502
SSMG_00539 SSMG_06124
SSMG_00539 SSMG_01295
SSMG_00540 SSMG_06124
SSMG_00540 SSMG_01295
SSMG_00540 SSMG_07899
SSMG_00540 SSMG_06472
SSMG_00540 SSMG_00501
SSMG_00540 SSMG_07900
SSMG_00540 SSMG_00717
SSMG_00540 SSMG_02090
SSMG_00540 SSMG_00502
SSMG_00542 SSMG_07899
SSMG_00542 SSMG_01295
SSMG_00542 SSMG_06472
SSMG_00542 SSMG_00501
SSMG_00542 SSMG_07900
SSMG_00542 SSMG_00717
SSMG_00542 SSMG_02090
SSMG_00542 SSMG_00502
SSMG_00542 SSMG_06124
SSMG_00547 SSMG_03740
SSMG_00547 SSMG_07522
SSMG_00559 SSMG_05787
SSMG_00576 SSMG_07433
SSMG_00576 SSMG_05849
SSMG_00576 SSMG_02141
SSMG_00576 SSMG_02972
SSMG_00577 SSMG_04365
SSMG_00577 SSMG_04547
SSMG_00577 SSMG_04013
SSMG_00580 SSMG_04382
SSMG_00580 SSMG_04381
SSMG_00580 SSMG_01572
SSMG_00589 SSMG_05778
SSMG_00589 SSMG_04228
SSMG_00596 SSMG_02295
SSMG_00596 SSMG_01965
SSMG_00596 SSMG_01263
SSMG_00596 SSMG_00307
SSMG_00603 SSMG_01236
SSMG_00603 SSMG_02383
SSMG_00603 SSMG_02500
SSMG_00604 SSMG_02500
SSMG_00604 SSMG_02383
SSMG_00604 SSMG_01236
SSMG_00609 SSMG_04066
SSMG_00609 SSMG_06353
SSMG_00609 SSMG_01443
SSMG_00609 SSMG_07607
SSMG_00609 SSMG_01357
SSMG_00609 SSMG_02517
SSMG_00609 SSMG_07399
SSMG_00609 SSMG_04338
SSMG_00609 SSMG_05813
SSMG_00609 SSMG_05961
SSMG_00609 SSMG_03666
SSMG_00609 SSMG_00711
SSMG_00609 SSMG_05033
SSMG_00609 SSMG_04240
SSMG_00609 SSMG_01457
SSMG_00609 SSMG_01680
SSMG_00609 SSMG_05960
SSMG_00609 SSMG_01442
SSMG_00609 SSMG_07608
SSMG_00609 SSMG_00247
SSMG_00615 SSMG_01376
SSMG_00615 SSMG_00617
SSMG_00615 SSMG_06862
SSMG_00615 SSMG_03269
SSMG_00617 SSMG_00615
SSMG_00617 SSMG_06862
SSMG_00617 SSMG_03268
SSMG_00617 SSMG_03744
SSMG_00617 SSMG_06124
SSMG_00617 SSMG_03269
SSMG_00617 SSMG_07474
SSMG_00617 SSMG_01376
SSMG_00641 SSMG_04403
SSMG_00641 SSMG_07010
SSMG_00662 SSMG_07425
SSMG_00662 SSMG_07473
SSMG_00662 SSMG_07430
SSMG_00662 SSMG_07431
SSMG_00663 SSMG_07413
SSMG_00663 SSMG_07445
SSMG_00665 SSMG_03812
SSMG_00665 SSMG_05289
SSMG_00665 SSMG_06042
SSMG_00677 SSMG_00690
SSMG_00677 SSMG_00304
SSMG_00677 SSMG_06365
SSMG_00677 SSMG_00319
SSMG_00678 SSMG_00304
SSMG_00678 SSMG_06365
SSMG_00690 SSMG_00677
SSMG_00697 SSMG_01374
SSMG_00697 SSMG_05509
SSMG_00701 SSMG_00707
SSMG_00701 SSMG_00705
SSMG_00705 SSMG_00701
SSMG_00705 SSMG_00166
SSMG_00707 SSMG_00166
SSMG_00707 SSMG_01899
SSMG_00707 SSMG_00701
SSMG_00707 SSMG_02583
SSMG_00708 SSMG_01984
SSMG_00708 SSMG_02550
SSMG_00708 SSMG_01204
SSMG_00708 SSMG_02359
SSMG_00708 SSMG_05902
SSMG_00708 SSMG_03861
SSMG_00711 SSMG_01719
SSMG_00711 SSMG_00609
SSMG_00711 SSMG_01711
SSMG_00711 SSMG_01664
