FSU_0004 FSU_0439
FSU_0064 Fisuc_1852
FSU_0223 Fisuc_0339
FSU_0223 Fisuc_0245
FSU_0223 Fisuc_2954
FSU_0226 Fisuc_2961
FSU_0296 Fisuc_1495
FSU_0296 Fisuc_1325
FSU_0296 Fisuc_3100
FSU_0363 Fisuc_2267
FSU_0369 Fisuc_1515
FSU_0417 Fisuc_0400
FSU_0439 Fisuc_1819
FSU_0439 FSU_0004
FSU_0439 Fisuc_2255
FSU_0506 Fisuc_0466
FSU_0643 FSU_0773
FSU_0643 Fisuc_0961
FSU_0643 Fisuc_0997
FSU_0705 Fisuc_0565
FSU_0705 Fisuc_3116
FSU_0705 Fisuc_0193
FSU_0729 Fisuc_1748
FSU_0729 Fisuc_0490
FSU_0729 Fisuc_0627
FSU_0764 Fisuc_0625
FSU_0764 Fisuc_1751
FSU_0773 Fisuc_0774
FSU_0773 Fisuc_2875
FSU_0773 FSU_0643
FSU_0773 Fisuc_2097
FSU_0773 Fisuc_1204
FSU_0787 Fisuc_2757
FSU_0787 Fisuc_2358
FSU_0787 Fisuc_0313
FSU_0787 FSU_1080
FSU_1080 Fisuc_2036
FSU_1080 FSU_0787
FSU_1086 Fisuc_2615
FSU_1086 Fisuc_1374
FSU_1167 Fisuc_0729
FSU_1347 Fisuc_1120
FSU_1347 Fisuc_1816
FSU_1754 Fisuc_1091
FSU_1754 Fisuc_1080
FSU_1754 Fisuc_0623
FSU_1754 Fisuc_1095
FSU_2136 Fisuc_0671
FSU_2356 Fisuc_1261
FSU_2356 Fisuc_0381
FSU_3006 Fisuc_2442
FSU_3019 Fisuc_0737
FSU_3109 Fisuc_0737
FSU_3115 Fisuc_2076
FSU_3234 Fisuc_0181
FSU_3274 Fisuc_1501
FSU_3274 Fisuc_3090
FSU_3274 Fisuc_1872
FSU_3307 Fisuc_2733
FSU_3307 Fisuc_2737
Fisuc_0002 Fisuc_1537
Fisuc_0007 Fisuc_2511
Fisuc_0007 Fisuc_2491
Fisuc_0007 Fisuc_0090
Fisuc_0017 Fisuc_2913
Fisuc_0017 Fisuc_0430
Fisuc_0020 Fisuc_2511
Fisuc_0020 Fisuc_0203
Fisuc_0050 Fisuc_0715
Fisuc_0050 Fisuc_1909
Fisuc_0051 Fisuc_1872
Fisuc_0053 Fisuc_0568
Fisuc_0067 Fisuc_2358
Fisuc_0067 Fisuc_0068
Fisuc_0067 Fisuc_2757
Fisuc_0067 Fisuc_2644
Fisuc_0068 Fisuc_2358
Fisuc_0068 Fisuc_2644
Fisuc_0068 Fisuc_2757
Fisuc_0068 Fisuc_0067
Fisuc_0090 Fisuc_2491
Fisuc_0090 Fisuc_2842
Fisuc_0090 Fisuc_2835
Fisuc_0090 Fisuc_0007
Fisuc_0090 Fisuc_2837
Fisuc_0090 Fisuc_2839
Fisuc_0090 Fisuc_2838
Fisuc_0090 Fisuc_2841
Fisuc_0090 Fisuc_2840
Fisuc_0102 Fisuc_2660
Fisuc_0102 Fisuc_2891
Fisuc_0102 Fisuc_0381
Fisuc_0116 Fisuc_1374
Fisuc_0116 Fisuc_2615
Fisuc_0137 Fisuc_1484
Fisuc_0137 Fisuc_0138
Fisuc_0138 Fisuc_0137
Fisuc_0138 Fisuc_1484
Fisuc_0138 Fisuc_0176
Fisuc_0143 Fisuc_1091
Fisuc_0143 Fisuc_1071
Fisuc_0143 Fisuc_1080
Fisuc_0143 Fisuc_1095
Fisuc_0143 Fisuc_0155
Fisuc_0143 Fisuc_1665
Fisuc_0143 Fisuc_0494
Fisuc_0143 Fisuc_1072
Fisuc_0143 Fisuc_0144
Fisuc_0143 Fisuc_0623
Fisuc_0143 Fisuc_1126
Fisuc_0144 Fisuc_0147
Fisuc_0144 Fisuc_0146
Fisuc_0144 Fisuc_0143
Fisuc_0146 Fisuc_0144
Fisuc_0147 Fisuc_0144
Fisuc_0149 Fisuc_0151
Fisuc_0149 Fisuc_0152
