ENSNLEP00000000099 ENSNLEP00000008851
ENSNLEP00000000119 ENSNLEP00000002387
ENSNLEP00000000119 ENSNLEP00000020725
ENSNLEP00000000177 ENSNLEP00000024213
ENSNLEP00000000182 ENSNLEP00000016216
ENSNLEP00000000182 ENSNLEP00000014947
ENSNLEP00000000230 ENSNLEP00000015194
ENSNLEP00000000267 ENSNLEP00000008055
ENSNLEP00000000359 ENSNLEP00000013512
ENSNLEP00000000368 ENSNLEP00000015688
ENSNLEP00000000387 ENSNLEP00000018606
ENSNLEP00000000538 ENSNLEP00000020702
ENSNLEP00000000538 ENSNLEP00000020618
ENSNLEP00000000884 ENSNLEP00000018538
ENSNLEP00000000884 ENSNLEP00000009838
ENSNLEP00000000910 ENSNLEP00000021279
ENSNLEP00000000910 ENSNLEP00000001441
ENSNLEP00000000910 ENSNLEP00000022798
ENSNLEP00000000910 ENSNLEP00000024307
ENSNLEP00000000910 ENSNLEP00000022199
ENSNLEP00000000910 ENSNLEP00000012633
ENSNLEP00000000910 ENSNLEP00000022016
ENSNLEP00000000910 ENSNLEP00000001968
ENSNLEP00000000910 ENSNLEP00000022163
ENSNLEP00000000910 ENSNLEP00000012808
ENSNLEP00000000910 ENSNLEP00000008324
ENSNLEP00000000910 ENSNLEP00000022620
ENSNLEP00000000910 ENSNLEP00000007040
ENSNLEP00000000910 ENSNLEP00000017766
ENSNLEP00000000957 ENSNLEP00000008368
ENSNLEP00000001038 ENSNLEP00000017463
ENSNLEP00000001151 ENSNLEP00000021135
ENSNLEP00000001151 ENSNLEP00000019094
ENSNLEP00000001277 ENSNLEP00000003845
ENSNLEP00000001441 ENSNLEP00000017766
ENSNLEP00000001441 ENSNLEP00000008324
ENSNLEP00000001441 ENSNLEP00000024307
ENSNLEP00000001441 ENSNLEP00000000910
ENSNLEP00000001441 ENSNLEP00000021279
ENSNLEP00000001441 ENSNLEP00000012432
ENSNLEP00000001441 ENSNLEP00000022199
ENSNLEP00000001441 ENSNLEP00000022016
ENSNLEP00000001441 ENSNLEP00000012633
ENSNLEP00000001441 ENSNLEP00000012808
ENSNLEP00000001441 ENSNLEP00000001968
ENSNLEP00000001441 ENSNLEP00000006813
ENSNLEP00000001441 ENSNLEP00000022163
ENSNLEP00000001441 ENSNLEP00000007040
ENSNLEP00000001441 ENSNLEP00000022620
ENSNLEP00000001441 ENSNLEP00000012082
ENSNLEP00000001441 ENSNLEP00000022798
ENSNLEP00000001603 ENSNLEP00000012370
ENSNLEP00000001603 ENSNLEP00000003863
ENSNLEP00000001603 ENSNLEP00000013474
ENSNLEP00000001603 ENSNLEP00000018121
ENSNLEP00000001603 ENSNLEP00000006801
ENSNLEP00000001603 ENSNLEP00000019407
ENSNLEP00000001603 ENSNLEP00000015275
ENSNLEP00000001603 ENSNLEP00000020685
ENSNLEP00000001603 ENSNLEP00000007287
ENSNLEP00000001603 ENSNLEP00000017031
ENSNLEP00000001603 ENSNLEP00000020499
ENSNLEP00000001603 ENSNLEP00000005055
ENSNLEP00000001603 ENSNLEP00000003464
ENSNLEP00000001603 ENSNLEP00000015936
ENSNLEP00000001603 ENSNLEP00000019091
ENSNLEP00000001603 ENSNLEP00000017278
ENSNLEP00000001603 ENSNLEP00000007715
ENSNLEP00000001668 ENSNLEP00000008170
ENSNLEP00000001736 ENSNLEP00000007742
ENSNLEP00000001736 ENSNLEP00000011245
ENSNLEP00000001736 ENSNLEP00000018943
ENSNLEP00000001736 ENSNLEP00000006150
ENSNLEP00000001736 ENSNLEP00000002730
ENSNLEP00000001736 ENSNLEP00000010197
ENSNLEP00000001736 ENSNLEP00000014304
ENSNLEP00000001736 ENSNLEP00000002714
ENSNLEP00000001736 ENSNLEP00000006757
ENSNLEP00000001835 ENSNLEP00000009140
ENSNLEP00000001835 ENSNLEP00000005682
ENSNLEP00000001866 ENSNLEP00000015353
ENSNLEP00000001867 ENSNLEP00000022272
ENSNLEP00000001867 ENSNLEP00000016306
ENSNLEP00000001867 ENSNLEP00000016745
ENSNLEP00000001882 ENSNLEP00000011055
ENSNLEP00000001913 ENSNLEP00000008811
ENSNLEP00000001913 ENSNLEP00000005340
ENSNLEP00000001948 ENSNLEP00000008517
ENSNLEP00000001948 ENSNLEP00000006750
ENSNLEP00000001968 ENSNLEP00000017766
ENSNLEP00000001968 ENSNLEP00000008324
ENSNLEP00000001968 ENSNLEP00000000910
ENSNLEP00000001968 ENSNLEP00000021279
ENSNLEP00000001968 ENSNLEP00000022798
ENSNLEP00000001968 ENSNLEP00000001441
ENSNLEP00000001968 ENSNLEP00000024307
ENSNLEP00000001968 ENSNLEP00000012432
ENSNLEP00000001968 ENSNLEP00000022199
ENSNLEP00000001968 ENSNLEP00000022016
ENSNLEP00000001968 ENSNLEP00000012633
ENSNLEP00000001968 ENSNLEP00000012808
ENSNLEP00000001968 ENSNLEP00000006813
ENSNLEP00000001968 ENSNLEP00000022163
ENSNLEP00000001968 ENSNLEP00000022620
ENSNLEP00000001968 ENSNLEP00000007040
ENSNLEP00000002013 ENSNLEP00000004078
ENSNLEP00000002013 ENSNLEP00000018918
ENSNLEP00000002013 ENSNLEP00000021853
ENSNLEP00000002013 ENSNLEP00000007006
ENSNLEP00000002099 ENSNLEP00000020555
