DMIN_00010 DMIN_01480
DMIN_00060 DMIN_00130
DMIN_00130 DMIN_01750
DMIN_00130 DMIN_00060
DMIN_00360 DMIN_02050
DMIN_00360 DMIN_01970
DMIN_00380 DMIN_00390
DMIN_00380 DMIN_00400
DMIN_00390 DMIN_00380
DMIN_00390 DMIN_00400
DMIN_00390 DMIN_00410
DMIN_00400 DMIN_00390
DMIN_00400 DMIN_00410
DMIN_00400 DMIN_00380
DMIN_00410 DMIN_02600
DMIN_00410 DMIN_00400
DMIN_00410 DMIN_00390
DMIN_00940 DMIN_02600
DMIN_00990 DMIN_02490
DMIN_00990 DMIN_01820
DMIN_00990 DMIN_01810
DMIN_00990 DMIN_02500
DMIN_00990 DMIN_02070
DMIN_01050 DMIN_01120
DMIN_01050 DMIN_01100
DMIN_01050 DMIN_02470
DMIN_01060 DMIN_01070
DMIN_01060 DMIN_01110
DMIN_01070 DMIN_01060
DMIN_01070 DMIN_01100
DMIN_01070 DMIN_01120
DMIN_01080 DMIN_01100
DMIN_01090 DMIN_01100
DMIN_01100 DMIN_01080
DMIN_01100 DMIN_01120
DMIN_01100 DMIN_01070
DMIN_01100 DMIN_01050
DMIN_01100 DMIN_01090
DMIN_01110 DMIN_01060
DMIN_01120 DMIN_01100
DMIN_01120 DMIN_01050
DMIN_01120 DMIN_01070
DMIN_01150 DMIN_01750
DMIN_01150 DMIN_02000
DMIN_01170 DMIN_01190
DMIN_01170 DMIN_01180
DMIN_01180 DMIN_01170
DMIN_01180 DMIN_01190
DMIN_01190 DMIN_01170
DMIN_01190 DMIN_01180
DMIN_01200 DMIN_01220
DMIN_01200 DMIN_01210
DMIN_01210 DMIN_01280
DMIN_01210 DMIN_01200
DMIN_01220 DMIN_01200
DMIN_01220 DMIN_01280
DMIN_01230 DMIN_01930
DMIN_01260 DMIN_02430
DMIN_01280 DMIN_01220
DMIN_01280 DMIN_01210
DMIN_01280 DMIN_02000
DMIN_01280 DMIN_01950
DMIN_01350 DMIN_02560
DMIN_01350 DMIN_01360
DMIN_01360 DMIN_01350
DMIN_01370 DMIN_01970
DMIN_01370 DMIN_02050
DMIN_01480 DMIN_00010
DMIN_01710 DMIN_01970
DMIN_01750 DMIN_00130
DMIN_01750 DMIN_01150
DMIN_01770 DMIN_02490
DMIN_01770 DMIN_01820
DMIN_01770 DMIN_02500
DMIN_01770 DMIN_02070
DMIN_01770 DMIN_01810
DMIN_01810 DMIN_01770
DMIN_01810 DMIN_00990
DMIN_01810 DMIN_01820
DMIN_01820 DMIN_00990
DMIN_01820 DMIN_01770
DMIN_01820 DMIN_01810
DMIN_01930 DMIN_01230
DMIN_01950 DMIN_01280
DMIN_01950 DMIN_01960
DMIN_01960 DMIN_02050
DMIN_01960 DMIN_01950
DMIN_01970 DMIN_01710
DMIN_01970 DMIN_00360
DMIN_01970 DMIN_01370
DMIN_02000 DMIN_01280
DMIN_02000 DMIN_01150
DMIN_02050 DMIN_01370
DMIN_02050 DMIN_01960
DMIN_02050 DMIN_00360
DMIN_02070 DMIN_00990
DMIN_02070 DMIN_01770
DMIN_02070 DMIN_02500
DMIN_02430 DMIN_01260
DMIN_02470 DMIN_01050
DMIN_02490 DMIN_00990
DMIN_02490 DMIN_01770
DMIN_02490 DMIN_02500
DMIN_02500 DMIN_02070
DMIN_02500 DMIN_01770
DMIN_02500 DMIN_00990
DMIN_02500 DMIN_02490
DMIN_02560 DMIN_02590
DMIN_02560 DMIN_01350
DMIN_02570 DMIN_02600
DMIN_02570 DMIN_02590
DMIN_02590 DMIN_02570
DMIN_02590 DMIN_02560
DMIN_02600 DMIN_00410
DMIN_02600 DMIN_02570
DMIN_02600 DMIN_00940
