VIA_000002 VIA_003836
VIA_000010 VIA_000011
VIA_000011 VIA_000010
VIA_000017 VIA_003379
VIA_000017 VIA_004158
VIA_000017 VIA_000169
VIA_000017 VIA_002225
VIA_000017 VIA_001690
VIA_000018 VIA_000063
VIA_000018 VIA_000217
VIA_000018 VIA_004041
VIA_000051 VIA_002318
VIA_000051 VIA_000052
VIA_000052 VIA_000051
VIA_000054 VIA_003249
VIA_000054 VIA_002089
VIA_000056 VIA_000112
VIA_000056 VIA_000057
VIA_000057 VIA_000056
VIA_000063 VIA_000018
VIA_000063 VIA_003940
VIA_000068 VIA_003916
VIA_000068 VIA_000566
VIA_000102 VIA_000642
VIA_000102 VIA_000640
VIA_000102 VIA_003947
VIA_000102 VIA_000639
VIA_000102 VIA_003948
VIA_000112 VIA_000312
VIA_000112 VIA_000056
VIA_000119 VIA_003941
VIA_000119 VIA_003940
VIA_000119 VIA_004119
VIA_000119 VIA_003687
VIA_000140 VIA_003760
VIA_000141 VIA_002002
VIA_000149 VIA_002640
VIA_000149 VIA_000194
VIA_000159 VIA_003332
VIA_000159 VIA_003619
VIA_000168 VIA_000506
VIA_000169 VIA_000017
VIA_000169 VIA_003142
VIA_000169 VIA_003750
VIA_000169 VIA_000238
VIA_000189 VIA_003965
VIA_000194 VIA_002198
VIA_000194 VIA_003296
VIA_000194 VIA_000149
VIA_000194 VIA_003171
VIA_000195 VIA_004134
VIA_000195 VIA_003945
VIA_000195 VIA_001308
VIA_000195 VIA_000738
VIA_000195 VIA_000740
VIA_000195 VIA_000735
VIA_000197 VIA_002372
VIA_000198 VIA_002460
VIA_000198 VIA_004097
VIA_000199 VIA_004125
VIA_000199 VIA_004116
VIA_000199 VIA_002460
VIA_000207 VIA_001907
VIA_000207 VIA_002963
VIA_000207 VIA_001480
VIA_000207 VIA_003913
VIA_000207 VIA_002736
VIA_000209 VIA_004057
VIA_000209 VIA_000327
VIA_000214 VIA_002269
VIA_000214 VIA_001787
VIA_000217 VIA_000018
VIA_000217 VIA_004119
VIA_000224 VIA_002377
VIA_000228 VIA_003303
VIA_000237 VIA_003387
VIA_000237 VIA_003385
VIA_000237 VIA_002480
