BATR1942_00140 BATR1942_08255
BATR1942_00290 BATR1942_00575
BATR1942_00290 BATR1942_04960
BATR1942_00290 BATR1942_04965
BATR1942_00290 BATR1942_16520
BATR1942_00290 BATR1942_00565
BATR1942_00295 BATR1942_15780
BATR1942_00295 BATR1942_12380
BATR1942_00295 BATR1942_16505
BATR1942_00295 BATR1942_19545
BATR1942_00295 BATR1942_15950
BATR1942_00295 BATR1942_00575
BATR1942_00295 BATR1942_19540
BATR1942_00295 BATR1942_13520
BATR1942_00295 BATR1942_15415
BATR1942_00295 BATR1942_19825
BATR1942_00295 BATR1942_18065
BATR1942_00295 BATR1942_20710
BATR1942_00355 BATR1942_19650
BATR1942_00370 BATR1942_05715
BATR1942_00370 BATR1942_02245
BATR1942_00370 BATR1942_09105
BATR1942_00395 BATR1942_04625
BATR1942_00395 BATR1942_19000
BATR1942_00395 BATR1942_02305
BATR1942_00395 BATR1942_13970
BATR1942_00395 BATR1942_19965
BATR1942_00395 BATR1942_20330
BATR1942_00395 BATR1942_09260
BATR1942_00410 BATR1942_14840
BATR1942_00410 BATR1942_14815
BATR1942_00410 BATR1942_14850
BATR1942_00410 BATR1942_14810
BATR1942_00410 BATR1942_14820
BATR1942_00410 BATR1942_00415
BATR1942_00410 BATR1942_14845
BATR1942_00410 BATR1942_14825
BATR1942_00410 BATR1942_14835
BATR1942_00415 BATR1942_00410
BATR1942_00415 BATR1942_14840
BATR1942_00415 BATR1942_14810
BATR1942_00415 BATR1942_14850
BATR1942_00415 BATR1942_14820
BATR1942_00415 BATR1942_14815
BATR1942_00415 BATR1942_14835
BATR1942_00415 BATR1942_14845
BATR1942_00415 BATR1942_14825
BATR1942_00470 BATR1942_17065
BATR1942_00470 BATR1942_05695
BATR1942_00500 BATR1942_19145
BATR1942_00500 BATR1942_11530
BATR1942_00500 BATR1942_16305
BATR1942_00500 BATR1942_09235
BATR1942_00500 BATR1942_04920
BATR1942_00500 BATR1942_12375
BATR1942_00500 BATR1942_04915
BATR1942_00500 BATR1942_16540
BATR1942_00500 BATR1942_17185
BATR1942_00500 BATR1942_20330
BATR1942_00500 BATR1942_03445
