ENSLACP00000000013 ENSLACP00000012262
ENSLACP00000000016 ENSLACP00000005592
ENSLACP00000000016 ENSLACP00000023586
ENSLACP00000000021 ENSLACP00000019241
ENSLACP00000000021 ENSLACP00000016660
ENSLACP00000000021 ENSLACP00000010498
ENSLACP00000000028 ENSLACP00000020868
ENSLACP00000000028 ENSLACP00000007223
ENSLACP00000000028 ENSLACP00000000898
ENSLACP00000000028 ENSLACP00000006135
ENSLACP00000000028 ENSLACP00000018451
ENSLACP00000000028 ENSLACP00000020732
ENSLACP00000000028 ENSLACP00000000653
ENSLACP00000000028 ENSLACP00000019307
ENSLACP00000000028 ENSLACP00000006343
ENSLACP00000000028 ENSLACP00000012432
ENSLACP00000000028 ENSLACP00000010735
ENSLACP00000000028 ENSLACP00000020539
ENSLACP00000000028 ENSLACP00000004886
ENSLACP00000000028 ENSLACP00000019417
ENSLACP00000000028 ENSLACP00000016211
ENSLACP00000000028 ENSLACP00000015705
ENSLACP00000000028 ENSLACP00000021650
ENSLACP00000000028 ENSLACP00000001846
ENSLACP00000000028 ENSLACP00000011712
ENSLACP00000000028 ENSLACP00000022134
ENSLACP00000000028 ENSLACP00000003255
ENSLACP00000000028 ENSLACP00000020874
ENSLACP00000000039 ENSLACP00000018512
ENSLACP00000000039 ENSLACP00000003085
ENSLACP00000000039 ENSLACP00000000065
ENSLACP00000000039 ENSLACP00000014557
ENSLACP00000000039 ENSLACP00000005026
ENSLACP00000000039 ENSLACP00000003190
ENSLACP00000000039 ENSLACP00000002117
ENSLACP00000000039 ENSLACP00000004933
ENSLACP00000000039 ENSLACP00000019878
ENSLACP00000000039 ENSLACP00000010414
ENSLACP00000000039 ENSLACP00000013947
ENSLACP00000000039 ENSLACP00000017601
ENSLACP00000000039 ENSLACP00000009950
ENSLACP00000000039 ENSLACP00000006691
ENSLACP00000000039 ENSLACP00000013282
ENSLACP00000000039 ENSLACP00000010523
ENSLACP00000000039 ENSLACP00000011761
ENSLACP00000000039 ENSLACP00000007116
ENSLACP00000000039 ENSLACP00000015363
ENSLACP00000000039 ENSLACP00000011560
ENSLACP00000000039 ENSLACP00000005132
ENSLACP00000000039 ENSLACP00000010237
ENSLACP00000000039 ENSLACP00000003959
ENSLACP00000000039 ENSLACP00000011632
ENSLACP00000000039 ENSLACP00000020933
ENSLACP00000000039 ENSLACP00000008241
ENSLACP00000000039 ENSLACP00000014395
ENSLACP00000000039 ENSLACP00000003656
ENSLACP00000000039 ENSLACP00000012665
ENSLACP00000000044 ENSLACP00000015825
ENSLACP00000000044 ENSLACP00000001295
ENSLACP00000000047 ENSLACP00000016780
ENSLACP00000000047 ENSLACP00000017116
ENSLACP00000000047 ENSLACP00000011688
ENSLACP00000000047 ENSLACP00000004516
ENSLACP00000000047 ENSLACP00000000394
ENSLACP00000000047 ENSLACP00000015847
ENSLACP00000000047 ENSLACP00000019224
ENSLACP00000000047 ENSLACP00000013137
ENSLACP00000000051 ENSLACP00000009657
ENSLACP00000000051 ENSLACP00000013284
ENSLACP00000000053 ENSLACP00000000461
ENSLACP00000000056 ENSLACP00000013015
ENSLACP00000000056 ENSLACP00000012011
ENSLACP00000000056 ENSLACP00000000782
ENSLACP00000000056 ENSLACP00000001774
ENSLACP00000000056 ENSLACP00000014312
ENSLACP00000000056 ENSLACP00000017886
ENSLACP00000000056 ENSLACP00000018469
ENSLACP00000000056 ENSLACP00000005304
ENSLACP00000000057 ENSLACP00000011487
ENSLACP00000000060 ENSLACP00000016951
ENSLACP00000000060 ENSLACP00000004470
ENSLACP00000000060 ENSLACP00000007451
ENSLACP00000000060 ENSLACP00000012742
ENSLACP00000000060 ENSLACP00000020360
ENSLACP00000000060 ENSLACP00000004130
ENSLACP00000000060 ENSLACP00000015812
ENSLACP00000000060 ENSLACP00000002365
ENSLACP00000000060 ENSLACP00000003092
ENSLACP00000000060 ENSLACP00000017482
ENSLACP00000000060 ENSLACP00000020792
ENSLACP00000000060 ENSLACP00000004770
ENSLACP00000000060 ENSLACP00000006118
ENSLACP00000000060 ENSLACP00000016702
ENSLACP00000000060 ENSLACP00000015425
ENSLACP00000000060 ENSLACP00000010021
ENSLACP00000000060 ENSLACP00000020710
ENSLACP00000000060 ENSLACP00000012356
ENSLACP00000000060 ENSLACP00000015868
ENSLACP00000000060 ENSLACP00000005833
ENSLACP00000000060 ENSLACP00000007612
ENSLACP00000000060 ENSLACP00000000433
ENSLACP00000000060 ENSLACP00000009972
ENSLACP00000000060 ENSLACP00000009328
ENSLACP00000000065 ENSLACP00000011623
ENSLACP00000000065 ENSLACP00000017711
ENSLACP00000000065 ENSLACP00000017601
ENSLACP00000000065 ENSLACP00000010767
ENSLACP00000000065 ENSLACP00000023111
ENSLACP00000000065 ENSLACP00000003652
ENSLACP00000000065 ENSLACP00000001461
ENSLACP00000000065 ENSLACP00000008793
ENSLACP00000000065 ENSLACP00000021970
ENSLACP00000000065 ENSLACP00000012930
ENSLACP00000000065 ENSLACP00000020964
ENSLACP00000000065 ENSLACP00000010414
ENSLACP00000000065 ENSLACP00000003085
ENSLACP00000000065 ENSLACP00000018512
ENSLACP00000000065 ENSLACP00000012387
ENSLACP00000000065 ENSLACP00000013947
ENSLACP00000000065 ENSLACP00000005960
ENSLACP00000000065 ENSLACP00000015363
ENSLACP00000000065 ENSLACP00000006743
ENSLACP00000000065 ENSLACP00000000485
ENSLACP00000000065 ENSLACP00000023092
ENSLACP00000000065 ENSLACP00000020688
ENSLACP00000000065 ENSLACP00000014557
ENSLACP00000000065 ENSLACP00000012255
ENSLACP00000000065 ENSLACP00000009950
ENSLACP00000000065 ENSLACP00000004507
ENSLACP00000000065 ENSLACP00000003080
ENSLACP00000000065 ENSLACP00000011560
ENSLACP00000000065 ENSLACP00000006010
ENSLACP00000000065 ENSLACP00000020120
ENSLACP00000000065 ENSLACP00000005132
ENSLACP00000000065 ENSLACP00000002530
ENSLACP00000000065 ENSLACP00000017280
ENSLACP00000000065 ENSLACP00000022711
ENSLACP00000000065 ENSLACP00000005111
ENSLACP00000000065 ENSLACP00000004772
ENSLACP00000000065 ENSLACP00000009411
ENSLACP00000000065 ENSLACP00000010519
ENSLACP00000000065 ENSLACP00000007195
ENSLACP00000000065 ENSLACP00000004645
ENSLACP00000000065 ENSLACP00000005041
ENSLACP00000000065 ENSLACP00000017695
ENSLACP00000000065 ENSLACP00000011157
ENSLACP00000000065 ENSLACP00000018998
ENSLACP00000000065 ENSLACP00000008447
ENSLACP00000000065 ENSLACP00000010523
ENSLACP00000000065 ENSLACP00000016760
ENSLACP00000000065 ENSLACP00000006691
ENSLACP00000000065 ENSLACP00000018518
ENSLACP00000000065 ENSLACP00000013282
ENSLACP00000000065 ENSLACP00000011632
ENSLACP00000000065 ENSLACP00000005308
ENSLACP00000000065 ENSLACP00000016292
ENSLACP00000000065 ENSLACP00000001288
ENSLACP00000000065 ENSLACP00000013636
ENSLACP00000000065 ENSLACP00000005105
ENSLACP00000000065 ENSLACP00000012123
ENSLACP00000000065 ENSLACP00000022824
ENSLACP00000000065 ENSLACP00000004144
ENSLACP00000000065 ENSLACP00000010504
ENSLACP00000000065 ENSLACP00000020933
ENSLACP00000000065 ENSLACP00000020674
ENSLACP00000000065 ENSLACP00000009330
ENSLACP00000000065 ENSLACP00000022465
ENSLACP00000000065 ENSLACP00000003190
ENSLACP00000000065 ENSLACP00000006046
ENSLACP00000000065 ENSLACP00000011605
ENSLACP00000000065 ENSLACP00000010319
ENSLACP00000000065 ENSLACP00000016774
ENSLACP00000000065 ENSLACP00000011761
ENSLACP00000000065 ENSLACP00000010237
ENSLACP00000000065 ENSLACP00000003959
ENSLACP00000000065 ENSLACP00000003713
ENSLACP00000000065 ENSLACP00000008831
ENSLACP00000000065 ENSLACP00000004394
ENSLACP00000000065 ENSLACP00000000881
ENSLACP00000000065 ENSLACP00000019962
ENSLACP00000000065 ENSLACP00000008506
ENSLACP00000000065 ENSLACP00000016344
ENSLACP00000000065 ENSLACP00000019715
ENSLACP00000000065 ENSLACP00000000039
ENSLACP00000000065 ENSLACP00000002379
ENSLACP00000000065 ENSLACP00000013860
ENSLACP00000000065 ENSLACP00000010310
ENSLACP00000000065 ENSLACP00000002514
ENSLACP00000000065 ENSLACP00000003656
ENSLACP00000000065 ENSLACP00000022271
ENSLACP00000000065 ENSLACP00000006147
ENSLACP00000000065 ENSLACP00000007439
ENSLACP00000000065 ENSLACP00000014395
ENSLACP00000000065 ENSLACP00000019070
ENSLACP00000000065 ENSLACP00000012223
ENSLACP00000000065 ENSLACP00000004691
ENSLACP00000000065 ENSLACP00000002394
ENSLACP00000000078 ENSLACP00000010054
ENSLACP00000000078 ENSLACP00000014408
ENSLACP00000000078 ENSLACP00000006662
ENSLACP00000000078 ENSLACP00000021550
ENSLACP00000000078 ENSLACP00000012949
ENSLACP00000000082 ENSLACP00000010498
ENSLACP00000000082 ENSLACP00000019190
ENSLACP00000000082 ENSLACP00000019276
ENSLACP00000000082 ENSLACP00000019241
ENSLACP00000000082 ENSLACP00000012187
ENSLACP00000000082 ENSLACP00000003232
ENSLACP00000000082 ENSLACP00000010563
ENSLACP00000000082 ENSLACP00000018220
ENSLACP00000000082 ENSLACP00000013223
ENSLACP00000000082 ENSLACP00000016660
ENSLACP00000000082 ENSLACP00000004341
ENSLACP00000000082 ENSLACP00000000250
ENSLACP00000000116 ENSLACP00000007634
ENSLACP00000000116 ENSLACP00000017886
ENSLACP00000000116 ENSLACP00000018469
ENSLACP00000000116 ENSLACP00000006503
ENSLACP00000000116 ENSLACP00000011649
ENSLACP00000000116 ENSLACP00000004616
ENSLACP00000000116 ENSLACP00000000782
ENSLACP00000000116 ENSLACP00000001774
ENSLACP00000000116 ENSLACP00000019614
ENSLACP00000000116 ENSLACP00000007352
ENSLACP00000000116 ENSLACP00000021751
