STRCR_0006 STRCR_0100
STRCR_0019 STRCR_1200
STRCR_0019 STRCR_2008
STRCR_0019 STRCR_1553
STRCR_0019 STRCR_1128
STRCR_0019 STRCR_2009
STRCR_0080 STRCR_0087
STRCR_0081 STRCR_0087
STRCR_0082 STRCR_0087
STRCR_0084 STRCR_0087
STRCR_0087 STRCR_0090
STRCR_0087 STRCR_0080
STRCR_0087 STRCR_0081
STRCR_0087 STRCR_0084
STRCR_0087 STRCR_0475
STRCR_0087 STRCR_0082
STRCR_0087 STRCR_0329
STRCR_0090 STRCR_0087
STRCR_0093 STRCR_0328
STRCR_0095 STRCR_1982
STRCR_0095 STRCR_1322
STRCR_0100 STRCR_0006
STRCR_0106 STRCR_0456
STRCR_0106 STRCR_0488
STRCR_0106 STRCR_1119
STRCR_0122 STRCR_1032
STRCR_0122 STRCR_1587
STRCR_0125 STRCR_1315
STRCR_0125 STRCR_0268
STRCR_0125 STRCR_0126
STRCR_0126 STRCR_0125
STRCR_0126 STRCR_2174
STRCR_0126 STRCR_0268
STRCR_0145 STRCR_0487
STRCR_0183 STRCR_1200
STRCR_0183 STRCR_1387
STRCR_0183 STRCR_0301
STRCR_0184 STRCR_1893
STRCR_0185 STRCR_1315
STRCR_0188 STRCR_0693
STRCR_0188 STRCR_2000
STRCR_0188 STRCR_2286
STRCR_0188 STRCR_1873
STRCR_0200 STRCR_1870
STRCR_0200 STRCR_1315
STRCR_0200 STRCR_0840
STRCR_0200 STRCR_0841
STRCR_0200 STRCR_1873
STRCR_0200 STRCR_2174
STRCR_0202 STRCR_1782
STRCR_0202 STRCR_1387
STRCR_0202 STRCR_1618
STRCR_0202 STRCR_1296
STRCR_0206 STRCR_0380
STRCR_0232 STRCR_2189
STRCR_0268 STRCR_0125
STRCR_0268 STRCR_0126
STRCR_0280 STRCR_1200
STRCR_0294 STRCR_2179
STRCR_0301 STRCR_0183
STRCR_0324 STRCR_0325
STRCR_0324 STRCR_0326
STRCR_0325 STRCR_0326
STRCR_0325 STRCR_0324
STRCR_0326 STRCR_0324
STRCR_0326 STRCR_0325
STRCR_0328 STRCR_0093
STRCR_0329 STRCR_0087
STRCR_0380 STRCR_0206
STRCR_0387 STRCR_1639
STRCR_0387 STRCR_1894
STRCR_0387 STRCR_1553
STRCR_0387 STRCR_1128
STRCR_0413 STRCR_1915
STRCR_0413 STRCR_1917
STRCR_0442 STRCR_1785
STRCR_0442 STRCR_1214
STRCR_0450 STRCR_0454
STRCR_0450 STRCR_0453
STRCR_0452 STRCR_0478
STRCR_0453 STRCR_0450
STRCR_0454 STRCR_0478
STRCR_0454 STRCR_0450
STRCR_0454 STRCR_2179
STRCR_0456 STRCR_0106
STRCR_0456 STRCR_1886
STRCR_0456 STRCR_1121
STRCR_0475 STRCR_0087
STRCR_0478 STRCR_0452
STRCR_0478 STRCR_0454
STRCR_0487 STRCR_0145
STRCR_0487 STRCR_0541
STRCR_0488 STRCR_1378
STRCR_0488 STRCR_0794
STRCR_0488 STRCR_0914
STRCR_0488 STRCR_0106
STRCR_0488 STRCR_1297
STRCR_0488 STRCR_0708
STRCR_0517 STRCR_1450
STRCR_0517 STRCR_0623
STRCR_0517 STRCR_0713
STRCR_0541 STRCR_0487
STRCR_0541 STRCR_1820
STRCR_0541 STRCR_2008
STRCR_0541 STRCR_1821
STRCR_0541 STRCR_1817
STRCR_0541 STRCR_2009
STRCR_0541 STRCR_1816
STRCR_0541 STRCR_1822
STRCR_0541 STRCR_1823
STRCR_0541 STRCR_1818
STRCR_0541 STRCR_1819
STRCR_0581 STRCR_1378
STRCR_0585 STRCR_2003
STRCR_0585 STRCR_1248
STRCR_0585 STRCR_0694
STRCR_0599 STRCR_1200
STRCR_0603 STRCR_0693
STRCR_0603 STRCR_2286
STRCR_0603 STRCR_1873
STRCR_0603 STRCR_2000
STRCR_0608 STRCR_0610
STRCR_0608 STRCR_1829
STRCR_0608 STRCR_0623
STRCR_0609 STRCR_1829
STRCR_0609 STRCR_0623
STRCR_0609 STRCR_0610
STRCR_0610 STRCR_1830
STRCR_0610 STRCR_0608
STRCR_0610 STRCR_1949
STRCR_0610 STRCR_0609
STRCR_0623 STRCR_0608
STRCR_0623 STRCR_0517
STRCR_0623 STRCR_1830
STRCR_0623 STRCR_0609
STRCR_0643 STRCR_2189
STRCR_0643 STRCR_0644
STRCR_0644 STRCR_0643
STRCR_0646 STRCR_1940
STRCR_0685 STRCR_0760
STRCR_0693 STRCR_0188
STRCR_0693 STRCR_0694
STRCR_0693 STRCR_0603
STRCR_0693 STRCR_2000
STRCR_0694 STRCR_1680
STRCR_0694 STRCR_0693
STRCR_0694 STRCR_0585
STRCR_0694 STRCR_2286
STRCR_0694 STRCR_1681
STRCR_0694 STRCR_1679
STRCR_0694 STRCR_2280
STRCR_0694 STRCR_1088
STRCR_0708 STRCR_0488
STRCR_0713 STRCR_1449
STRCR_0713 STRCR_0517
STRCR_0750 STRCR_2207
STRCR_0750 STRCR_2277
STRCR_0750 STRCR_1991
STRCR_0760 STRCR_1266
STRCR_0760 STRCR_1923
STRCR_0760 STRCR_0685
STRCR_0760 STRCR_1267
STRCR_0763 STRCR_0764
STRCR_0764 STRCR_0763
STRCR_0768 STRCR_1105
STRCR_0768 STRCR_1055
STRCR_0781 STRCR_0891
STRCR_0782 STRCR_0891
STRCR_0794 STRCR_1378
STRCR_0794 STRCR_0488
STRCR_0794 STRCR_1872
STRCR_0809 STRCR_1136
STRCR_0809 STRCR_1033
STRCR_0832 STRCR_1296
STRCR_0832 STRCR_1782
STRCR_0832 STRCR_1387
STRCR_0832 STRCR_1618
STRCR_0838 STRCR_0840
STRCR_0838 STRCR_2174
STRCR_0840 STRCR_0200
STRCR_0840 STRCR_1233
STRCR_0840 STRCR_0838
STRCR_0841 STRCR_0200
STRCR_0847 STRCR_1787
STRCR_0848 STRCR_1787
STRCR_0891 STRCR_0781
STRCR_0891 STRCR_0782
STRCR_0914 STRCR_1378
STRCR_0914 STRCR_0488
STRCR_0914 STRCR_1872
STRCR_0919 STRCR_1387
STRCR_0919 STRCR_1618
STRCR_0919 STRCR_1200
STRCR_0925 STRCR_1799
STRCR_0943 STRCR_2339
STRCR_0943 STRCR_2009
STRCR_0943 STRCR_2008
STRCR_0943 STRCR_1200
STRCR_0943 STRCR_1693
STRCR_0943 STRCR_1900
STRCR_0998 STRCR_1457
STRCR_0998 STRCR_1054
STRCR_1032 STRCR_0122
STRCR_1033 STRCR_0809
STRCR_1054 STRCR_0998
STRCR_1054 STRCR_2122
STRCR_1054 STRCR_2343
STRCR_1055 STRCR_0768
STRCR_1072 STRCR_1317
STRCR_1072 STRCR_2315
STRCR_1088 STRCR_2003
STRCR_1088 STRCR_0694
STRCR_1088 STRCR_1248
STRCR_1096 STRCR_1105
STRCR_1098 STRCR_1238
STRCR_1098 STRCR_1237
STRCR_1098 STRCR_1742
STRCR_1105 STRCR_1096
STRCR_1105 STRCR_2343
STRCR_1105 STRCR_0768
STRCR_1119 STRCR_0106
STRCR_1120 STRCR_1121
STRCR_1121 STRCR_1120
STRCR_1121 STRCR_0456
STRCR_1128 STRCR_0019
STRCR_1128 STRCR_0387
STRCR_1136 STRCR_0809
STRCR_1136 STRCR_1870
STRCR_1162 STRCR_1910
STRCR_1200 STRCR_1206
STRCR_1200 STRCR_0943
STRCR_1200 STRCR_0599
STRCR_1200 STRCR_1375
STRCR_1200 STRCR_2008
STRCR_1200 STRCR_0919
STRCR_1200 STRCR_2009
STRCR_1200 STRCR_0280
STRCR_1200 STRCR_0019
STRCR_1200 STRCR_0183
STRCR_1206 STRCR_1200
STRCR_1206 STRCR_2008
STRCR_1206 STRCR_2339
STRCR_1206 STRCR_1693
STRCR_1206 STRCR_1900
STRCR_1206 STRCR_2009
STRCR_1212 STRCR_1786
STRCR_1212 STRCR_1213
STRCR_1213 STRCR_1788
STRCR_1213 STRCR_1212
STRCR_1214 STRCR_1959
STRCR_1214 STRCR_0442
STRCR_1225 STRCR_1226
STRCR_1226 STRCR_1227
STRCR_1226 STRCR_1225
STRCR_1227 STRCR_1226
