CbC4_0017 CbC4_0739
CbC4_0028 CbC4_0328
CbC4_0028 CbC4_1990
CbC4_0028 CbC4_1078
CbC4_0028 CbC4_2432
CbC4_0028 CbC4_0553
CbC4_0028 CbC4_1932
CbC4_0028 CbC4_0404
CbC4_0028 CbC4_0932
CbC4_0028 CbC4_0405
CbC4_0028 CbC4_0329
CbC4_0028 CbC4_0933
CbC4_0029 CbC4_2432
CbC4_0030 CbC4_0656
CbC4_0030 CbC4_0638
CbC4_0033 CbC4_2213
CbC4_0033 CbC4_1871
CbC4_0033 CbC4_2390
CbC4_0033 CbC4_0034
CbC4_0034 CbC4_0033
CbC4_0037 CbC4_1427
CbC4_0037 CbC4_1436
CbC4_0037 CbC4_1891
CbC4_0037 CbC4_2150
CbC4_0037 CbC4_1028
CbC4_0037 CbC4_1936
CbC4_0037 CbC4_0077
CbC4_0037 CbC4_1429
CbC4_0037 CbC4_0163
CbC4_0037 CbC4_2040
CbC4_0037 CbC4_0631
CbC4_0037 CbC4_0186
CbC4_0037 CbC4_0438
CbC4_0037 CbC4_2207
CbC4_0037 CbC4_1510
CbC4_0037 CbC4_1758
CbC4_0045 CbC4_0055
CbC4_0045 CbC4_0050
CbC4_0045 CbC4_1981
CbC4_0045 CbC4_1873
CbC4_0045 CbC4_0053
CbC4_0045 CbC4_0054
CbC4_0045 CbC4_1980
CbC4_0045 CbC4_1978
CbC4_0045 CbC4_1075
CbC4_0045 CbC4_0051
CbC4_0045 CbC4_0048
CbC4_0045 CbC4_2118
CbC4_0045 CbC4_0049
CbC4_0047 CbC4_0052
CbC4_0047 CbC4_0050
CbC4_0048 CbC4_0051
CbC4_0048 CbC4_0054
CbC4_0048 CbC4_0050
CbC4_0048 CbC4_1980
CbC4_0048 CbC4_0055
CbC4_0048 CbC4_1981
CbC4_0048 CbC4_1873
CbC4_0048 CbC4_0045
CbC4_0048 CbC4_0053
CbC4_0049 CbC4_0045
CbC4_0049 CbC4_1873
CbC4_0049 CbC4_0050
CbC4_0049 CbC4_0052
CbC4_0049 CbC4_2118
CbC4_0050 CbC4_0045
CbC4_0050 CbC4_2118
CbC4_0050 CbC4_1873
CbC4_0050 CbC4_0047
CbC4_0050 CbC4_0049
CbC4_0050 CbC4_0048
CbC4_0050 CbC4_0593
CbC4_0051 CbC4_0055
CbC4_0051 CbC4_1726
CbC4_0051 CbC4_1981
CbC4_0051 CbC4_0045
CbC4_0051 CbC4_1483
CbC4_0051 CbC4_1347
CbC4_0051 CbC4_1873
CbC4_0051 CbC4_2162
CbC4_0051 CbC4_0053
CbC4_0051 CbC4_2271
CbC4_0051 CbC4_2142
CbC4_0051 CbC4_0054
CbC4_0051 CbC4_0337
CbC4_0051 CbC4_2339
CbC4_0051 CbC4_1980
CbC4_0051 CbC4_1793
CbC4_0051 CbC4_1978
CbC4_0051 CbC4_1686
CbC4_0051 CbC4_1075
CbC4_0051 CbC4_0048
CbC4_0052 CbC4_0047
CbC4_0052 CbC4_0049
CbC4_0052 CbC4_2118
CbC4_0053 CbC4_0045
CbC4_0053 CbC4_1347
CbC4_0053 CbC4_0055
CbC4_0053 CbC4_1726
CbC4_0053 CbC4_1981
CbC4_0053 CbC4_1483
CbC4_0053 CbC4_1873
CbC4_0053 CbC4_2162
CbC4_0053 CbC4_2339
CbC4_0053 CbC4_0054
CbC4_0053 CbC4_2271
CbC4_0053 CbC4_2142
CbC4_0053 CbC4_0337
CbC4_0053 CbC4_1980
CbC4_0053 CbC4_1793
CbC4_0053 CbC4_1978
CbC4_0053 CbC4_1075
CbC4_0053 CbC4_1686
CbC4_0053 CbC4_0051
CbC4_0053 CbC4_0048
CbC4_0054 CbC4_0048
CbC4_0054 CbC4_0055
CbC4_0054 CbC4_2142
CbC4_0054 CbC4_1726
CbC4_0054 CbC4_1981
CbC4_0054 CbC4_1483
CbC4_0054 CbC4_1347
CbC4_0054 CbC4_1873
CbC4_0054 CbC4_0045
CbC4_0054 CbC4_0053
CbC4_0054 CbC4_2162
CbC4_0054 CbC4_0051
CbC4_0054 CbC4_2271
CbC4_0054 CbC4_2339
CbC4_0054 CbC4_0337
CbC4_0054 CbC4_1980
CbC4_0054 CbC4_1793
CbC4_0054 CbC4_1978
CbC4_0054 CbC4_1075
CbC4_0054 CbC4_1686
CbC4_0055 CbC4_1980
CbC4_0055 CbC4_0054
CbC4_0055 CbC4_0337
CbC4_0055 CbC4_2339
CbC4_0055 CbC4_1726
CbC4_0055 CbC4_1981
CbC4_0055 CbC4_1793
CbC4_0055 CbC4_0045
CbC4_0055 CbC4_1347
CbC4_0055 CbC4_1978
CbC4_0055 CbC4_1483
CbC4_0055 CbC4_1873
CbC4_0055 CbC4_2162
CbC4_0055 CbC4_1075
CbC4_0055 CbC4_1686
CbC4_0055 CbC4_0053
CbC4_0055 CbC4_0051
CbC4_0055 CbC4_0048
CbC4_0055 CbC4_2271
CbC4_0055 CbC4_2142
CbC4_0062 CbC4_1851
CbC4_0062 CbC4_0811
CbC4_0062 CbC4_2516
CbC4_0068 CbC4_0433
CbC4_0068 CbC4_2260
CbC4_0068 CbC4_0992
