ENSGGOP00000000005 ENSGGOP00000001330
ENSGGOP00000000006 ENSGGOP00000007241
ENSGGOP00000000006 ENSGGOP00000025206
ENSGGOP00000000006 ENSGGOP00000012047
ENSGGOP00000000006 ENSGGOP00000023537
ENSGGOP00000000006 ENSGGOP00000012458
ENSGGOP00000000006 ENSGGOP00000013150
ENSGGOP00000000006 ENSGGOP00000004211
ENSGGOP00000000006 ENSGGOP00000011544
ENSGGOP00000000006 ENSGGOP00000027048
ENSGGOP00000000006 ENSGGOP00000006453
ENSGGOP00000000006 ENSGGOP00000014031
ENSGGOP00000000006 ENSGGOP00000007668
ENSGGOP00000000006 ENSGGOP00000006770
ENSGGOP00000000006 ENSGGOP00000001843
ENSGGOP00000000006 ENSGGOP00000008814
ENSGGOP00000000006 ENSGGOP00000023842
ENSGGOP00000000006 ENSGGOP00000006740
ENSGGOP00000000006 ENSGGOP00000005782
ENSGGOP00000000006 ENSGGOP00000006535
ENSGGOP00000000006 ENSGGOP00000007706
ENSGGOP00000000006 ENSGGOP00000000406
ENSGGOP00000000006 ENSGGOP00000021738
ENSGGOP00000000006 ENSGGOP00000007501
ENSGGOP00000000006 ENSGGOP00000012797
ENSGGOP00000000006 ENSGGOP00000011571
ENSGGOP00000000006 ENSGGOP00000009354
ENSGGOP00000000006 ENSGGOP00000010739
ENSGGOP00000000006 ENSGGOP00000016179
ENSGGOP00000000006 ENSGGOP00000027434
ENSGGOP00000000006 ENSGGOP00000000365
ENSGGOP00000000006 ENSGGOP00000001454
ENSGGOP00000000006 ENSGGOP00000015049
ENSGGOP00000000006 ENSGGOP00000012603
ENSGGOP00000000006 ENSGGOP00000000304
ENSGGOP00000000006 ENSGGOP00000009609
ENSGGOP00000000006 ENSGGOP00000013700
ENSGGOP00000000006 ENSGGOP00000008097
ENSGGOP00000000006 ENSGGOP00000027279
ENSGGOP00000000006 ENSGGOP00000026268
ENSGGOP00000000006 ENSGGOP00000016423
ENSGGOP00000000006 ENSGGOP00000000305
ENSGGOP00000000006 ENSGGOP00000022620
ENSGGOP00000000006 ENSGGOP00000000325
ENSGGOP00000000006 ENSGGOP00000021844
ENSGGOP00000000006 ENSGGOP00000013483
ENSGGOP00000000006 ENSGGOP00000013609
ENSGGOP00000000006 ENSGGOP00000002609
ENSGGOP00000000006 ENSGGOP00000001066
ENSGGOP00000000006 ENSGGOP00000013491
ENSGGOP00000000006 ENSGGOP00000016672
ENSGGOP00000000009 ENSGGOP00000013997
ENSGGOP00000000009 ENSGGOP00000025536
ENSGGOP00000000009 ENSGGOP00000011374
ENSGGOP00000000009 ENSGGOP00000007107
ENSGGOP00000000009 ENSGGOP00000002021
ENSGGOP00000000009 ENSGGOP00000025608
ENSGGOP00000000009 ENSGGOP00000006096
ENSGGOP00000000009 ENSGGOP00000006831
ENSGGOP00000000009 ENSGGOP00000025699
ENSGGOP00000000009 ENSGGOP00000006514
ENSGGOP00000000009 ENSGGOP00000018615
ENSGGOP00000000009 ENSGGOP00000004388
