ENSPTRP00000000013 ENSPTRP00000002816
ENSPTRP00000000018 ENSPTRP00000059861
ENSPTRP00000000018 ENSPTRP00000054232
ENSPTRP00000000054 ENSPTRP00000009252
ENSPTRP00000000054 ENSPTRP00000027624
ENSPTRP00000000054 ENSPTRP00000019175
ENSPTRP00000000054 ENSPTRP00000021298
ENSPTRP00000000054 ENSPTRP00000020015
ENSPTRP00000000054 ENSPTRP00000033281
ENSPTRP00000000054 ENSPTRP00000020246
ENSPTRP00000000054 ENSPTRP00000009251
ENSPTRP00000000054 ENSPTRP00000011335
ENSPTRP00000000065 ENSPTRP00000006903
ENSPTRP00000000065 ENSPTRP00000029297
ENSPTRP00000000065 ENSPTRP00000027436
ENSPTRP00000000065 ENSPTRP00000026629
ENSPTRP00000000065 ENSPTRP00000049619
ENSPTRP00000000065 ENSPTRP00000028805
ENSPTRP00000000065 ENSPTRP00000041745
ENSPTRP00000000065 ENSPTRP00000052876
ENSPTRP00000000065 ENSPTRP00000002942
ENSPTRP00000000065 ENSPTRP00000028875
ENSPTRP00000000065 ENSPTRP00000053681
ENSPTRP00000000093 ENSPTRP00000004746
ENSPTRP00000000093 ENSPTRP00000026618
ENSPTRP00000000093 ENSPTRP00000002179
ENSPTRP00000000093 ENSPTRP00000003988
ENSPTRP00000000093 ENSPTRP00000011850
ENSPTRP00000000093 ENSPTRP00000053992
ENSPTRP00000000093 ENSPTRP00000048893
ENSPTRP00000000093 ENSPTRP00000004336
ENSPTRP00000000093 ENSPTRP00000031984
ENSPTRP00000000093 ENSPTRP00000000229
ENSPTRP00000000093 ENSPTRP00000054166
ENSPTRP00000000093 ENSPTRP00000015468
ENSPTRP00000000093 ENSPTRP00000044953
ENSPTRP00000000093 ENSPTRP00000052529
ENSPTRP00000000093 ENSPTRP00000003459
ENSPTRP00000000093 ENSPTRP00000018884
ENSPTRP00000000093 ENSPTRP00000039033
ENSPTRP00000000093 ENSPTRP00000055984
ENSPTRP00000000093 ENSPTRP00000043523
ENSPTRP00000000093 ENSPTRP00000017459
ENSPTRP00000000093 ENSPTRP00000045638
ENSPTRP00000000093 ENSPTRP00000038897
ENSPTRP00000000093 ENSPTRP00000026912
ENSPTRP00000000093 ENSPTRP00000047269
ENSPTRP00000000093 ENSPTRP00000004739
ENSPTRP00000000094 ENSPTRP00000052446
ENSPTRP00000000094 ENSPTRP00000015680
ENSPTRP00000000094 ENSPTRP00000040807
ENSPTRP00000000094 ENSPTRP00000049619
ENSPTRP00000000094 ENSPTRP00000041745
ENSPTRP00000000094 ENSPTRP00000012477
ENSPTRP00000000094 ENSPTRP00000029910
ENSPTRP00000000094 ENSPTRP00000031770
ENSPTRP00000000094 ENSPTRP00000004785
ENSPTRP00000000094 ENSPTRP00000031772
ENSPTRP00000000096 ENSPTRP00000030651
ENSPTRP00000000096 ENSPTRP00000003288
ENSPTRP00000000096 ENSPTRP00000011503
ENSPTRP00000000096 ENSPTRP00000036416
ENSPTRP00000000096 ENSPTRP00000036949
ENSPTRP00000000096 ENSPTRP00000040260
ENSPTRP00000000096 ENSPTRP00000017645
ENSPTRP00000000098 ENSPTRP00000036715
ENSPTRP00000000098 ENSPTRP00000036962
ENSPTRP00000000098 ENSPTRP00000002990
ENSPTRP00000000098 ENSPTRP00000041523
ENSPTRP00000000098 ENSPTRP00000048987
ENSPTRP00000000098 ENSPTRP00000033850
ENSPTRP00000000098 ENSPTRP00000023898
ENSPTRP00000000098 ENSPTRP00000023900
ENSPTRP00000000098 ENSPTRP00000008687
ENSPTRP00000000098 ENSPTRP00000027981
ENSPTRP00000000098 ENSPTRP00000052044
ENSPTRP00000000118 ENSPTRP00000044573
ENSPTRP00000000118 ENSPTRP00000007247
ENSPTRP00000000118 ENSPTRP00000014836
ENSPTRP00000000144 ENSPTRP00000026873
ENSPTRP00000000148 ENSPTRP00000001015
ENSPTRP00000000148 ENSPTRP00000006786
ENSPTRP00000000158 ENSPTRP00000011062
ENSPTRP00000000158 ENSPTRP00000052572
ENSPTRP00000000158 ENSPTRP00000049134
ENSPTRP00000000173 ENSPTRP00000039282
ENSPTRP00000000173 ENSPTRP00000008712
ENSPTRP00000000173 ENSPTRP00000009317
ENSPTRP00000000173 ENSPTRP00000014588
ENSPTRP00000000173 ENSPTRP00000032820
ENSPTRP00000000173 ENSPTRP00000058039
ENSPTRP00000000173 ENSPTRP00000024013
ENSPTRP00000000173 ENSPTRP00000009319
ENSPTRP00000000173 ENSPTRP00000017122
ENSPTRP00000000173 ENSPTRP00000022452
ENSPTRP00000000173 ENSPTRP00000015094
ENSPTRP00000000174 ENSPTRP00000055752
ENSPTRP00000000174 ENSPTRP00000044858
ENSPTRP00000000174 ENSPTRP00000045189
ENSPTRP00000000191 ENSPTRP00000011912
ENSPTRP00000000191 ENSPTRP00000057082
ENSPTRP00000000191 ENSPTRP00000058965
ENSPTRP00000000191 ENSPTRP00000032951
ENSPTRP00000000191 ENSPTRP00000013711
ENSPTRP00000000191 ENSPTRP00000009583
ENSPTRP00000000191 ENSPTRP00000006374
ENSPTRP00000000207 ENSPTRP00000032683
ENSPTRP00000000207 ENSPTRP00000038687
ENSPTRP00000000207 ENSPTRP00000056053
ENSPTRP00000000207 ENSPTRP00000010507
ENSPTRP00000000207 ENSPTRP00000000218
ENSPTRP00000000207 ENSPTRP00000055755
ENSPTRP00000000207 ENSPTRP00000004739
ENSPTRP00000000207 ENSPTRP00000033781
ENSPTRP00000000207 ENSPTRP00000023500
ENSPTRP00000000207 ENSPTRP00000036234
ENSPTRP00000000207 ENSPTRP00000028429
ENSPTRP00000000207 ENSPTRP00000051315
ENSPTRP00000000207 ENSPTRP00000038655
ENSPTRP00000000207 ENSPTRP00000012388
ENSPTRP00000000207 ENSPTRP00000014708
ENSPTRP00000000207 ENSPTRP00000015230
ENSPTRP00000000207 ENSPTRP00000008082
ENSPTRP00000000207 ENSPTRP00000005525
ENSPTRP00000000207 ENSPTRP00000004915
ENSPTRP00000000207 ENSPTRP00000044721
ENSPTRP00000000218 ENSPTRP00000027510
ENSPTRP00000000218 ENSPTRP00000018212
ENSPTRP00000000218 ENSPTRP00000004454
ENSPTRP00000000218 ENSPTRP00000037227
ENSPTRP00000000218 ENSPTRP00000005957
ENSPTRP00000000218 ENSPTRP00000032683
ENSPTRP00000000218 ENSPTRP00000012388
ENSPTRP00000000218 ENSPTRP00000007822
ENSPTRP00000000218 ENSPTRP00000014708
ENSPTRP00000000218 ENSPTRP00000038687
ENSPTRP00000000218 ENSPTRP00000008129
ENSPTRP00000000218 ENSPTRP00000005959
ENSPTRP00000000218 ENSPTRP00000015754
ENSPTRP00000000218 ENSPTRP00000056053
ENSPTRP00000000218 ENSPTRP00000020771
ENSPTRP00000000218 ENSPTRP00000005960
ENSPTRP00000000218 ENSPTRP00000015230
ENSPTRP00000000218 ENSPTRP00000055755
ENSPTRP00000000218 ENSPTRP00000057240
ENSPTRP00000000218 ENSPTRP00000033781
ENSPTRP00000000218 ENSPTRP00000004445
ENSPTRP00000000218 ENSPTRP00000043906
ENSPTRP00000000218 ENSPTRP00000004739
ENSPTRP00000000218 ENSPTRP00000060183
ENSPTRP00000000218 ENSPTRP00000001415
ENSPTRP00000000218 ENSPTRP00000012181
ENSPTRP00000000218 ENSPTRP00000036234
ENSPTRP00000000218 ENSPTRP00000027992
ENSPTRP00000000218 ENSPTRP00000004915
ENSPTRP00000000218 ENSPTRP00000049258
ENSPTRP00000000218 ENSPTRP00000026010
ENSPTRP00000000218 ENSPTRP00000044721
ENSPTRP00000000218 ENSPTRP00000030009
ENSPTRP00000000218 ENSPTRP00000000207
ENSPTRP00000000218 ENSPTRP00000021539
ENSPTRP00000000218 ENSPTRP00000012409
ENSPTRP00000000218 ENSPTRP00000018570
ENSPTRP00000000218 ENSPTRP00000043519
ENSPTRP00000000229 ENSPTRP00000021008
ENSPTRP00000000229 ENSPTRP00000026612
ENSPTRP00000000229 ENSPTRP00000017459
ENSPTRP00000000229 ENSPTRP00000049016
ENSPTRP00000000229 ENSPTRP00000040371
ENSPTRP00000000229 ENSPTRP00000045665
ENSPTRP00000000229 ENSPTRP00000025802
ENSPTRP00000000229 ENSPTRP00000023178
ENSPTRP00000000229 ENSPTRP00000029829
ENSPTRP00000000229 ENSPTRP00000060750
ENSPTRP00000000229 ENSPTRP00000027639
ENSPTRP00000000229 ENSPTRP00000046677
ENSPTRP00000000229 ENSPTRP00000021603
ENSPTRP00000000229 ENSPTRP00000000369
ENSPTRP00000000229 ENSPTRP00000011569
ENSPTRP00000000229 ENSPTRP00000002493
ENSPTRP00000000229 ENSPTRP00000028277
