ENSLAFP00000000073 ENSLAFP00000009699
ENSLAFP00000000085 ENSLAFP00000009220
ENSLAFP00000000462 ENSLAFP00000007445
ENSLAFP00000000462 ENSLAFP00000016364
ENSLAFP00000000538 ENSLAFP00000013612
ENSLAFP00000000538 ENSLAFP00000014350
ENSLAFP00000000538 ENSLAFP00000013869
ENSLAFP00000000538 ENSLAFP00000008998
ENSLAFP00000000538 ENSLAFP00000011154
ENSLAFP00000000538 ENSLAFP00000019978
ENSLAFP00000000538 ENSLAFP00000025577
ENSLAFP00000000538 ENSLAFP00000020465
ENSLAFP00000000538 ENSLAFP00000027460
ENSLAFP00000000538 ENSLAFP00000025946
ENSLAFP00000000538 ENSLAFP00000012632
ENSLAFP00000000628 ENSLAFP00000011029
ENSLAFP00000000847 ENSLAFP00000010034
ENSLAFP00000000847 ENSLAFP00000001142
ENSLAFP00000000925 ENSLAFP00000008877
ENSLAFP00000000974 ENSLAFP00000003950
ENSLAFP00000000974 ENSLAFP00000005886
ENSLAFP00000000974 ENSLAFP00000013421
ENSLAFP00000000974 ENSLAFP00000010742
ENSLAFP00000000974 ENSLAFP00000009615
ENSLAFP00000000974 ENSLAFP00000002426
ENSLAFP00000000974 ENSLAFP00000007744
ENSLAFP00000001142 ENSLAFP00000010034
ENSLAFP00000001142 ENSLAFP00000000847
ENSLAFP00000001265 ENSLAFP00000016953
ENSLAFP00000001267 ENSLAFP00000001699
ENSLAFP00000001358 ENSLAFP00000008401
ENSLAFP00000001358 ENSLAFP00000002426
ENSLAFP00000001358 ENSLAFP00000001696
ENSLAFP00000001358 ENSLAFP00000026473
ENSLAFP00000001358 ENSLAFP00000007516
ENSLAFP00000001358 ENSLAFP00000020215
ENSLAFP00000001409 ENSLAFP00000008998
ENSLAFP00000001409 ENSLAFP00000025946
ENSLAFP00000001409 ENSLAFP00000027460
ENSLAFP00000001409 ENSLAFP00000002218
ENSLAFP00000001409 ENSLAFP00000012632
ENSLAFP00000001409 ENSLAFP00000025577
ENSLAFP00000001409 ENSLAFP00000019978
ENSLAFP00000001409 ENSLAFP00000020465
ENSLAFP00000001409 ENSLAFP00000007339
ENSLAFP00000001545 ENSLAFP00000010559
ENSLAFP00000001545 ENSLAFP00000016360
ENSLAFP00000001545 ENSLAFP00000013012
ENSLAFP00000001631 ENSLAFP00000013100
ENSLAFP00000001635 ENSLAFP00000007833
ENSLAFP00000001635 ENSLAFP00000016898
ENSLAFP00000001635 ENSLAFP00000003504
ENSLAFP00000001635 ENSLAFP00000012947
ENSLAFP00000001635 ENSLAFP00000001922
ENSLAFP00000001639 ENSLAFP00000028167
ENSLAFP00000001696 ENSLAFP00000008401
ENSLAFP00000001696 ENSLAFP00000002426
ENSLAFP00000001696 ENSLAFP00000026473
ENSLAFP00000001696 ENSLAFP00000001358
ENSLAFP00000001696 ENSLAFP00000007516
ENSLAFP00000001696 ENSLAFP00000020215
ENSLAFP00000001699 ENSLAFP00000001267
ENSLAFP00000001744 ENSLAFP00000016265
ENSLAFP00000001922 ENSLAFP00000012947
ENSLAFP00000001922 ENSLAFP00000001635
ENSLAFP00000001922 ENSLAFP00000011319
ENSLAFP00000001922 ENSLAFP00000003504
ENSLAFP00000001922 ENSLAFP00000007833
ENSLAFP00000001922 ENSLAFP00000016898
ENSLAFP00000001937 ENSLAFP00000029378
ENSLAFP00000002048 ENSLAFP00000027397
ENSLAFP00000002060 ENSLAFP00000017626
ENSLAFP00000002218 ENSLAFP00000007339
ENSLAFP00000002218 ENSLAFP00000012632
ENSLAFP00000002218 ENSLAFP00000014350
ENSLAFP00000002218 ENSLAFP00000008998
ENSLAFP00000002218 ENSLAFP00000001409
ENSLAFP00000002218 ENSLAFP00000019978
ENSLAFP00000002218 ENSLAFP00000020465
ENSLAFP00000002218 ENSLAFP00000025577
ENSLAFP00000002218 ENSLAFP00000027460
ENSLAFP00000002218 ENSLAFP00000025946
ENSLAFP00000002426 ENSLAFP00000007516
ENSLAFP00000002426 ENSLAFP00000026473
ENSLAFP00000002426 ENSLAFP00000020215
ENSLAFP00000002426 ENSLAFP00000003950
ENSLAFP00000002426 ENSLAFP00000005886
ENSLAFP00000002426 ENSLAFP00000000974
ENSLAFP00000002426 ENSLAFP00000001696
ENSLAFP00000002426 ENSLAFP00000013421
ENSLAFP00000002426 ENSLAFP00000009764
ENSLAFP00000002426 ENSLAFP00000008514
ENSLAFP00000002426 ENSLAFP00000008401
ENSLAFP00000002426 ENSLAFP00000010742
ENSLAFP00000002426 ENSLAFP00000001358
ENSLAFP00000002426 ENSLAFP00000008265
ENSLAFP00000002426 ENSLAFP00000009615
ENSLAFP00000002426 ENSLAFP00000010403
ENSLAFP00000002426 ENSLAFP00000007744
ENSLAFP00000002426 ENSLAFP00000013809
ENSLAFP00000002491 ENSLAFP00000009220
ENSLAFP00000002621 ENSLAFP00000013574
ENSLAFP00000002621 ENSLAFP00000026469
ENSLAFP00000002621 ENSLAFP00000017307
ENSLAFP00000002706 ENSLAFP00000014380
ENSLAFP00000002706 ENSLAFP00000011240
ENSLAFP00000002706 ENSLAFP00000012414
ENSLAFP00000002706 ENSLAFP00000014558
ENSLAFP00000002706 ENSLAFP00000010741
ENSLAFP00000002838 ENSLAFP00000014113
ENSLAFP00000002898 ENSLAFP00000025753
ENSLAFP00000003119 ENSLAFP00000014558
ENSLAFP00000003119 ENSLAFP00000011240
ENSLAFP00000003119 ENSLAFP00000012414
ENSLAFP00000003119 ENSLAFP00000010741
ENSLAFP00000003119 ENSLAFP00000014380
ENSLAFP00000003504 ENSLAFP00000007833
ENSLAFP00000003504 ENSLAFP00000016898
ENSLAFP00000003504 ENSLAFP00000012947
ENSLAFP00000003504 ENSLAFP00000001922
ENSLAFP00000003504 ENSLAFP00000001635
ENSLAFP00000003950 ENSLAFP00000002426
ENSLAFP00000003950 ENSLAFP00000000974
ENSLAFP00000003950 ENSLAFP00000010742
ENSLAFP00000004149 ENSLAFP00000014380
ENSLAFP00000004149 ENSLAFP00000009103
ENSLAFP00000004149 ENSLAFP00000011240
ENSLAFP00000004149 ENSLAFP00000012414
ENSLAFP00000004149 ENSLAFP00000014558
ENSLAFP00000004149 ENSLAFP00000010741
ENSLAFP00000004151 ENSLAFP00000005292
ENSLAFP00000004674 ENSLAFP00000009810
ENSLAFP00000005172 ENSLAFP00000014558
ENSLAFP00000005172 ENSLAFP00000014380
ENSLAFP00000005172 ENSLAFP00000009536
ENSLAFP00000005292 ENSLAFP00000004151
ENSLAFP00000005386 ENSLAFP00000017738
ENSLAFP00000005426 ENSLAFP00000016280
ENSLAFP00000005498 ENSLAFP00000024990
ENSLAFP00000005498 ENSLAFP00000023021
ENSLAFP00000005498 ENSLAFP00000020313
ENSLAFP00000005498 ENSLAFP00000017549
ENSLAFP00000005498 ENSLAFP00000028517
ENSLAFP00000005498 ENSLAFP00000018600
ENSLAFP00000005870 ENSLAFP00000020502
ENSLAFP00000005886 ENSLAFP00000000974
ENSLAFP00000005886 ENSLAFP00000002426
ENSLAFP00000006192 ENSLAFP00000026272
ENSLAFP00000006653 ENSLAFP00000007339
ENSLAFP00000006653 ENSLAFP00000013612
ENSLAFP00000006653 ENSLAFP00000012632
ENSLAFP00000006653 ENSLAFP00000014350
ENSLAFP00000006653 ENSLAFP00000008998
ENSLAFP00000006653 ENSLAFP00000020465
ENSLAFP00000006653 ENSLAFP00000027460
ENSLAFP00000006653 ENSLAFP00000025946
ENSLAFP00000006774 ENSLAFP00000016544
ENSLAFP00000007339 ENSLAFP00000012632
ENSLAFP00000007339 ENSLAFP00000013612
ENSLAFP00000007339 ENSLAFP00000014350
ENSLAFP00000007339 ENSLAFP00000008998
ENSLAFP00000007339 ENSLAFP00000001409
ENSLAFP00000007339 ENSLAFP00000019978
ENSLAFP00000007339 ENSLAFP00000025577
ENSLAFP00000007339 ENSLAFP00000020465
ENSLAFP00000007339 ENSLAFP00000027460
ENSLAFP00000007339 ENSLAFP00000006653
ENSLAFP00000007339 ENSLAFP00000025946
ENSLAFP00000007339 ENSLAFP00000002218
ENSLAFP00000007445 ENSLAFP00000016364
ENSLAFP00000007445 ENSLAFP00000000462
ENSLAFP00000007516 ENSLAFP00000001358
ENSLAFP00000007516 ENSLAFP00000020215
ENSLAFP00000007516 ENSLAFP00000002426
ENSLAFP00000007516 ENSLAFP00000008401
ENSLAFP00000007516 ENSLAFP00000001696
ENSLAFP00000007516 ENSLAFP00000026473
ENSLAFP00000007644 ENSLAFP00000020342
ENSLAFP00000007744 ENSLAFP00000002426
ENSLAFP00000007744 ENSLAFP00000000974
ENSLAFP00000007766 ENSLAFP00000012099
ENSLAFP00000007833 ENSLAFP00000011319
ENSLAFP00000007833 ENSLAFP00000016898
ENSLAFP00000007833 ENSLAFP00000003504
ENSLAFP00000007833 ENSLAFP00000012947
ENSLAFP00000007833 ENSLAFP00000001922
ENSLAFP00000007833 ENSLAFP00000001635
ENSLAFP00000008265 ENSLAFP00000002426
ENSLAFP00000008401 ENSLAFP00000002426
ENSLAFP00000008401 ENSLAFP00000001696
ENSLAFP00000008401 ENSLAFP00000026473
ENSLAFP00000008401 ENSLAFP00000020215
ENSLAFP00000008401 ENSLAFP00000001358
ENSLAFP00000008401 ENSLAFP00000007516
ENSLAFP00000008514 ENSLAFP00000002426
ENSLAFP00000008604 ENSLAFP00000011053
ENSLAFP00000008706 ENSLAFP00000017811
ENSLAFP00000008877 ENSLAFP00000000925
ENSLAFP00000008998 ENSLAFP00000025577
ENSLAFP00000008998 ENSLAFP00000020465
ENSLAFP00000008998 ENSLAFP00000027460
ENSLAFP00000008998 ENSLAFP00000006653
