SGM_0011 SGM_5717
SGM_0022 SGM_3297
SGM_0022 SGM_3305
SGM_0035 SGM_4806
SGM_0035 SGM_2589
SGM_0035 SGM_2070
SGM_0035 SGM_1576
SGM_0035 SGM_6831
SGM_0035 SGM_2643
SGM_0035 SGM_1299
SGM_0035 SGM_2086
SGM_0035 SGM_0595
SGM_0035 SGM_5889
SGM_0035 SGM_3326
SGM_0035 SGM_5974
SGM_0035 SGM_2764
SGM_0035 SGM_5890
SGM_0035 SGM_6287
SGM_0035 SGM_6432
SGM_0035 SGM_0482
SGM_0035 SGM_5507
SGM_0035 SGM_3380
SGM_0035 SGM_4006
SGM_0035 SGM_1574
SGM_0035 SGM_6121
SGM_0035 SGM_5064
SGM_0035 SGM_5764
SGM_0035 SGM_6587
SGM_0035 SGM_3622
SGM_0035 SGM_0378
SGM_0035 SGM_3476
SGM_0035 SGM_2213
SGM_0046 SGM_6502
SGM_0046 SGM_4623
SGM_0046 SGM_3041
SGM_0046 SGM_2058
SGM_0046 SGM_6137
SGM_0078 SGM_2059
SGM_0078 SGM_0750
SGM_0078 SGM_6808
SGM_0083 SGM_0106
SGM_0106 SGM_0083
SGM_0106 SGM_5510
SGM_0106 SGM_5108
SGM_0106 SGM_4931
SGM_0106 SGM_2992
SGM_0106 SGM_4678
SGM_0106 SGM_1096
SGM_0106 SGM_0832
SGM_0106 SGM_5647
SGM_0106 SGM_1893
SGM_0106 SGM_6619
SGM_0107 SGM_6209
SGM_0111 SGM_5758
SGM_0111 SGM_5583
SGM_0111 SGM_2092
SGM_0111 SGM_1145
SGM_0111 SGM_4866
SGM_0111 SGM_2142
SGM_0111 SGM_5962
SGM_0124 SGM_4629
SGM_0124 SGM_4627
SGM_0124 SGM_4485
SGM_0124 SGM_4630
SGM_0124 SGM_6322
SGM_0124 SGM_4631
SGM_0124 SGM_4625
SGM_0124 SGM_4632
SGM_0124 SGM_4486
SGM_0124 SGM_4633
SGM_0124 SGM_4628
SGM_0124 SGM_4626
SGM_0150 SGM_2804
SGM_0150 SGM_6769
SGM_0150 SGM_2157
SGM_0150 SGM_2456
SGM_0150 SGM_2870
SGM_0150 SGM_2533
SGM_0150 SGM_4635
SGM_0156 SGM_2092
SGM_0156 SGM_0280
SGM_0167 SGM_0398
SGM_0167 SGM_0168
SGM_0168 SGM_0399
SGM_0168 SGM_0167
SGM_0169 SGM_1872
SGM_0169 SGM_3017
SGM_0169 SGM_4526
SGM_0169 SGM_3427
SGM_0169 SGM_3425
SGM_0169 SGM_3015
SGM_0169 SGM_4333
SGM_0169 SGM_3016
SGM_0169 SGM_3426
SGM_0169 SGM_3014
SGM_0169 SGM_4334
SGM_0170 SGM_2546
SGM_0170 SGM_6701
SGM_0170 SGM_4271
SGM_0170 SGM_1171
SGM_0170 SGM_3353
SGM_0170 SGM_1141
SGM_0170 SGM_2277
SGM_0170 SGM_1888
SGM_0170 SGM_5872
SGM_0170 SGM_0947
SGM_0170 SGM_0794
SGM_0170 SGM_3518
SGM_0170 SGM_2569
SGM_0170 SGM_5545
SGM_0170 SGM_4857
SGM_0170 SGM_1993
SGM_0170 SGM_3465
SGM_0170 SGM_2943
SGM_0170 SGM_0948
SGM_0170 SGM_1140
SGM_0170 SGM_1083
SGM_0170 SGM_4024
SGM_0170 SGM_5128
SGM_0170 SGM_3463
SGM_0170 SGM_6403
SGM_0170 SGM_3927
SGM_0170 SGM_1868
SGM_0170 SGM_4921
SGM_0170 SGM_1008
SGM_0237 SGM_5920
SGM_0237 SGM_4678
SGM_0237 SGM_5647
SGM_0237 SGM_3051
SGM_0237 SGM_2441
SGM_0240 SGM_3305
SGM_0240 SGM_3297
SGM_0261 SGM_5033
SGM_0262 SGM_2036
SGM_0280 SGM_1089
SGM_0280 SGM_5009
SGM_0280 SGM_6377
SGM_0280 SGM_2094
SGM_0280 SGM_0702
SGM_0280 SGM_0506
SGM_0280 SGM_0156
SGM_0280 SGM_5758
SGM_0280 SGM_0492
SGM_0280 SGM_2172
SGM_0280 SGM_2092
SGM_0280 SGM_5013
SGM_0280 SGM_1145
SGM_0280 SGM_0705
SGM_0284 SGM_4613
SGM_0284 SGM_5539
SGM_0284 SGM_4183
SGM_0285 SGM_2242
SGM_0285 SGM_3046
SGM_0285 SGM_2187
SGM_0285 SGM_3354
SGM_0285 SGM_3355
SGM_0285 SGM_2181
SGM_0285 SGM_5159
SGM_0285 SGM_2186
SGM_0294 SGM_3275
SGM_0294 SGM_4468
SGM_0294 SGM_2729
SGM_0294 SGM_6475
SGM_0296 SGM_6327
SGM_0298 SGM_2141
SGM_0298 SGM_3524
SGM_0298 SGM_3784
SGM_0298 SGM_2146
SGM_0298 SGM_5105
SGM_0298 SGM_5578
SGM_0319 SGM_2889
SGM_0319 SGM_2058
SGM_0319 SGM_4623
SGM_0319 SGM_4393
SGM_0319 SGM_4285
SGM_0319 SGM_6502
SGM_0319 SGM_3041
SGM_0319 SGM_4118
SGM_0321 SGM_1827
SGM_0321 SGM_4827
SGM_0321 SGM_0868
SGM_0321 SGM_4485
SGM_0321 SGM_3824
SGM_0321 SGM_1346
SGM_0321 SGM_3792
SGM_0321 SGM_4073
SGM_0321 SGM_4486
SGM_0321 SGM_1902
SGM_0327 SGM_4955
SGM_0349 SGM_0351
SGM_0349 SGM_3180
SGM_0351 SGM_6337
SGM_0351 SGM_3042
SGM_0351 SGM_0349
SGM_0357 SGM_1794
SGM_0357 SGM_4298
SGM_0360 SGM_5130
SGM_0360 SGM_5588
SGM_0360 SGM_2402
SGM_0360 SGM_5920
SGM_0360 SGM_5587
SGM_0378 SGM_1866
SGM_0378 SGM_2903
SGM_0378 SGM_5127
SGM_0378 SGM_6045
SGM_0378 SGM_2774
SGM_0378 SGM_1038
SGM_0378 SGM_6123
SGM_0378 SGM_5037
SGM_0378 SGM_5171
SGM_0378 SGM_4059
SGM_0378 SGM_4574
SGM_0378 SGM_4004
SGM_0378 SGM_6365
SGM_0378 SGM_4021
SGM_0378 SGM_6366
SGM_0378 SGM_2895
SGM_0378 SGM_6357
SGM_0378 SGM_0035
SGM_0378 SGM_5849
SGM_0383 SGM_4955
SGM_0393 SGM_3528
SGM_0393 SGM_4952
SGM_0393 SGM_2892
SGM_0393 SGM_1808
SGM_0393 SGM_1803
SGM_0393 SGM_5434
SGM_0398 SGM_0167
SGM_0398 SGM_0399
SGM_0399 SGM_0398
SGM_0399 SGM_0168
SGM_0407 SGM_5066
SGM_0412 SGM_4326
SGM_0412 SGM_6393
SGM_0412 SGM_1963
SGM_0412 SGM_1964
SGM_0412 SGM_6278
SGM_0448 SGM_5654
SGM_0448 SGM_0672
SGM_0448 SGM_6474
SGM_0448 SGM_6460
SGM_0448 SGM_0456
SGM_0448 SGM_6473
SGM_0448 SGM_0718
SGM_0448 SGM_6459
SGM_0448 SGM_5655
SGM_0448 SGM_0690
SGM_0448 SGM_3928
SGM_0448 SGM_6471
SGM_0448 SGM_6461
SGM_0448 SGM_3180
SGM_0448 SGM_6462
SGM_0448 SGM_6472
SGM_0448 SGM_0724
SGM_0449 SGM_6474
SGM_0449 SGM_0672
SGM_0449 SGM_6460
SGM_0449 SGM_0456
SGM_0449 SGM_6473
SGM_0449 SGM_0718
SGM_0449 SGM_6459
SGM_0449 SGM_5655
SGM_0449 SGM_0690
SGM_0449 SGM_6471
SGM_0449 SGM_6461
SGM_0449 SGM_5654
SGM_0449 SGM_3928
SGM_0449 SGM_6472
SGM_0449 SGM_0724
SGM_0449 SGM_3180
SGM_0449 SGM_6462
SGM_0450 SGM_0724
SGM_0450 SGM_5654
SGM_0450 SGM_6474
SGM_0450 SGM_6461
SGM_0450 SGM_0672
SGM_0450 SGM_0718
SGM_0450 SGM_0456
SGM_0450 SGM_6459
SGM_0450 SGM_6460
SGM_0450 SGM_6473
SGM_0450 SGM_6471
SGM_0450 SGM_6472
SGM_0450 SGM_3928
SGM_0450 SGM_5655
SGM_0450 SGM_0690
SGM_0450 SGM_3180
SGM_0450 SGM_6462
SGM_0456 SGM_5033
SGM_0456 SGM_0449
SGM_0456 SGM_0450
SGM_0456 SGM_3993
SGM_0456 SGM_0448
SGM_0464 SGM_1278
SGM_0464 SGM_1277
SGM_0464 SGM_3236
SGM_0464 SGM_1280
SGM_0464 SGM_3242
SGM_0464 SGM_1282
SGM_0464 SGM_5913
SGM_0464 SGM_3233
SGM_0464 SGM_1283
SGM_0464 SGM_1284
SGM_0464 SGM_1286
SGM_0464 SGM_1281
SGM_0464 SGM_3239
SGM_0464 SGM_2370
SGM_0464 SGM_3234
SGM_0464 SGM_1276
SGM_0464 SGM_1288
SGM_0464 SGM_5230
SGM_0464 SGM_3237
SGM_0464 SGM_4290
SGM_0464 SGM_3241
SGM_0464 SGM_5226
SGM_0464 SGM_1289
SGM_0464 SGM_6507
SGM_0464 SGM_1279
SGM_0464 SGM_3235
SGM_0464 SGM_3238
SGM_0464 SGM_5225
SGM_0464 SGM_1285
SGM_0464 SGM_1287
SGM_0471 SGM_5578
SGM_0471 SGM_5105
SGM_0471 SGM_2146
SGM_0471 SGM_6409
SGM_0482 SGM_1866
SGM_0482 SGM_0035
SGM_0482 SGM_5037
SGM_0482 SGM_5171
SGM_0482 SGM_4574
SGM_0482 SGM_6365
SGM_0482 SGM_4004
SGM_0482 SGM_6366
SGM_0482 SGM_2895
SGM_0482 SGM_5849
SGM_0482 SGM_6357
SGM_0482 SGM_2903
SGM_0482 SGM_2874
SGM_0482 SGM_6045
SGM_0482 SGM_5127
SGM_0482 SGM_2774
SGM_0482 SGM_1038
SGM_0482 SGM_4059
SGM_0482 SGM_6123
SGM_0482 SGM_4021
SGM_0492 SGM_5960
SGM_0492 SGM_0280
SGM_0497 SGM_3269
SGM_0505 SGM_5066
SGM_0506 SGM_5960
SGM_0506 SGM_0280
SGM_0520 SGM_4326
SGM_0520 SGM_3518
SGM_0520 SGM_1013
SGM_0520 SGM_6701
SGM_0520 SGM_6278
SGM_0520 SGM_2943
SGM_0520 SGM_1083
SGM_0520 SGM_6393
SGM_0520 SGM_5872
SGM_0520 SGM_1024
SGM_0520 SGM_5128
SGM_0522 SGM_4903
SGM_0535 SGM_6406
SGM_0535 SGM_2894
SGM_0535 SGM_2244
SGM_0535 SGM_6586
SGM_0535 SGM_5254
SGM_0536 SGM_2420
SGM_0536 SGM_5647
SGM_0536 SGM_1083
SGM_0536 SGM_4678
SGM_0536 SGM_5813
SGM_0536 SGM_6115
SGM_0536 SGM_4680
SGM_0536 SGM_2860
SGM_0536 SGM_5462
SGM_0595 SGM_5849
SGM_0595 SGM_5119
SGM_0595 SGM_1009
SGM_0595 SGM_6366
SGM_0595 SGM_5171
SGM_0595 SGM_4059
SGM_0595 SGM_1866
SGM_0595 SGM_4574
SGM_0595 SGM_1592
SGM_0595 SGM_4639
SGM_0595 SGM_5127
SGM_0595 SGM_6045
SGM_0595 SGM_6123
SGM_0595 SGM_2774
SGM_0595 SGM_0035
SGM_0595 SGM_6357
SGM_0595 SGM_4004
SGM_0595 SGM_6365
SGM_0595 SGM_2895
SGM_0595 SGM_2903
SGM_0595 SGM_4021
SGM_0595 SGM_5037
SGM_0595 SGM_3908
SGM_0595 SGM_1038
SGM_0602 SGM_5588
SGM_0602 SGM_2402
SGM_0602 SGM_4326
SGM_0619 SGM_2242
SGM_0619 SGM_3046
SGM_0619 SGM_5159
SGM_0619 SGM_2183
SGM_0619 SGM_2181
SGM_0619 SGM_2184
SGM_0620 SGM_1872
SGM_0620 SGM_3017
SGM_0620 SGM_4526
SGM_0620 SGM_3015
SGM_0620 SGM_4333
SGM_0620 SGM_3016
SGM_0620 SGM_3427
SGM_0620 SGM_3425
SGM_0620 SGM_3426
SGM_0620 SGM_3014
SGM_0620 SGM_4334
SGM_0639 SGM_5717
SGM_0663 SGM_4370
SGM_0672 SGM_5654
SGM_0672 SGM_0449
SGM_0672 SGM_0450
SGM_0672 SGM_5655
SGM_0672 SGM_5033
SGM_0672 SGM_0448
SGM_0690 SGM_0450
SGM_0690 SGM_5655
SGM_0690 SGM_0448
SGM_0690 SGM_5654
SGM_0690 SGM_0449
SGM_0690 SGM_5033
SGM_0702 SGM_2092
SGM_0702 SGM_0280
SGM_0705 SGM_2092
SGM_0705 SGM_0280
SGM_0718 SGM_0449
SGM_0718 SGM_5654
SGM_0718 SGM_5655
SGM_0718 SGM_0450
SGM_0718 SGM_5033
SGM_0718 SGM_0448
SGM_0724 SGM_0450
SGM_0724 SGM_5654
