species	domain	group	pub count	nodes	edges	resilience
Saccharomyces cerevisiae	Eukaryota	Opisthokonta	96,928	6,011	207,622	0.471
Homo sapiens	Eukaryota	Opisthokonta	16,887,538	16,439	440,135	0.461
Glycine max	Eukaryota	Viridiplantae	19,004	5,785	89,538	0.457
Oryza sativa Japonica	Eukaryota	Viridiplantae	1,639	1,787	54,247	0.453
Bos taurus	Eukaryota	Opisthokonta	328,217	8,615	276,128	0.453
Sus scrofa	Eukaryota	Opisthokonta	17,660	8,201	143,516	0.45
Callithrix jacchus	Eukaryota	Opisthokonta	3,486	327	946	0.448
Rattus norvegicus	Eukaryota	Opisthokonta	1,536,193	9,439	261,737	0.447
Oryctolagus cuniculus	Eukaryota	Opisthokonta	331,624	292	844	0.447
Mus musculus	Eukaryota	Opisthokonta	1,399,668	12,498	354,458	0.447
Magnaporthe grisea	Eukaryota	Opisthokonta	1,192	26	68	0.446
Oreochromis niloticus	Eukaryota	Opisthokonta	4,060	32	55	0.444
Aspergillus terreus	Eukaryota	Opisthokonta	1,396	45	138	0.444
Danio rerio	Eukaryota	Opisthokonta	23,531	7,377	145,449	0.443
Oryza sativa Indica	Eukaryota	Viridiplantae	1,597	105	224	0.441
Cavia porcellus	Eukaryota	Opisthokonta	138,133	165	268	0.441
Solanum lycopersicum	Eukaryota	Viridiplantae	10,259	3,601	32,470	0.44
Oryzias latipes	Eukaryota	Opisthokonta	2,281	4,134	35,414	0.439
Mustela putorius	Eukaryota	Opisthokonta	5,403	173	254	0.439
Physcomitrella patens	Eukaryota	Viridiplantae	1,050	3,190	31,790	0.438
Gallus gallus	Eukaryota	Opisthokonta	112,314	5,208	70,943	0.437
Sorghum bicolor	Eukaryota	Viridiplantae	1,775	3,503	26,577	0.435
Felis catus	Eukaryota	Opisthokonta	131,626	5,285	44,325	0.434
Giardia lamblia	Eukaryota	Fornicata	2,474	238	453	0.433
Ailuropoda melanoleuca	Eukaryota	Opisthokonta	2,111	5,034	41,328	0.433
Schizosaccharomyces pombe	Eukaryota	Opisthokonta	9,409	4,125	47,984	0.431
Equus caballus	Eukaryota	Opisthokonta	64,851	5,395	45,074	0.43
Arabidopsis thaliana	Eukaryota	Viridiplantae	45,738	11,256	167,771	0.43
Solanum tuberosum	Eukaryota	Viridiplantae	7,683	3,239	27,478	0.429
Vitis vinifera	Eukaryota	Viridiplantae	6,986	3,418	28,243	0.427
Ixodes scapularis	Eukaryota	Opisthokonta	3,801	2,052	12,610	0.424
Hordeum vulgare	Eukaryota	Viridiplantae	8,527	50	152	0.424
Drosophila melanogaster	Eukaryota	Opisthokonta	41,416	10,132	116,906	0.424
Gorilla gorilla	Eukaryota	Opisthokonta	1,803	5,309	41,774	0.423
Trypanosoma cruzi	Eukaryota	Euglenozoa	10,781	1,267	5,258	0.422
Pan troglodytes	Eukaryota	Opisthokonta	8,981	5,166	39,642	0.422
Caenorhabditis elegans	Eukaryota	Opisthokonta	19,285	8,091	82,152	0.421
Dictyostelium discoideum	Eukaryota	Amoebozoa	7,004	2,065	24,430	0.42
Zea mays	Eukaryota	Viridiplantae	27,146	2,849	18,046	0.419
Macaca mulatta	Eukaryota	Opisthokonta	38,314	5,003	37,070	0.419
Aspergillus flavus	Eukaryota	Opisthokonta	2,348	1,668	9,044	0.416
Agrobacterium radiobacter	Bacteria	Proteobacteria	3,188	1,682	10,840	0.414
Streptomyces griseus	Bacteria	Terrabacteria group	1,208	1,432	9,882	0.413
Aspergillus fumigatus	Eukaryota	Opisthokonta	6,769	1,537	8,028	0.413
Tetrahymena thermophila	Eukaryota	Alveolata	1,147	1,093	5,323	0.411
Streptomyces coelicolor	Bacteria	Terrabacteria group	1,119	1,423	8,372	0.411
Trichinella spiralis	Eukaryota	Opisthokonta	1,452	1,453	5,511	0.41
Mycobacterium gilvum	Bacteria	Terrabacteria group	10,015	1,217	9,400	0.41
Coccidioides immitis	Eukaryota	Opisthokonta	1,290	1,193	4,438	0.41
Bacillus subtilis 168	Bacteria	Terrabacteria group	1,263	1,494	5,896	0.41
Bacillus megaterium	Bacteria	Terrabacteria group	2,780	1,300	6,355	0.408
Leishmania major	Eukaryota	Euglenozoa	2,736	729	2,537	0.407
Aspergillus niger	Eukaryota	Opisthokonta	5,103	1,279	5,391	0.407
Leishmania donovani	Eukaryota	Euglenozoa	4,165	655	2,031	0.406
Burkholderia pseudomallei	Bacteria	Proteobacteria	1,865	1,583	8,485	0.406
Sinorhizobium meliloti	Bacteria	Proteobacteria	1,586	956	4,182	0.405
Leishmania braziliensis	Eukaryota	Euglenozoa	18,380	735	2,490	0.405
Aspergillus oryzae	Eukaryota	Opisthokonta	1,669	1,400	6,125	0.405
Enterobacter aerogenes	Bacteria	Proteobacteria	1,008	1,529	7,351	0.403
Leishmania infantum	Eukaryota	Euglenozoa	2,501	725	2,347	0.401
