DMR_00010 DMR_30800
DMR_00020 DMR_13640
DMR_00020 DMR_03660
DMR_00020 DMR_44720
DMR_00020 DMR_19780
DMR_00020 DMR_44320
DMR_00020 DMR_17070
DMR_00020 DMR_44680
DMR_00020 DMR_02800
DMR_00020 DMR_25310
DMR_00020 DMR_05180
DMR_00070 DMR_08500
DMR_00070 DMR_11680
DMR_00070 DMR_37140
DMR_00070 DMR_45930
DMR_00070 DMR_37180
DMR_00070 DMR_21720
DMR_00070 DMR_17120
DMR_00070 DMR_34740
DMR_00070 DMR_37170
DMR_00110 DMR_38190
DMR_00110 DMR_27530
DMR_00180 DMR_22970
DMR_00180 DMR_32930
DMR_00180 DMR_32940
DMR_00180 DMR_22960
DMR_00180 DMR_00200
DMR_00180 DMR_00190
DMR_00180 DMR_13540
DMR_00180 DMR_22980
DMR_00190 DMR_22970
DMR_00190 DMR_00200
DMR_00190 DMR_22960
DMR_00190 DMR_00180
DMR_00190 DMR_32940
DMR_00190 DMR_22980
DMR_00190 DMR_13540
DMR_00190 DMR_32930
DMR_00200 DMR_22970
DMR_00200 DMR_22960
DMR_00200 DMR_00180
DMR_00200 DMR_00190
DMR_00200 DMR_13540
DMR_00200 DMR_32930
DMR_00200 DMR_22980
DMR_00200 DMR_32940
DMR_00250 DMR_17880
DMR_00250 DMR_15980
DMR_00250 DMR_21850
DMR_00250 DMR_16060
DMR_00250 DMR_25490
DMR_00250 DMR_25320
DMR_00300 DMR_14920
DMR_00300 DMR_21130
DMR_00300 DMR_37500
DMR_00300 DMR_39990
DMR_00300 DMR_44060
DMR_00300 DMR_11650
DMR_00300 DMR_08040
DMR_00300 DMR_30810
DMR_00300 DMR_18240
DMR_00400 DMR_03250
DMR_00400 DMR_07380
DMR_00400 DMR_18760
DMR_00400 DMR_02490
DMR_00400 DMR_26520
DMR_00400 DMR_18190
DMR_00400 DMR_15780
DMR_00400 DMR_46260
DMR_00400 DMR_45090
DMR_00400 DMR_05910
DMR_00400 DMR_18770
DMR_00400 DMR_45930
DMR_00400 DMR_00560
DMR_00400 DMR_34740
DMR_00400 DMR_26530
DMR_00400 DMR_07390
DMR_00400 DMR_02200
DMR_00400 DMR_26700
DMR_00400 DMR_00720
DMR_00400 DMR_07360
DMR_00400 DMR_17890
DMR_00400 DMR_42760
DMR_00400 DMR_28220
DMR_00400 DMR_07370
DMR_00400 DMR_28100
DMR_00400 DMR_18780
DMR_00430 DMR_04400
DMR_00430 DMR_25690
DMR_00430 DMR_25390
DMR_00430 DMR_43130
DMR_00430 DMR_22870
DMR_00430 DMR_43140
DMR_00430 DMR_45660
DMR_00430 DMR_27100
DMR_00430 DMR_22860
DMR_00520 DMR_46120
DMR_00520 DMR_05390
DMR_00520 DMR_05400
DMR_00520 DMR_31620
DMR_00520 DMR_29670
DMR_00520 DMR_17280
DMR_00520 DMR_02810
DMR_00520 DMR_39470
DMR_00540 DMR_10980
DMR_00540 DMR_23320
DMR_00560 DMR_18190
DMR_00560 DMR_02490
DMR_00560 DMR_45930
DMR_00560 DMR_26530
DMR_00560 DMR_17890
DMR_00560 DMR_46030
DMR_00560 DMR_42760
DMR_00560 DMR_05910
DMR_00560 DMR_03250
DMR_00560 DMR_34740
DMR_00560 DMR_30990
DMR_00560 DMR_02200
DMR_00560 DMR_34330
DMR_00560 DMR_00720
DMR_00560 DMR_00400
DMR_00600 DMR_21200
DMR_00640 DMR_29430
DMR_00650 DMR_22350
DMR_00710 DMR_16250
DMR_00710 DMR_16260
DMR_00710 DMR_00720
DMR_00720 DMR_26540
DMR_00720 DMR_42760
DMR_00720 DMR_18190
DMR_00720 DMR_02490
DMR_00720 DMR_45930
DMR_00720 DMR_26530
DMR_00720 DMR_17890
DMR_00720 DMR_05910
DMR_00720 DMR_03250
DMR_00720 DMR_22160
DMR_00720 DMR_34740
DMR_00720 DMR_00560
DMR_00720 DMR_00710
DMR_00720 DMR_02200
DMR_00720 DMR_20320
DMR_00720 DMR_00400
DMR_00730 DMR_15530
DMR_00730 DMR_15490
DMR_00730 DMR_16440
DMR_01220 DMR_37960
DMR_01390 DMR_23920
DMR_01390 DMR_18430
DMR_01390 DMR_23760
DMR_01390 DMR_29050
DMR_01390 DMR_33420
DMR_01390 DMR_28680
DMR_01390 DMR_26640
DMR_01390 DMR_16140
DMR_01390 DMR_20770
DMR_01390 DMR_33440
DMR_01390 DMR_02830
DMR_01390 DMR_10020
DMR_01390 DMR_23750
DMR_01390 DMR_02850
DMR_01390 DMR_23770
DMR_01390 DMR_19040
DMR_01390 DMR_33460
DMR_01390 DMR_11050
DMR_01390 DMR_27990
DMR_01390 DMR_09310
DMR_01390 DMR_33430
DMR_01390 DMR_36600
DMR_01390 DMR_23820
DMR_01390 DMR_23780
DMR_01390 DMR_33480
DMR_01550 DMR_01560
DMR_01560 DMR_01550
DMR_01770 DMR_45610
DMR_01770 DMR_05880
DMR_01770 DMR_05900
DMR_01770 DMR_11370
DMR_01770 DMR_22420
DMR_01770 DMR_12090
DMR_01770 DMR_11380
DMR_01770 DMR_45570
DMR_01770 DMR_05810
DMR_01770 DMR_22660
DMR_01770 DMR_05830
DMR_01770 DMR_45580
DMR_01770 DMR_09060
DMR_01770 DMR_22440
DMR_01770 DMR_45590
DMR_01770 DMR_05800
DMR_01770 DMR_22690
DMR_01770 DMR_22410
DMR_01770 DMR_11360
DMR_01770 DMR_09090
DMR_01770 DMR_22670
DMR_01770 DMR_11350
DMR_01770 DMR_05820
DMR_01770 DMR_12100
DMR_01770 DMR_22680
DMR_01770 DMR_12070
DMR_01770 DMR_09070
DMR_01770 DMR_05870
DMR_01770 DMR_09040
DMR_01770 DMR_12080
DMR_01770 DMR_05890
DMR_01800 DMR_33650
DMR_01800 DMR_37150
DMR_01800 DMR_18990
DMR_01800 DMR_28120
DMR_01830 DMR_15960
DMR_01830 DMR_13990
DMR_01860 DMR_23760
DMR_01860 DMR_33420
DMR_01860 DMR_29050
DMR_01860 DMR_28680
DMR_01860 DMR_20770
