PMSV_1012 PMSV_2721
PMSV_1014 PMSV_167
PMSV_1014 PMSV_1210
PMSV_1069 PMSV_177
PMSV_109 PMSV_110
PMSV_110 PMSV_109
PMSV_112 PMSV_128
PMSV_1126 PMSV_1147
PMSV_1126 PMSV_1148
PMSV_1126 PMSV_1600
PMSV_1126 PMSV_1127
PMSV_1126 PMSV_1601
PMSV_1127 PMSV_1600
PMSV_1127 PMSV_1148
PMSV_1127 PMSV_1126
PMSV_1127 PMSV_1147
PMSV_1127 PMSV_1601
PMSV_1132 PMSV_1207
PMSV_1132 PMSV_1689
PMSV_1132 PMSV_3467
PMSV_1132 PMSV_2510
PMSV_1132 PMSV_616
PMSV_1132 PMSV_2951
PMSV_1133 PMSV_2951
PMSV_1133 PMSV_2510
PMSV_1133 PMSV_616
PMSV_1133 PMSV_1207
PMSV_1133 PMSV_1689
PMSV_1133 PMSV_3467
PMSV_1146 PMSV_1149
PMSV_1147 PMSV_1127
PMSV_1147 PMSV_1600
PMSV_1147 PMSV_1148
PMSV_1147 PMSV_1126
PMSV_1147 PMSV_1601
PMSV_1148 PMSV_1126
PMSV_1148 PMSV_1601
PMSV_1148 PMSV_1127
PMSV_1148 PMSV_1600
PMSV_1148 PMSV_1147
PMSV_1149 PMSV_1146
PMSV_1157 PMSV_2064
PMSV_1157 PMSV_2331
PMSV_1157 PMSV_2536
PMSV_1157 PMSV_3787
PMSV_1157 PMSV_2000
PMSV_1157 PMSV_1167
PMSV_1159 PMSV_1364
PMSV_1159 PMSV_1538
PMSV_1167 PMSV_3787
PMSV_1167 PMSV_1157
PMSV_1167 PMSV_2064
PMSV_1167 PMSV_2331
PMSV_1167 PMSV_2536
PMSV_1167 PMSV_2000
PMSV_1170 PMSV_1171
PMSV_1171 PMSV_1170
PMSV_1171 PMSV_1172
PMSV_1171 PMSV_1570
PMSV_1171 PMSV_1453
PMSV_1172 PMSV_1852
PMSV_1172 PMSV_1171
PMSV_1174 PMSV_4062
PMSV_1174 PMSV_3017
PMSV_1174 PMSV_3763
PMSV_1174 PMSV_3764
PMSV_1174 PMSV_4059
PMSV_1174 PMSV_227
PMSV_1174 PMSV_3765
PMSV_1175 PMSV_4062
PMSV_1175 PMSV_3764
PMSV_1175 PMSV_3763
PMSV_1175 PMSV_227
PMSV_1175 PMSV_4059
PMSV_1175 PMSV_3765
PMSV_1184 PMSV_183
PMSV_1184 PMSV_52
PMSV_1203 PMSV_3301
PMSV_1203 PMSV_1204
PMSV_1204 PMSV_3360
PMSV_1204 PMSV_1203
PMSV_1204 PMSV_3979
PMSV_1204 PMSV_3359
PMSV_1204 PMSV_3980
PMSV_1207 PMSV_3216
PMSV_1207 PMSV_914
PMSV_1207 PMSV_453
PMSV_1207 PMSV_1133
PMSV_1207 PMSV_3215
PMSV_1207 PMSV_3467
PMSV_1207 PMSV_3213
PMSV_1207 PMSV_915
PMSV_1207 PMSV_385
PMSV_1207 PMSV_912
PMSV_1207 PMSV_1132
PMSV_1207 PMSV_383
PMSV_1207 PMSV_454
PMSV_1207 PMSV_386
PMSV_1208 PMSV_1210
PMSV_1208 PMSV_167
PMSV_1209 PMSV_1210
PMSV_1209 PMSV_167
