VAA_00002 VAA_03253
VAA_00027 VAA_00959
VAA_00047 VAA_00750
VAA_00047 VAA_02460
VAA_00047 VAA_02454
VAA_00048 VAA_03230
VAA_00049 VAA_03715
VAA_00049 VAA_02754
VAA_00051 VAA_02309
VAA_00051 VAA_00865
VAA_00051 VAA_01106
VAA_00051 VAA_03572
VAA_00051 VAA_02252
VAA_00051 VAA_01426
VAA_00051 VAA_03666
VAA_00051 VAA_03114
VAA_00051 VAA_00336
VAA_00051 VAA_02614
VAA_00051 VAA_00999
VAA_00051 VAA_02251
VAA_00051 VAA_01120
VAA_00051 VAA_01746
VAA_00051 VAA_03066
VAA_00113 VAA_00527
VAA_00115 VAA_00773
VAA_00115 VAA_01811
VAA_00115 VAA_03539
VAA_00127 VAA_01893
VAA_00127 VAA_00128
VAA_00127 VAA_00859
VAA_00128 VAA_00127
VAA_00128 VAA_00129
VAA_00129 VAA_00128
VAA_00150 VAA_02204
VAA_00150 VAA_00670
VAA_00150 VAA_00886
VAA_00150 VAA_02369
VAA_00150 VAA_00693
VAA_00150 VAA_03668
VAA_00150 VAA_01634
VAA_00150 VAA_02373
VAA_00150 VAA_01644
VAA_00150 VAA_03497
VAA_00150 VAA_02709
VAA_00150 VAA_02913
VAA_00150 VAA_03099
VAA_00157 VAA_03572
VAA_00157 VAA_03582
VAA_00157 VAA_02872
VAA_00175 VAA_00663
VAA_00175 VAA_01376
VAA_00175 VAA_02787
VAA_00175 VAA_01613
VAA_00175 VAA_03693
VAA_00175 VAA_01393
VAA_00175 VAA_02102
VAA_00175 VAA_03691
VAA_00175 VAA_00264
VAA_00175 VAA_01495
VAA_00175 VAA_00774
VAA_00175 VAA_02092
VAA_00175 VAA_03704
VAA_00175 VAA_012817
VAA_00175 VAA_02033
VAA_00175 VAA_03694
VAA_00175 VAA_00800
VAA_00175 VAA_03692
VAA_00175 VAA_03703
VAA_00175 VAA_01664
VAA_00177 VAA_02584
VAA_00177 VAA_03764
VAA_00177 VAA_01882
VAA_00177 VAA_03803
VAA_00177 VAA_03796
VAA_00177 VAA_03857
VAA_00177 VAA_00351
VAA_00177 VAA_00317
VAA_00177 VAA_01316
VAA_00177 VAA_03766
VAA_00177 VAA_01394
VAA_00177 VAA_00869
VAA_00177 VAA_01095
VAA_00177 VAA_00618
VAA_00177 VAA_00184
VAA_00177 VAA_00808
VAA_00177 VAA_01952
VAA_00177 VAA_00658
VAA_00177 VAA_03277
VAA_00177 VAA_00711
VAA_00177 VAA_01407
VAA_00177 VAA_02353
VAA_00177 VAA_01474
VAA_00177 VAA_02021
VAA_00177 VAA_01597
VAA_00177 VAA_03801
VAA_00177 VAA_03337
VAA_00177 VAA_03671
VAA_00177 VAA_02491
VAA_00177 VAA_00870
VAA_00177 VAA_02616
VAA_00177 VAA_01618
VAA_00177 VAA_03184
VAA_00177 VAA_03562
VAA_00177 VAA_01977
VAA_00177 VAA_02548
VAA_00177 VAA_00710
VAA_00177 VAA_00578
VAA_00177 VAA_00511
VAA_00177 VAA_00619
VAA_00177 VAA_00620
VAA_00177 VAA_02019
VAA_00177 VAA_03795
VAA_00177 VAA_01352
VAA_00177 VAA_03321
VAA_00177 VAA_01620
VAA_00177 VAA_03804
VAA_00177 VAA_00350
VAA_00177 VAA_03550
VAA_00177 VAA_00959
VAA_00177 VAA_01627
VAA_00177 VAA_02695
VAA_00177 VAA_00709
VAA_00177 VAA_02380
VAA_00177 VAA_03328
VAA_00177 VAA_00264
VAA_00177 VAA_03144
VAA_00177 VAA_00847
VAA_00177 VAA_00385
VAA_00177 VAA_02109
VAA_00177 VAA_03767
VAA_00177 VAA_01979
VAA_00177 VAA_02020
VAA_00177 VAA_02382
VAA_00177 VAA_01322
VAA_00177 VAA_02226
VAA_00177 VAA_02771
VAA_00177 VAA_01561
VAA_00177 VAA_00740
VAA_00184 VAA_01007
VAA_00184 VAA_03764
VAA_00184 VAA_02595
VAA_00184 VAA_00342
VAA_00184 VAA_01006
VAA_00184 VAA_02960
VAA_00184 VAA_01352
VAA_00184 VAA_02037
VAA_00184 VAA_02578
VAA_00184 VAA_02034
VAA_00184 VAA_02345
VAA_00184 VAA_03328
VAA_00184 VAA_00264
VAA_00184 VAA_01085
VAA_00184 VAA_01561
VAA_00184 VAA_00740
VAA_00184 VAA_01620
VAA_00184 VAA_03277
VAA_00184 VAA_03335
VAA_00184 VAA_02726
VAA_00184 VAA_00177
VAA_00184 VAA_03671
VAA_00184 VAA_02344
VAA_00184 VAA_03420
VAA_00184 VAA_01005
VAA_00184 VAA_02577
VAA_00184 VAA_01618
VAA_00184 VAA_00950
VAA_00185 VAA_00342
VAA_00185 VAA_02344
VAA_00185 VAA_00950
VAA_00185 VAA_02960
VAA_00186 VAA_03431
VAA_00204 VAA_00499
VAA_00204 VAA_03543
VAA_00204 VAA_01762
VAA_00205 VAA_03627
VAA_00205 VAA_00499
VAA_00205 VAA_03583
VAA_00206 VAA_00207
VAA_00206 VAA_01160
VAA_00207 VAA_00206
VAA_00208 VAA_01166
VAA_00208 VAA_00209
VAA_00208 VAA_01160
VAA_00209 VAA_00208
VAA_00229 VAA_00959
VAA_00239 VAA_1482
VAA_00239 VAA_03184
VAA_00239 VAA_03243
VAA_00239 VAA_02360
VAA_00239 VAA_02062
VAA_00239 VAA_00818
VAA_00239 VAA_02058
VAA_00239 VAA_02547
VAA_00263 VAA_00853
VAA_00263 VAA_03628
VAA_00263 VAA_00329
VAA_00263 VAA_01439
VAA_00263 VAA_03030
VAA_00263 VAA_02229
VAA_00263 VAA_00494
VAA_00263 VAA_03720
VAA_00263 VAA_03319
VAA_00263 VAA_01746
VAA_00263 VAA_00519
VAA_00263 VAA_02281
VAA_00264 VAA_01277
VAA_00264 VAA_01393
VAA_00264 VAA_03764
VAA_00264 VAA_00342
VAA_00264 VAA_02787
VAA_00264 VAA_00184
VAA_00264 VAA_03277
VAA_00264 VAA_02726
VAA_00264 VAA_00177
VAA_00264 VAA_02344
VAA_00264 VAA_03420
VAA_00264 VAA_03671
VAA_00264 VAA_02577
VAA_00264 VAA_01618
VAA_00264 VAA_03335
VAA_00264 VAA_00950
VAA_00264 VAA_02960
VAA_00264 VAA_01451
VAA_00264 VAA_01352
VAA_00264 VAA_01613
VAA_00264 VAA_02595
VAA_00264 VAA_02578
VAA_00264 VAA_01085
VAA_00264 VAA_01495
VAA_00264 VAA_02345
VAA_00264 VAA_03328
VAA_00264 VAA_00771
VAA_00264 VAA_01376
VAA_00264 VAA_01815
VAA_00264 VAA_00175
VAA_00264 VAA_012817
VAA_00264 VAA_01561
VAA_00264 VAA_01620
VAA_00264 VAA_02033
VAA_00264 VAA_00740
VAA_00265 VAA_01412
VAA_00265 VAA_03388
VAA_00265 VAA_01901
VAA_00265 VAA_01443
VAA_00271 VAA_00272
VAA_00271 VAA_01624
VAA_00271 VAA_03307
VAA_00271 VAA_00273
VAA_00271 VAA_02582
VAA_00271 VAA_00453
VAA_00271 VAA_00698
VAA_00271 VAA_01082
VAA_00272 VAA_01624
VAA_00272 VAA_00453
VAA_00272 VAA_00271
VAA_00272 VAA_03307
VAA_00272 VAA_00273
VAA_00272 VAA_00698
VAA_00272 VAA_01082
VAA_00272 VAA_02582
VAA_00273 VAA_02713
VAA_00273 VAA_00272
VAA_00273 VAA_01624
VAA_00273 VAA_00453
VAA_00273 VAA_00271
VAA_00273 VAA_00642
VAA_00296 VAA_03039
VAA_00296 VAA_01943
